"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.0236822,0.0140558,0.0236656,0.0414834,0.0279415,1.06507
0.0228058,0.014755,0.0124286,0.0155569,0.0130327,0.533683
0.0134319,0.00867014,0.00375838,0.00484131,0.0044418,0.250189
0.0198858,0.0127744,0.0152814,0.0266182,0.0156386,0.504378
0.0205856,0.0130533,0.00602914,0.00451217,0.00248926,0.113849
0.0433631,0.0171533,0.0117001,0.0224942,0.0241103,0.931455
0.0129938,0.00902345,0.00354894,0.000631946,0.00198345,0.0892309
0.00731195,0.00527126,0.00174953,0.00401426,0.00270979,0.167258
0.0201554,0.0131503,0.00305818,0.00912581,0.0128115,0.618037
0.0232862,0.0152323,0.0102756,0.0111711,0.0117645,0.628755
0.00990401,0.00668625,0.00223767,0.00738379,0.00692756,0.385004
0.0130881,0.00857032,0.0154758,0.0406614,0.0206208,0.494878
0.023921,0.0161635,0.00558021,0.00662757,0.00640853,0.264607
0.0238264,0.0160834,0.00480123,0.00762429,0.00747381,0.358858
0.0168964,0.010959,0.00474641,0.00346968,0.00350302,0.217368
0.0394321,0.024716,0.058193,0.0767968,0.0432225,1.60321
0.0116094,0.00781081,0.00836632,0.00761968,0.00344301,0.148051
0.0134404,0.00896188,0.00389299,0.0033125,0.00612021,0.352619
0.0100302,0.00708498,0.00786076,0.00755757,0.00509215,0.118693
0.0162996,0.0108497,0.00547216,0.00590068,0.00298458,0.173789
0.0188696,0.0119963,0.00388686,0.00650985,0.0019335,0.131912
0.0849658,0.0370854,0.0388853,0.0748092,0.0455769,1.75384
0.018038,0.0116767,0.0103136,0.0094908,0.0195196,1.00591
0.00755687,0.00519876,0.00319389,0.0017356,0.00363057,0.236985
0.026048,0.0173396,0.00692305,0.00446715,0.00685354,0.339257
0.0107725,0.00747573,0.0145714,0.0246409,0.0127809,0.466595
0.0369178,0.0233949,0.0122752,0.0167635,0.00865679,0.188626
0.0108648,0.00452013,0.0147295,0.0249235,0.015779,0.331833
0.0227964,0.013338,0.023593,0.0153073,0.0150571,0.679117
0.023941,0.0147866,0.00903107,0.0167212,0.010023,0.464673
0.042664,0.0266253,0.0715022,0.0662764,0.0468416,1.77928
0.0150113,0.00988057,0.0039712,0.0101516,0.00155967,0.0631492
0.00822295,0.00540716,0.00210308,0.00175902,0.00258248,0.0998049
0.0269589,0.0173646,0.00829412,0.0237899,0.0114443,0.162901
0.00973221,0.00636564,0.00542924,0.00759032,0.00063614,0.000581333
