"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.0129016,0.00911198,0.00427038,0.000173259,0.00242494,0.0810649
0.0093085,0.00624064,0.00467193,0.0266823,0.00856125,0.0669062
0.00723375,0.00488596,0.00239293,0.0178287,0.0052961,0.0390834
0.0345198,0.0209226,0.0149597,0.0731633,0.0213399,0.125525
0.0125001,0.00807892,0.00335541,0.0276997,0.00757944,0.0329297
0.0174552,0.0118127,0.00618824,0.0465468,0.0128647,0.0485771
0.00530863,0.00362184,0.00267677,0.0158369,0.00546859,0.023737
0.012159,0.00691921,0.00654651,0.0509695,0.0145583,0.0682557
0.00494949,0.0031711,0.00177136,0.00777535,0.00236978,0.00511969
0.0120838,0.00806065,0.00439195,0.0394473,0.00977718,0.0357161
0.0472218,0.0269499,0.0292895,0.169675,0.0473454,0.250749
0.0209162,0.0120798,0.00305084,0.0755417,0.0250414,0.0833869
0.0222481,0.0135695,0.00710294,0.0698003,0.020985,0.193245
0.0185361,0.0119635,0.00500855,0.0362394,0.0122073,0.0319423
0.00587985,0.00393991,0.00212988,0.0210646,0.00462184,0.021374
0.0153186,0.0103422,0.0093225,0.048198,0.0168905,0.0468533
0.0160739,0.010298,0.00448441,0.0389007,0.0129061,0.0473284
0.00947628,0.00616952,0.00373572,0.0232831,0.00724974,0.0271843
0.0164107,0.0111286,0.00413614,0.0349038,0.0104264,0.0440621
0.0112346,0.00750798,0.00426398,0.0289895,0.00886149,0.0129773
0.0318844,0.0138427,0.0106641,0.0889039,0.025041,0.135471
0.0171468,0.0110691,0.00611426,0.0266389,0.00813474,0.0638362
0.0186492,0.0121803,0.0121151,0.0882154,0.0233677,0.103271
0.0441776,0.0264543,0.0167484,0.102544,0.0289935,0.143622
0.012347,0.00826062,0.00447094,0.0169224,0.00502972,0.0223242
0.0567155,0.029189,0.0526612,0.317591,0.098932,0.626618
0.0235742,0.015323,0.0108525,0.0767666,0.0226787,0.110693
0.00998903,0.00670214,0.00329107,0.0239835,0.00808127,0.0656047
0.049623,0.0322742,0.016251,0.0925084,0.0244955,0.0635308
0.005686,0.00412073,0.00178914,0.0101085,0.00136085,0.014833
0.0258746,0.0166308,0.00573141,0.0490083,0.0174883,0.125643
0.0179888,0.0087972,0.00662348,0.0511027,0.0119239,0.0852904
0.015733,0.00871832,0.0054774,0.0320184,0.00289704,0.0563898
0.00542967,0.0037385,0.00179569,0.0122122,0.00302926,0.0255514
0.0124238,0.00787626,0.00402089,0.0275123,0.0101915,0.0697975
0.00764154,0.00538942,0.00364869,0.0377635,0.0125215,0.0533843
