"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.012201,0.00804387,0.00535702,0.0497875,0.0157018,0.144089
0.0313417,0.0187528,0.0125787,0.0594828,0.0204016,0.204057
0.00455288,0.00305491,0.00661798,0.058271,0.0176509,0.156801
0.0097485,0.00654883,0.00447929,0.0373299,0.0111759,0.0564561
0.0222299,0.015098,0.0101327,0.0439064,0.0140175,0.143867
0.0152318,0.00976804,0.00433665,0.0298151,0.00954067,0.0529564
0.0597339,0.030874,0.0224151,0.111095,0.0330476,0.259345
0.0133672,0.00746852,0.00485219,0.0267394,0.0099843,0.0676809
0.0191331,0.0120822,0.00645395,0.0357306,0.00879601,0.075044
0.00865225,0.00555821,0.00177541,0.0183732,0.00519856,0.0505374
0.0221788,0.0143156,0.0100801,0.079073,0.0208949,0.248292
0.00802656,0.00533545,0.00202853,0.0159702,0.00672597,0.0544329
0.0141268,0.00926654,0.00513697,0.028844,0.00872113,0.0503982
0.0221392,0.0141608,0.00775376,0.0335029,0.0114366,0.129097
0.0107626,0.00699167,0.00228001,0.0221659,0.0082046,0.0830457
0.030646,0.019589,0.00974429,0.0573807,0.0191205,0.189153
0.00908937,0.00608656,0.00313325,0.0149912,0.0040185,0.0330428
0.0171758,0.0109608,0.00553011,0.0473384,0.0139365,0.149553
0.0209646,0.00777163,0.0134012,0.047187,0.0146458,0.0502461
0.0221082,0.00964421,0.0158597,0.042674,0.0113101,0.0562588
0.031434,0.0197325,0.0100993,0.0770109,0.0198894,0.099059
0.0327817,0.0133885,0.0250305,0.142151,0.0464162,0.40699
0.0341411,0.0151099,0.0230459,0.122179,0.0334248,0.376844
0.0114566,0.00805215,0.0035156,0.0134208,0.00533561,0.0468965
0.011246,0.00758923,0.00378464,0.019745,0.00400027,0.0311058
0.0357546,0.0241231,0.0130201,0.104961,0.0331833,0.289686
0.0193634,0.0129731,0.00480449,0.0474577,0.0152223,0.122137
0.00716518,0.00477953,0.00350554,0.0174559,0.00516615,0.0357399
0.0346602,0.0213183,0.014789,0.0425545,0.0124926,0.0817959
0.0245736,0.0150765,0.0227679,0.102988,0.0313375,0.266402
0.0270256,0.0177599,0.0126981,0.0856283,0.0249644,0.203625
0.00617868,0.00415852,0.00656271,0.0223292,0.00659028,0.0360122
0.0220312,0.0137842,0.00746125,0.0516691,0.0172552,0.10759
0.0155741,0.00996409,0.00422992,0.0313671,0.0105661,0.0588033
0.0197229,0.0131863,0.010287,0.0492734,0.016315,0.175852
0.00824206,0.00581667,0.00450299,0.0374188,0.0119452,0.0587054
0.025844,0.0170375,0.00939892,0.0709842,0.0212128,0.261574
0.00693091,0.00444854,0.00268046,0.00824989,0.00324057,0.0341004
0.00743616,0.00503412,0.00158872,0.0117889,0.00224572,0.0329549
0.00774695,0.00535475,0.00407629,0.0243042,0.00756283,0.0296118
0.0151931,0.00968733,0.00386147,0.0366241,0.00722131,0.0658826
0.0164555,0.0110685,0.0082939,0.0579149,0.0171707,0.148953
0.118461,0.0534662,0.0571934,0.262108,0.0820374,0.916691
0.016854,0.0110333,0.00536606,0.0173676,0.0057907,0.0894969
0.00506594,0.00349,0.00260587,0.0141335,0.00295703,0.0221992
0.0133372,0.00909944,0.00424048,0.0204161,0.00644287,0.060363
0.0213704,0.0139499,0.00500856,0.0429836,0.00993884,0.0573121
0.00616465,0.00444353,0.00317954,0.0254175,0.00572865,0.0322308
0.0254083,0.0167047,0.0308198,0.100911,0.0287407,0.26358
0.0136919,0.00920711,0.00910436,0.0439744,0.012886,0.10287
0.0206552,0.00986943,0.00937133,0.0457964,0.0141527,0.126174
0.00698409,0.00436193,0.00318814,0.024812,0.0056403,0.028093
0.0387379,0.024352,0.0171293,0.0840873,0.0190209,0.139395
0.0151684,0.0101685,0.0181114,0.0650212,0.0188591,0.0798211
0.0190189,0.0130005,0.00668,0.0358265,0.00942435,0.0700323
0.0057413,0.00369809,0.00344243,0.0116228,0.00340448,0.0688387
0.00510423,0.00357087,0.00138124,0.0228079,0.00561791,0.0184213
0.030854,0.0194581,0.0233801,0.141767,0.0395557,0.21919
0.0161015,0.0110727,0.00933452,0.0317775,0.0108539,0.0896886
0.0186976,0.0128026,0.00906984,0.0240326,0.00672999,0.118626
0.0177449,0.0119839,0.0102201,0.051813,0.0177258,0.197479
0.0090299,0.00628673,0.0146731,0.0725615,0.0228107,0.193256
0.00640099,0.00431898,0.00181844,0.0178686,0.0043555,0.00666645
0.0129497,0.00874408,0.00715919,0.0335296,0.00993182,0.0687828
0.00857662,0.00584621,0.00346946,0.0193173,0.00643931,0.039447
0.00919128,0.00602142,0.00298923,0.0280773,0.00808273,0.0304537
0.00566229,0.00376206,0.00189003,0.0126309,0.00425655,0.0459207
0.0141619,0.00918822,0.0067792,0.0284651,0.00987037,0.0599952
0.0259682,0.0163277,0.00769906,0.0504655,0.0153179,0.0793713
0.0151362,0.00964929,0.0170631,0.096676,0.0378647,0.173283
0.0210286,0.0133629,0.0159497,0.0855183,0.0258339,0.127146
0.0303163,0.0191162,0.0183509,0.0142606,0.00484006,0.160111
0.0358878,0.0228424,0.0106216,0.0497042,0.015439,0.158
0.00571537,0.00384281,0.00400819,0.0176005,0.00536088,0.0200457
0.0261275,0.016506,0.00895546,0.0487313,0.0153295,0.141104
0.0104038,0.00671909,0.00477398,0.0322248,0.0104058,0.0719399
0.0218244,0.0145337,0.00702541,0.0421625,0.0148029,0.133994
0.00792007,0.00541654,0.0030566,0.0233282,0.00645885,0.0504759
0.00752688,0.00500957,0.00314188,0.0266354,0.00806994,0.0321381
0.0112735,0.00772122,0.006955,0.0336847,0.012496,0.130213
0.00899809,0.00614069,0.0026819,0.0544298,0.0160647,0.0921707
0.0133866,0.00840894,0.00648941,0.0191365,0.00716586,0.0720074
0.0206839,0.0134755,0.00972687,0.0494705,0.0141047,0.0637739
0.0107424,0.00720733,0.00309651,0.03768,0.010519,0.107033
0.00782367,0.00554608,0.00185025,0.022497,0.00564575,0.0683735
0.0478122,0.0271574,0.0206511,0.123173,0.0413498,0.408693
0.0102806,0.00727866,0.00284118,0.0338692,0.0138812,0.124354
0.00994895,0.00642124,0.00350923,0.0200166,0.00710116,0.038434
0.0177214,0.0104758,0.0332685,0.19577,0.0557435,0.428087
0.0183396,0.0120499,0.0127723,0.0628221,0.0214039,0.262166
0.0137415,0.0086776,0.00475288,0.0290505,0.00737274,0.0614347
0.0437276,0.0269793,0.0161503,0.0591477,0.0185853,0.256611
0.0292022,0.018492,0.0180122,0.0908032,0.0237871,0.203217
0.0109996,0.00734726,0.00309427,0.0267551,0.00712057,0.148103
0.0121949,0.0080604,0.00398045,0.0242063,0.0062634,0.0591356
0.0219193,0.014407,0.00606252,0.0470456,0.0132567,0.144608
0.0451433,0.0264267,0.0215472,0.126433,0.036152,0.321717
0.0094694,0.00665068,0.00364583,0.00405825,0.00188252,0.001189
0.026505,0.017096,0.0121605,0.0575801,0.0166908,0.19295
0.0120133,0.00819174,0.00610578,0.0440677,0.013763,0.11152
0.0506531,0.0281315,0.0229621,0.113788,0.033337,0.317334
0.00484332,0.00338468,0.00178504,0.00840146,0.00400649,0.0319576
0.01234,0.00814185,0.00280963,0.0234112,0.0085165,0.0564011
0.00524335,0.00355687,0.00131829,0.0157166,0.00401856,0.0257235
0.0184809,0.0122611,0.00829097,0.0391196,0.010577,0.0920427
0.014907,0.0101425,0.0129435,0.0729362,0.0216612,0.134304
0.0208614,0.0137309,0.00764303,0.0575283,0.0154215,0.0916809
0.0117649,0.00756893,0.00386747,0.0181167,0.00395848,0.0414492
0.0477266,0.0227713,0.022557,0.223969,0.0610085,0.312685
0.00770614,0.00522106,0.00272038,0.0161823,0.00545493,0.0492744
0.0139464,0.00902524,0.00681725,0.0302473,0.00762208,0.0572798
0.00578804,0.00415449,0.00297788,0.0198797,0.00684181,0.0408571
0.031682,0.0204885,0.0127587,0.0580337,0.0171119,0.142893
0.0204859,0.0133216,0.0157115,0.0634535,0.019887,0.0902552
0.036098,0.0185468,0.0241191,0.095428,0.0300557,0.285917
0.023537,0.0150691,0.00659687,0.0431926,0.0114695,0.034384
0.0254441,0.015795,0.024581,0.173987,0.0497039,0.441277
0.00804987,0.00555343,0.00387241,0.0271318,0.00690157,0.072114
0.0119678,0.00782559,0.00648252,0.0265897,0.00840142,0.0803394
0.0121271,0.00824296,0.0107559,0.0214894,0.00486483,0.0438586
0.0420428,0.0257499,0.0419273,0.289628,0.0840392,0.622609
0.0219754,0.0140112,0.0135627,0.0821896,0.0205789,0.112519
0.0185104,0.00970729,0.00985572,0.0400692,0.0138677,0.104308
0.0159484,0.00946928,0.00914039,0.028896,0.00807809,0.0943491
0.00892936,0.00616358,0.00304226,0.0242337,0.0054033,0.0242711
0.0211362,0.0133817,0.00644398,0.0396538,0.0123181,0.172331
0.0107354,0.00710888,0.0030022,0.0256895,0.00773708,0.0536162
0.00665958,0.00483382,0.00143929,0.0114587,0.00343836,0.0309628
0.0128737,0.00868436,0.00441106,0.0172052,0.00704627,0.0697886
0.0122691,0.00778493,0.00411631,0.0273549,0.0059832,0.0605976
0.0237807,0.0156065,0.00724332,0.0474422,0.0117712,0.072772
0.0173524,0.0111194,0.00699713,0.0440165,0.0135051,0.173764
0.0157501,0.00674149,0.005053,0.0372361,0.0103262,0.0722798
0.0151039,0.0068652,0.00522948,0.0319621,0.00637996,0.0647231
0.0454802,0.0277948,0.0187814,0.0923468,0.0273219,0.263557
0.0135114,0.00893932,0.00275524,0.0385578,0.00978475,0.0399627
0.0200687,0.0107936,0.00662708,0.0606076,0.0185143,0.129259
0.0391071,0.0225887,0.0179994,0.113639,0.0369521,0.286077
0.0251874,0.0165836,0.0123093,0.0836633,0.0213581,0.163471
0.0208009,0.0139363,0.00963575,0.0119834,0.00344997,0.0780426
0.00770766,0.00531683,0.00326849,0.0104934,0.00221518,0.0289393
