"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.0150463,0.0102411,0.00760896,0.0681267,0.0169204,0.0127417
0.0328501,0.021591,0.0100194,0.0651446,0.0167014,0.014479
0.021975,0.0142549,0.00554563,0.041912,0.0106304,0.010203
0.0133587,0.00917334,0.0044221,0.0197807,0.00647318,0.00436864
0.00691676,0.00469147,0.0024046,0.0190013,0.00562052,0.00477434
0.0275281,0.0184961,0.00802553,0.0626671,0.013138,0.0159944
0.00583051,0.00398805,0.00234791,0.0207977,0.00461428,0.00544749
0.0112653,0.00765163,0.00423738,0.0159472,0.0030029,0.0149587
0.00676534,0.00497164,0.00342278,0.0139146,0.00408911,0.0046773
0.00880238,0.00543613,0.0101612,0.0932648,0.0229701,0.0408401
0.0168886,0.0109282,0.0109451,0.0570749,0.0160826,0.0924942
0.00796937,0.00564063,0.00324386,0.0214259,0.00532052,0.00252841
0.0329216,0.0212599,0.010177,0.0671842,0.0170884,0.0169944
0.00894929,0.00650085,0.00450097,0.0251155,0.0082577,0.0084541
0.010398,0.00735788,0.00324512,0.0302576,0.0089921,0.00689059
0.0320115,0.0198331,0.0072064,0.0510254,0.0140804,0.00962421
0.00762383,0.00547621,0.00183929,0.0290687,0.00757498,0.00515613
0.00950488,0.00638314,0.00396448,0.0194274,0.00507363,0.00528887
0.0179334,0.011922,0.00633088,0.0863448,0.0243001,0.0116938
0.0130933,0.00851506,0.00211928,0.0152991,0.003796,0.0381651
0.0108091,0.0071593,0.00263578,0.0547233,0.0127056,0.0128535
0.00515082,0.00359232,0.00151031,0.0206348,0.0046248,0.00501101
0.0158111,0.0105323,0.00508764,0.028204,0.00610955,0.00948924
0.0252685,0.0166581,0.00902747,0.0369048,0.00811938,0.0110623
0.0420511,0.0248927,0.0353046,0.136879,0.0360059,0.0551713
0.0193334,0.0127095,0.00513472,0.0297183,0.0084185,0.0120227
0.0411821,0.0252107,0.0145343,0.0640738,0.0169573,0.0410583
0.0266104,0.017719,0.0116339,0.0528819,0.0129567,0.0229452
0.0197402,0.0131701,0.00391185,0.0322332,0.00749499,0.00991171
0.0206346,0.0133981,0.00780859,0.0298593,0.0081752,0.00670347
0.0137856,0.00930656,0.00385122,0.0393154,0.00963455,0.00830772
0.00981752,0.00669148,0.00542245,0.0292413,0.00837989,0.0164016
0.0282795,0.0176295,0.00703589,0.0560537,0.0158915,0.0258788
0.0182478,0.0123445,0.00426209,0.0478855,0.0112704,0.0159126
0.0276011,0.0181607,0.00673035,0.0710717,0.0156061,0.0139224
0.0228975,0.0148804,0.0091963,0.0506462,0.0153498,0.0222996
0.0186735,0.0126429,0.00519889,0.0360215,0.010649,0.0168415
0.0383722,0.0245901,0.0123352,0.0381949,0.0100218,0.018979
0.0194822,0.0128466,0.00521683,0.0481688,0.0123811,0.012637
0.00949846,0.00636183,0.0038225,0.0230923,0.00577095,0.00877028
0.0475709,0.027296,0.0258196,0.211455,0.0547689,0.0687375
0.00673287,0.00447668,0.00248534,0.0186953,0.00661784,0.0354576
0.0114973,0.00781195,0.00420859,0.0676498,0.0159432,0.0157252
0.0186555,0.0125286,0.00539823,0.0385462,0.0111252,0.00460491
0.0242395,0.0158191,0.00817136,0.0442598,0.0134951,0.0114839
0.0233672,0.0154471,0.0149604,0.083941,0.0198121,0.0297208
0.0285766,0.0183139,0.00543393,0.039816,0.0116723,0.0132097
