"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.0107446,0.00732814,0.00277201,0.00930647,0.00270965,0.00333772
0.0229628,0.0154473,0.00679153,0.0589766,0.0173177,0.0271856
0.0271159,0.0171545,0.00712759,0.0369266,0.00950388,0.0215607
0.0115084,0.00775147,0.00370979,0.0460183,0.00957633,0.00880499
0.0311385,0.0197951,0.0083702,0.0252272,0.0068245,0.0126083
0.0107438,0.00681166,0.00270871,0.0445998,0.0116331,0.0135311
0.0152138,0.0106336,0.00769228,0.0103166,0.00237369,0.00530526
0.00553198,0.00366991,0.0034333,0.0324838,0.00916891,0.0107816
0.0106058,0.0071016,0.00308293,0.0100314,0.00492585,0.00947232
0.0141029,0.00952108,0.00934612,0.0797084,0.0196025,0.0170023
0.0254013,0.0166489,0.00780821,0.0363844,0.00827722,0.010999
0.00648224,0.00444053,0.00241483,0.0118006,0.00242551,0.00308436
0.0160093,0.0106388,0.00513702,0.0137143,0.00380276,0.00800999
0.0234326,0.0154608,0.00736512,0.0571493,0.0155374,0.0126569
0.0100593,0.00418373,0.00458069,0.0412403,0.0112011,0.0044874
0.0130807,0.00627262,0.00510539,0.0355661,0.00826644,0.00472055
0.0344159,0.0226032,0.0135203,0.0590212,0.0154522,0.0328754
0.00630313,0.00427013,0.00501916,0.0140672,0.00374137,0.0034374
0.0218228,0.0145719,0.00929759,0.0331552,0.0116469,0.0105466
0.0132868,0.00869262,0.0126174,0.0758785,0.0221978,0.0473051
0.0454393,0.0248524,0.0170295,0.139572,0.0392267,0.0314135
0.0116984,0.00767296,0.00378918,0.0250594,0.00794668,0.0140185
0.0134196,0.00927321,0.0043657,0.0154512,0.00397776,0.00154737
0.00739187,0.00500041,0.00159932,0.0115223,0.00343408,0.00696867
0.0135387,0.00895777,0.0039464,0.0317343,0.00824562,0.00258474
0.0166913,0.0108393,0.00508564,0.0484379,0.0147492,0.00480489
0.0317988,0.0200329,0.0162507,0.193235,0.0549489,0.0188291
0.0266573,0.0173295,0.00889792,0.0157513,0.00461622,0.00477867
0.0202706,0.0123441,0.0068706,0.0348993,0.0101295,0.0104283
0.0214111,0.012359,0.0128412,0.0334,0.0100367,0.0160772
0.00715964,0.00485449,0.00278844,0.00976267,0.00135456,0.0105327
0.0186111,0.0123823,0.00633842,0.0113917,0.00190538,0.0153535
0.0285635,0.0184285,0.00774795,0.0406664,0.00888929,0.0112658
0.017368,0.0114176,0.00878052,0.0256842,0.00679049,0.00752152
0.066424,0.0317558,0.0315503,0.171364,0.0478897,0.107706
0.0135295,0.00896197,0.00395591,0.0393426,0.00968443,0.006459
0.0091426,0.00635231,0.00351703,0.0519097,0.014815,0.00496993
0.00503524,0.00327354,0.00236393,0.013912,0.003444,0.00112301
0.00604087,0.00425129,0.00236058,0.0313883,0.00916989,0.0106879
0.0206355,0.0138386,0.00448157,0.0302002,0.00801933,0.0173593
0.0084042,0.00580839,0.00168294,0.0239823,0.00754277,0.0115127
0.0515533,0.0315053,0.0135818,0.137475,0.0365159,0.0177467
0.0343973,0.0217902,0.0239871,0.252266,0.0665066,0.0532851
0.0272047,0.0178482,0.00925032,0.058346,0.0170582,0.0175656
0.0158434,0.0102353,0.00687111,0.0365229,0.0118473,0.093106
0.00969319,0.0066782,0.00169322,0.0265688,0.00689458,0.011867
0.0235357,0.0156638,0.0150243,0.116423,0.0332551,0.023213
0.0117911,0.00781335,0.0104104,0.0542673,0.0122949,0.00297589
0.0073189,0.0050173,0.00331841,0.00288268,0.0008325,0.00110883
0.0214848,0.0139188,0.0170809,0.116128,0.0279384,0.0216481
0.0250059,0.0163798,0.00790654,0.0333854,0.0124373,0.0192464
0.0369957,0.0226534,0.0210031,0.105103,0.0274698,0.0183207
0.015941,0.0103633,0.0070077,0.0904415,0.0288277,0.0185912
0.0103061,0.0044917,0.00272232,0.0224433,0.00504155,0.0110495
0.0303324,0.0192226,0.0137007,0.0977488,0.0281745,0.0144232
0.0124907,0.00832275,0.00652972,0.00423698,0.000512776,0.00789684
0.070134,0.0407735,0.0520761,0.155149,0.0445328,0.0632174
0.0219259,0.0143977,0.00551716,0.0204396,0.00378854,0.0068082
0.0139492,0.00921428,0.00603803,0.0491061,0.0174859,0.0298782
0.00542801,0.00350446,0.0037963,0.012921,0.00334099,0.00311895
0.0237929,0.0153063,0.00639932,0.043965,0.0114691,0.00356028
0.013216,0.00882142,0.00460616,0.01977,0.00623324,0.00997082
0.00911308,0.00579195,0.00464162,0.021671,0.00689127,0.0167126
0.0108818,0.00784263,0.00591889,0.0257314,0.00664769,0.0179236
0.0109706,0.00722824,0.00388335,0.0130848,0.00351225,0.00417204
0.0187893,0.012935,0.00890704,0.0368011,0.00910813,0.0062056
0.038011,0.0223844,0.0218473,0.0691683,0.0182366,0.00919803
0.00876944,0.00584935,0.00256381,0.0122732,0.00421231,0.0242864
0.0678826,0.0390197,0.0283626,0.151136,0.0426723,0.073503
0.0163351,0.0111431,0.00574633,0.0331899,0.00893259,0.0179578
0.00674344,0.00501123,0.0161293,0.0790993,0.0198858,0.0105803
0.0197715,0.012866,0.0144006,0.0957228,0.0258095,0.0233995
0.0467796,0.0145387,0.0257264,0.0744332,0.0192416,0.0252734
0.00669179,0.00473915,0.00323192,0.0354337,0.011381,0.00787017
0.0309703,0.0205226,0.0159467,0.0568063,0.0167092,0.00744822
0.00637985,0.00426753,0.00266252,0.002513,0.000342146,0.00245233
0.0318555,0.0183974,0.0213651,0.0419355,0.00875352,0.0358549
0.00876077,0.00564641,0.00364211,0.00802444,0.00238734,0.00218126
0.010286,0.00713994,0.00378113,0.0180645,0.00390784,0.00242384
0.0102525,0.00700386,0.00347734,0.00401561,0.000853812,0.00641209
0.0081935,0.00563832,0.00476446,0.0279403,0.0072427,0.0131138
0.018569,0.0125658,0.00661583,0.0292515,0.00878107,0.031328
0.0108687,0.00777914,0.00295776,0.0425631,0.0116478,0.00399835
0.0112489,0.00714937,0.00200667,0.0194879,0.00286059,0.00258407
0.0074108,0.004901,0.00280486,0.00880178,0.00365633,0.00878061
0.00945923,0.00659866,0.00316884,0.00653126,0.00175688,0.0122422
0.00834716,0.00571231,0.00367727,0.00148395,0.000345557,0.00764109
0.0464779,0.0283337,0.0309689,0.133116,0.0360314,0.0451761
0.0139651,0.00955091,0.00513705,0.0172596,0.0050263,0.0268455
0.0118591,0.00800718,0.0194765,0.124314,0.03203,0.0447499
0.00730906,0.0047547,0.00189468,0.0115392,0.00254378,0.00214535
0.0257861,0.0168457,0.00954931,0.0155967,0.00516391,0.0195373
0.00661465,0.00458847,0.00596622,0.0671225,0.0177638,0.0268478
0.01927,0.012776,0.0229119,0.114654,0.0319703,0.0430733
0.0178464,0.00895281,0.0067173,0.0569144,0.0178354,0.0168558
0.0224014,0.0110546,0.00782907,0.0647834,0.0181977,0.0152725
0.0207686,0.0135233,0.00643894,0.0285294,0.00828204,0.00335864
0.0107022,0.00720212,0.00361049,0.0284571,0.00612367,0.0186809
0.00757213,0.00523435,0.00265202,0.0103817,0.00274644,0.00310662
0.00819373,0.00560754,0.00293003,0.000151008,0.00103784,0.00304071
0.0104045,0.00709692,0.00171116,0.0176876,0.00478642,0.0159601
0.0388819,0.0242015,0.0133226,0.0189006,0.00533431,0.018437
0.0219763,0.012331,0.027536,0.156936,0.0414326,0.0368718
0.0191143,0.012585,0.00525155,0.0171814,0.00367962,0.00518395
0.0136405,0.00889898,0.0038508,0.0580136,0.0174901,0.00444003
