"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.0559049,0.0344277,0.0206159,0.0381189,0.0768789,3.89376
0.0279456,0.0189263,0.00897912,0.00937027,0.0238495,1.36074
0.0133469,0.00622925,0.0111167,0.0342624,0.0376349,1.36632
0.0271075,0.0162354,0.0120455,0.0154984,0.0218602,1.19265
0.0327756,0.0208022,0.0098286,0.0117479,0.030075,1.63867
0.0427499,0.0262819,0.0153696,0.0264763,0.0500379,2.67428
0.0209545,0.00904673,0.0281027,0.0488913,0.053165,2.46058
0.0656407,0.0396807,0.0214416,0.025748,0.0686313,3.85874
0.0711435,0.0412203,0.0189823,0.0288936,0.0493835,3.14621
0.0480391,0.0295711,0.0154728,0.0146805,0.0408912,2.943
0.0534539,0.0257432,0.0606321,0.163403,0.124626,4.74594
0.0225246,0.0146944,0.0315541,0.0369469,0.0366367,1.79489
0.0205632,0.0135685,0.00627371,0.0244867,0.0103486,0.0435331
0.027579,0.0180243,0.0121835,0.0147821,0.0366357,2.58986
0.00647054,0.00454995,0.00328672,0.00228465,0.000873138,0.000858188
0.0632166,0.03383,0.0504372,0.108836,0.129918,5.00973
0.0110029,0.00758851,0.00243941,0.0106175,0.00535302,0.0187844
0.0233964,0.0143409,0.0127758,0.0299221,0.0385597,1.87227
0.0230024,0.0150602,0.0074603,0.00984853,0.0305712,1.62627
0.0653744,0.0360058,0.0346292,0.0458,0.0741189,4.31076
0.0532531,0.0316579,0.0134621,0.0173834,0.0443415,2.92819
0.0345251,0.0220467,0.0193597,0.0726026,0.049652,1.58037
0.0237285,0.0160176,0.00806888,0.0190924,0.0362537,2.45928
0.0124105,0.00817424,0.00686813,0.0111575,0.0028979,0.00693042
0.0310323,0.0198525,0.0148987,0.028765,0.0384267,2.52961
0.0508706,0.0314082,0.0195266,0.0205966,0.0436362,3.09783
0.0803476,0.0420666,0.0215266,0.0353786,0.045939,3.36609
0.0515,0.0334733,0.0160326,0.0231007,0.0379732,2.5778
0.0766261,0.0441129,0.0225198,0.0295843,0.0429013,2.4305
0.0382184,0.0246881,0.0134632,0.0147909,0.0413873,2.913
0.0232735,0.0157798,0.00374641,0.020873,0.0213313,1.04975
0.0417095,0.0263288,0.00989147,0.02011,0.0418523,2.83888
0.0327814,0.0211446,0.010629,0.0125758,0.0239082,1.37532
0.0384075,0.0253641,0.0185246,0.0130831,0.0361087,2.46576
0.0333171,0.0219902,0.0087093,0.00962815,0.0240636,1.33161
0.0225301,0.0147298,0.00654384,0.0232047,0.0074278,0.0320202
0.0222324,0.0149278,0.0128179,0.0130895,0.0249003,1.38942
0.00922455,0.00589806,0.00375798,0.0127934,0.00608198,0.0192204
0.0481413,0.024515,0.0473421,0.0899161,0.0835023,3.89495
0.048731,0.0297077,0.013861,0.0233631,0.0378202,1.82989
0.0191348,0.01298,0.00413504,0.0284778,0.0110448,0.0533642
0.0578158,0.035198,0.0300387,0.0530718,0.0545132,3.10367
0.012507,0.00772162,0.0054783,0.0134609,0.0057107,0.0210867
0.00456383,0.00332184,0.00163664,0.00580845,0.00291606,0.00787945
0.0221202,0.0142331,0.0041259,0.0219374,0.0104567,0.0404264
0.0160594,0.0110575,0.00703352,0.0077079,0.0234472,1.27491
0.00989894,0.00698152,0.012515,0.0185743,0.0195534,0.916314
0.036473,0.0238198,0.0197542,0.0594326,0.0849946,3.73747
0.0542413,0.031888,0.0199255,0.0645937,0.035599,0.824333
0.0124663,0.0085324,0.00416985,0.0137501,0.00535366,0.0278606
0.0252096,0.0134349,0.0356303,0.0825393,0.117822,4.73074
0.0365918,0.0239504,0.0275802,0.0386382,0.0286307,0.980498
0.0102325,0.00720478,0.00726507,0.017093,0.0429891,2.81079
0.0209617,0.0138453,0.0143108,0.02386,0.0625816,3.45715
0.0250672,0.0163387,0.015638,0.0149902,0.0213309,1.04211
0.0467094,0.024848,0.0360765,0.0583428,0.0820531,3.80302
0.038153,0.0228444,0.0256606,0.0322892,0.038961,1.67293
0.0382721,0.0252467,0.0138243,0.0122859,0.0295243,1.56382
0.0267924,0.017042,0.0351058,0.048115,0.0874893,4.0858
0.0146395,0.0102641,0.00416805,0.00476601,0.000817396,0.000352287
0.0174196,0.0118121,0.0129263,0.0141991,0.0401951,2.66859
