"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.0168952,0.0100648,0.0299413,0.196269,0.0696406,0.180151
0.00536534,0.00389838,0.00113701,0.0344767,0.0121226,0.032059
0.0117554,0.00809822,0.00225795,0.0358204,0.0136068,0.0181228
0.00897074,0.00582481,0.00355709,0.038759,0.0126008,0.0628691
0.0106265,0.00645263,0.00400391,0.013817,0.00454352,0.0111465
0.0346805,0.0212438,0.0329773,0.142177,0.0502433,0.17284
0.0217452,0.0144944,0.021004,0.12922,0.0462347,0.0725675
0.0362645,0.0212987,0.0147038,0.137485,0.0487448,0.0938334
0.0121447,0.00779812,0.00385345,0.0453409,0.0141677,0.0160798
0.0128598,0.00836136,0.00466503,0.047589,0.0142941,0.0106469
0.0235525,0.0151714,0.00776782,0.0527993,0.0184023,0.0238192
0.0176616,0.0102467,0.0114163,0.119617,0.0438823,0.130589
0.009016,0.00594248,0.00453897,0.0262449,0.00997346,0.0543685
0.00780379,0.00488346,0.00473165,0.0442626,0.0128186,0.00795175
0.039719,0.0239288,0.0147012,0.108157,0.0340477,0.0679414
0.00517379,0.00357151,0.00367145,0.0501843,0.016715,0.0286489
0.022282,0.0116524,0.00895284,0.0700965,0.0248521,0.0770325
0.0190244,0.0116663,0.00657161,0.0437669,0.0177204,0.0751045
0.0250188,0.01607,0.00720235,0.0570045,0.0223577,0.0407495
0.0228889,0.0147747,0.0274093,0.126234,0.0428867,0.0543899
0.0191634,0.0068788,0.00773705,0.0580737,0.0211705,0.0634998
0.0192927,0.00695281,0.0077334,0.0570582,0.0170041,0.0599694
0.0053827,0.00377729,0.00110496,0.0202386,0.00689088,0.0212073
0.031423,0.0194772,0.013261,0.114481,0.0368432,0.0447127
0.0215768,0.0137668,0.0072829,0.0102105,0.00411827,0.0308423
0.00754735,0.00524751,0.00294429,0.0264579,0.0110239,0.0282069
0.0241316,0.0154897,0.00695627,0.0505795,0.0184989,0.0321562
0.010705,0.00520372,0.00352478,0.0301191,0.00904014,0.0143808
0.00818564,0.00363442,0.00311207,0.0179466,0.00528752,0.0105726
0.0112275,0.00757263,0.00429758,0.034847,0.0102856,0.0120585
0.00729695,0.00494685,0.00363615,0.0173926,0.00631029,0.0203285
0.0154261,0.0100251,0.00629584,0.0278955,0.00984489,0.0204189
0.0138656,0.00863722,0.0050469,0.0557068,0.0232315,0.0418971
0.0355155,0.0138011,0.0326191,0.17584,0.0609336,0.285089
0.0166188,0.0109931,0.00710827,0.0553402,0.0196971,0.037506
0.0123154,0.00776176,0.00193606,0.0340414,0.0136393,0.0234489
0.0201775,0.0127,0.00516781,0.0343786,0.0143731,0.0231396
0.00706265,0.0049132,0.00276213,0.0197075,0.0072245,0.0267804
0.0178561,0.0114812,0.00513538,0.0434074,0.0173123,0.0351978
0.0415165,0.0244536,0.0219607,0.216872,0.0721232,0.12276
0.00902822,0.0058222,0.00308259,0.0190651,0.00567213,0.00630226
0.013738,0.00781162,0.00455406,0.0507388,0.020189,0.0176979
0.00806575,0.00384674,0.00404497,0.0193658,0.00805481,0.0158807
0.0155946,0.0102757,0.00424438,0.037704,0.0131735,0.0341609
0.0254027,0.0159396,0.00720641,0.0650326,0.02052,0.0756781
0.00759845,0.00484109,0.00270253,0.0308392,0.0113916,0.0148697
0.0261036,0.0173545,0.0140491,0.0924508,0.0366478,0.0911645
0.0194759,0.0123193,0.00370702,0.0558087,0.0173593,0.0478929
0.0159517,0.0105679,0.00582451,0.0736931,0.0252823,0.0297799
0.0147568,0.00956231,0.00285465,0.0446046,0.0133405,0.0197387
0.0058398,0.00406407,0.00110126,0.0268604,0.00998433,0.0175469
0.0158124,0.0096913,0.00340715,0.0596589,0.0218961,0.0209542
0.00781599,0.00501555,0.00248859,0.0218997,0.00732816,0.0201362
0.0178528,0.0121787,0.0132814,0.045957,0.0166696,0.10801
0.0333255,0.0212441,0.0104482,0.0524407,0.0205838,0.0228094
0.0256953,0.0165165,0.0105277,0.0659711,0.0282916,0.0828689
0.00904522,0.00616,0.00300964,0.0194027,0.00780467,0.0623726
0.0255137,0.0122068,0.011876,0.0869337,0.0299506,0.0623406
0.0115132,0.00774839,0.00583556,0.0775821,0.0248381,0.0212346
0.0065584,0.00446553,0.00533654,0.0441385,0.0151097,0.0326692
