"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.00869534,0.00570079,0.00281803,0.0178137,0.00390535,0.0189429
0.016986,0.0115125,0.00505466,0.0620348,0.0165107,0.0536052
0.0170206,0.0111958,0.00945699,0.0559139,0.0150448,0.0747875
0.0216137,0.0136526,0.0120286,0.0524237,0.0152903,0.138516
0.0171071,0.0109235,0.00569822,0.0329471,0.00768547,0.0388483
0.0163183,0.0109136,0.00558233,0.02465,0.00745223,0.0435054
0.00991717,0.00614779,0.00504031,0.0236418,0.00833034,0.0454545
0.0139347,0.00907641,0.00480247,0.0289081,0.00866242,0.0452636
0.00860955,0.0057687,0.00386774,0.0281032,0.00671855,0.0383263
0.00730857,0.00501969,0.00242739,0.0212621,0.0064909,0.0254377
0.00544771,0.00362054,0.00210582,0.0137501,0.00395828,0.00909002
0.013054,0.00882767,0.00446752,0.0290218,0.0081568,0.0277459
0.00899098,0.00586618,0.0043102,0.0203513,0.00425469,0.0116897
0.013498,0.00880497,0.00564672,0.0230776,0.00618521,0.0162728
0.0168887,0.0115845,0.00600798,0.025007,0.00579477,0.0152952
0.00757228,0.0052042,0.00141236,0.0188169,0.00428062,0.0301246
0.0140285,0.00925679,0.00413442,0.0191894,0.00625455,0.0528444
0.013895,0.00884345,0.00966712,0.0376421,0.0108352,0.0389083
0.0287184,0.0185267,0.00715946,0.0351629,0.0121037,0.116773
0.0146855,0.00981557,0.00574782,0.0269723,0.00794654,0.0394349
0.0104881,0.00698561,0.00336901,0.0189362,0.00712241,0.0251609
0.0155931,0.00989776,0.00639653,0.0224178,0.00676553,0.0551355
0.0149016,0.00937726,0.00555879,0.0260984,0.00702466,0.0327104
0.00757035,0.0051492,0.0034097,0.0305971,0.00817594,0.037387
0.00898739,0.0061679,0.00374415,0.0149906,0.0036107,0.0280355
0.0131951,0.00884858,0.00443128,0.0280668,0.00863299,0.0418739
0.0117852,0.00819604,0.00398228,0.0202245,0.00693749,0.0228854
0.0150229,0.0100865,0.00446845,0.0270123,0.00823812,0.0577563
0.00471837,0.00317666,0.00259734,0.0107622,0.00372904,0.0172026
0.0143802,0.00919007,0.00476227,0.0229737,0.00644093,0.0285453
0.0171125,0.0113861,0.00638852,0.0263463,0.00725382,0.0285512
0.0076623,0.00547802,0.00307165,0.012888,0.00314895,0.0087573
0.00406077,0.00300672,0.00165827,0.0102531,0.00293582,0.00434409
0.0110409,0.00734664,0.00462367,0.0138323,0.00498433,0.0266317
0.0104528,0.00685797,0.00344798,0.00485258,0.00227627,0.206498
0.0151071,0.00973014,0.00454544,0.0172541,0.00353258,0.0311705
0.00557565,0.00374307,0.00207229,0.0103028,0.00377861,0.024736
0.00963986,0.00642382,0.00400606,0.0174109,0.00608678,0.0162781
0.0180384,0.0113133,0.00760893,0.0260597,0.00703339,0.0277466
0.0239193,0.0156493,0.00970018,0.0357546,0.00909884,0.0619046
0.0240161,0.0156641,0.00924502,0.0397754,0.0119185,0.0810032
0.0140704,0.0092612,0.00677025,0.0269216,0.00742953,0.0364736
0.0132023,0.00868377,0.00438097,0.0319428,0.00763696,0.0542716
0.0309042,0.0199955,0.00673938,0.0461375,0.0140349,0.055316
0.0546135,0.0321445,0.0160569,0.0807777,0.0245778,0.184624
0.020052,0.0133555,0.00723499,0.0324293,0.0109108,0.065711
0.0167778,0.0115714,0.0041406,0.0203008,0.00635081,0.0230182
0.0148791,0.00972535,0.00464354,0.0399648,0.00967772,0.0401893
0.0240516,0.0152676,0.0108646,0.0588354,0.0165022,0.128536
