"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.00950318,0.00695201,0.00379029,0.027431,0.00692284,0.00549208
0.0161818,0.0111921,0.00479015,0.0405825,0.00918476,0.0139596
0.0366053,0.023296,0.025721,0.172892,0.0455779,0.0592827
0.00875627,0.00588585,0.00342126,-0.00198312,-0.000292973,0.00321119
0.0330458,0.0203992,0.0102307,0.0940036,0.0262645,0.0160056
0.0135839,0.00970813,0.00847053,0.0393874,0.00887843,0.0124992
0.0151395,0.0102524,0.0058553,0.053161,0.0139602,0.0212991
0.0118221,0.00829821,0.00354425,0.0226616,0.00610615,0.00579951
0.0165271,0.0116128,0.0056121,0.0255167,0.00738043,0.0221919
0.00639708,0.0044246,0.00202705,0.0252281,0.00551762,0.00202057
0.0405171,0.0277752,0.0229952,0.182069,0.049504,0.0663045
0.0552009,0.0295949,0.0303612,0.212978,0.0547433,0.0793469
0.0351098,0.0150672,0.0122599,0.0880066,0.0217704,0.0269831
0.0103488,0.00689762,0.0208312,0.0896909,0.0249442,0.0319543
0.0300178,0.0200531,0.0163669,0.102045,0.0259705,0.0284925
0.0616937,0.034852,0.0488817,0.213501,0.0571018,0.0849636
0.0108579,0.00728841,0.00399144,0.01539,0.00478222,0.00525846
0.0530536,0.0329066,0.0207052,0.0980505,0.0277567,0.0631271
0.0103562,0.00715891,0.003635,0.0403795,0.0114012,0.0219001
0.025098,0.0165142,0.0177939,0.0832986,0.0230019,0.0223519
0.00462945,0.00318617,0.00196781,0.0105338,0.00276116,0.00446327
0.0205866,0.0129343,0.0191718,0.103957,0.0277042,0.040129
0.00780621,0.00524213,0.00267059,0.0175588,0.00541416,0.00605972
0.00980441,0.00669034,0.00278059,0.0331741,0.0101452,0.0270441
0.0243148,0.0164828,0.00759031,0.0737585,0.0211288,0.0176066
0.0118082,0.00808564,0.00449562,0.0199299,0.00461536,0.00569833
0.00547269,0.00392358,0.00286704,0.0176199,0.00387477,0.00625635
0.0219003,0.0141454,0.0148345,0.0790469,0.0210728,0.0522511
0.00643413,0.0044584,0.00230423,0.0222466,0.00473704,0.00897535
0.0239455,0.0159345,0.0122902,0.0511705,0.0131081,0.0302018
0.0149678,0.0102874,0.00461557,0.0274058,0.00693696,0.00791884
0.0305462,0.0197908,0.0126156,0.0724163,0.0188559,0.0170077
0.0111847,0.00778272,0.00267343,0.0359071,0.0106865,0.0127546
0.0221111,0.0148082,0.0191075,0.134528,0.0371109,0.0366521
0.011207,0.00745306,0.00416288,0.0338054,0.00896246,0.013873
0.00564539,0.00394706,0.00301556,0.0150668,0.00447983,0.00318455
0.0225152,0.0123948,0.00607573,0.0426695,0.0115627,0.0116011
0.00651217,0.00451647,0.00249762,0.0175987,0.00465341,0.00460507
0.0557172,0.0271062,0.018554,0.104606,0.0254068,0.0455251
0.0268039,0.017221,0.00778425,0.0537161,0.0138052,0.027495
0.0231189,0.0154047,0.0198112,0.118718,0.0319966,0.0382736
0.0199147,0.0131217,0.00753519,0.0427939,0.0110971,0.0220838
0.0180851,0.0119797,0.0140107,0.120005,0.0310396,0.0689736
0.0125741,0.00821572,0.00394412,0.0231016,0.00593381,0.0104386
0.0243339,0.0158328,0.00924388,0.0437354,0.0105501,0.0177287
0.0081096,0.00555825,0.00367479,0.0164544,0.00380853,0.00571314
0.00830621,0.00577307,0.00276799,0.044554,0.0130137,0.0129961
0.0161051,0.0111139,0.00553717,0.0396636,0.0115651,0.0179997
0.00980004,0.00686004,0.00252168,0.0299997,0.00804627,0.010153
0.00959166,0.00680047,0.00452751,0.0200205,0.00546224,0.0106818
0.0110478,0.00789403,0.00341753,0.0383473,0.0113204,0.0156086
0.0122772,0.00836379,0.00903341,0.0305569,0.00898858,0.0120961
0.0109222,0.00783842,0.00368247,0.02792,0.00669796,0.00986248
0.0443362,0.0260184,0.0213741,0.0987311,0.0262371,0.0258208
0.0236708,0.0155831,0.0066735,0.0537421,0.0148538,0.0159945
0.00894874,0.0067051,0.00359313,0.0235025,0.00625541,0.00753027
0.00880573,0.00623629,0.00583349,0.0257523,0.00533624,0.00622997
0.0309862,0.0204923,0.0121477,0.0722463,0.0188735,0.0292146
0.0215468,0.0142334,0.0062645,0.0633481,0.0144119,0.0097116
0.00763433,0.00551838,0.00545092,0.00515365,0.00102338,0.00528793
0.0310324,0.0205239,0.0165499,0.0667794,0.0170286,0.0226844
0.0139369,0.00995707,0.004315,0.0199422,0.00511847,0.00630144
0.016202,0.0114161,0.00543194,0.0271496,0.00865205,0.0145524
0.0256325,0.0173741,0.00684779,0.0598274,0.0174263,0.0146621
0.0130311,0.00864636,0.00447797,0.0327998,0.00748803,0.00961929
0.0114415,0.00786917,0.00525071,0.0427261,0.0113258,0.0138988
0.0131799,0.00887622,0.00416588,0.0244696,0.00649017,0.00726855
0.00837587,0.00581883,0.011078,0.0512094,0.0158286,0.0241648
0.00824652,0.00567201,0.00196306,0.0217656,0.0065449,0.00314085
0.0301861,0.0189994,0.0189621,0.142121,0.0370853,0.0588486
0.0184777,0.0129384,0.00813463,0.047299,0.0126412,0.0188551
0.0112058,0.00738935,0.00370144,0.0249188,0.00511408,0.0121787
0.0242895,0.0169086,0.0176783,0.0773057,0.021316,0.0298865
0.0306466,0.0197624,0.0143811,0.0572677,0.0158829,0.0426631
0.0108346,0.0074141,0.00588044,0.0332205,0.0097893,0.0135678
0.00793912,0.00584395,0.00326407,0.0241526,0.00653673,0.00590562
0.0395218,0.0257537,0.00964301,0.0361533,0.0105109,0.0307837
0.0186768,0.0123354,0.00988598,0.0877786,0.0246179,0.0286226
0.0185157,0.012561,0.00525459,0.0419703,0.00978921,0.00853798
0.007573,0.00549967,0.00393433,0.0197619,0.00585499,0.0150928
0.00594503,0.00446773,0.00285694,0.0234539,0.0077055,0.00929853
0.00709836,0.00533575,0.00301884,0.0246552,0.00551661,0.0147983
0.02242,0.0145932,0.00645312,0.0514511,0.0132915,0.00959138
0.00910676,0.0061649,0.0032639,0.0177132,0.004917,0.00300975
0.0268604,0.0177752,0.0133067,0.051402,0.0153185,0.0201925
0.0452129,0.0275579,0.0156594,0.122059,0.0319016,0.0480297
0.0097409,0.00681996,0.00381935,0.0302249,0.00826556,0.00807008
0.00797839,0.00526753,0.00352184,0.015211,0.00546247,0.00256565
0.0242316,0.0165064,0.00849534,0.0398972,0.0112244,0.0121762
0.00591202,0.00443983,0.00377932,0.0171553,0.00496568,0.00220117
0.0175128,0.0122645,0.00364553,0.0361321,0.00783875,0.0143467
0.00570216,0.00406338,0.00272878,0.0217717,0.00442782,0.00500787
0.00753956,0.00549931,0.00419444,0.019626,0.00475321,0.00824681
0.0408774,0.0229188,0.0214081,0.106296,0.026645,0.0319904
0.0075654,0.005751,0.00323501,0.0310958,0.00768813,0.00896146
0.00490089,0.00365466,0.00152704,0.0173595,0.00437507,0.0127361
0.00956031,0.00665602,0.00372716,0.0261393,0.00667569,0.0132899
0.014285,0.00944485,0.00499662,0.0267097,0.00823437,0.0124623
0.0045311,0.00303674,0.00212337,0.0171908,0.00477395,0.0038494
0.00800012,0.00583684,0.0039119,0.0195921,0.00360272,0.003582
0.00621211,0.00415083,0.00430381,0.0429356,0.0109944,0.0135434
0.0073284,0.00541571,0.00397311,0.0530366,0.0140761,0.0184653
0.0212033,0.0143191,0.00630559,0.0305373,0.00743824,0.0106344
0.0599128,0.0379052,0.029243,0.191046,0.0532235,0.108796
0.0184576,0.0117576,0.0120485,0.058728,0.0142786,0.0205217
0.012425,0.00826928,0.0196957,0.075509,0.0194628,0.0309605
0.0106306,0.0067405,0.00312471,0.0276407,0.00729501,0.00620647
0.0128098,0.00883053,0.00406032,0.0231921,0.00652882,0.00442657
0.00697985,0.00498581,0.00521524,0.0195618,0.00645303,0.00986413
0.00687961,0.0050785,0.00307973,0.0253451,0.00560023,0.00429054
0.0133983,0.00885724,0.00395277,0.0327843,0.0106222,0.00548169
0.0252373,0.01671,0.00656566,0.0498464,0.013638,0.0125098
0.0463388,0.0301521,0.0175075,0.0747561,0.0212301,0.0231492
0.013376,0.00930812,0.012249,0.0687793,0.0204386,0.0324942
0.00819674,0.00556524,0.0245033,0.0860209,0.022361,0.0198814
0.0152088,0.0104531,0.00631089,0.0525299,0.0129588,0.0131689
0.00773673,0.00509042,0.00183175,0.0284126,0.00862018,0.0103565
0.0130122,0.00885846,0.00328054,0.0319289,0.0102557,0.0129789
0.00510484,0.00369742,0.00443235,0.0289515,0.00585491,0.00472188
0.0377957,0.0237752,0.0179985,0.113762,0.0265591,0.0309816
0.0427848,0.0232245,0.0287705,0.261831,0.0652491,0.078562
0.00947836,0.00670608,0.00307466,0.0376834,0.0111527,0.0178247
0.00774235,0.00518577,0.0014341,0.0250915,0.00559661,0.00816789
0.0274945,0.0175154,0.0195472,0.109939,0.0328758,0.0422141
0.00770257,0.00507672,0.0018683,0.0253472,0.00633826,0.00568831
0.00641774,0.00438401,0.00167093,0.029355,0.00675896,0.0110776
0.0112313,0.00806971,0.00648026,0.0320687,0.00847518,0.015311
0.0286515,0.0188846,0.00972419,0.0528094,0.0145244,0.0203381
0.0167428,0.0115458,0.00520125,0.0349767,0.00926838,0.0114263
0.00672114,0.00492101,0.00392816,0.00618795,0.00293221,0.00235038
0.0224641,0.0150319,0.00563685,0.0566231,0.0143028,0.0336604
0.0228297,0.0152472,0.0134914,0.0410697,0.01277,0.0196767
0.0143409,0.0102137,0.00337088,0.034464,0.0100557,0.00647623
0.00979981,0.00670582,0.00453687,0.0308768,0.00804529,0.0068933
0.0172456,0.01156,0.00493036,0.0444274,0.0107803,0.0102539
0.0626425,0.0366944,0.0217282,0.100921,0.0257689,0.0310405
0.0273964,0.0181413,0.0086702,0.0570958,0.0152883,0.0164116
0.0176638,0.011828,0.00508136,0.0361135,0.00924141,0.0125718
0.0112592,0.00760848,0.00327782,0.0297133,0.00723221,0.00846317
0.00528934,0.00379445,0.00149545,0.0162947,0.00424587,0.00504243
0.00957588,0.00655753,0.00457099,0.0301207,0.00645103,0.00748214
0.0166579,0.0115865,0.00699203,0.0432925,0.0104879,0.00466732
0.0221702,0.0143017,0.0219667,0.153931,0.0444326,0.0685813
0.00748822,0.00523126,0.00301032,0.0133808,0.00586205,0.00913665
0.0057879,0.00407021,0.0036364,0.0164445,0.00262823,0.00484195
0.0373333,0.0232339,0.0131736,0.0228971,0.0364963,1.8768
0.00710168,0.00512461,0.00333903,0.0213868,0.00523543,0.0113384
0.00906051,0.00654439,0.0041396,0.028084,0.00711344,0.0105189
0.042505,0.0251874,0.0337442,0.203337,0.0501305,0.0916303
0.00819522,0.00600805,0.00254963,0.00706065,0.00117518,0.0066073
0.0178609,0.0120863,0.0070032,0.0518264,0.0150892,0.0242014
0.00808443,0.0052591,0.00354414,0.0193377,0.00627426,0.00503199
0.0233352,0.0153815,0.00818125,0.0474809,0.0132443,0.00846491
0.00745067,0.00501269,0.00344715,0.0170677,0.00443748,0.00458451
0.011504,0.00738275,0.00367579,0.033333,0.00816896,0.00480321
0.010155,0.00721134,0.00380802,0.0213879,0.0047653,0.00468418
0.00502656,0.00342446,0.00121979,0.0233279,0.00659463,0.00465727
0.0153868,0.0108147,0.00418386,0.0390205,0.0090276,0.00742164
0.00914771,0.0062369,0.00455753,0.0267033,0.00674254,0.00480786
0.0132448,0.00916644,0.00487995,0.0250183,0.00665513,0.00801036
0.00566833,0.00415172,0.0027662,0.0288245,0.00692736,0.0042593
0.0239358,0.016665,0.0145088,0.151757,0.040796,0.0381332
0.00560006,0.00396955,0.00323174,0.00773625,0.00324544,0.00484597
0.00857198,0.00635833,0.0023713,0.0210856,0.00551496,0.00839589
0.0212508,0.0145875,0.00729527,0.0310042,0.00716733,0.00890057
0.0316778,0.0209567,0.0153812,0.0680492,0.0161826,0.0246441
0.00733526,0.00530858,0.0021703,0.0185922,0.00482872,0.00384761
0.00768508,0.00511362,0.00204914,0.0313811,0.00791682,0.00942428
0.00462322,0.00324057,0.00253497,0.0191431,0.00381447,0.00343897
0.0232764,0.0149943,0.00812529,0.0759551,0.0201152,0.0349314
0.010665,0.00682473,0.00377699,0.0272994,0.00618188,0.00548248
0.00753568,0.00556332,0.00488553,0.0313501,0.00876489,0.0135726
0.0443271,0.0263324,0.0190518,0.0576571,0.0152888,0.0288146
0.00489798,0.00366413,0.00240598,-0.000389282,0.000327837,0.00440356
0.0105972,0.00750432,0.00462465,0.034319,0.00888118,0.00783427
0.0143649,0.00966153,0.00371882,0.0316208,0.00809566,0.00881797
0.0104457,0.00721655,0.00430731,0.0221851,0.00721928,0.00292917
0.031159,0.0214366,0.00817571,0.0619219,0.0178696,0.0159021
0.0110554,0.00786469,0.00359312,0.0353938,0.00982598,0.0108399
0.0305882,0.0200158,0.0142928,0.117452,0.0283526,0.0359198
0.00690883,0.00475226,0.00328006,0.0245799,0.00536889,0.00476866
0.00911546,0.00598716,0.00370402,0.0217726,0.00716489,0.00812306
0.0189384,0.0123848,0.00564899,0.0241985,0.00838332,0.0170771
0.0191016,0.0129134,0.00643243,0.0350063,0.0101361,0.00971322
0.0127562,0.00844556,0.00350309,0.0404606,0.0121288,0.00481
0.0295625,0.0190379,0.00905114,0.0569833,0.015343,0.0183705
0.00677126,0.00484517,0.0038067,0.0279627,0.00629038,0.00899917
0.00916386,0.00627601,0.00311797,0.0167165,0.00525377,0.00153327
0.00627836,0.00457646,0.00279577,0.0218176,0.00665554,0.00772499
0.0113018,0.00768758,0.00277132,0.0288755,0.00835382,0.00981303
0.00763289,0.00514509,0.00395861,0.0201617,0.00623636,0.0035842
0.0202535,0.0138928,0.00696642,0.052547,0.0135923,0.0153899
