"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.0377524,0.0225923,0.0123834,0.0540861,0.0148841,0.017432
0.0303761,0.0189893,0.0130043,0.0534312,0.0161428,0.0288677
0.0073552,0.00521431,0.00316588,0.0161607,0.00524311,0.00231709
0.0157945,0.0103262,0.0113352,0.077906,0.0213627,0.0309444
0.00615483,0.00408752,0.00220951,0.0133259,0.00301006,0.00347465
0.0208294,0.0141179,0.00561093,0.0290048,0.00865742,0.00699953
0.012262,0.00840609,0.00408235,0.022544,0.00619398,0.00783439
0.015536,0.0100835,0.0098997,0.0785605,0.0219666,0.036858
0.0536339,0.0291757,0.126373,0.475998,0.131111,0.155531
0.00746585,0.00514176,0.00440051,0.0453113,0.0122093,0.0142131
0.00882918,0.00603143,0.00306378,0.0242857,0.00583132,0.00521561
0.00839289,0.00580643,0.00234427,0.0135491,0.00428384,0.00477132
0.0228529,0.0139228,0.00834223,0.0565019,0.0155697,0.0124071
0.0577074,0.0288245,0.0291741,0.102835,0.0276476,0.0555377
0.0187617,0.0118897,0.00996137,0.0176858,0.0048225,0.012116
0.00930234,0.00633335,0.00310667,0.0149423,0.00458088,0.00462154
0.00454175,0.00315328,0.00310496,0.0137578,0.00413524,0.00542217
0.0173479,0.0109797,0.00783698,0.0395326,0.00902032,0.00830327
0.0156644,0.00989024,0.00517204,0.0340108,0.00956794,0.00560195
0.0192894,0.0125011,0.00788537,0.036646,0.0098971,0.00916738
0.0242284,0.0156831,0.00973162,0.0687637,0.0177299,0.024876
0.0136128,0.00937896,0.0034011,0.0212055,0.00630433,0.00692896
0.00616551,0.00443342,0.00215587,0.0167597,0.00446692,0.00554773
0.00456777,0.00301297,0.00222297,0.00479079,0.000277789,0.002077
0.0333547,0.0208926,0.0258417,0.120268,0.0344892,0.0478503
0.0451189,0.0181717,0.0285377,0.188456,0.0498854,0.0318978
0.0257079,0.0161459,0.0368605,0.163325,0.0487467,0.110254
0.00844944,0.00582933,0.00665604,0.0170299,0.00606687,0.0100326
0.0304726,0.0190611,0.007859,0.0552862,0.0148524,0.0196284
0.00624819,0.00453614,0.00230301,0.0169247,0.00355709,0.00450379
0.0192751,0.0125305,0.00973425,0.0705728,0.0179475,0.0297376
0.010118,0.00677502,0.00389378,0.0229847,0.00688117,0.0163717
0.00872906,0.00550916,0.00380297,0.0172244,0.00514129,0.00674375
0.0197126,0.0132976,0.0126091,0.0628039,0.0155779,0.0237662
0.00669243,0.00472174,0.00359096,0.0141707,0.00453177,0.00715234
0.00644965,0.00429801,0.00308705,0.0120977,0.00294279,0.0081953
0.0502569,0.0316667,0.0334921,0.12107,0.0331883,0.0644604
0.0100259,0.00694262,0.0153015,0.0514878,0.0156537,0.0248398
0.00790828,0.0055455,0.00331953,0.0175923,0.00381875,0.00327115
0.0136891,0.00887439,0.00395953,0.0231206,0.00699689,0.00704345
0.0731154,0.0374537,0.032229,0.136249,0.0352377,0.0500552
0.0120115,0.00828464,0.00346026,0.0329782,0.00886955,0.00738249
0.0219741,0.0139938,0.0084416,0.0359126,0.00909183,0.00705158
0.0110228,0.00730019,0.00281458,0.0321645,0.00949558,0.0185209
0.00969993,0.00686064,0.00270255,0.0259592,0.00577096,0.00379406
0.0381568,0.0194438,0.0423866,0.112655,0.0380484,0.0974059
