"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
0.0429605,0.0227906,0.0163261,0.0229704,0.0435133,2.58367
0.0142015,0.00945257,0.0039001,0.0199862,0.010405,0.0331435
0.0218998,0.01469,0.0114694,0.0104598,0.0313826,1.86979
0.0189507,0.0121419,0.0101842,0.00853585,0.0300492,1.70524
0.0449203,0.0235425,0.0691098,0.0442387,0.0637854,3.6823
0.00519093,0.0037572,0.00199354,0.000206396,0.00387358,0.203999
0.00698966,0.00466769,0.00303144,0.00309685,0.0111795,0.688054
0.0666549,0.0354894,0.0232469,0.0411296,0.0413908,1.75617
0.0468174,0.0292215,0.010645,0.00946226,0.0278542,1.5579
0.0230042,0.0148006,0.0154743,0.0204396,0.029074,1.2698
0.0228233,0.0152325,0.00759625,0.00825378,0.0214806,1.18669
0.0536889,0.0326619,0.014855,0.0150015,0.0386225,2.64862
0.0302807,0.019355,0.00684094,0.00771686,0.0145341,0.786776
0.0679447,0.0343787,0.0378887,0.046357,0.077494,4.16234
0.0493308,0.0269959,0.0278053,0.0403121,0.0827743,4.19625
0.0162369,0.0117655,0.0286071,0.0517681,0.0714953,2.42895
0.0231434,0.0143837,0.039715,0.0570969,0.0773604,3.64838
0.0868791,0.0371943,0.121785,0.193275,0.250846,6.20783
0.0954757,0.0426356,0.122902,0.197729,0.360343,6.7236
0.0221848,0.0146984,0.0134294,0.0216055,0.0328698,1.7207
0.0345587,0.022397,0.00956361,0.0174611,0.0299262,1.52838
0.0110392,0.0078836,0.00419822,0.0105619,0.00533074,0.0139044
0.0552291,0.0277794,0.0165718,0.0131484,0.0551077,3.81682
0.0128535,0.00908597,0.00408528,0.00914253,0.0234999,1.26567
0.0576041,0.0341678,0.0322079,0.0371967,0.0279479,1.09307
0.0115115,0.0079178,0.00440626,0.00123001,0.00945821,0.516022
0.0347943,0.0212728,0.00575881,0.0284753,0.00857519,0.0892812
0.0413634,0.0253301,0.0194492,0.0207148,0.048633,3.27232
0.0101123,0.0066404,0.00335156,0.0153251,0.00643448,0.0380063
0.0470189,0.0290112,0.0206009,0.0296465,0.068174,3.63487
0.085003,0.0447875,0.0219197,0.0303981,0.0565091,3.47602
0.0105684,0.00711071,0.00346127,0.00266923,0.00756021,0.415202
0.0291108,0.0184486,0.0110985,0.0109518,0.0199846,1.11429
0.0270332,0.0179362,0.00782999,0.00761778,0.0180083,0.992981
0.0316639,0.0206519,0.0112082,0.00583364,0.02657,1.42701
0.0356175,0.022517,0.00877407,0.0107953,0.0211392,1.25201
0.0609375,0.0340165,0.0234299,0.0293644,0.0556649,3.54672
0.0247528,0.0149382,0.0178572,0.0136315,0.0258658,1.37694
0.0441394,0.0246495,0.0364301,0.0541893,0.0984769,4.13857
0.00962844,0.00652454,0.00236888,0.00349165,0.00418708,0.155731
0.0152586,0.00959112,0.0226959,0.01246,0.0590991,3.49313
0.058959,0.0327292,0.0219082,0.0277882,0.0594367,3.60637
0.0319756,0.0206467,0.00916008,0.0115836,0.0196244,1.0763
0.0278301,0.0182255,0.00517733,0.00909202,0.0108513,0.554644
0.0359796,0.0227298,0.0105057,0.0133694,0.0388207,2.63081
0.0542492,0.0321696,0.019878,0.0204435,0.0350048,1.77563
0.0140755,0.00931311,0.00814046,0.0118406,0.0145807,0.0199649
0.0294881,0.0187433,0.00791063,0.0233157,0.0253252,1.03645
0.0457237,0.0246213,0.0368797,0.0273148,0.0391259,2.681
0.00878383,0.00625115,0.00448462,0.0212766,0.00885106,0.0324683
0.0206847,0.0123191,0.0286106,0.036952,0.0719942,3.69733
0.0311434,0.020876,0.0101916,0.00667306,0.0213669,1.23377
0.01336,0.00890654,0.00549117,0.00592088,0.0123775,0.746283
0.0660835,0.0341971,0.0421705,0.0663361,0.079365,4.29597
0.0176227,0.0121956,0.00369237,0.0134044,0.00496382,0.0257371
0.027,0.0176304,0.00610242,0.00241177,0.031113,1.90463
0.0322759,0.0199692,0.012961,0.0127494,0.0166379,0.887727
0.0320085,0.0202176,0.00985285,0.0252652,0.0337166,1.67025
0.0273875,0.0185364,0.0112974,0.00956426,0.034136,1.8576
0.0144259,0.00966877,0.0111272,0.00835353,0.015562,0.912755
0.0535446,0.0328835,0.0160065,0.013584,0.0387406,2.71964
0.045657,0.0268028,0.0124863,0.0161542,0.0248048,1.25116
0.0315652,0.0202967,0.0078197,0.0252362,0.00982169,0.0429731
0.0268907,0.0178624,0.00526072,0.0224508,0.00878608,0.0386713
0.0205876,0.0134681,0.0185829,0.02975,0.0551091,3.02903
0.0329814,0.0217852,0.0107769,0.0157216,0.042188,3.03451
0.0198142,0.0132402,0.0132451,0.00932926,0.0312326,2.41824
0.0120576,0.00835178,0.0162824,0.0123978,0.0317361,1.80068
0.052413,0.0331683,0.0133729,0.0136143,0.0558552,3.34984
0.0260183,0.0171073,0.00938963,0.0076605,0.0196521,1.07678
0.0276356,0.018218,0.010265,0.0123849,0.0303902,1.6164
0.0299433,0.0199931,0.0101069,0.00681131,0.0143751,0.74312
0.0138162,0.0091877,0.00192194,0.012241,0.00357417,0.0289992
0.0551033,0.0336174,0.0171048,0.0200157,0.0244947,1.06814
0.0177191,0.0119002,0.00442205,0.00290892,0.00967458,0.548657
0.0133223,0.0087126,0.0255761,0.0250825,0.02899,1.60879
0.0453768,0.0287749,0.014104,0.0168696,0.0363306,2.58195
0.0317594,0.0201174,0.0239266,0.0223099,0.050997,3.26026
0.0531955,0.0330383,0.0138405,0.0103168,0.0428756,3.00484
0.015537,0.0106571,0.00502098,0.00518386,0.0165474,0.962285
0.035213,0.0221679,0.020229,0.0167673,0.0353567,2.54783
0.0693518,0.0410413,0.0346245,0.0304819,0.079723,4.20512
0.0756014,0.0349484,0.0428201,0.0782645,0.0819413,3.84724
0.0619593,0.0314335,0.0849412,0.0953559,0.189823,5.28118
0.00580662,0.00382868,0.00214,0.00912185,0.00427307,0.0184234
0.0388718,0.0257879,0.0169319,0.0103104,0.0302871,1.65153
0.0121859,0.00852895,0.0020321,0.0129313,0.00555419,0.0186113
0.0121534,0.00728169,0.0190352,0.0178527,0.0273577,1.41416
0.0463005,0.0290186,0.0133495,0.0152843,0.0276083,1.59441
0.0318486,0.0210414,0.0092054,0.00916874,0.0269959,1.43511
0.0338125,0.0224879,0.0118025,0.017305,0.0438422,2.97191
0.0543296,0.0322006,0.0169624,0.033558,0.0304553,1.12805
0.0241109,0.0160584,0.00874835,0.0119574,0.031498,1.65712
0.00899287,0.00607307,0.00219158,0.00918137,0.00554559,0.0173655
0.08451,0.0432571,0.0249251,0.0235058,0.0473341,3.1343
0.027313,0.018181,0.00849016,0.017199,0.0265936,1.24008
0.0215992,0.0139192,0.0197838,0.0209574,0.0497287,3.04999
0.0165226,0.0108792,0.00694115,0.00468564,0.0107979,0.52561
0.0239478,0.0139315,0.0146913,0.0219149,0.00854433,0.0284165
0.00844336,0.00595892,0.0127338,0.0225593,0.00992083,0.039731
0.0225619,0.0149235,0.0148343,0.013661,0.033865,1.85429
0.0220625,0.0148151,0.00569601,0.00527075,0.0121046,0.7072
0.0092859,0.00681178,0.0026739,0.0132369,0.00486148,0.0202495
0.0415113,0.025393,0.0125716,0.0592309,0.0405652,1.38921
0.00786283,0.0051353,0.00200418,0.00157417,0.00564699,0.322206
0.0348156,0.0224294,0.00962273,0.00823672,0.0145899,0.744032
0.0551116,0.0321006,0.0173298,0.0193639,0.0209801,1.00912
0.0530372,0.0308947,0.0396695,0.0371751,0.0600547,3.42415
0.0360191,0.0223808,0.0102553,0.0272097,0.0439721,2.50766
0.0347893,0.0225956,0.0115799,0.014145,0.0253541,1.14234
0.0300483,0.0183177,0.0139042,0.0151579,0.0294934,1.52144
0.0581942,0.035814,0.0195125,0.0117456,0.0378771,2.67441
0.0142541,0.00982741,0.0094649,0.00819841,0.0193073,1.07312
0.0648916,0.0336611,0.0240091,0.0299093,0.0548136,3.28793
0.0446781,0.026775,0.0213792,0.0228716,0.0528073,3.58728
0.0521906,0.0310219,0.0187573,0.025221,0.04662,3.16346
0.0399287,0.0233704,0.0101961,0.0191125,0.0267182,1.29635
0.0281681,0.0183189,0.00862084,0.00625067,0.0122452,0.639105
0.0412001,0.0253039,0.0134258,0.0176098,0.035501,1.89372
0.0364017,0.0227681,0.0192352,0.0281507,0.0442366,2.53257
0.0161047,0.0105292,0.0134216,0.0239335,0.0296084,1.39484
0.035129,0.02227,0.0206826,0.0212914,0.0213883,1.07615
0.0555548,0.034269,0.0122148,0.0160689,0.0485507,3.41798
0.0089715,0.00625441,0.00480601,0.00816707,0.00125417,0.00710958
0.0170463,0.0108445,0.010633,0.0105492,0.0146861,0.756825
0.031718,0.0202531,0.0119941,0.0349632,0.0360884,1.37281
0.0443025,0.0268991,0.0229086,0.0224694,0.0493818,3.19532
0.0639747,0.0384159,0.0265887,0.0301507,0.0467068,2.95174
0.044102,0.0251262,0.0535142,0.0683105,0.0543677,2.95093
0.0654072,0.0327225,0.0286708,0.0218787,0.0595492,3.9486
0.0157226,0.01079,0.00323479,0.0064814,0.0195386,1.09988
0.0421248,0.0226935,0.0704189,0.123012,0.188942,5.2137
0.0188233,0.012472,0.00848241,0.00556726,0.0175829,0.88898
0.0597927,0.031303,0.0396813,0.0305432,0.0593851,3.62434
0.0280692,0.0168701,0.00944852,0.0250109,0.0134082,0.0471095
0.0294783,0.0186891,0.00815941,0.0163022,0.0254637,1.17695
0.0375837,0.0221086,0.0309179,0.0269673,0.0679288,3.76222
0.0153476,0.0105157,0.00262211,0.00975959,0.00438297,0.0222411
0.00928607,0.00559432,0.00801045,0.00752114,0.00486925,0.0162253
0.0401979,0.0241802,0.013084,0.00835218,0.0289949,1.60796
0.0241312,0.0154382,0.0205061,0.0289532,0.0582074,3.36403
0.0308701,0.0206197,0.010302,0.0055757,0.025334,1.42702
0.00394739,0.00304067,0.00534532,0.00980518,0.00390776,0.0119988
0.0670179,0.0398992,0.0229274,0.0529843,0.0584953,2.90645
0.0315028,0.0189018,0.0209727,0.0457097,0.059636,3.05571
0.0443036,0.0279946,0.0111219,0.0109241,0.0338826,2.46027
0.0387002,0.0248695,0.019317,0.0201582,0.0315651,1.60873
0.0302644,0.0198195,0.00990884,0.0104674,0.0342074,2.43316
0.00978403,0.00629706,0.00707846,0.00811607,0.00437028,0.0194708
0.035247,0.0229453,0.0106137,0.00630103,0.0277941,1.58159
0.0298069,0.0189222,0.0104705,0.0060231,0.0189334,1.04686
0.011759,0.00800568,0.00230736,0.00776313,0.00426587,0.0225889
0.0185168,0.0124518,0.00647979,0.00370509,0.0196575,1.0581
0.00512725,0.00370043,0.00180288,0.00204122,0.006046,0.324407
0.0499942,0.0314306,0.0193607,0.0215516,0.0572002,3.55334
0.0119637,0.00803531,0.00447288,0.0273193,0.0237903,0.920129
0.0294547,0.0198124,0.0157037,0.0198488,0.0300602,1.65699
0.0207629,0.0140801,0.00572804,0.00513565,0.0210684,1.11495
0.0621504,0.0385245,0.0215364,0.0176466,0.0324266,1.78024
0.025777,0.01704,0.0263555,0.0219936,0.0448646,3.10367
0.0309758,0.0196852,0.00872847,0.00720098,0.0142562,0.753989
0.0644491,0.0353723,0.025747,0.0658355,0.0603348,2.69071
0.0213564,0.0139183,0.00797868,0.0068709,0.0110354,0.745938
0.0300118,0.0192062,0.0260917,0.0306631,0.0922321,4.05781
0.0285213,0.0184937,0.00607994,0.0317336,0.0101278,0.0314208
0.0613461,0.037009,0.0232165,0.0128933,0.0471032,3.37858
0.0494285,0.030394,0.01516,0.0120907,0.0439977,3.07506
0.0408493,0.0253773,0.0182917,0.0321784,0.0610797,3.60219
0.0433493,0.0264644,0.016068,0.0268414,0.0371728,1.85953
0.0294103,0.0188395,0.0106489,0.00903962,0.0112234,0.67641
0.0414843,0.024586,0.0175031,0.036281,0.0598662,3.33763
0.0305769,0.019693,0.0164455,0.0220968,0.0622001,3.14169
0.0358126,0.0213886,0.0290461,0.0368235,0.0331129,1.33381
0.0573645,0.0348226,0.0177406,0.013021,0.0478753,3.21536
0.0254671,0.0166596,0.0131177,0.0167556,0.0254245,1.15679
0.00787361,0.00557217,0.00306111,0.00170477,0.00545099,0.3299
0.0195392,0.0118857,0.00788181,0.0165567,0.00856815,0.0359167
0.0306157,0.0196971,0.01066,0.00615692,0.0220029,1.34473
0.0176468,0.0119235,0.00910142,0.00322269,0.00580577,0.288825
0.0243829,0.0139123,0.0559751,0.0837121,0.162986,5.05774
0.0544282,0.0309363,0.0317724,0.0354572,0.0561111,3.68655
0.0840941,0.0468807,0.028772,0.0195701,0.0496103,3.48067
0.0213834,0.0137581,0.0218093,0.0307239,0.057988,3.33982
0.00610474,0.00397178,0.00237538,0.0028425,0.00334354,0.202005
0.025081,0.016075,0.0107057,0.0211376,0.0224973,0.964708
0.0406148,0.0241343,0.0136658,0.0361262,0.02556,0.824126
0.0256375,0.0165029,0.00863584,0.00437985,0.00795877,0.511565
0.0310684,0.0203141,0.00889793,0.00744259,0.0173838,0.95373
0.0500088,0.0305469,0.0161894,0.0166016,0.0576564,3.52015
0.018483,0.012372,0.0134269,0.00951781,0.0162826,0.96673
0.00992414,0.0062895,0.00923099,0.0171646,0.00750274,0.0342394
0.0557018,0.0308453,0.0103372,0.0476619,0.0166063,0.0678048
0.0659956,0.0342267,0.0210885,0.0386541,0.0608991,3.72397
0.039656,0.0246325,0.0253761,0.0281696,0.0585722,3.41823
0.0228885,0.0150921,0.00649836,0.00269864,0.0144361,0.805011
0.0564617,0.0340979,0.0168916,0.0255875,0.0383101,2.443
0.0263966,0.01606,0.0109808,0.0257682,0.0321896,1.34727
0.035893,0.0228738,0.0116405,0.00661077,0.0379905,2.69334
0.0370562,0.0243012,0.01007,0.00824003,0.0292849,1.66111
0.0345692,0.0221764,0.00948958,0.00918386,0.0473195,3.2532
0.0240575,0.0146308,0.0320575,0.0501736,0.0343536,1.13649
0.0212207,0.0147247,0.00776354,0.0124502,0.0500128,3.10273
0.0203306,0.0139116,0.00641731,0.00203491,0.00620963,0.387669
0.0217124,0.0143226,0.00828124,0.0113378,0.01898,0.930991
0.0249525,0.0157689,0.0188566,0.0214949,0.0522698,3.1363
0.0434752,0.0264183,0.012777,0.0167182,0.0296898,1.75437
0.0239511,0.0158534,0.0100907,0.00495033,0.00428834,0.234912
0.0527861,0.0307319,0.0127562,0.0227467,0.0382866,1.79162
0.0443657,0.0261722,0.0158889,0.0106325,0.0328374,1.90237
0.0951302,0.0385549,0.0509703,0.0521073,0.0839554,5.23322
0.0175879,0.0120887,0.0200075,0.0257273,0.0489488,3.0793
0.0229276,0.014992,0.0159394,0.0167237,0.0396079,2.80008
0.0911922,0.0511535,0.0513069,0.046901,0.0890422,4.34184
0.0157679,0.01035,0.00482731,0.00670614,0.00820705,0.486551
0.01044,0.00707456,0.0106041,0.00765504,0.0134004,0.806157
0.0573413,0.0343154,0.0250663,0.0358105,0.0367213,1.55311
0.00973435,0.0064405,0.00480468,0.00479388,0.0198068,1.14825
0.052517,0.0324547,0.021858,0.0142681,0.0586152,3.57249
