"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
17.959335,12.307271,8.333037,66.785843,19.050560,24.083719
11.173298,7.558458,5.464603,18.495649,5.728646,11.785029
13.243168,9.205470,5.686190,21.977188,5.558875,12.802221
16.784004,11.723539,6.900043,29.493244,7.466179,6.789045
13.413103,9.431701,5.414170,19.149580,5.185554,9.438117
19.930948,13.549741,9.022595,28.632652,7.110320,11.353101
59.168552,37.371563,29.097118,110.674042,29.002485,58.441174
44.814190,29.194065,19.010515,51.646336,14.217615,58.678593
20.327290,13.462829,6.977377,28.091349,7.145075,12.875021
26.785515,18.371351,14.579819,44.488018,12.609834,52.459583
46.049641,26.621094,50.574329,199.627869,50.815338,112.054390
21.187756,13.878327,10.490551,38.176563,11.589700,15.161642
8.622829,6.053691,3.538206,13.997442,2.403003,5.389488
9.516615,6.788450,2.266817,19.297651,4.502743,13.670813
8.372941,5.918293,5.007659,10.523949,2.446328,7.620355
42.814625,27.005232,20.143763,55.404842,12.923860,25.140450
11.752542,8.149405,5.167768,28.530962,6.424345,6.435740
28.479214,16.860958,24.984613,108.454811,26.989220,48.730206
19.254618,12.919208,5.417018,33.072670,9.569257,9.677072
34.275871,22.560465,11.578087,45.681271,11.916179,35.104244
12.304301,8.215488,4.372110,22.682896,6.951990,9.191771
14.664707,10.146703,15.014789,33.883789,9.223902,9.443527
6.318853,4.575736,2.518412,10.813425,2.382646,4.311241
6.335142,4.715714,4.414744,45.743267,14.063418,50.667915
8.237967,5.611727,3.189315,14.331288,3.405037,13.126770
7.905463,5.533247,4.652846,22.079388,7.158746,8.687767
12.841853,9.032876,13.438353,33.909912,7.471938,11.166642
12.619209,8.595003,5.544785,13.119609,4.914709,8.142644
5.229837,3.892353,3.269429,17.995180,4.007913,4.889379
11.440227,8.155662,4.292467,11.644055,3.685120,8.985087
14.825694,9.762076,5.036463,23.677158,5.584875,15.564565
19.079401,12.793681,4.621844,23.327509,6.717192,10.954772
21.019329,13.704165,6.473398,39.160477,10.873184,10.938064
66.478531,40.483212,33.051201,90.592880,23.557619,32.378586
12.069104,8.041297,2.777665,33.403893,9.528559,20.768236
7.085660,4.827863,1.360859,19.921110,6.843561,8.411591
23.284479,15.408156,6.955211,22.105375,5.904314,18.376719
6.044635,4.307261,3.382514,18.668486,5.112212,2.298001
