"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
74.829590,44.381245,26.527229,72.204773,18.954050,23.797758
32.627430,20.253773,29.578163,120.304489,29.810036,51.054459
6.744731,4.780421,2.469142,18.631458,3.103195,2.500520
19.929564,12.425444,5.498840,22.379995,3.952448,18.227438
12.676757,8.607726,2.118483,22.917099,4.946063,3.132704
15.384188,11.169370,3.975405,12.811927,2.824498,0.651055
19.920570,13.384750,5.298114,26.673353,4.828159,10.535759
17.390644,11.646457,10.975046,59.617466,13.163138,9.422018
22.550629,14.561461,6.448352,38.357307,10.229867,6.026284
34.213322,21.453627,51.461483,198.917038,58.023827,82.135056
27.190590,17.954102,13.335213,72.779694,17.261528,36.682541
15.389921,10.307771,4.792802,34.155254,8.769421,24.655506
21.862770,13.988262,6.662316,40.795448,12.483086,19.315731
12.411958,8.405882,2.867332,22.196569,4.388359,1.481776
14.857079,9.885577,6.380266,26.913019,5.498949,22.232899
6.497730,4.269636,3.622435,10.076638,2.808032,4.279683
17.886377,12.482902,4.052524,23.287176,5.587913,8.759162
20.343657,9.384151,4.853043,36.582390,8.208811,20.627506
15.823100,10.416766,5.888852,34.498894,8.196650,1.134022
13.844042,9.437904,5.179736,36.441196,8.127211,5.553875
4.368917,3.271641,3.163930,15.930670,3.920816,1.703198
11.733619,8.040990,3.833760,12.758508,3.086490,1.161416
7.598523,5.247122,3.161822,18.984728,4.373641,10.012566
12.454681,8.499893,6.173397,52.663494,12.980346,15.291115
14.772149,10.036776,11.453553,50.926994,13.031158,18.206131
15.218884,10.599165,4.073777,17.832884,2.815732,0.384209
34.846458,17.547281,11.043440,35.125244,10.277919,9.218541
41.880047,12.928499,15.567677,64.456543,15.863395,10.898581
27.277338,13.017109,10.532807,44.861103,9.923707,7.259271
42.280991,26.710348,31.966225,115.812065,28.896051,37.298683
12.101927,8.358268,7.038181,29.432100,7.568721,23.446331
11.208356,8.002421,3.077662,12.847083,5.005008,9.428462
23.099686,15.718324,6.695017,23.168173,4.828710,4.185838
22.490767,14.787411,4.991396,23.492414,6.324965,6.295477
15.951008,10.726844,6.988422,40.467098,8.917319,11.263647
8.644141,6.018048,4.213308,2.799268,-0.030198,3.646786
12.825500,4.788039,7.469938,42.887505,14.021997,9.122345
16.682341,10.593883,4.397671,24.351936,6.145242,10.966158
14.903054,10.219913,3.981976,34.811684,8.258571,5.275131
11.817591,8.125526,2.819858,20.299137,2.197889,2.874862
7.216326,5.187372,4.467337,11.717549,2.935701,2.042807
4.393816,3.075862,1.531515,12.041863,4.755991,1.466302
6.125025,3.956173,2.530557,12.743227,3.396142,0.918203
18.589237,12.690095,5.273690,25.203514,6.773567,6.042838
39.346291,26.677479,11.402276,78.422256,24.420248,29.409847
3.891096,2.994609,1.574699,28.571220,6.118377,11.896039
14.475538,9.798590,3.654073,22.632139,5.964172,7.869200
22.217752,14.966816,8.792014,62.079437,13.360333,4.798753
18.699593,12.678334,6.478320,29.545713,8.202605,6.511359
27.742373,18.796701,8.000154,19.940403,3.980574,5.854296
43.589607,28.519979,14.899849,57.116222,14.988259,7.913906
15.429932,10.918175,6.190404,14.710740,3.113602,3.793910
6.220865,4.302724,2.031529,11.012047,2.357477,5.276662
14.133957,9.495459,4.313169,13.055228,4.901758,14.339060
5.160879,3.691320,1.991815,26.302511,6.720956,10.993859
10.723308,7.363773,3.005032,16.209461,3.062074,7.557278
49.322308,30.466806,33.199871,176.185120,40.965305,20.413824
14.626014,9.672376,3.142583,14.820962,3.284430,4.048859
11.329735,7.954519,7.886956,34.919144,9.058505,19.416744
11.814401,8.202691,3.237871,14.936563,1.489653,5.573934
7.025807,4.937676,3.324880,10.605167,3.007421,9.336446
11.980147,7.880591,4.980631,25.846760,6.139366,4.578671
15.056053,10.562065,6.330121,22.697798,4.616236,4.026299
23.880798,16.044096,6.889719,31.882164,7.746126,4.054861
16.511442,11.240394,12.583903,69.720474,17.248184,6.094857
22.080090,15.163548,3.354299,45.456417,10.929768,20.934860
5.161561,3.504501,4.774846,11.970726,2.666822,1.617980
39.839237,25.055737,22.918715,60.645336,15.576065,27.500669
12.646803,8.142666,4.938556,21.124205,4.881155,1.493821
4.935166,3.467129,1.087384,11.487594,4.800412,4.815941
14.819620,9.859782,4.742577,63.856327,13.880704,2.589493
4.440092,3.077940,1.185880,12.636470,3.051815,5.749985
14.004543,8.848640,24.246151,106.168716,24.532869,19.041866
22.780560,15.272994,17.874695,74.789001,18.828371,33.680981
8.074672,5.654090,2.649016,10.836425,2.998498,1.527362
14.928458,10.580837,3.808253,7.114835,3.225973,8.338872
40.123787,25.445103,9.471670,58.427547,14.618235,19.281990
11.319070,8.154166,4.580678,17.823925,5.308421,6.358451
10.999814,7.448073,2.747973,15.786223,3.497559,13.082052
67.740257,34.921017,45.734146,181.995087,48.767281,85.539261
21.282700,13.014527,9.213946,69.628510,14.150970,6.403696
23.000458,15.220140,5.982899,26.360769,4.453794,11.565402
25.248249,16.597937,8.900322,39.933369,10.558878,5.894115
22.613937,15.405428,13.529769,33.212639,7.728142,7.489786
41.196644,25.013496,18.341515,66.586845,14.616495,19.664614
13.351052,9.371336,7.454982,12.666641,3.013459,0.746671
5.821388,4.148616,2.481532,12.465086,3.506772,8.804767
18.235367,12.096431,5.881828,41.361202,10.619259,5.010478
18.422520,12.355265,6.544148,27.302391,6.271507,19.347723
6.082464,4.633466,2.330138,14.940809,4.022893,0.674657
12.108322,8.100092,3.276746,9.010498,2.540000,4.081301
14.076516,9.603045,17.783272,102.119255,25.214794,13.345821
28.806496,19.173416,6.602516,35.178070,8.297977,7.329036
5.730171,4.185019,3.165780,27.518087,7.513493,9.261672
25.675497,16.815042,6.920639,37.746998,8.028197,11.420877
5.758731,4.034241,2.328485,6.486435,2.691479,4.495270
15.631660,10.173801,15.133928,60.163212,18.055763,31.638849
33.678600,21.821980,10.905815,70.042679,20.325335,36.703537
7.012051,5.335350,4.823819,27.254688,5.936783,8.045621
6.136169,4.401583,1.455738,17.282343,3.711027,9.126587
10.733981,7.301820,1.499147,13.383758,4.891937,5.466120
6.256609,4.548983,2.873204,14.013851,2.319781,1.930256
15.798696,7.238769,5.774478,32.796978,9.185192,9.820088
14.802631,7.336530,5.739470,32.963535,9.173246,9.982677
46.227913,28.354755,28.721029,129.878845,32.977268,100.918694
14.178682,9.794047,5.640226,17.523901,7.231624,24.677912
12.037738,8.213341,4.264657,20.494276,7.343114,5.582758
6.219011,4.007803,2.552649,23.771404,7.091153,8.219886
16.207655,10.924294,4.852409,33.602943,8.655902,7.800753
10.415328,7.087373,3.957663,33.189178,7.985483,1.027744
7.541274,5.410507,3.117646,2.215207,1.076470,2.727276
