"FSC-A","mCherry-A"
7.428866,3.130014
14.726347,7.095289
24.760199,25.598923
18.106571,10.885419
52.053421,15.850765
38.489738,9.651640
4.535933,1.506579
6.166722,5.307771
21.635557,15.659554
25.798954,14.251780
6.672975,7.918560
11.071929,2.768859
45.876244,37.141747
74.300804,61.830017
13.713240,7.373714
24.220089,6.814001
49.728001,35.142529
21.001364,14.054005
26.274931,22.455898
27.384239,13.285514
15.521349,2.807718
16.459105,16.613970
7.198179,1.065598
11.289395,4.238770
34.010094,38.051739
8.212869,3.015039
49.902241,22.122477
44.803986,16.131645
69.949684,12.299313
19.697315,9.817945
14.704162,6.353085
18.950718,22.661251
42.645039,23.666849
4.696917,1.233989
12.369362,5.329982
44.231838,21.590763
40.992538,10.587889
35.512791,16.606714
8.025721,3.330604
8.571946,1.509404
27.233511,6.460886
38.873421,36.632206
39.489384,43.729961
54.748856,15.869131
9.098890,7.959289
33.645214,67.597435
65.369232,17.030636
54.066525,12.394560
34.091381,18.182093
33.011185,13.457252
15.701376,5.515419
10.118228,2.160364
5.727584,2.199020
8.057311,-0.191273
30.904411,31.815306
16.435354,11.042414
26.552759,17.872356
42.199688,19.587200
26.399815,5.029391
80.945175,48.929012
20.372982,15.566794
16.934401,9.951139
28.081522,10.070774
11.169886,4.215714
15.381901,1.658905
29.193340,11.573251
37.889660,32.519508
8.512342,3.404981
10.423466,3.113069
20.305506,47.177311
17.857943,14.853593
7.800119,11.905270
73.605713,58.668743
15.531480,24.594604
51.862267,72.345306
16.436895,5.357742
48.502411,28.103851
5.921579,3.720472
7.982938,3.216440
8.224869,0.830817
51.236988,41.240749
29.019913,42.048714
75.605774,59.940517
56.771835,22.945913
15.874904,16.347479
12.864921,4.835896
30.478271,24.689833
67.720711,65.741188
22.361616,32.337444
23.526011,69.776840
9.220128,4.646072
28.896381,27.679558
13.135900,4.026200
56.609566,25.532784
11.541935,6.488070
15.427746,3.680285
18.144533,3.779215
13.514860,5.040641
26.296465,12.742511
5.889528,1.033925
74.756798,69.063583
40.696892,14.491039
40.216087,29.408335
5.662642,2.276060
30.689575,10.201528
4.681243,2.462410
17.467400,3.556018
31.801689,6.271784
11.521489,6.210101
13.814674,5.134842
5.621768,2.401997
14.191993,3.582039
28.600849,17.143791
9.061238,4.093706
17.764435,10.150936
48.451706,26.449081
14.709065,3.789603
49.513016,48.916843
20.142080,13.384568
20.680693,18.996780
9.653972,7.815258
49.484310,39.380100
12.162841,1.980799
71.428871,35.086609
35.354294,17.234652
32.126385,22.094435
19.258711,8.183701
29.055943,40.527489
9.112465,9.002706
26.252756,16.755388
39.301365,179.816269
13.311167,2.271337
33.184296,14.580381
39.409584,40.069305
34.732216,22.011127
7.341629,6.471598
15.699922,3.849486
9.430925,4.111210
10.573266,3.921474
30.003817,28.095669
96.708099,78.940804
26.882933,17.849813
20.544767,13.720997
25.874796,8.647191
32.492233,11.397350
13.522454,7.255574
42.841663,57.769958
16.794128,10.606688
6.593772,2.120774
17.681217,7.884159
20.259953,47.471325
37.795879,11.747341
61.169304,19.894445
18.034870,16.876291
11.865357,22.302423
27.245241,13.260646
12.033146,20.249691
13.068336,8.457887
72.381187,50.225437
6.418748,1.011628
38.073395,24.057577
60.260605,63.995705
49.182693,11.206857
46.831009,12.866212
11.016642,3.827313
13.008472,7.789789
12.860728,1.742566
13.756769,2.416060
62.027504,29.315086
22.305819,27.168535
20.715933,6.682086
25.605480,18.164789
10.112521,7.721323
18.772989,17.322294
7.152454,1.400407
94.635429,54.517151
33.005619,13.505681
17.508730,7.995846
32.933865,14.577780
15.827292,16.682310
19.933475,3.872559
10.286248,4.302736
51.726681,73.129799
10.021787,0.911652
57.990330,35.174408
8.576252,2.602711
37.499973,16.142035
31.258286,12.866405
4.260689,3.545846
39.898327,26.244957
23.731932,13.104444
67.727020,37.944202
48.859535,30.901047
9.772217,1.053551
8.310619,5.234515
30.828098,7.999937
7.189491,10.895404
27.306259,16.054113
15.240999,4.855093
17.110180,6.923757
39.679718,24.572329
5.027848,5.546515
21.596344,10.581468
14.265764,6.253101
33.116501,12.306119
62.824562,59.901665
59.908199,37.157612
27.819534,5.779589
6.492638,1.924256
4.632349,2.573352
6.603909,2.088526
46.460163,26.186390
21.810608,5.394416
80.521004,27.412317
31.423628,7.985178
9.466045,5.959446
13.319860,4.714105
16.727875,20.142145
12.026838,11.822547
36.094208,34.734318
93.767502,88.091148
49.999073,34.219776
11.230273,3.848592
25.745111,47.428677
29.931862,10.006284
28.142344,15.242240
50.364933,30.600731
14.947799,7.628468
37.932251,26.652710
13.659451,3.742353
45.271000,23.067593
22.714001,13.447107
19.018398,21.205456
73.831459,113.687958
53.868320,15.065786
24.901974,18.228613
4.893233,0.842147
9.704569,18.546587
22.828823,8.169754
12.578977,3.196253
39.172173,17.004644
60.291344,23.000748
52.252510,15.064235
50.375423,110.336082
13.237721,4.493337
6.267998,1.728603
85.711601,197.014404
13.495340,7.672843
61.460773,129.721634
10.072823,3.624626
12.182921,4.837727
35.142662,13.254586
14.765114,32.797195
9.413991,2.659493
23.710278,4.828545
6.275666,3.377665
8.720558,8.454642
16.343390,6.306075
19.320709,13.202776
21.380728,21.945946
28.180820,44.345684
23.954523,6.362020
21.959805,6.709519
28.372795,54.503849
51.929394,13.181272
17.530550,9.294052
10.029329,7.676967
11.781781,1.368556
9.261184,14.655877
63.885345,57.284924
45.237709,68.348946
5.179111,1.449689
11.825378,3.394075
33.760315,25.167349
77.180199,113.817558
5.566747,3.348108
9.052243,1.770159
26.091204,16.301003
8.437037,2.952455
6.764508,27.027233
14.105941,2.180394
22.297911,16.497965
55.132645,34.064213
14.084966,7.591719
22.699158,10.089830
49.272316,30.228619
33.666950,28.574980
19.156458,6.481688
33.393288,17.381275
14.374470,7.941741
35.280891,21.101984
29.526154,32.209721
50.860867,17.895283
13.117549,13.373036
41.600945,26.929510
4.218041,2.278034
13.364332,3.573216
7.592998,7.426604
25.154415,5.374697
22.358780,16.307014
8.813746,4.021187
15.872793,13.485959
36.050819,18.629049
52.938610,33.645058
16.354336,4.494866
22.431763,13.585749
43.796841,23.363039
6.870510,4.200294
24.236307,5.283024
35.447071,91.373550
45.592037,79.477684
51.387543,28.132721
57.093613,47.315983
4.873010,0.715242
14.012453,10.589389
19.297390,8.838642
6.229427,1.279517
39.736015,43.970398
6.191292,4.763254
28.008768,7.840843
29.922203,21.397564
14.127248,5.675655
9.623809,4.106806
35.324955,9.256303
17.143436,15.547453
16.041565,3.464560
5.207698,2.380903
9.222513,5.965935
37.094189,36.258591
12.905590,3.837141
42.393311,8.578244
9.266507,1.640894
45.543575,13.887736
9.648364,11.331784
5.112311,1.287401
10.349591,9.654587
42.314823,14.791177
57.308411,9.839834
5.373439,3.815848
46.474434,8.812913
19.826611,14.263241
6.045878,1.464787
53.011467,20.487938
57.737919,22.418854
20.118610,12.086855
5.002589,0.595696
11.851964,5.710503
40.553490,23.482069
13.883683,2.697846
49.797352,20.174749
23.193739,3.763646
39.611107,13.253656
12.166306,6.890752
41.250355,40.811516
8.212265,2.529383
40.521648,25.986952
58.126492,16.459106
8.239952,2.370266
5.816033,3.246254
29.151524,10.811165
20.347752,10.409278
40.847221,44.684849
19.840179,3.306538
6.874110,2.738857
73.166977,116.925095
66.810196,22.739824
4.094720,2.886400
52.282944,26.847080
56.674767,40.498520
5.798615,2.441840
16.971098,5.896666
12.665800,0.918480
42.796650,24.155649
13.269721,14.748006
10.320258,12.655752
24.544348,15.377521
5.873180,2.840728
17.368067,25.905191
13.285031,16.409637
39.557777,14.904146
11.425467,10.778303
27.345312,35.982170
8.407392,7.844768
32.424709,10.449113
6.044063,3.701081
15.408284,5.981803
12.401860,3.842125
48.687527,36.012424
8.028140,2.825648
12.706729,2.703388
51.726482,47.657009
4.847504,1.775046
17.185778,8.530127
39.756115,35.375534
16.796198,3.613731
38.080650,27.025984
11.097425,13.078683
21.764856,17.070986
25.892515,14.455274
21.421598,3.910026
44.860435,10.823371
20.365442,17.823875
22.795092,10.991492
10.289910,4.472854
18.643419,3.802764
6.811594,5.977462
11.601419,12.189898
22.668028,19.675692
38.464512,56.157841
16.415819,9.727360
6.337484,3.176333
18.865309,31.227318
9.946022,4.432323
16.188883,8.172232
12.086874,6.897305
10.179057,2.567186
10.046886,3.037537
19.163212,7.541374
11.459758,4.212088
5.866150,2.470694
24.854382,10.490227
20.313488,9.282147
50.276272,19.382153
15.009503,6.800979
13.763173,14.572646
7.490530,1.894183
54.377148,74.673737
11.862989,4.268723
7.675979,1.786743
16.556391,2.466179
11.974811,2.727333
27.724154,5.910343
39.436646,32.306107
18.356178,6.003742
9.579236,10.319180
28.461649,16.801306
15.734493,7.563179
16.573416,3.398574
21.421185,22.604025
5.248788,0.864352
18.648903,6.028498
30.086868,16.583616
32.616005,13.824634
7.129225,1.386733
8.778197,4.727608
7.230915,2.844963
13.863489,11.227061
5.035321,2.169665
32.244804,12.169045
29.964487,11.490127
52.551140,37.050491
31.044809,13.440741
38.429893,19.826433
26.767441,17.256536
23.219549,5.427608
30.585287,40.584167
15.541300,4.749907
60.485718,29.182341
7.383451,1.163554
6.951140,7.506716
25.948479,20.997158
11.250298,0.811581
16.752678,5.885563
67.859993,175.339905
14.611897,10.498325
10.052220,5.789070
7.671461,4.010516
16.088522,21.413963
40.222954,11.509397
38.440372,30.974333
24.136206,22.765949
33.314884,26.437164
5.688646,4.250456
46.504070,33.702797
18.649696,8.299032
50.277485,23.553423
33.648426,19.640341
26.971245,27.649458
19.222628,7.595352
6.590899,2.666133
37.927769,23.642912
24.170427,20.438576
41.495758,17.215490
32.568420,20.365402
53.763725,23.260977
6.185574,8.062334
33.387009,6.405593
33.726288,39.243267
5.661569,3.324052
10.012179,11.548636
49.089775,24.965921
52.471619,22.915432
10.323789,20.127949
14.595181,8.147665
12.698757,7.900756
8.171233,3.009489
32.379509,38.473148
6.260219,1.906873
6.064446,1.085252
37.807747,24.983311
60.365803,34.350601
81.298988,25.975077
82.266129,20.804836
7.602972,2.667793
18.644096,13.925378
17.459959,8.272793
18.408871,7.762103
18.943722,6.287467
44.677956,30.222393
16.561087,7.164723
23.157860,7.405945
43.971127,18.104233
11.268856,3.742643
22.434820,25.431105
26.131023,28.497561
4.465078,3.586100
30.132341,12.917731
29.003206,24.661745
6.520222,10.771089
18.751865,12.626157
10.827554,2.181858
35.114807,38.133980
7.635418,3.665195
27.908272,6.435078
16.581011,24.834185
20.397560,24.678602
25.009863,8.584083
21.969652,7.323630
26.671139,16.141027
14.681894,3.936951
33.957611,28.579391
8.441758,3.423502
37.029648,9.496881
7.788662,2.242546
20.780474,6.077595
34.777470,11.574848
5.198494,1.924182
4.817251,4.970192
22.977407,8.654134
63.741028,16.014885
31.721466,25.800974
19.654133,15.407773
27.835838,10.292771
18.460791,10.088794
7.607553,2.920767
4.926413,7.563317
16.064058,9.805500
5.972698,0.896207
31.208967,18.679361
14.190919,33.135746
10.260541,7.991427
46.560932,16.017365
52.902493,40.132446
18.818426,7.899438
17.572317,17.397713
26.367163,20.393686
14.869401,11.059222
16.203459,7.452540
26.212784,7.772857
42.340710,16.487103
63.915955,38.173019
23.394766,12.161436
16.996683,10.197872
40.160126,51.365231
9.013369,1.901524
32.457909,23.187828
6.297448,2.401174
27.013073,45.085056
12.868815,12.155262
66.120476,100.254234
31.104860,14.290868
34.974731,29.542664
48.959618,53.306511
57.561668,114.095421
32.779442,15.067528
13.586467,3.196540
34.145481,13.404171
13.237489,8.129745
20.029793,10.107316
27.794111,31.618458
6.098066,5.193471
27.261208,19.796860
25.397297,14.691289
24.762901,22.546370
10.976559,3.222922
45.122406,15.552806
31.889002,14.590520
4.116876,1.394736
34.404854,22.717413
34.432610,32.076866
9.871988,2.226292
29.277042,8.314059
12.035436,4.129939
60.878399,26.762550
5.643772,2.448044
37.018120,92.083710
6.919051,0.567940
48.894604,17.543066
48.144985,37.883080
26.856297,35.229923
26.939728,14.737820
19.972429,14.203827
38.477619,31.447939
8.750011,3.497171
23.957283,9.991060
27.036543,39.236465
15.131210,2.709627
7.196177,5.538373
36.739704,23.534784
5.037644,2.603287
32.194790,7.372396
19.429605,5.313299
15.923977,4.804421
14.653199,14.236827
17.012152,9.982929
8.418687,2.804767
13.235938,5.855319
7.736094,3.169692
5.336062,2.426594
30.354477,13.773520
9.161839,2.153913
7.067519,2.972206
13.445176,3.674681
12.245158,2.838231
30.713448,9.967106
9.065648,13.796949
18.946844,10.315228
76.111092,172.015732
17.796951,15.504503
32.604912,8.726853
6.767610,4.178736
16.013050,2.738337
6.994994,3.067463
29.913391,30.872520
5.906629,19.887539
43.116280,36.289959
5.221480,1.699224
8.368362,6.378431
4.887338,1.359011
23.370941,21.892220
11.588686,5.159919
40.662071,18.784000
29.704473,7.571648
5.080514,4.508751
24.599314,25.498989
29.013235,9.027798
30.311243,12.103079
5.208491,3.185128
28.468994,5.552759
59.737751,44.816032
12.323818,3.026246
31.855352,12.820606
32.459225,26.641323
20.907721,20.004477
10.731688,3.776662
23.726185,5.328887
18.618427,16.152641
21.158405,8.603512
34.004578,56.273800
10.977566,2.587056
5.040421,1.812096
16.368891,10.394514
29.496290,22.954178
15.407419,24.038174
10.387463,3.433733
6.647205,5.090399
66.449516,72.916962
43.658501,14.835876
8.393209,1.174504
61.741520,17.123825
9.550396,1.851978
13.632291,3.165478
8.399609,2.091966
13.748787,2.792239
17.808893,11.497737
8.180313,3.619208
37.607815,17.461643
19.982185,15.985794
17.977385,17.885832
27.612368,26.493874
9.309811,2.988037
36.654678,40.093788
23.077110,9.059384
13.762665,1.574853
6.561132,1.347429
21.254290,17.837353
6.884165,3.150936
8.754686,2.257221
14.535571,7.686678
13.781929,4.384256
38.959595,14.970685
21.288691,3.142885
21.790300,3.966187
25.567289,14.724934
7.520049,3.490934
24.315685,12.780035
14.845327,10.969717
16.816587,1.907462
23.604454,10.647722
24.207150,58.975945
