"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
18.785044,12.963399,10.377650,8.803916,1.910846,1.818174
15.988145,6.047838,22.450615,25.726856,4.759957,5.232976
16.442343,6.107935,23.823191,32.611317,5.791217,5.571013
40.336372,27.394318,51.931561,58.149990,10.622460,8.172375
17.241390,11.796813,7.616060,6.806840,1.493098,2.156866
8.124383,5.874569,3.117526,0.626465,0.143625,0.189945
6.491183,4.153182,2.795966,-0.825257,0.503017,5.063204
30.870073,20.023533,48.121223,51.299610,11.125675,12.921451
25.185034,10.914611,12.331975,7.870416,1.400858,1.218585
26.374449,15.975721,12.220650,12.181707,1.675446,1.505122
7.141234,4.755250,5.221104,1.507785,0.146834,0.605138
9.724343,6.477815,3.863432,4.883695,0.533779,0.130880
28.564953,18.550640,35.329784,38.275429,7.264319,4.971272
14.703211,9.916502,4.833306,9.081738,0.506455,1.027815
12.801744,8.466510,4.786040,4.776156,0.923592,0.610765
11.598537,7.885969,4.523208,5.697879,0.934995,0.401353
7.295143,5.265494,4.259845,3.330757,-0.109836,0.998929
11.525372,7.751461,4.252527,1.870441,-0.105470,0.285041
4.259600,3.077289,1.921160,2.567907,-0.346399,-0.556715
16.657171,11.253700,5.372759,3.366371,-0.258560,0.438770
36.399990,22.360386,45.907768,50.278015,10.254826,4.494881
9.878455,7.201756,4.312744,2.639105,-0.123409,1.257928
18.368483,12.434012,10.911331,11.467558,1.270977,1.258621
25.834026,16.602312,27.027014,25.586676,4.866237,7.223475
16.813187,11.547396,6.134700,9.058905,1.771492,5.648921
11.376300,8.111982,3.687732,3.645704,-0.286932,-0.427202
4.938640,3.371866,2.478943,1.213986,0.405156,0.300170
7.661381,5.131258,3.257107,1.784878,0.185648,-0.035807
12.139340,8.393696,5.664342,4.058215,0.694354,1.722374
9.813830,7.316428,3.827782,3.319051,2.058723,-0.551672
47.814732,24.578362,36.048805,38.071663,6.653649,4.833923
18.925697,9.726665,46.422016,52.649109,9.294405,6.915590
40.911407,21.501406,51.740833,55.388691,12.134982,9.422477
52.041134,26.277277,69.782730,88.290901,17.270077,16.357689
44.679245,25.298986,54.636475,152.313126,40.508728,53.939575
15.038917,10.244733,6.651115,6.252233,1.228025,0.640634
4.650624,3.033278,2.015255,-2.494315,0.374566,-0.868375
6.598682,4.505625,2.696210,2.962144,-0.789283,0.031770
19.968117,13.866764,7.206172,5.343527,0.852212,3.713075
7.696195,5.241615,4.943110,3.906491,0.167575,1.084039
20.245369,14.083246,10.901431,14.734426,3.050085,0.616582
8.844067,6.356502,4.369666,6.758756,0.759703,1.498472
4.777440,3.300045,2.080170,2.906210,0.700970,0.521434
7.047186,5.198030,2.592816,4.728794,-0.332534,0.491644
6.307208,4.598011,2.058540,2.399843,-0.157996,0.367056
10.099998,6.946635,3.211818,4.221745,-0.401506,0.411179
15.043883,10.271612,8.057854,6.568347,0.580979,0.931100
8.881303,5.796284,3.751973,3.307550,1.171297,0.291312
6.256766,4.545401,2.574968,2.350937,0.438797,0.159477
11.560623,8.039256,3.753650,5.506582,1.485575,0.939362
10.407546,7.325520,3.061114,7.688073,-0.167610,0.675549
21.045467,12.795006,15.233883,15.118233,2.813344,1.438316
43.363468,16.372425,58.194035,67.760765,10.743248,19.320862
9.776645,6.886206,3.555376,0.694617,0.219167,-0.033995
4.277978,3.157263,1.477087,3.368536,0.687205,0.145260
17.160978,11.529423,15.501475,12.663559,2.154152,1.005224
9.863432,6.678354,5.118621,4.773660,0.509142,0.607533
6.880077,4.896375,2.413386,-3.330335,-0.790497,0.585171
17.731659,8.000296,6.457158,6.051502,-0.113655,4.743432
32.228355,20.608086,54.717781,47.550278,8.509967,5.770532
27.947340,18.746880,12.139590,17.589737,1.513281,1.190166
11.190184,8.139990,6.074428,2.755507,1.306646,1.486730
10.141119,7.037285,4.499978,5.139866,0.798673,1.241765
8.835738,6.019072,5.931754,6.188676,1.605139,4.044138
16.078928,10.980994,7.443776,11.205956,2.378274,9.186797
10.609528,7.274753,7.050330,8.245900,1.729011,1.750531
33.682476,18.748032,13.360789,12.313877,2.223585,1.914663
21.105297,10.392041,7.312458,6.141398,0.927774,0.266572
85.527237,44.931606,94.000732,108.377686,21.616953,13.021575
88.724960,41.568325,117.072678,146.896698,25.568243,14.463511
4.685919,3.222209,1.153782,2.618038,0.104591,-0.316574
7.817992,5.443053,3.366324,4.143464,1.021500,2.647321
21.578905,15.028450,8.790024,9.764524,1.763320,0.468777
10.023179,6.834883,3.369384,2.098026,0.548392,-0.362536
12.324750,8.812659,7.989315,10.614806,1.196952,0.841059
19.600327,13.373196,12.122534,9.102256,2.046389,1.411497
36.238308,23.324131,31.326149,29.188156,4.123510,1.559633
19.379562,13.326896,6.203501,4.269431,0.561488,0.260359
43.223907,27.574417,55.421764,65.907829,12.255078,7.970521
6.476940,4.632321,3.705205,0.067466,0.382883,0.230301
13.186463,9.398194,4.509909,3.571797,-0.718939,0.455732
13.302848,9.070848,5.053529,4.735060,0.757764,0.148457
