"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
20.039692,13.650044,7.174901,5.315207,1.188797,9.195936
13.175016,8.809679,5.028514,8.261862,1.607251,9.357946
29.214024,19.917139,9.571669,7.990180,1.208711,9.495811
23.168058,15.873931,7.532729,4.325209,2.494053,21.054863
27.296452,18.281799,7.998532,6.506582,1.950634,13.745387
16.620964,11.901792,3.928937,3.150060,0.944312,3.392694
23.123320,15.398911,8.375756,9.690914,1.582515,16.951982
24.782703,16.010471,16.733562,11.254516,3.175993,21.950630
12.549185,8.763122,6.376862,3.727573,1.265027,8.689284
13.352554,9.277113,5.500595,6.022849,1.789830,13.629817
8.288648,5.960694,2.990618,3.320055,0.511432,0.097559
11.715338,7.866365,5.829406,6.074002,1.270125,11.862380
16.064934,10.936504,6.269122,12.514025,2.181384,15.037057
8.001028,5.659300,3.482146,-0.158338,0.384922,0.298617
23.743279,16.385822,7.281039,9.165640,2.510669,26.375742
5.968704,4.178083,2.271275,1.551462,0.663334,-0.138397
11.152025,7.600089,11.523224,10.551241,1.462943,12.011955
16.890692,11.093135,5.725220,5.509280,2.082123,18.968939
6.064722,4.282733,2.171374,2.203309,0.082540,1.241257
63.436619,37.758217,80.951935,77.422806,16.362854,126.236053
8.937125,6.445469,7.968055,10.408072,0.853897,12.748395
23.200607,15.609349,6.729104,7.028588,0.484256,10.440811
26.464720,17.911917,6.428912,10.162867,2.418391,0.890447
10.588794,7.492814,5.465646,10.891917,1.978043,5.711462
9.767852,6.923983,3.668297,4.472824,0.184415,12.036549
17.442221,11.697798,8.463260,9.690180,3.026628,23.564825
22.307121,14.739663,7.061450,2.833234,0.859118,7.384824
6.421031,4.566683,2.492164,5.219970,0.396544,0.650497
7.088576,4.990985,2.640317,5.191331,0.712226,12.867658
21.834866,15.083152,5.893841,3.565691,1.418888,1.821795
10.236040,7.015495,3.063340,-0.579380,0.380406,0.458738
11.462146,8.109233,2.720212,4.632887,1.366169,1.868400
13.888206,9.355410,4.771937,7.318851,1.647407,7.506546
5.572669,3.877376,3.897600,5.115922,1.156242,11.553563
25.001637,16.769323,20.979006,28.589045,9.317663,26.948542
12.232937,8.489972,3.812964,0.643846,0.498828,3.017675
6.384255,4.543898,2.858837,1.237460,0.338822,4.396860
35.083851,21.152964,10.860362,9.003044,2.742320,10.279854
6.488688,4.696232,2.137535,7.502524,1.181066,2.572810
15.048936,10.719521,11.959848,10.941102,1.690311,22.513151
13.564633,9.642939,5.314493,3.045819,0.469298,0.734541
40.710709,25.353695,53.107941,64.830040,14.457177,123.796326
7.948019,5.268429,3.270478,3.710472,0.314925,0.721606
4.684443,3.473787,2.453411,0.242799,-0.815091,0.584581
14.453487,10.014880,6.501641,6.392557,0.853587,13.900103
10.096424,6.900859,3.022370,6.827553,0.438501,7.274214
19.751497,13.308111,10.027402,7.150990,1.992905,2.296558
16.083916,11.213154,12.856218,17.473284,2.754800,18.499802
24.597513,16.981314,10.160052,10.497216,2.097363,27.121910
8.054041,5.796213,2.674151,7.011445,1.056635,4.099217
19.980051,13.917317,5.749136,5.918696,0.482948,9.568899
29.277534,19.676722,11.680832,14.882316,3.210114,21.419756
18.531435,12.359365,7.872257,7.587678,1.324448,8.908352
12.260921,8.640966,3.741250,4.333455,1.044876,6.282142
25.671347,17.424229,5.988103,10.231570,1.212656,13.789117
13.439926,9.194828,7.387366,5.886312,1.771680,11.460629
15.764928,11.240733,6.426888,8.369605,1.206169,10.591104
19.187073,13.029309,7.503470,9.745176,1.454287,9.092475
12.802427,8.778494,3.962159,5.922821,1.244654,4.486068
31.030899,20.531792,9.371709,8.659745,1.568292,10.496017
23.890287,15.496758,12.389805,11.384408,1.706304,23.402094
15.926393,11.145971,11.429025,5.111101,1.163666,0.643149
7.671142,5.190972,5.658115,6.637581,1.392040,23.625267
11.591677,7.743315,9.849403,9.831089,2.563104,17.670120
20.815138,14.170081,5.284779,6.419703,2.678532,9.751568
21.350893,14.492161,8.973410,19.866590,2.529699,1.889936
23.205626,15.284286,12.824614,14.204786,1.823241,2.032621
20.479759,14.496655,6.140023,5.487265,1.113648,14.518093
33.139397,22.012905,13.438711,10.168371,2.757903,20.928364
11.094026,7.388638,3.382211,3.012461,0.875614,5.891865
6.458870,4.534465,2.983924,-0.227262,0.247571,0.244622
14.216342,9.684997,4.989145,4.758277,0.942861,7.576554
31.348005,19.163580,36.892723,46.660488,8.704994,42.540615
13.218781,8.910079,6.178939,5.307924,1.027375,8.995499
28.581564,19.493811,8.629149,6.797243,1.361378,8.872955
6.174514,4.431545,2.096069,2.031900,0.316332,0.171146
9.000639,6.234286,9.596777,8.563307,1.682128,10.578091
