"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
52.556896,32.464130,26.666636,97.726685,26.160236,40.537128
38.725525,25.777454,17.914576,80.691902,20.083828,36.756466
26.132805,17.109522,9.139154,48.550003,12.482677,20.605350
14.667903,10.319731,7.886604,16.753736,4.892540,11.468062
7.550928,5.250793,7.051290,6.099090,2.200848,2.914660
26.958410,18.127378,7.635691,58.908646,15.885711,15.481646
6.201649,4.168441,2.145407,47.737865,11.948558,27.900667
14.924240,10.303683,5.355937,5.585362,0.823973,6.201396
66.120178,43.263241,65.827904,227.669830,62.524765,188.851105
22.417480,15.380629,10.347613,73.427147,16.409523,23.509727
22.901194,15.726318,10.489914,59.303837,16.918377,35.027550
39.174629,23.155670,14.236625,74.911674,21.698378,39.264477
14.863903,9.990459,12.117000,62.750011,19.053013,37.138176
29.741121,20.307737,7.986013,51.353745,11.573098,31.089338
13.570260,9.427814,56.555489,262.926361,63.992023,126.904907
6.597816,4.757917,16.869522,0.035875,0.448864,0.551481
15.663041,11.536857,6.182925,58.588909,14.216750,37.451656
4.244120,3.005977,2.007743,15.914641,4.044522,8.098892
17.942778,10.889789,2.342950,8.723192,0.865355,1.630877
35.705666,20.881998,66.446625,378.027313,93.135910,136.748657
28.975760,19.842686,11.721276,42.953873,12.560377,9.166749
26.410505,17.592991,8.755843,43.295441,9.863737,26.279409
66.284622,38.236626,50.052082,310.699463,76.921638,76.773460
8.297542,5.677018,4.707853,6.967119,1.077270,4.757072
49.051579,28.286287,37.211380,225.616257,55.192356,163.555923
18.571762,12.857466,7.748361,36.441719,9.600128,9.281134
16.630821,11.321694,4.473513,32.573051,6.235162,26.830090
24.257774,16.132845,13.730385,69.664581,19.055420,31.108789
8.468331,6.150653,3.487473,3.554211,0.930271,0.521343
38.055935,24.055319,6.948318,29.856119,3.188264,5.921743
5.853705,3.719596,5.647702,4.203298,1.288329,9.112597
13.095691,9.162089,7.488591,53.235329,14.620405,26.922052
4.347871,3.206118,5.544028,188.742477,67.400284,111.159821
36.949608,23.133966,36.715061,186.503799,46.101971,115.285477
5.370496,3.616248,1.551612,19.449053,5.707421,6.334415
15.814584,8.703595,3.884454,5.108393,1.320962,2.499372
7.084857,4.940627,32.041035,293.724304,59.096413,80.898254
24.238827,10.380260,2.002758,3.955854,0.819241,2.004892
26.577362,17.971378,9.372318,50.514454,12.068985,7.348339
18.759264,12.184364,5.901075,28.195200,6.376477,26.623823
14.186597,9.765009,7.484212,6.059120,2.117141,8.509072
8.297168,5.852962,25.809502,568.008484,93.021057,116.443588
14.886119,9.983396,4.517978,5.833724,0.297052,3.395330
4.784529,3.199128,16.004332,1.522469,0.861348,0.398707
9.113188,5.406727,4.903841,292.884949,99.960106,218.990479
4.688210,3.162456,16.369543,-0.325016,-0.247803,0.239603
15.004564,8.669439,48.749935,193.553879,48.300518,86.904915
8.291510,5.719990,3.458864,9.688028,3.080079,2.142901
8.104781,5.354116,12.111727,3.998780,0.302966,0.423989
13.830429,8.878489,4.607955,29.176905,7.655158,5.786380
16.552107,11.552205,6.095862,5.121583,-0.146163,0.747039
