"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
78.211060,40.017231,39.359676,193.977173,53.798252,374.738342
61.702393,38.259140,16.109455,56.925068,17.778278,189.820023
23.073036,14.912257,9.189198,31.353094,8.414898,43.153278
73.232475,36.686920,59.502350,197.798462,52.372589,168.638718
8.358765,5.647521,4.277480,19.753670,6.075604,77.353569
48.376801,30.609068,21.519039,71.994881,25.708429,400.101166
16.081560,10.668686,5.391051,19.599421,5.600250,7.282966
34.176483,21.900364,11.518370,61.150928,17.195173,83.764420
45.041367,27.012632,17.021715,64.633438,20.231310,345.660736
21.037724,13.885267,7.216354,21.182293,4.935388,47.698353
6.794508,4.709474,3.748411,9.486063,2.867026,9.916704
38.810028,21.843414,32.302135,153.053757,50.909172,476.815125
9.423517,6.358867,3.187905,-1.287109,-0.402977,0.420937
9.852618,6.391722,2.123837,15.480088,5.800285,49.494427
31.106745,20.597248,8.374835,36.346119,10.206562,105.840393
11.101683,7.351912,2.414255,19.624121,5.528224,62.794209
53.095177,32.777088,14.904698,75.035179,22.098516,59.324005
16.368816,10.940547,9.635720,67.026382,17.205822,82.051674
40.787392,22.745869,20.737314,143.860641,41.071304,486.143280
32.038235,19.813883,13.908659,62.803112,17.982101,212.360001
6.892512,4.614415,2.892268,10.433093,3.506175,38.370392
41.895229,26.595676,18.381964,101.220169,32.147156,419.241791
8.749511,6.071097,3.304801,16.632708,4.409386,7.160116
43.517063,28.305803,31.931225,145.278717,38.151958,108.013580
11.304886,7.717440,17.716072,80.173531,26.707186,235.621368
30.775097,20.303755,13.203044,58.274750,18.479179,112.759262
35.025185,21.911295,37.651997,172.278717,46.480427,184.569092
20.447359,13.691439,7.396375,12.876543,5.411563,11.917313
28.578455,11.643818,29.277472,159.588181,50.115353,258.485687
45.219227,25.672750,54.607094,235.529129,64.784004,379.839203
39.861473,24.715691,23.952703,107.055885,34.824265,434.002380
15.655031,10.810039,14.351626,58.021584,16.961700,70.698921
15.192897,10.286196,5.687008,1.084927,1.293532,1.051003
32.964043,21.989557,13.084059,44.610546,13.999412,106.527962
20.747984,13.564979,12.149997,63.200905,15.397883,20.904068
15.643008,10.595685,4.141818,32.646320,8.201870,17.762476
17.400858,11.013625,5.639796,37.933250,10.801375,70.414253
38.829926,23.807993,31.442318,61.405178,18.666706,69.398468
36.914810,23.067814,17.915367,85.823334,26.774467,353.928040
43.702106,27.199013,11.262821,47.590424,14.186754,70.836784
8.960681,6.377557,3.552265,3.220969,0.597979,20.798195
15.996635,10.735774,14.306768,52.994881,15.565271,143.413177
37.022984,24.433468,14.848275,46.876102,13.183115,45.774570
21.320154,13.453034,23.510775,88.189735,27.877399,194.508209
29.881018,19.811024,8.778595,27.667965,7.805984,44.655083
15.415277,9.922099,15.708262,65.813904,22.024891,321.829987
21.560192,14.589849,10.366980,52.018082,15.651060,91.759079
36.780254,21.711201,14.990192,120.804855,36.630314,233.398590
22.803114,15.455434,7.936714,11.748291,2.025873,1.360508
8.911921,6.406565,3.896630,15.286407,4.795560,43.647457
9.038513,5.967488,2.710813,12.370665,3.013693,46.743671
16.695303,11.406456,5.253886,27.164289,9.261738,94.968620
22.842279,15.319570,7.468339,43.561420,16.634022,162.000504
10.902612,7.694922,4.459723,22.470455,7.039308,76.202881
7.913242,5.095129,3.403742,30.813526,11.832488,163.771454
19.130526,12.551762,12.173617,47.564953,12.463002,82.768280
20.411772,13.621104,22.515701,95.444359,27.453703,116.549934
4.960572,3.446790,2.016617,14.013126,3.313026,18.958088
15.104404,10.273855,4.730675,12.728663,5.298133,21.386292
88.287193,50.622124,24.452513,114.586403,34.803967,438.534943
6.489633,4.724053,3.521477,22.622627,6.152979,37.113865
4.588087,3.547095,1.316771,10.118972,5.102762,50.535984
10.823849,7.113579,11.037733,72.504845,21.738079,151.692368
26.468735,17.508940,19.411184,124.440201,37.528839,337.308838
115.031738,61.106117,49.075947,178.277969,63.673756,1011.204224
10.448675,6.893283,4.172859,5.250472,1.042708,4.038209
5.783524,3.962265,3.212790,-0.568612,0.422038,0.670738
29.365961,16.999096,10.894104,44.438564,13.853157,136.033127
16.635941,11.438564,4.960003,23.619205,7.905180,37.478287
32.294369,21.350430,8.550935,53.645214,15.781268,59.988308
33.986076,22.219400,9.868406,56.821716,20.772335,161.450882
29.976301,19.954163,12.724358,65.724907,25.092165,484.435944
20.924770,14.402840,14.723689,70.931320,25.212023,309.337524
17.032768,11.275191,3.984198,24.788935,8.076284,102.386391
23.695227,16.030066,6.709645,42.413536,13.078581,91.701210
32.071747,21.139917,22.045338,156.621765,51.367306,678.067444
12.585859,8.538363,4.045583,20.066040,3.766060,28.786579
7.465762,5.193960,1.949849,20.612034,5.244080,35.515625
34.241196,22.401688,15.880676,39.921227,11.232772,33.095665
8.332105,5.380002,3.655162,3.406046,0.282798,1.106053
16.907515,11.366578,5.074679,21.308455,5.164684,78.726501
15.858613,10.703538,12.552825,20.977575,8.821830,111.983765
26.456430,16.964148,17.593500,92.099586,24.227757,239.055008
8.487523,5.487215,1.540905,15.240066,4.704117,69.264252
62.750862,36.823803,19.335226,53.325459,18.634230,204.930817
22.430275,15.200193,6.976000,36.301216,7.924819,68.626373
22.142542,14.890804,6.227605,70.450584,18.197958,63.044189
25.641726,16.704586,16.469490,50.154465,12.342166,37.938747
47.404545,28.346476,18.275648,35.938377,11.375889,48.444134
37.888340,24.195234,12.896353,53.152187,13.423820,72.736526
5.931591,4.071772,3.105170,11.319624,3.683839,15.498246
53.467480,33.559345,24.524775,95.599365,27.430983,104.781464
30.808214,19.509109,8.918790,71.652245,17.720352,228.082855
30.429949,20.084677,26.936188,122.935722,34.279327,209.154724
58.267765,33.141949,29.039629,135.202087,43.766022,415.732300
10.427024,7.452209,4.258714,20.033781,3.828169,62.044682
13.565600,8.953098,6.419303,30.015902,11.828988,209.720306
22.840723,15.443806,6.330459,6.037724,1.466285,27.109589
7.841334,5.610008,3.343977,-0.083068,-0.089820,1.382758
11.976898,8.338351,3.900694,3.942319,1.366157,16.025368
31.616196,20.790590,8.741079,39.935123,12.169615,118.627563
50.137138,29.603914,20.845776,92.216705,24.603199,86.002434
8.799829,6.079101,3.797781,2.034854,0.270396,15.296219
32.289074,17.041121,24.394773,95.817497,33.036591,410.926910
56.279404,33.390152,33.871883,122.686966,34.271236,224.481918
5.478355,3.629496,1.912025,5.270524,0.068331,0.657289
40.376354,24.021446,33.000042,111.937065,38.741501,546.783081
43.815575,28.574453,16.782722,73.110191,21.088884,85.843674
14.627728,10.100319,7.708432,44.265667,12.123164,40.443062
37.699467,23.215912,15.092222,75.800758,22.805349,168.006821
40.673290,26.910141,22.091078,82.830849,25.962120,345.936218
12.000825,7.962677,17.872406,67.980537,20.367584,140.989288
22.899525,14.888269,8.719915,43.204262,12.999231,89.716812
31.105164,20.627777,9.514241,31.428993,8.553407,15.342649
30.328793,20.352987,18.615152,44.349857,12.743692,81.665901
21.889614,14.457415,11.733367,65.715454,19.070700,122.277779
6.505594,4.185363,2.812034,21.184004,5.547469,83.161316
49.312843,28.975536,33.247505,163.609940,53.276154,444.202637
14.422885,9.709209,5.096702,24.036179,6.254951,38.638393
16.584318,10.995404,5.909667,40.933834,11.511230,99.991318
28.105528,16.248159,47.876820,288.394684,87.445984,481.761444
62.595570,36.360157,47.375565,193.424149,70.370636,976.166565
25.695889,16.746870,10.203112,47.313412,14.207773,187.622330
70.513802,37.164345,40.969547,169.509369,47.758343,299.342072
34.374882,17.469124,22.528780,131.617874,30.829521,147.482193
13.967937,8.786141,20.997524,96.478638,24.985048,108.075394
56.976810,33.172058,19.594976,70.307770,16.907494,111.014847
36.891239,24.449501,14.333350,71.158630,20.765703,51.586987
11.271461,8.011952,3.664679,3.029870,0.922615,1.002980
23.386009,15.727817,16.073339,80.074898,23.594610,58.398285
18.983921,12.547870,6.912460,22.513067,6.012935,23.374823
172.254776,69.080040,95.786713,528.249023,167.284470,2375.022705
69.522636,37.041725,24.453039,110.426834,29.520796,201.351456
29.765593,19.740700,12.805531,64.323166,20.898638,165.809402
22.057047,14.431924,7.530404,21.900408,5.946198,1.704407
23.205248,14.814605,26.406153,130.158905,39.700039,186.050766
23.406538,15.999276,16.927685,82.470039,29.484785,304.282440
18.603085,12.835258,4.524291,24.128677,6.085368,21.336714
21.840082,14.761092,6.023698,36.431843,9.772559,123.034454
39.955219,24.635586,18.766111,52.080841,16.129705,132.592529
16.045988,11.147714,5.069186,18.016859,5.436388,57.293652
32.780857,21.932949,9.221783,42.491863,11.225362,78.444695
19.322289,13.080013,7.382043,35.956528,9.602635,78.905533
17.331747,11.590636,8.355562,41.932999,11.657074,32.002960
9.390255,6.295237,7.258915,41.115993,10.654575,30.771128
36.853199,23.649633,11.813188,41.836998,11.703611,71.446396
15.793439,10.521441,8.784682,41.030655,14.953028,135.608215
8.797978,6.076231,3.606217,17.843876,5.977531,56.696259
9.170985,6.640157,6.792485,26.196121,8.494159,77.156624
43.249596,28.100012,12.559005,46.710304,11.358735,2.408029
46.557529,25.646883,39.135490,144.044769,44.928757,388.221039
14.872628,10.273108,4.143512,16.433426,6.736225,65.858078
13.195973,9.030579,4.992161,16.405148,5.662649,31.654541
36.883194,23.551302,10.873590,52.531513,13.739141,88.845222
6.235525,4.306718,3.678884,11.075085,3.316616,0.144112
32.907246,20.938740,10.819341,40.984081,13.272623,77.612328
21.877312,14.071997,8.402794,30.934540,8.528978,59.215290
14.755499,10.078916,5.898753,23.891495,9.265594,67.780251
4.558678,3.028365,1.689958,39.851410,9.190110,8.797011
45.931244,23.952747,51.160271,116.562599,33.117271,235.756027
48.739693,29.575489,19.419054,49.463100,12.812971,54.519444
35.789593,22.821955,26.171497,144.398697,40.386238,180.531479
19.292747,12.829566,8.053341,22.661455,9.237225,131.138397
