"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
34.059467,22.566904,18.546396,82.778252,23.577251,103.462852
7.526829,5.095551,3.101665,8.213063,1.972944,2.030426
8.096594,5.360010,2.711487,9.242661,2.524880,0.575214
8.859095,6.042062,2.661201,9.737445,1.039574,2.185236
7.238408,5.017769,2.474527,12.610520,3.759525,1.095802
9.093246,6.301195,6.084364,19.709238,5.342443,6.231169
24.527561,16.159201,16.253294,20.890791,3.095742,7.084448
19.453867,13.093431,11.910542,67.327896,16.152309,14.646221
5.685364,3.834912,6.407535,33.251823,8.636628,20.730927
13.801156,9.291993,9.738694,52.694656,13.257087,49.127289
43.911118,27.099863,22.715458,84.923210,26.387739,104.940468
14.765699,9.497890,3.375661,17.361977,4.918622,21.693775
11.466539,7.585300,3.479700,9.654756,2.396342,2.528303
25.840702,16.251200,30.552782,151.680206,42.743679,132.889435
11.535359,7.550733,3.563291,24.764666,7.648703,27.134434
51.060757,30.533028,18.274178,97.505478,26.857605,152.866150
7.509338,4.870835,2.576617,6.327263,1.727237,3.064950
10.540797,7.463370,4.082170,5.688863,1.637650,1.038864
13.470882,9.270036,4.632624,41.992561,11.014940,21.870487
14.772224,10.213509,4.726810,7.440736,1.070998,0.550349
42.678795,23.268581,34.689892,170.556107,48.580494,181.503479
26.001040,17.694275,6.101924,55.580013,15.342327,33.913292
24.462614,16.686537,12.478530,10.297963,3.042711,35.043030
11.700218,8.215984,4.250607,34.003971,8.670945,20.209429
7.809492,5.561995,2.238760,8.971112,2.159797,0.406324
23.715797,15.753809,4.699399,38.460014,11.825640,51.296173
28.951565,18.963827,34.357010,176.287292,43.721157,159.154114
12.421643,8.353005,4.132195,29.629644,8.833465,20.135731
12.738811,9.033447,2.395919,32.226448,8.190183,36.746174
11.964996,8.095692,3.194409,30.551573,7.876660,16.603828
95.445488,49.264622,69.009850,435.105408,115.812332,242.626404
20.482679,13.591407,7.541952,15.224906,3.702513,3.183314
15.311253,10.464518,5.036638,33.929104,9.195580,17.144775
12.268027,8.552616,7.180822,35.788731,9.422063,37.539612
12.802256,8.700662,3.968006,25.408863,7.166421,26.262178
42.417919,21.640137,13.729888,64.149864,15.475608,56.126575
12.743194,8.817447,5.515906,30.532761,8.319743,36.305679
14.649133,9.984553,2.600597,34.326321,8.928009,20.394651
11.988617,8.173763,6.113231,32.867485,8.038742,31.438694
13.515580,9.132074,5.397557,32.800800,10.252135,24.935038
21.548357,14.466456,10.803705,32.310047,7.523475,7.389478
14.741179,10.030077,6.375279,34.465267,9.949535,34.589172
24.308247,15.821189,11.239802,63.233994,17.824654,12.289790
19.783157,13.105108,6.461695,2.704362,1.687744,2.532526
11.035303,7.460068,2.802559,6.640687,0.633404,0.824717
25.991802,17.163008,6.369484,35.544598,8.619932,55.398186
61.703159,32.440868,85.126205,372.819580,99.523849,304.403961
97.278725,47.195351,80.646172,414.643433,110.654121,444.038910
24.075422,15.825197,23.743134,118.533424,31.647463,106.656021
6.556959,4.772752,2.468303,12.279198,3.163365,12.324351
5.304454,3.483486,2.375645,13.233119,3.422112,9.699600
23.795273,15.866762,6.173433,67.496689,15.178568,45.231140
32.163136,20.690323,14.162277,82.105377,23.316694,76.931190
15.103257,9.827283,6.861586,22.263187,6.163557,14.439613
6.282575,3.981118,3.933790,12.937311,3.743283,1.262867
27.324398,18.055513,8.575582,41.850033,12.408033,24.221180
16.868277,11.147754,7.114938,32.689060,7.807137,24.959490
10.889769,7.352994,3.499567,13.164993,3.904922,17.414238
30.142550,20.821196,7.826772,10.095935,3.426745,10.413303
19.435966,13.467772,14.660205,36.937698,7.599074,4.910918
10.087190,6.768878,3.521985,19.605812,6.395655,18.665329
13.221403,8.970982,4.595026,14.848055,3.091562,3.220830
4.970369,3.529345,1.130763,15.155635,4.169405,2.778056
13.917808,9.830524,3.993908,10.591121,2.517301,2.305123
6.686511,4.664931,2.037541,7.276125,1.442702,2.451635
18.047592,11.881332,8.505578,40.320835,10.033175,2.974697
31.860664,19.857300,51.935394,250.592651,70.779083,259.421692
14.956507,10.153263,5.485967,30.025318,9.041995,30.000677
14.904041,10.057669,8.826365,44.456917,11.396051,33.775429
7.551042,5.005604,5.260606,16.284285,3.618911,1.389758
14.403491,9.680418,4.645091,11.991837,3.216405,1.840338
29.236633,19.677303,8.745313,105.965668,28.527470,66.235725
63.066982,28.961342,27.820829,161.333008,43.965031,118.222740
36.231716,23.088501,17.862890,67.278755,19.005890,65.205513
74.637833,41.677864,15.704175,111.804131,28.277510,108.169159
5.667296,3.824180,1.465155,5.999603,1.559819,0.728081
14.398316,9.654646,4.040379,41.515503,11.596779,15.732554
13.776201,9.287179,4.436255,10.879688,2.428710,3.529323
12.194757,8.604435,4.170749,8.475790,2.396450,4.639894
6.649059,4.534707,3.218791,10.069461,2.219625,1.081652
25.098059,16.156750,6.494275,34.119312,9.617334,50.130299
25.638327,16.969513,11.048605,51.538769,14.540323,51.773090
13.936280,9.230954,5.503094,42.085915,9.950584,27.129267
70.763611,37.860497,59.104004,243.358932,61.966808,170.873398
6.436493,4.239104,3.642363,14.145679,2.339827,3.236475
7.736326,5.004681,8.422450,28.866325,7.676895,20.578644
52.533009,27.128721,198.702484,799.577942,218.444138,817.533691
18.364098,12.146401,14.850075,153.433044,37.149120,78.321350
19.374413,12.754352,4.844359,27.436295,7.399634,27.411055
6.736050,4.816128,2.391788,9.628853,2.279535,2.599784
41.545860,26.795780,9.331670,50.540878,13.453993,64.755524
7.707940,5.515857,2.663708,6.689906,1.196047,2.892115
26.927023,17.541296,9.595708,61.157894,15.020381,20.662056
13.878431,9.481984,3.588549,21.462963,5.402537,2.475596
23.160646,15.346810,6.269566,30.629833,7.591954,8.160751
11.223000,7.726773,5.270968,20.205048,4.107000,2.505111
6.779545,4.609636,2.189384,6.750427,2.062554,2.237765
9.171512,6.342437,3.717730,19.252947,5.281367,23.474291
37.551567,24.678301,11.463009,62.121788,16.069490,62.789009
19.285553,12.583532,7.143789,30.902433,9.298620,62.651524
17.460546,11.680067,17.388464,102.352020,28.482981,87.216255
13.670742,9.344386,4.435104,29.224369,7.684867,12.658793
15.324049,10.280465,5.511735,27.800884,6.701187,18.863392
20.532967,13.799442,4.343013,46.757530,14.548218,30.045256
36.987785,23.808790,39.640629,189.216888,49.011181,166.296326
4.490389,3.317135,3.003403,13.114906,3.328258,10.095979
18.044687,11.926797,5.466468,18.122324,3.953482,3.104983
37.783993,24.795864,12.967927,65.286018,18.102409,39.666199
23.712950,15.624982,12.198428,91.171227,23.842630,44.547531
17.886395,11.905865,5.299416,27.170736,7.262917,31.592037
41.787762,25.455563,20.964806,119.340912,29.458914,94.274284
50.735634,30.831814,44.886810,193.413101,48.048088,153.426163
7.744846,5.678375,2.555407,13.780269,3.583960,19.549654
7.842079,5.363077,2.291857,1.986222,0.692690,0.996961
18.366135,12.005072,13.672081,84.481483,21.846621,97.609146
46.515255,30.993925,15.887335,12.599421,3.302688,7.908972
15.797587,10.498416,7.640263,34.587536,8.729541,16.931505
17.490808,11.995081,10.910222,35.830254,9.504912,12.166542
48.299992,28.536705,40.063770,166.388229,45.575760,140.604736
31.527004,20.920956,12.503245,100.926788,28.594276,74.171967
30.976147,20.296383,8.915977,51.085083,13.085513,36.759640
8.405517,5.722790,2.565011,10.489714,2.053059,1.273030
16.159851,10.292003,18.353189,92.973618,25.622030,99.831085
9.598760,6.726303,3.101381,8.254260,2.055132,1.589781
42.900322,27.368057,11.444823,83.872414,23.303656,46.955284
37.463463,21.986431,10.448668,52.939178,13.332044,30.241213
6.887288,4.683085,2.745617,5.016310,1.119785,1.820742
21.221500,12.760728,22.214151,141.150543,35.209919,61.580723
5.642115,3.897516,2.318501,6.288692,1.107514,4.270171
6.715110,4.832546,1.783854,26.253595,6.613880,17.651184
13.163073,8.801975,4.622100,27.811661,7.261539,24.567945
17.761478,11.826809,4.205825,34.424656,10.017529,39.331497
25.254047,16.661369,11.212701,20.914646,5.471125,55.027931
10.199415,7.404771,3.299727,14.674207,4.553828,18.912281
5.315066,3.471313,1.998288,7.979880,2.339778,0.793438
8.808849,5.793216,3.803353,21.946970,6.421975,11.958681
13.105152,9.311057,3.750499,28.997606,6.397302,19.732826
33.354530,21.883528,20.848970,111.853043,31.942329,67.384216
42.855507,27.452591,29.485060,92.955475,24.651258,86.595116
7.840308,5.475670,3.621375,16.208487,4.060522,12.757916
9.408797,5.932796,2.897738,5.789107,1.568574,2.386934
4.620139,3.483536,2.076137,3.397489,1.217908,0.352579
60.247955,34.620003,39.171558,111.749214,28.552004,171.713318
50.730186,27.117615,37.846344,232.278351,64.989731,166.174866
25.014435,16.267172,8.525973,47.731922,13.307900,47.434593
9.442427,6.404377,3.514892,13.386165,2.766902,1.945357
48.352310,28.214088,32.261505,182.961639,51.442684,172.414566
15.133355,10.337687,4.334357,32.896343,10.082994,40.796989
6.634625,4.886332,3.266773,12.425517,3.765365,15.301910
21.168444,13.682279,9.047148,14.182323,2.969415,4.017293
61.486588,38.082607,25.952433,130.164581,35.361721,155.684952
13.872161,9.277085,6.580069,14.640596,3.532344,2.364676
15.448357,10.340177,4.590081,8.147324,2.260227,2.596875
38.782707,24.724033,12.448766,50.111069,12.962307,49.000561
48.605431,31.044584,16.053370,18.844088,2.593217,6.743812
7.873644,5.517994,2.296360,5.024324,0.856767,5.404173
18.062569,11.811041,5.495435,23.192118,6.866602,24.165260
10.141480,6.993872,7.050148,4.558209,1.353609,13.817009
14.271895,9.805696,4.690297,26.850775,7.280694,31.002346
21.437922,14.613565,5.324378,13.165674,3.504735,1.086837
34.681984,21.591497,29.548386,188.625015,47.602844,121.240501
7.404121,4.867329,1.793730,21.217260,6.058183,31.404539
12.858773,8.904045,4.023327,19.853949,4.386185,14.782748
31.480036,19.927740,13.334807,130.307922,33.560474,76.920929
40.078663,26.727581,15.241327,104.361664,27.570631,87.673294
21.172297,14.327831,8.534263,78.474594,23.546785,55.256794
66.793388,36.360870,28.955534,147.535995,35.890537,84.074104
23.348505,15.319863,8.186234,74.664299,20.963709,84.498070
7.233708,5.072500,7.186153,37.065735,11.145372,34.846806
6.752224,4.944605,3.106310,18.876921,4.533692,13.121805
6.949175,4.695384,2.710341,8.784057,2.896184,0.979972
11.599298,8.327470,4.741884,19.977259,4.401426,17.920723
28.626085,18.367006,11.927987,73.721382,22.390738,43.747662
18.555138,12.281898,11.269694,71.871445,21.414595,39.279854
21.111088,13.881629,8.138543,68.733078,18.103142,92.252769
77.257957,41.122486,29.567877,141.395996,36.675594,162.235214
6.970372,5.085522,3.622370,15.963139,3.913565,19.515640
14.346753,10.035629,3.944596,59.980289,18.803925,4.967501
18.357483,12.744707,6.816663,71.584732,19.862173,35.624958
18.720329,12.376951,6.258475,34.722763,5.740967,18.647703
5.068863,3.207156,2.602375,34.545330,10.631961,10.614587
13.084740,9.148333,5.458632,29.348829,7.599015,18.136463
13.745086,9.432414,3.467517,24.384846,5.506600,18.051189
50.505428,19.752245,17.873022,13.158509,3.041780,50.159317
8.850348,5.992551,4.628138,14.014931,2.452383,1.228294
50.885517,30.686836,25.649128,142.639938,39.500038,134.116211
33.866180,20.214186,30.953463,94.199158,25.321547,51.140968
25.018188,16.567268,18.423454,135.304855,36.146469,85.213722
39.619770,25.132536,17.293495,117.703827,31.970083,74.653275
6.421178,4.235560,1.945556,6.739736,1.787407,0.935205
24.118860,16.104944,14.191884,76.639984,20.073986,73.407288
9.023890,6.275522,2.781612,23.346088,5.800440,19.065771
27.403790,17.810051,8.346689,45.777927,12.216934,36.279842
38.383240,24.267967,11.581860,47.670887,12.031716,50.287891
17.967644,11.961940,5.433176,38.086330,9.218699,28.910824
8.988234,6.429964,2.416513,7.997921,1.450448,0.892752
16.232212,11.081147,7.768448,42.104755,11.245578,14.861127
24.082348,16.272633,14.335589,47.630146,12.309007,20.650923
19.663841,13.067030,13.148833,91.144836,24.916794,53.562401
18.152056,12.017817,15.922605,115.270943,31.405102,74.147614
20.086836,13.172827,11.886824,98.914017,23.608435,61.688301
7.996139,5.454691,2.629926,8.132803,2.314251,3.095244
28.299173,18.128193,10.730024,72.684929,19.246693,48.581841
5.990584,4.250249,3.176742,43.168217,11.237249,20.278614
6.287980,4.439092,2.543160,11.188762,4.155893,2.505755
6.024917,4.012678,1.368935,21.723131,5.472203,2.180650
19.425751,12.985500,5.873129,31.341787,9.280666,30.271143
32.764912,19.469246,43.212669,294.898865,77.421387,225.625229
24.297121,15.473405,12.451431,82.804146,25.943003,59.841412
27.287241,17.082621,20.254478,149.212494,36.896893,114.817490
26.279390,18.044905,8.313310,66.879173,17.228254,43.571232
27.082457,18.108852,9.472363,9.867457,2.912620,3.707854
28.598835,18.918585,10.048786,63.448540,15.992780,52.949871
24.840528,16.332930,22.526859,77.065102,19.676649,49.601509
44.317066,25.124010,21.487740,35.768536,11.328707,51.471992
48.727680,25.114382,26.202723,45.381584,13.176500,57.759834
8.708097,5.858635,2.233313,26.444817,7.875002,19.612835
20.074020,13.163140,6.315852,28.715605,8.452203,57.409378
23.137020,15.040901,6.757443,36.334915,9.161972,30.141008
80.707703,46.417778,26.856892,110.711075,24.463352,82.364433
30.185635,19.717823,18.833214,98.448143,26.120134,61.684204
5.596128,3.917548,2.555909,23.588512,7.091483,17.289968
18.320089,12.222550,7.531072,56.017174,15.934266,36.583313
106.529228,48.489986,201.418182,944.345154,259.708069,949.583191
9.683279,6.493149,6.538484,20.826347,5.411938,20.594770
55.163784,34.262325,20.774113,76.386208,17.974104,93.444229
18.062698,11.910736,6.262364,45.402874,13.048087,59.548111
8.244649,5.461317,2.627626,24.883446,6.807745,9.833726
18.948072,12.757927,5.059142,22.589029,5.645713,2.004689
10.016264,6.655243,2.574653,12.560920,2.944384,15.272888
34.303200,22.348118,11.383059,72.615852,18.437809,27.340857
11.961636,8.195695,2.772663,22.736921,6.787510,52.072781
17.850414,11.933105,13.560671,65.928360,17.826483,65.293335
22.510666,14.398870,6.922931,83.617752,19.383091,67.234703
5.829138,4.002583,11.918753,60.598564,19.407890,47.922413
12.826016,8.641288,10.750803,74.090408,25.648907,31.796162
15.364882,10.526848,4.946783,68.504196,18.915230,54.792236
25.724691,16.662317,36.965366,203.562195,54.287445,115.247841
16.267187,10.677414,4.850952,27.091303,6.300469,22.237165
58.503288,33.466755,69.205467,319.185181,86.211548,243.888229
22.753447,14.713874,16.148666,102.269455,25.986502,40.636864
10.673223,6.772285,4.241110,18.763674,4.059322,3.027348
11.449123,7.942566,5.233760,4.287541,0.992387,7.268786
14.066044,9.583186,6.554060,35.813110,8.735507,24.675566
11.139166,7.515257,3.677422,19.079634,5.487734,18.224110
19.371893,13.134410,8.789612,52.242992,16.063683,63.438087
50.375080,30.518183,15.093047,85.593231,21.653933,86.567444
29.302513,19.761559,12.033034,75.759880,20.499781,42.828094
25.786428,17.299751,9.341221,44.913372,11.295611,24.332153
6.310912,4.437666,3.110397,16.311161,3.951032,9.859760
20.823908,13.353184,16.922695,120.465988,33.998177,66.226814
21.518505,14.906756,21.707563,49.502590,12.593939,26.611824
16.692642,11.271326,6.384717,44.044155,11.124990,29.291689
102.021133,56.626865,59.798302,253.161102,68.837326,255.968445
16.752682,11.103020,6.293692,31.936287,7.296501,20.094299
21.975300,14.844520,7.139526,28.792940,9.251413,35.620602
9.756359,6.883786,9.549199,76.271477,22.564554,35.929497
45.910915,29.715321,10.260320,68.314560,19.604710,56.363094
12.997676,8.640655,16.501158,61.427937,17.055038,61.158913
18.701645,12.638786,5.800232,47.399998,12.746506,40.995205
21.068716,14.077290,7.974894,24.009531,5.667448,14.408763
39.715565,25.827703,14.250155,66.562668,17.710415,72.622246
42.756035,23.944860,44.320141,317.307220,83.031937,196.945175
22.998056,15.601534,6.238934,42.753582,11.524217,42.150646
23.726496,16.056227,6.568448,33.591656,9.798410,20.044712
12.441655,8.228087,4.624786,24.455305,6.642299,22.238249
30.458509,19.538008,9.930663,48.664215,14.300693,40.409355
10.665859,7.547697,3.430397,25.047724,7.363870,17.111399
14.854911,10.525622,3.383140,21.784327,5.736147,9.189602
49.872906,29.903450,28.369661,135.580185,36.865440,130.876389
29.491287,19.139633,10.112519,41.298527,11.549474,33.445404
25.387018,17.224543,20.220713,142.432281,39.615284,139.958389
25.689140,15.477426,29.505381,146.774384,38.535892,100.106590
42.576702,27.456638,15.548313,97.364006,27.149691,97.194519
14.457201,9.154100,19.565077,88.905289,24.479507,52.608757
25.433258,16.464041,9.810933,52.616016,12.788252,46.079453
78.276398,40.916672,66.677498,365.330322,101.961472,277.049835
47.121269,24.613218,47.757565,339.939911,92.861557,268.165649
59.080894,34.117569,26.533669,189.624924,48.775345,103.546761
9.689937,6.832632,2.115161,18.152624,6.171052,25.073885
22.108936,14.718495,9.436476,51.291599,13.567671,39.859753
10.209345,7.023273,2.795146,3.862143,0.755600,0.322383
24.902233,16.081306,6.032277,48.362476,13.329833,34.268478
23.942707,15.832647,8.274442,21.769741,6.169354,6.865016
10.016142,6.590406,9.490137,78.114784,21.542521,41.023491
35.049202,20.466925,18.943775,105.572510,29.452383,90.536583
10.548104,6.853013,4.997586,27.135279,5.953598,12.834149
46.414749,29.899237,27.290174,240.460846,64.415161,153.757874
34.815521,22.315985,30.291922,157.634689,38.950760,126.087708
31.051958,19.928972,13.918341,44.449272,12.966983,42.426712
8.222651,5.321096,2.397896,14.425441,4.992859,19.768126
18.533989,12.438737,5.822954,36.755398,11.124535,33.293118
29.064705,19.102085,7.698361,50.657955,13.861028,61.732376
22.654049,14.825747,21.128420,155.947388,41.437775,108.170723
10.376775,7.449230,7.498450,44.180546,9.821800,38.637688
26.430826,16.263172,28.456692,156.510406,45.945637,111.902084
10.067085,6.895240,4.538005,36.073120,9.710523,23.914249
6.617908,4.535231,2.090059,33.961815,8.237977,14.336540
61.804790,35.725201,57.473293,304.566925,86.604828,258.255188
22.048670,14.344410,6.341976,40.081898,12.810490,34.120796
7.870970,5.337928,9.893000,42.043358,9.774263,39.284878
42.452831,25.289383,33.587944,138.867081,38.757648,114.875671
55.914261,30.512913,17.296736,76.772842,20.943222,97.032860
17.564747,11.604088,5.452106,32.391739,10.098776,31.943348
6.942962,5.369416,2.647904,11.737926,3.306239,8.851205
18.619087,11.705549,10.194271,71.168533,17.500696,44.517811
73.675026,41.474350,19.939669,114.248268,31.047646,107.743088
7.854469,5.275658,4.951219,32.050953,9.826857,37.834248
47.488148,27.246590,68.840309,493.861237,135.639008,339.927429
27.256054,16.308989,43.229733,281.528839,80.342911,166.319458
48.037373,21.272335,14.457722,92.128441,23.711006,104.184143
21.393568,14.621103,8.829811,22.203638,5.549268,7.681332
17.119783,11.341597,8.517698,17.483587,4.090511,2.639409
9.025156,6.219747,2.289755,27.843801,6.965214,24.249069
30.383884,19.108694,18.664183,118.531593,31.352461,69.767433
15.924917,10.591727,11.103436,76.033669,20.984325,80.887512
16.955633,11.483560,5.361126,11.962996,2.796971,24.933935
57.752056,34.600372,49.205837,282.753754,76.926285,202.828140
11.717129,8.353112,5.009164,7.950943,1.815509,2.682961
47.722397,27.933100,29.830265,265.204773,75.310928,187.449554
24.052189,15.172385,10.534876,49.923809,14.487557,62.890133
23.920908,15.192040,55.074848,312.185699,84.794083,208.192291
19.943817,12.931290,6.746232,28.008497,6.565397,31.700291
80.593040,33.756073,33.287254,187.953293,51.047615,164.893768
18.200047,11.557267,10.514010,67.310326,15.574172,40.214447
36.629963,23.082678,10.804126,49.003716,12.421924,60.074787
13.747893,9.576242,6.368589,41.422836,11.547647,37.246223
11.634630,7.830691,4.555994,21.658285,5.274316,10.643144
18.312494,12.366219,7.486115,49.567089,15.619288,71.788452
11.821625,8.133704,3.575739,8.150320,1.285529,1.343518
21.778433,14.619205,7.135527,40.152878,12.557847,41.003407
12.424933,8.632156,4.752267,22.014212,4.913486,22.597860
12.539261,8.050578,9.169898,80.874252,21.016233,18.607487
13.830902,9.483963,7.173886,24.972982,6.336773,15.451180
5.714849,4.098966,2.772966,13.235075,4.540344,12.271986
73.109200,42.626686,42.387245,137.754898,32.762917,58.859173
26.711130,17.822624,8.306897,43.922115,12.562326,32.138123
9.351812,6.082794,2.260608,8.387369,1.113607,1.424607
12.288639,8.423221,4.688298,11.879813,3.812590,23.091791
