"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
39.685726,24.153818,21.670507,93.984306,24.199211,20.216377
20.437916,14.372895,7.305274,18.096548,5.783358,10.333984
19.713709,13.233544,8.016041,5.257095,1.102230,2.737785
16.830225,11.046946,5.034667,18.941774,4.692710,17.358978
11.856658,8.252632,5.148252,12.628393,3.570076,3.544333
12.142292,8.544237,3.239064,4.546221,1.156706,0.722869
12.642357,8.880759,4.436005,11.239648,3.542555,3.452759
16.136732,11.079271,8.407534,6.268325,2.125981,1.613603
9.828207,6.688306,4.884799,21.220064,5.973627,8.298823
17.643740,11.809693,4.441288,20.756523,5.378895,25.971691
13.467122,9.079232,6.365708,24.088833,5.398291,2.366690
13.972161,9.253750,4.723247,19.310076,4.732748,8.611115
13.936517,9.462132,4.959542,6.705795,0.909351,0.783948
7.303359,4.990212,1.992547,15.459677,4.625239,10.959749
25.061256,16.339796,7.573877,29.558067,8.138409,15.606680
5.367956,3.723334,3.425714,13.036532,4.692147,3.291313
7.752404,5.450669,3.591775,18.519875,4.018490,8.183630
13.779292,8.867179,3.688975,18.964546,5.816237,5.149536
19.769148,13.023698,5.158075,22.951214,7.301037,4.101661
24.580645,15.920297,6.564102,60.443382,15.740735,12.478447
15.262402,9.993436,4.149384,7.687715,1.647344,1.709835
11.735221,7.913392,4.321824,32.338631,8.325589,8.108994
27.189957,17.129042,20.556892,80.279480,19.846422,18.332256
12.890527,8.658489,7.739316,17.446898,4.013374,3.316354
32.877441,22.453474,12.275949,53.995483,13.230016,25.821001
10.418668,7.178369,3.977350,16.119410,3.983192,3.004713
6.675297,4.529013,2.222278,2.698969,0.019352,0.853919
8.035735,5.560647,5.915869,20.839956,4.830027,5.866337
18.647457,12.436157,6.813998,38.471096,11.596680,34.172535
8.461988,5.654285,5.053148,16.157072,3.937564,4.107384
6.569186,4.525850,4.150594,9.393483,3.194218,3.928615
20.918768,13.652442,11.759859,85.703270,22.447178,22.442705
14.932356,10.342447,3.864202,16.278234,3.862430,4.054965
8.071568,5.989140,3.563430,15.478434,4.274786,3.671250
11.343860,7.296852,5.658743,20.683378,4.803679,9.444168
6.865964,4.641845,3.896445,19.100470,4.601986,4.936200
8.814821,5.903018,6.516766,22.826145,5.066951,6.758886
12.279242,8.504451,4.051843,11.453114,4.156055,4.981418
7.688496,5.533992,2.992694,25.114399,6.616092,6.917640
10.126957,7.087397,3.556691,15.332233,3.993190,3.691798
5.724056,4.410914,1.963973,19.956585,4.299278,2.831994
8.589470,5.955981,4.162665,14.698298,3.279523,2.050520
15.940350,10.801046,8.004883,29.265545,6.393412,12.153960
13.853066,9.641363,4.170442,21.327494,4.786834,16.172808
26.108959,17.149401,11.610121,29.135000,9.247943,11.062078
8.773448,6.100386,3.270395,13.940333,3.301080,5.673351
12.678926,8.560861,4.517713,32.180691,8.417060,3.631435
6.411418,4.089272,4.391418,18.356787,5.256491,5.140660
6.957154,4.701540,6.717802,32.191437,8.770679,23.077122
4.444431,3.384202,2.832902,2.738864,0.593302,-0.307923
11.759996,7.725429,4.241533,18.505503,5.388086,6.811406
6.666282,4.666812,3.685583,17.450151,4.662396,3.745524
35.773376,23.589493,13.890615,57.680840,13.715594,21.126137
10.234792,6.745008,3.998414,17.083740,4.219030,3.851952
8.598849,5.690103,1.874879,15.625334,4.050690,1.931298
13.748457,9.296969,6.087731,18.079628,4.125923,5.716008
4.915158,3.182665,2.964947,10.155430,2.849309,2.211389
17.373907,11.747525,6.934659,17.647413,3.093511,1.486277
17.581766,12.154202,5.424709,24.401073,7.415884,12.018252
27.106838,17.984375,17.580568,74.998947,19.116106,27.987873
13.168406,9.240803,5.795365,24.935387,6.374208,7.838177
23.465912,15.837437,6.503807,22.372372,5.643753,13.772746
11.568892,7.801806,11.539700,96.264557,23.192881,15.824972
24.555511,16.269733,9.023227,31.108738,7.457257,7.545336
11.476337,7.503066,5.150928,31.954456,7.297729,6.233454
21.622089,14.414291,9.291967,41.722038,10.726627,10.670590
5.359341,3.774537,2.500092,12.259446,3.875214,5.546611
10.724301,6.887882,4.935494,26.343586,6.468357,3.063265
4.509403,3.069144,2.528102,18.677643,5.498130,8.042622
8.794967,6.104237,3.187398,23.111576,6.399870,4.495996
13.231056,8.795408,7.004259,22.279240,5.482636,2.766133
15.817970,10.522029,9.381574,35.437260,8.235047,6.748939
6.446941,4.577796,2.534834,2.407276,0.352585,3.023839
8.615147,5.693483,7.146546,26.268551,7.556773,5.482810
60.797375,35.360725,39.896378,179.462204,49.331299,64.649658
12.573224,8.829062,6.773284,5.777985,1.209518,1.911239
12.135660,8.296614,4.154763,24.479446,5.287791,4.169055
14.566165,10.340035,4.171741,26.771904,7.372240,9.688182
83.781219,31.538393,117.367928,155.001602,25.369745,24.403292
6.645485,4.488931,3.440410,1.765903,0.714762,0.191602
5.248875,3.751355,2.040451,5.698481,0.884837,0.130228
31.707823,20.936798,29.861185,27.796955,6.022296,3.781889
10.633445,7.308347,5.227857,17.875843,4.520923,6.282797
5.968695,4.153834,3.227459,19.674034,4.828465,2.611091
8.724172,6.070159,3.710279,12.590774,3.844691,4.909340
9.559320,6.408490,3.600453,19.408203,5.689474,5.090346
8.995629,6.529356,1.797720,19.458204,3.581097,6.576742
11.751277,8.087564,4.734247,19.661045,5.661371,2.788646
11.875117,8.054645,4.118737,17.606424,3.721476,3.565582
29.813007,20.044399,8.057366,38.814625,8.309712,13.462683
39.572735,25.391972,20.988106,63.905926,16.024057,13.457911
29.891272,19.340319,12.675876,64.242889,15.880082,20.546556
15.771014,10.781653,6.457299,11.697571,2.795600,1.459856
6.229007,4.599172,5.783290,24.654989,5.795732,4.806169
7.854649,5.703256,3.181201,15.506133,4.174735,3.835609
9.614476,6.811245,5.964421,22.739367,5.697651,10.322536
6.386350,4.396013,4.119612,18.485502,4.450319,1.783804
12.159792,8.081938,4.089478,10.095085,2.521855,2.885186
13.959884,9.663652,4.682187,27.274014,6.811543,25.106653
14.745940,9.775915,6.328804,23.428162,4.394410,2.592813
16.102238,10.642469,5.932200,26.794298,5.967222,5.235159
13.913808,9.344386,2.751516,27.987595,6.766221,5.538395
16.918276,7.991646,21.110842,65.322388,17.496168,18.384411
5.505779,3.484500,1.926653,17.578907,5.254524,9.938708
34.986069,22.343946,8.914249,53.318069,12.644244,15.120100
10.863718,7.421750,4.844269,22.690983,6.616796,6.735951
26.551992,17.297890,6.738989,48.591343,12.378572,12.945575
22.535185,14.816616,8.321080,49.468868,11.872060,7.070355
17.000044,11.901837,6.196847,32.102661,7.900373,29.052084
5.368505,3.513531,3.076078,12.072059,3.523993,1.391108
11.315169,7.801144,4.264752,18.693785,6.110297,3.800177
10.822795,7.272243,3.912346,8.025374,1.472383,2.257092
20.198395,13.948639,17.150080,94.134972,24.362514,21.722948
8.038676,5.622476,3.385653,23.429632,6.915890,5.322103
16.972080,11.028509,10.494353,49.022469,13.750383,39.441345
22.273016,15.124784,9.070767,46.986084,11.802844,18.049822
17.263132,11.780154,6.060335,13.322852,2.724385,2.329684
9.523252,6.608728,3.074924,5.343365,1.626720,0.713852
59.309444,33.266930,99.443314,112.073746,19.985933,17.838621
53.159863,31.815729,53.134556,218.999573,53.376266,99.268517
15.537892,10.546018,6.717660,40.422359,10.926517,6.272754
14.006754,9.674816,4.992095,18.453693,5.134275,11.156515
13.561191,9.178111,7.004161,24.672127,5.930124,14.976086
18.392025,12.433090,5.857319,29.901417,7.835095,7.952386
7.620030,5.456436,3.269947,11.778374,3.661793,1.073034
19.458719,13.273662,5.976971,38.544674,9.943420,12.004128
34.521729,21.971292,13.512003,73.879005,19.914494,35.935745
20.270683,13.401597,16.502104,49.096523,11.003423,13.575222
6.886040,4.568902,3.004805,22.906530,6.712327,4.162936
38.542435,25.401394,23.967184,154.956955,38.841549,81.273666
5.485053,3.827610,2.734766,12.895285,3.236655,2.370317
50.496723,27.116116,36.365582,234.271225,61.790546,126.463440
13.172245,8.787835,5.136055,18.344582,5.381763,10.346712
21.123079,14.332261,7.292441,33.983639,8.757438,21.682518
24.195560,16.136108,10.698615,36.833221,12.048113,11.059394
9.134129,5.961063,2.838239,11.030455,3.698208,3.798104
12.987194,8.746482,4.165142,21.448267,5.853978,8.859204
17.337210,11.309188,8.785041,50.278744,14.738275,10.542556
4.897919,3.572586,2.254538,14.148533,3.490235,2.387107
17.394939,11.136682,11.957104,16.605257,3.431410,0.990671
7.567931,5.002010,3.019271,3.912495,0.775036,1.743525
25.009071,16.026260,24.881430,119.121841,34.164047,80.857414
41.160137,27.417854,12.966916,81.559013,23.200979,35.957481
7.725409,5.251772,4.103088,18.805786,6.553843,7.056104
23.841999,15.931478,6.717278,25.108925,6.248268,6.528047
14.825620,10.158039,4.601540,23.044458,7.381578,4.958659
18.648235,11.978737,8.945057,40.925419,10.021407,7.061892
7.809210,5.225993,4.366528,19.810110,4.642609,7.639949
14.037410,9.296121,6.333692,11.810703,2.886039,1.161199
10.073205,7.090482,11.534998,40.948158,11.655443,48.634171
5.427742,3.551969,2.761094,12.467101,4.113466,2.617816
14.168844,9.933213,5.221760,33.174366,9.262263,19.611626
16.417046,10.721646,8.722199,43.863701,11.793411,20.630215
17.607384,12.120273,7.179956,26.426449,6.474594,2.939586
4.982263,3.578763,2.338022,20.888699,5.277664,4.706349
25.949877,17.007862,6.278350,37.137608,10.311313,8.060025
15.528251,10.056280,21.666462,68.080658,17.586519,9.985229
7.356947,4.811865,3.697269,13.494452,2.890643,4.623401
8.098740,6.006257,3.081773,14.951274,3.609685,3.939827
45.866035,27.064737,28.447803,152.878479,38.902985,67.794106
4.935015,3.494574,3.279405,13.374560,3.325543,3.918345
11.443304,7.766499,3.034080,4.095419,1.364867,0.906928
19.528786,12.932365,7.222503,31.403147,8.854306,11.665787
8.960704,6.072759,3.465619,19.316212,4.317510,6.664180
8.987683,6.341840,3.684977,15.403142,4.911892,6.078235
11.442513,7.766552,4.791764,20.664251,5.820852,4.952891
14.569981,10.085236,4.799080,18.153481,4.728068,2.597011
20.617588,14.068643,5.505361,48.663406,12.249084,16.911472
26.057013,16.943838,23.207050,157.869446,42.579502,66.809959
20.485443,13.092798,21.493525,85.373299,21.362425,51.969444
39.234035,23.829905,11.514328,57.697479,15.624969,26.080091
5.594142,3.871904,2.543568,15.344709,3.511376,3.372519
24.193710,15.376282,9.304306,48.306702,10.812942,11.355564
19.477358,13.502601,11.255396,74.909767,20.209988,14.036752
11.845990,8.144324,6.415635,24.305656,6.965007,5.120817
10.729416,7.156420,3.266725,3.949424,0.637511,-0.039814
35.519882,22.587353,12.526443,63.625484,15.251870,24.548534
25.556377,17.085192,8.580719,55.869617,15.908580,22.275219
19.651451,13.477129,5.576313,10.686021,2.833267,5.309647
8.761779,5.632566,8.446067,25.003708,6.695358,9.639970
17.851265,11.965700,6.176872,9.105629,1.881591,1.149318
9.074153,6.279680,4.271899,15.047265,3.788601,3.366641
29.537216,19.716839,9.769356,54.743050,15.132722,35.909382
13.166229,8.674365,6.463227,30.487673,7.188197,9.996265
18.866091,12.584348,6.872922,34.857826,10.952538,13.138518
12.363159,7.905465,4.691850,24.413439,6.214317,7.393137
52.135437,30.117140,21.970751,59.158360,14.018987,10.498931
16.946974,11.318244,7.742856,23.044189,5.080513,10.932091
11.903115,8.134245,4.107175,28.402153,6.905707,3.710225
11.196707,7.439906,3.857912,11.036283,3.227929,5.328263
19.976017,13.404138,5.959816,31.951618,9.261131,16.705030
