"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
12.044138,7.689584,3.133163,23.791899,5.690465,14.747397
5.946902,4.057954,3.923799,23.104420,5.897742,6.166120
79.293427,46.100979,38.499355,204.124252,52.825211,177.573608
12.276314,7.873117,4.527088,8.307646,1.225448,2.717837
11.020226,7.276070,4.511991,21.761232,5.593242,20.308725
18.772985,12.191088,5.498146,46.596607,10.850743,44.295994
8.749729,5.813743,4.729114,17.738085,3.106466,10.265751
60.664249,33.555466,40.885418,173.304581,47.200394,423.089752
31.564728,20.253370,12.126731,52.475471,13.229857,31.461567
8.196343,5.355226,3.404684,26.929680,6.065198,11.759491
17.338303,11.566415,4.649949,45.954033,12.940480,64.126854
30.318338,19.431362,15.961467,19.806931,2.359282,1.762379
13.818559,9.172215,3.308124,20.335354,5.942244,25.433681
69.210083,39.337746,49.011486,203.471100,58.063976,294.471039
8.304014,5.628126,14.665680,50.418835,12.853170,27.642014
9.257010,6.164740,4.169210,20.643063,6.168415,19.558851
15.473318,10.211411,4.714167,48.188202,12.293451,25.487774
13.264565,8.836661,9.129360,65.122032,15.921341,32.569504
43.203552,24.589861,31.194715,121.360703,32.862267,135.067673
42.917816,24.556770,78.275673,293.497070,77.640312,232.513779
20.416826,13.838651,7.230601,53.073109,16.320656,51.184452
45.757286,26.620667,23.988708,130.147614,36.832207,63.338554
72.207176,40.749645,76.969612,286.209839,68.734825,333.763763
15.178205,10.062298,11.163685,29.389294,8.928308,54.853458
96.303322,47.813580,97.191704,426.747650,110.316940,287.016693
11.440973,7.910791,3.534113,3.133260,0.483759,0.073625
9.306129,6.207480,5.682392,22.869858,5.867230,30.415014
12.446665,8.429299,5.208118,18.648788,4.644153,16.718510
4.885641,3.433472,2.610389,17.056280,5.012455,15.978342
25.648172,16.426992,7.062015,78.081665,22.103159,58.775749
41.777988,25.399876,19.613869,72.862259,18.871965,48.059361
7.206995,4.802344,3.377663,23.914509,7.977612,23.357777
42.706203,24.685709,19.531223,102.194855,27.647137,103.626167
10.437885,7.148808,4.832377,31.048946,8.128095,18.870012
49.190639,24.447731,16.271425,80.874336,19.973846,60.845444
7.573714,5.221679,3.735593,18.975363,5.088118,13.214735
18.448092,7.505190,6.084252,44.834324,12.516203,42.074921
18.209333,8.397639,7.301061,56.681232,14.429160,49.276588
28.853094,18.458185,6.692299,32.131134,9.733054,71.651787
12.414635,8.247065,4.382401,40.296524,10.906268,34.032131
15.082090,9.904078,10.074509,66.668114,15.873501,42.194359
14.515986,9.557055,5.710423,30.383192,8.562630,9.506921
11.872571,7.749289,4.362469,2.324557,0.552683,15.742755
42.266747,25.373175,23.669325,127.972618,34.133457,114.439316
19.764225,13.227890,6.716633,9.564626,1.341155,0.999867
15.840229,10.815352,4.346319,30.543873,6.475234,21.901569
6.984753,4.883493,3.052169,11.055408,4.206302,14.719525
39.872288,25.955116,12.376844,81.796967,24.415796,94.538841
61.185856,33.494873,62.751621,343.215607,86.966385,197.930817
25.691244,16.079515,33.773754,195.640198,49.885624,279.550201
11.781444,7.511806,4.627578,16.460890,5.237957,18.918230
36.770702,23.648745,17.333014,66.149109,17.666418,77.076340
29.017578,19.408585,11.803108,12.449147,2.177117,0.883757
4.487000,3.082899,2.082483,12.458342,3.289661,6.164652
44.472504,27.571207,34.631573,179.008469,43.284374,155.552475
16.214861,10.914401,3.864394,32.656429,9.684266,7.885727
23.545439,15.572803,8.383885,56.466621,16.064226,90.455009
13.341874,9.214566,5.061622,22.519453,7.436525,13.392928
19.440504,13.100247,10.500495,48.611145,14.407601,54.043617
17.355610,11.545165,6.256562,28.694908,7.363157,10.962543
28.660278,18.914875,7.103631,59.679504,15.932415,42.399990
17.782463,11.748081,5.174094,54.235443,12.156487,31.977661
21.556038,13.356005,6.992939,38.214718,8.980680,18.423632
10.607822,7.022907,3.211094,24.156340,5.584220,27.709076
12.384260,8.204970,7.302775,26.224537,5.102987,22.701162
10.970087,7.517319,3.308259,30.087048,7.402344,10.638419
18.248980,12.472047,6.482082,7.501791,1.079957,1.024872
38.376614,23.733583,11.248056,52.841335,14.282207,51.901623
9.949787,6.395560,4.136626,2.295721,1.180138,9.593953
