"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
5.495659,3.783334,1.660470,22.991213,6.655579,17.381802
50.335011,32.530857,16.620415,56.561714,15.720461,30.233212
25.625929,17.017723,9.302860,39.929722,11.125120,35.455158
18.874838,12.816965,5.356371,30.044165,7.202007,15.625346
16.196098,11.151802,6.113366,27.941540,6.894359,15.951414
8.421241,5.782396,2.974551,4.599839,2.529313,7.782501
53.073494,31.631615,44.313099,162.980652,37.714748,98.981201
30.524084,19.395311,26.387255,91.938301,24.209225,78.333046
8.645048,6.184766,7.744397,41.869934,11.728568,16.874043
7.624424,5.019533,2.217951,20.881630,6.165284,12.578051
17.130981,11.719003,9.057304,33.950874,7.950482,10.241308
14.597698,9.635220,4.397967,18.141216,2.931201,6.319863
11.616668,7.768405,6.593087,29.400280,8.072643,22.348892
42.015305,25.635355,21.219770,93.719719,25.271536,89.748825
10.398669,6.879346,4.460489,15.267228,4.696167,16.654007
13.839515,9.369085,3.743844,4.611442,1.328545,0.814186
11.920268,7.739487,5.675706,21.282959,4.451004,4.584111
69.148254,38.438713,25.918774,95.944923,23.327702,60.951015
42.417160,26.634539,26.394165,68.468864,16.948606,50.409275
28.862894,19.277229,11.793592,45.716454,13.127778,29.417990
34.157196,22.383572,14.233042,69.476479,18.522545,23.707293
22.215647,14.200013,6.462948,37.739697,10.466713,11.604853
18.618311,12.185194,20.110083,96.318245,25.840855,55.435539
28.839935,18.729290,11.660540,53.574341,14.125628,21.535568
10.265171,7.011580,6.681860,37.928116,11.675109,23.222342
6.872766,4.584375,8.928029,34.874798,8.898126,14.618256
21.423674,14.935508,6.415164,10.866695,2.628735,2.573252
30.133278,18.957865,11.581448,48.495842,14.452574,15.092114
14.744104,10.025269,5.073217,5.646485,0.937528,1.583841
16.368776,10.720203,4.906593,26.344389,4.788294,6.527318
22.697319,15.329073,8.014626,28.467001,8.477325,20.253345
42.372902,26.713966,13.647194,55.405834,14.254430,57.848103
16.855436,11.593668,5.050936,26.422659,8.180423,20.057991
15.792481,10.047977,35.226330,116.222069,28.845882,75.372093
18.728773,12.057595,5.930405,24.418728,5.540025,16.886272
20.384714,13.430908,8.307375,25.316521,5.416972,19.827557
16.539309,10.587466,7.281708,29.985863,7.090117,7.888427
15.278245,10.198176,5.638920,29.286280,8.631326,9.399496
6.941426,4.725276,5.544886,12.850298,4.435649,11.521593
22.194460,15.144037,5.587006,41.533298,10.498775,19.755589
13.909656,9.751491,7.182740,53.077877,15.430264,17.744797
24.967817,16.331957,8.494955,29.861317,8.948676,31.089739
26.670990,17.575949,7.647432,50.794743,13.038403,22.934643
57.722874,33.399300,31.318750,110.779289,24.936275,50.037598
4.672698,3.431748,3.378053,9.435945,1.973841,3.591378
36.686699,23.815840,19.023205,89.272865,23.686440,73.649567
40.098900,24.231636,33.817867,161.895630,46.353203,58.392738
22.550274,15.060341,6.239433,31.578854,8.555752,18.459236
51.827824,31.083986,24.089859,72.408112,17.606836,43.105030
7.304029,4.940599,4.262701,17.826818,4.546696,8.138615
8.571546,5.467128,2.797436,16.157057,4.108416,4.584494
12.950249,8.817203,6.202030,24.441868,6.217302,7.530918
12.274632,7.903458,5.783655,37.928165,10.859571,24.361055
11.264247,7.660535,4.849144,22.745745,4.958951,15.644218
21.574276,14.387612,9.652986,56.417500,15.864404,28.010830
9.562719,6.138400,5.365683,27.587790,8.132935,17.576189
15.878141,8.019702,4.609216,19.563507,6.298699,10.682948
20.258528,11.762784,6.548613,22.612389,6.314133,9.957836
8.877865,6.249052,3.623163,18.628260,4.048707,10.366835
5.606236,3.747925,2.932279,11.941238,3.710021,3.288096
5.815665,4.464801,5.116211,25.889778,5.845182,13.056942
30.253883,19.362217,20.194132,99.156151,26.804777,56.609524
14.775216,9.678637,3.904573,28.853109,7.222027,11.678555
63.013531,37.220051,34.573734,144.870697,38.777004,89.372734
9.084999,6.053481,3.749725,20.144316,4.995752,10.000974
8.728878,5.945664,7.404633,43.641541,13.468266,14.623983
29.258430,18.270386,28.350859,158.066757,41.839951,74.298492
11.682267,7.437199,9.189147,10.762351,1.803637,20.656942
13.302666,8.714895,8.690536,32.764736,8.590071,13.665306
9.817273,6.684071,4.288343,15.329896,4.165809,11.476990
17.820711,11.664061,8.448357,51.672333,14.093601,29.628481
8.726168,6.096981,2.497092,20.681734,3.777649,13.086523
