"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
19.007259,12.999642,7.958735,29.039263,8.821725,5.239234
14.768762,10.222505,10.096956,47.110744,12.889459,25.740068
4.793757,3.437402,4.977718,8.005883,2.960968,5.529468
20.011526,13.335764,13.048690,54.804710,14.744197,4.047550
8.031945,5.231392,3.782793,17.943670,4.016888,1.092228
11.330882,3.585131,1089.132080,44.637783,32.319176,3.653957
133.013565,52.475121,542.437195,73.929184,3.070721,3.710123
11.979591,8.500536,4.400523,22.396458,5.085665,5.953043
29.266323,19.108961,8.984747,44.347061,10.263024,3.920065
10.787855,7.140504,8.301746,48.709095,11.191029,5.668547
55.324486,29.251352,47.308002,167.440475,41.793823,25.443645
38.092869,24.482021,10.842786,47.577202,11.967530,6.337735
26.032616,16.999973,15.718779,94.588394,23.471579,13.952396
12.840255,8.484475,4.794953,18.258509,4.589494,5.544385
12.643454,8.618849,3.827804,21.358171,6.383330,2.752787
58.953247,33.157539,45.118652,196.779999,51.392956,47.472099
44.416027,27.194443,22.415079,69.077568,19.671215,16.941149
48.584175,28.474722,39.469692,187.848816,47.376919,23.089939
41.169662,25.093401,29.114357,145.996140,37.387585,35.596558
11.301387,7.299080,6.742827,30.442627,8.838381,5.039917
8.031193,5.278471,3.227164,5.039012,1.007509,2.142349
7.567356,5.319398,3.932204,17.894087,3.739509,1.346045
55.921768,33.028698,57.163319,230.658569,57.618137,46.549339
22.527372,14.243206,76.280304,546.193726,183.685486,323.787933
40.841423,24.955915,13.330425,85.408165,24.193001,14.686441
16.892082,9.512963,16.413027,1032.048828,347.306519,657.977783
66.708984,40.432945,23.129513,125.397163,29.069294,24.027388
9.497704,6.216775,3.345805,15.706977,3.217929,1.366044
50.742867,30.517822,55.101883,154.413498,38.573410,35.613056
57.879414,31.548452,41.259232,189.180634,51.010120,60.745296
32.788124,21.264744,19.238548,73.051704,19.197245,26.465822
23.217169,14.796851,19.773882,100.673264,22.154068,12.580667
28.172295,18.032877,10.877366,46.504185,10.689720,3.465173
62.382481,33.058231,93.122467,352.610748,87.560577,56.420109
15.161424,10.440164,3.960857,40.075027,8.278090,6.602442
20.570587,12.820557,55.808872,207.816071,55.073891,16.914339
19.892187,13.334048,10.545224,96.500114,26.621170,15.620066
21.583658,13.433040,22.835827,92.669273,27.247309,37.226959
31.076433,20.441828,8.300823,58.589565,16.059916,14.284678
24.575075,16.486811,6.791612,9.884699,1.197933,1.622164
33.304878,21.897486,13.688325,68.198006,18.868929,12.872757
32.581497,21.519945,14.528708,79.253716,17.455980,9.860797
50.191181,32.254906,49.290329,154.969894,42.024002,28.964821
91.509026,40.265755,188.700302,539.919128,137.658066,228.472931
32.446545,18.873644,29.632736,154.088699,39.016357,18.514906
40.933205,25.158613,23.988182,122.408455,30.839008,17.419149
9.958735,6.500925,2.290801,14.529819,3.534296,1.794143
36.219154,22.598183,18.149658,79.652275,20.440956,11.760629
62.772930,31.511232,108.558815,375.543365,99.033882,92.633270
42.541424,26.974291,41.533985,121.283493,29.729031,23.058567
62.217606,38.365078,32.440742,46.272198,10.303020,49.137032
32.710072,21.207338,10.530746,54.038708,13.230466,6.530058
73.934715,42.693497,60.126740,255.271912,64.126732,75.297646
34.641460,17.273573,18.035465,77.721512,19.399921,16.552141
39.282337,23.817545,12.687735,45.093491,8.429449,5.191239
19.053011,12.745456,13.419025,62.253265,17.473097,11.292224
15.624352,10.842578,4.798664,18.752096,4.093234,0.660057
44.729534,27.784513,56.209106,165.088287,41.547955,40.190933
7.233596,5.180936,4.459595,20.361891,4.238156,1.087439
16.329727,10.614379,8.973180,38.131580,8.403337,5.851011
41.975281,26.467976,9.198287,70.302910,18.523924,11.852337
74.120117,40.236237,21.066309,128.141739,31.476646,43.423203
20.794670,13.310228,5.391564,28.227571,7.840415,5.977231
9.975136,6.916096,3.368371,12.975311,1.498569,1.014729
15.790757,10.600600,5.393994,6.543353,1.446276,1.833247
56.426971,32.770615,54.823917,76.955864,16.935530,59.673378
54.876854,32.812012,24.054312,60.525887,14.995476,9.038896
17.129801,10.641544,29.163437,128.906631,31.929501,35.794937
25.448809,16.496878,7.203545,34.466194,7.860873,5.733496
