"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
18.088615,12.435067,5.914122,9.744123,1.722773,3.001598
8.273899,5.538056,3.680733,4.924526,1.365279,0.232454
7.821357,5.405786,2.740083,3.430527,0.909207,0.314276
7.332784,4.775583,1.753278,11.753461,2.998398,18.953205
6.984618,4.727852,4.454799,6.576768,1.425378,0.441669
21.435986,14.586718,7.206756,24.570557,5.939384,14.684856
20.649233,13.610984,23.695398,42.237690,9.683541,28.731606
13.720372,9.522875,5.054656,21.552876,3.913230,5.359677
26.942902,11.754224,7.594268,8.759365,1.719975,2.400903
23.412981,9.612428,6.972033,7.784672,1.311117,1.815238
4.187726,3.097787,2.633933,5.054634,0.508378,0.672378
11.305587,7.758389,3.300596,5.215833,0.822248,0.847307
18.476128,12.391819,6.603811,8.768281,1.409781,1.320123
14.874145,10.330789,6.167561,4.879165,0.872017,1.154902
13.404822,9.000319,4.871557,6.531156,1.879464,2.356018
5.950599,4.013251,2.403408,1.340776,0.327686,0.363800
12.081120,8.151474,19.719908,22.437525,5.887952,5.663610
19.759426,13.490592,8.114202,8.952379,1.909312,3.515991
20.673494,8.522355,15.180965,16.942482,2.979470,4.534175
19.179579,8.550301,16.336779,17.410007,3.355102,4.432252
18.547363,12.511136,4.506834,20.895483,5.611462,11.872131
6.062493,4.297060,2.470235,2.280683,1.001444,1.242385
11.251272,7.927991,4.271483,4.854004,1.534272,0.599174
13.516064,9.772381,4.751037,1.829919,0.535389,2.994649
16.088028,11.238264,5.520149,5.636106,1.409153,1.428630
21.639015,14.487329,5.850387,10.346595,1.720535,3.533739
26.016905,17.453207,13.817948,11.048995,3.014781,9.718673
9.454810,6.674539,4.621901,3.639473,0.848037,1.598387
39.090008,23.498779,22.799150,28.190840,5.048200,6.041240
25.623152,16.137075,18.814962,88.987457,24.240709,43.319622
11.555611,7.959078,3.021053,6.087074,0.699219,1.283487
22.874018,15.132545,10.605297,37.057938,9.750563,16.666319
9.731462,7.061808,8.385942,14.923501,4.012559,2.567974
44.756638,28.099125,12.095756,14.087955,2.366005,2.498815
8.902479,6.213478,2.595399,4.405117,1.021860,0.307752
5.153780,3.497436,2.048430,2.943742,0.870211,0.703994
25.543470,16.584171,14.248404,16.649412,4.058942,5.886709
13.137121,8.809627,6.900718,22.870058,7.394549,11.100957
19.284164,12.614071,6.828130,7.399189,1.240048,2.356581
4.482825,3.226923,3.710395,3.582860,1.791300,1.068117
10.095667,7.203272,3.361602,22.490904,5.636140,14.363322
20.431780,13.631151,6.804218,20.385323,5.216901,11.994772
15.393451,10.175436,9.037912,12.165149,2.375677,2.295496
11.165044,7.627203,7.584087,14.907697,3.063926,2.804188
18.273661,12.663315,8.160730,7.051754,0.955109,0.989144
17.059132,11.501998,6.748381,7.920880,0.906167,1.466168
5.136738,3.830636,2.637527,4.960890,0.710443,0.832603
7.333639,5.035316,4.405716,9.116711,1.117223,2.377573
8.980320,6.166383,6.875080,7.345106,1.042615,1.622987
37.140358,23.296923,66.265930,222.527557,59.393787,148.927353
6.909404,4.872036,2.204069,3.528358,0.508897,1.799960
21.361042,14.142520,5.530024,5.325456,1.577605,1.121843
9.096904,6.179214,3.896320,4.284995,0.750892,0.372604
8.551204,6.119398,3.033299,3.157499,0.354999,0.813630
15.651332,10.282998,5.206311,4.966182,0.872961,1.781169
14.509824,10.227756,5.051127,6.962941,0.501382,2.656238
8.325229,5.807177,2.507411,2.992138,0.647419,0.095286
8.380472,5.979703,3.245777,0.736465,-0.173580,1.014443
15.000978,10.017972,5.174494,7.747490,1.864689,1.087439
16.676455,11.362060,6.388818,23.179459,6.144254,7.191448
12.253335,8.599934,3.339685,4.650115,1.402082,1.275399
8.038382,5.614048,2.782755,2.766254,0.292730,1.047536
7.093621,5.085742,2.850096,2.351785,0.984528,1.555578
5.117394,3.604939,2.464024,1.504748,0.690733,-0.347154
14.164359,9.608779,5.354674,3.465711,0.366778,1.014687
7.495676,5.411606,4.162564,6.298768,1.486551,1.148129
10.735385,7.131470,4.169383,7.962900,1.240809,-0.143989
16.350559,11.282413,6.247334,8.185138,1.710700,1.197377
28.379896,19.396048,8.315213,8.955009,1.991549,3.999865
23.350321,15.991932,6.357977,3.537628,1.799492,0.396047
23.968845,15.997557,7.729882,9.568326,2.769593,2.494471
13.880592,9.759089,4.602470,6.912770,1.282650,0.357737
24.197895,16.021889,11.839251,14.489077,3.415930,4.467936
7.971736,5.601931,3.089491,4.035178,0.275522,1.286350
8.945714,5.972295,2.861007,5.076783,1.522395,0.566063
7.933527,5.716270,3.323894,3.404518,-0.030832,0.774549
22.205019,14.598494,10.835499,11.882919,2.828536,2.281720
8.021260,5.564035,2.831305,0.888968,0.988187,0.794832
13.002593,9.062199,5.539782,4.761887,1.434910,1.883957
13.683670,9.295448,4.802294,5.422615,0.514590,1.642848
11.915312,8.161145,5.904483,8.004032,1.735568,0.394741
4.430834,3.190827,1.558314,3.615480,0.281653,-0.407422
5.332465,3.508909,2.332514,4.046113,0.338761,1.585907
4.528172,3.284082,1.904895,3.141984,0.667750,0.602223
6.136235,4.025481,3.846109,4.365855,2.100336,1.063180
19.760937,13.122357,8.268746,7.172699,1.135564,4.568470
10.725685,7.292295,4.621573,7.916153,1.808147,1.200697
16.326633,10.773110,5.241825,8.512188,1.493507,2.474090
5.598299,4.117877,2.395829,2.132426,0.382895,1.220711
9.995993,6.860806,6.756249,7.548496,1.275101,0.887600
10.247560,7.111942,4.395288,3.257429,0.632270,1.311768
21.126604,14.304919,7.164001,7.855192,1.832307,2.752709
4.940288,3.640540,2.611140,4.237595,0.643752,1.252535
7.522975,5.453664,3.588549,6.064029,0.912968,0.370217
24.719126,16.506477,9.722530,15.552602,2.137271,3.960717
21.696278,14.257534,10.089391,37.348339,8.793166,20.792240
6.979717,4.762224,3.061561,4.001638,0.850800,0.157407
9.979348,6.952788,3.324535,2.760216,1.167120,1.773517
4.873511,3.499101,2.087102,6.098690,0.738471,1.132499
35.821178,22.990028,24.644529,22.927731,5.105734,5.613263
8.924647,6.247938,3.587330,3.531469,1.188119,1.013678
12.734223,8.489894,6.454695,5.868603,1.343709,3.794040
58.139381,29.781199,39.412266,122.657318,30.732533,65.682159
6.885535,4.705203,2.684446,4.288926,1.962412,1.088253
7.147882,5.193067,2.637431,4.490434,0.944914,0.865005
9.362430,6.597775,3.528854,3.410145,0.786790,0.194621
7.499920,5.304483,2.785595,2.830625,0.636348,2.021911
18.331575,11.825893,10.144074,100.398308,24.908253,51.508507
51.601177,30.090315,33.942097,133.117966,31.223970,54.048546
5.239822,3.421978,3.147568,6.788951,1.182697,1.459024
42.506233,27.546017,21.579618,50.063572,11.025230,15.599593
17.435616,11.727810,7.193735,5.144329,0.911187,3.282972
8.334639,5.724152,3.288179,4.093380,1.310579,0.615541
19.602177,13.480753,9.455150,10.847402,2.908879,3.538428
5.001088,3.322821,2.151476,0.330665,0.885767,0.611581
9.251122,6.808745,3.201443,4.735526,1.097224,1.796582
5.642440,3.769290,2.857585,1.691438,0.919264,0.167113
45.043034,27.559046,57.586010,243.748032,60.866867,168.168335
12.865999,9.112266,6.878133,7.405312,2.688940,3.637143
9.540272,6.470883,3.291765,0.218893,1.370903,1.009156
12.696167,8.669187,5.030498,5.578156,0.406771,1.593736
16.891373,11.368542,4.670390,20.062218,5.037764,12.175247
5.164697,3.578136,2.207186,4.075872,0.514761,1.653934
12.376144,8.481064,4.856459,17.362078,4.071148,8.023877
24.509531,16.152847,12.806706,10.445086,3.086299,2.731601
4.699618,3.248637,4.897473,4.404649,0.817728,1.652384
12.942488,8.955545,4.361290,4.144132,1.548725,1.434696
13.665012,9.068101,3.941321,3.746874,0.737466,1.500570
30.399084,19.919245,13.149229,55.380840,15.787976,29.313101
70.863037,42.765896,20.943159,78.902374,20.801060,51.980656
8.451885,5.872288,3.278089,4.463045,-0.119798,0.972688
22.408323,15.061672,9.335229,10.647098,2.042825,1.345311
6.945470,5.125726,3.334508,3.614078,1.138834,1.678556
17.662966,11.799302,6.634733,5.884517,2.148191,1.089838
20.656809,13.206421,17.861908,32.761871,6.418279,4.721810
