"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
4.818100,3.449024,1.595059,19.847561,5.635812,9.641983
14.887517,9.813120,15.712482,39.559601,8.880897,1.793969
17.900141,12.388112,7.167749,16.024023,3.655328,0.786225
5.208668,3.640648,4.256119,7.336503,2.374600,-0.127386
8.452654,5.897821,3.253832,7.294275,2.036733,0.281817
12.627130,8.650248,5.891005,11.444350,4.175582,0.725337
11.528336,8.051702,4.147433,6.623492,1.716101,0.398371
8.224273,5.819015,2.572047,7.241190,1.503619,0.256794
4.302386,3.007455,2.085871,5.291363,0.840640,0.113434
4.347470,3.147058,1.150009,5.208282,1.306516,0.013374
17.714363,11.683654,4.762959,10.894234,2.500871,0.153854
4.870911,3.411690,3.138911,4.351550,1.594596,0.351788
10.535626,7.031339,4.299518,11.858261,2.349359,0.143231
4.584134,3.315178,2.159196,1.818404,0.862256,0.449675
7.215495,4.918527,3.675255,8.332613,1.372063,0.474441
15.375048,7.066782,6.018292,15.376287,4.366769,1.259054
12.450587,5.715993,5.678297,15.331602,3.979036,0.750916
4.790479,3.662698,2.614156,3.820936,0.837244,-0.300131
8.193295,5.940088,3.231995,10.193342,2.101378,0.572892
13.525842,7.562310,7.180033,22.430208,5.232315,4.205207
8.920233,6.086395,11.184734,34.660133,6.874616,5.327066
13.254436,8.910477,7.329584,14.759649,3.535214,1.013115
6.278996,4.161291,3.493097,11.265005,1.725118,-0.211706
6.576416,4.631264,3.053874,4.739646,1.618951,0.082925
10.178559,7.136694,3.125269,6.983213,1.599196,0.989870
19.396639,13.035858,6.158175,14.579290,3.209302,1.351369
7.490790,5.173569,5.443768,7.597614,2.009195,0.591409
8.999358,6.060022,6.313448,15.098619,3.227601,1.090081
9.930278,6.787424,5.165774,5.501424,1.270922,-0.015141
6.130191,4.356820,3.613782,8.395220,1.698764,0.768296
4.732420,3.409472,1.583434,4.845110,1.448460,0.305728
4.433074,3.205893,1.605767,5.760555,1.650001,0.069147
14.123861,9.434389,5.703108,8.828227,2.598565,0.841272
7.304520,4.776634,3.387353,4.304163,2.001916,0.179891
4.674557,3.425071,2.658030,4.559620,0.915325,0.583224
9.062298,6.219594,3.983373,5.714483,2.139432,0.475465
6.440335,4.467599,3.197601,7.065365,1.457271,0.275984
9.723709,6.064667,5.019739,12.549067,3.108614,0.658487
5.073363,3.533172,1.487012,6.377419,1.863281,0.226107
6.563362,4.352211,2.026572,7.200656,2.267469,1.508731
7.077296,5.042611,3.498569,5.283680,1.060659,0.234942
5.065432,3.960508,2.818503,5.429748,1.653178,0.694608
13.987204,9.425982,7.704864,13.486664,3.356411,0.594996
16.002535,10.887345,4.416494,7.737689,2.548160,0.921972
13.795094,9.422315,8.414827,25.750751,6.360394,1.166340
7.016484,4.628878,3.792228,8.264070,2.113164,-0.097209
10.717455,7.353912,5.155106,8.989304,2.221194,0.673054
13.181059,8.696920,6.335252,11.065685,2.502773,0.880958
4.675581,3.184059,2.588178,5.123762,1.486219,0.595275
17.901056,12.303698,7.698743,19.025990,4.311162,0.523705
13.897348,9.474860,4.219629,6.623314,2.556379,0.678597
