"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
16.249344,11.200488,6.495695,20.819824,4.341845,5.206031
14.158320,9.996225,13.578507,42.976822,9.860309,4.864462
28.066013,17.118336,22.434429,54.249695,14.142903,28.220493
8.532950,4.495141,4.459866,64.414078,16.629696,12.744379
14.679428,9.895623,7.489611,14.743527,9.514582,196.922058
5.470986,3.920023,2.441615,1.571589,0.894194,2.026453
70.886444,29.627630,21.608854,107.603043,27.044989,31.946886
16.631491,10.915451,5.256495,21.767948,5.492758,5.818713
22.396492,14.665170,5.771177,34.938248,9.483775,10.686797
19.431850,12.729577,11.848479,85.405708,23.253931,13.496379
4.417233,3.199767,1.935531,0.370913,0.441961,11.678034
15.751680,11.376778,11.564001,41.676453,12.954349,48.657547
13.295138,8.953947,4.760628,50.848881,13.580429,5.326253
19.625620,13.141838,4.486193,24.795273,6.538558,7.598670
31.035944,20.757151,10.270203,63.637234,16.513634,30.943457
9.598660,6.883676,8.881465,38.210175,9.256681,64.327484
22.158922,14.444020,6.904350,33.304173,9.169206,8.900770
18.988382,12.817971,17.008659,44.026886,14.005692,118.308846
16.550470,11.372216,6.531256,10.593686,2.644701,6.134810
26.222456,18.212944,9.986014,49.689327,12.774505,9.960149
19.429255,13.196991,6.169714,9.402736,4.000720,76.766975
8.185800,5.523026,2.557630,15.646124,3.542363,12.329973
38.392284,22.166662,11.081755,50.012558,13.628194,20.105736
41.713726,25.169594,12.887316,43.858944,11.427372,53.621746
5.696140,4.176489,2.735649,12.030403,2.342691,2.541202
14.120681,8.732880,14.261560,100.331482,25.735785,40.320541
20.888006,14.817123,8.371281,26.428066,10.881097,84.963852
28.466072,17.198936,13.180058,41.893051,14.172712,118.033340
22.040676,14.996653,7.621454,25.239799,7.354717,53.316360
18.054714,12.138803,6.033716,31.350643,8.468863,16.510382
16.835667,11.283007,5.661935,28.812115,6.702971,23.261150
14.334432,9.675619,5.941633,21.463324,6.125272,14.152667
13.265983,9.403872,9.946036,24.016266,6.123019,19.564491
27.150129,18.356956,10.175324,26.069279,8.064263,70.840561
5.982823,3.943870,3.333610,21.105968,6.734607,28.049664
21.501549,13.910025,28.143400,168.915314,44.893993,66.718048
27.951660,18.353098,8.906073,27.922558,9.532061,73.574623
5.033968,3.409638,3.407641,0.084795,1.489367,1.766582
28.393385,19.249725,11.370497,36.921501,9.473385,52.878456
16.629147,11.432290,5.329408,33.512531,10.914179,30.111858
18.730158,13.007699,6.007866,29.858349,8.105994,24.191223
28.721455,18.608944,9.095321,57.184898,14.989629,27.803596
11.070415,7.503375,4.466369,80.626450,22.054607,7.136326
15.573595,10.765275,9.942668,61.716171,17.793390,50.371567
8.297517,5.546582,5.162035,51.497856,11.518394,7.800608
16.367369,10.915499,4.671554,21.300262,7.821636,6.465569
34.001732,21.636137,14.627524,50.249729,12.869621,33.522686
21.445297,14.068014,8.687272,31.465343,7.045959,10.353376
7.585222,5.289772,3.724869,16.229727,3.420022,9.181217
49.328037,28.874744,20.695616,44.086792,11.792584,21.019875
26.029192,17.348396,13.756388,68.801704,20.410994,52.408726
17.215714,11.708120,14.122029,69.089897,16.623400,12.438352
31.822142,15.868994,15.668407,103.926788,31.456102,132.789352
10.307249,6.905510,3.867233,30.510765,9.148848,5.918918
10.822845,7.376806,6.020462,25.580610,7.844722,9.002273
32.193718,21.157055,10.835055,50.466751,13.861246,12.235171
29.008965,18.619143,26.388296,133.960709,34.065643,30.588228
9.768137,6.696160,4.908629,66.504883,18.467440,10.748380
20.217957,13.326518,10.494742,45.332047,11.996373,139.401169
20.208080,12.946532,11.635552,71.134399,18.230446,16.795109
