"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
41.256527,23.590626,34.619843,129.699020,35.318439,232.715652
13.679338,9.050180,5.321418,6.452609,4.305539,91.867729
21.177956,14.020802,9.476874,52.276573,12.834638,43.476448
46.490540,28.344627,29.585007,144.225464,39.613712,114.767685
6.204295,4.234613,4.862356,15.622854,5.961531,26.511478
20.930687,13.609354,23.892174,82.719833,23.492167,191.503418
21.340330,14.353581,14.920969,54.478867,15.949750,37.759018
32.491535,21.764450,25.298702,125.078064,31.640205,115.934677
12.716753,8.775277,4.366400,19.546459,5.705531,5.661054
28.382391,19.565516,26.621878,113.873001,32.000725,68.221931
18.808161,12.934875,7.901367,9.457286,2.497297,5.000872
32.058537,22.210518,16.285913,73.557388,19.056017,58.816269
46.459324,28.851406,15.702166,42.445236,11.210538,41.207058
21.448612,14.911858,9.143764,25.999880,7.836101,67.707420
6.693618,4.918527,4.004108,9.994754,3.434548,10.704653
48.067402,30.504282,46.824753,140.272797,38.567562,134.737946
19.470900,13.375905,5.835575,28.975458,9.433720,50.171917
25.122219,17.548197,13.709397,42.025166,9.562593,40.113136
59.115585,35.938866,34.601784,85.747498,25.396378,147.688477
33.564476,22.454887,20.291288,93.494789,26.089508,42.913441
42.763577,28.486296,12.793259,44.372044,10.938820,17.237291
62.682583,37.535965,46.198669,128.089081,39.591171,129.716476
65.501274,39.378574,23.081343,52.282364,14.811353,75.696320
19.187244,12.779457,8.758771,39.716103,11.463117,121.236946
6.875724,5.122534,2.567647,29.270205,6.882303,21.757700
74.858536,43.065155,45.706413,297.976166,79.317505,221.522537
23.061302,15.763169,9.761760,54.055355,14.884534,47.342262
52.193584,33.464809,36.875401,121.229019,35.240799,104.393059
10.630879,7.397776,4.179213,22.591097,8.169703,28.266283
7.259733,5.028206,2.970372,1.281970,0.898077,3.849513
51.551186,31.577196,28.342123,127.150116,35.030865,133.255585
62.511513,34.303303,29.558336,143.800491,34.152905,63.831032
16.497328,11.418032,1.957035,27.086761,9.214960,70.293755
24.340576,17.014183,9.056506,64.098358,17.876261,64.299225
33.756668,23.169945,15.175920,66.419868,17.504568,48.420723
57.453846,35.241814,33.565914,221.878647,55.874851,125.475647
55.561077,34.802071,21.155874,105.549919,27.822765,68.277222
52.517593,31.272188,32.178772,123.587257,30.453520,125.193985
96.616249,53.765106,29.139322,117.301224,30.273388,99.489899
22.083830,15.002847,6.909336,38.520405,9.044716,26.494467
