"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
9.786652,6.714405,7.861153,14.585900,3.526859,3.983553
13.071673,9.141733,6.436661,8.611605,1.774795,2.748359
17.878695,12.510182,5.530629,8.860729,1.346203,1.132951
14.180656,10.201927,7.069249,9.788609,2.932221,4.508737
4.706580,3.181757,2.345909,2.297127,0.764212,0.860886
13.363476,8.955423,4.611334,7.383722,2.277524,1.340150
9.212062,6.434271,3.468279,3.206272,0.554389,2.610985
8.867682,5.910568,6.189438,12.270509,2.468734,2.780390
12.255643,7.997079,10.993518,21.869883,5.108590,2.268856
14.377510,9.311608,18.143169,36.792542,9.813820,10.869123
21.367500,14.582824,6.578803,7.287566,1.013880,4.014311
12.598973,8.935371,11.517533,26.795820,5.226285,3.332919
7.289983,5.139249,2.362140,3.776322,1.048241,2.602486
14.514088,10.151115,6.105441,13.925226,2.842528,5.160862
4.970710,3.301096,2.327669,1.923539,0.725079,0.631718
21.008455,14.818247,5.810971,16.205572,3.644720,4.190142
16.225256,10.842946,13.291976,20.071386,3.407116,6.298535
13.619487,9.613626,4.258425,7.238156,1.855976,3.002705
11.231617,8.045800,3.954043,5.021045,0.750218,1.659539
17.672260,12.384088,7.373056,13.318813,2.808806,1.956849
19.036060,13.319061,5.615667,9.767335,1.941810,2.499638
8.721973,5.980789,7.429670,22.580650,5.150887,3.093472
8.595270,5.992345,3.500247,4.430565,1.024516,2.619296
11.580712,7.896645,6.170835,11.213060,2.641257,3.078354
25.084215,16.841284,7.368197,8.330799,1.949497,4.896795
14.521024,10.014618,5.525489,20.266315,6.526435,3.292321
16.634354,11.216049,8.389153,11.182835,2.373793,3.186495
12.216406,8.837122,3.167891,4.371552,1.661971,1.919364
17.029230,11.151438,12.164640,37.010616,8.755919,10.629712
21.121634,14.427621,6.258910,14.514760,2.063363,6.137192
8.092447,5.667773,4.736141,5.953204,0.890838,2.314595
10.924360,7.112143,7.618072,12.380525,3.222780,3.657943
9.419823,6.596254,3.258152,3.241288,0.503909,2.800097
13.581337,9.506859,12.463001,20.178507,5.104580,6.056365
16.320269,10.932395,6.007334,17.552917,3.975095,4.314999
15.181837,10.797232,7.447061,4.903072,1.957133,1.605006
6.054289,4.253976,2.686447,3.844743,0.510029,0.190196
21.637508,14.533296,8.326150,19.261974,5.171099,5.055120
16.186476,11.147308,5.261681,9.086888,1.073317,1.527224
10.427394,7.083535,3.492116,2.889812,0.412305,2.674017
7.395427,5.302010,3.276950,5.816280,1.814878,1.285844
10.684543,7.531065,4.344813,2.402148,0.702362,1.252229
20.650068,14.430865,13.177419,23.784792,5.501109,5.170353
10.562149,7.774553,3.254782,7.483899,2.040581,1.872788
4.451358,3.105176,3.056656,5.147348,0.455325,2.413840
12.885809,8.931856,4.274785,8.657264,1.877247,2.061788
5.091196,3.325591,1.591332,2.069077,0.140837,1.859787
11.272277,8.178122,8.369142,23.883833,5.684075,5.302611
14.698473,10.019997,3.846402,6.596455,1.965202,2.100138
17.772373,12.456285,6.572775,5.092598,1.523054,3.476240
19.094667,12.984382,6.131985,18.011663,4.708226,4.410373
6.928310,4.689078,2.558531,10.121415,2.514858,1.250174
8.301948,5.920263,3.636649,3.515579,0.947765,1.784029
4.731032,3.212883,1.729684,1.668144,0.130390,0.728748
6.983834,4.874364,2.227920,6.893137,2.129101,2.096344
11.483077,7.912426,3.871934,6.057193,2.883965,2.312366
12.008654,8.182132,4.855524,3.162695,0.533286,2.199570
9.053237,6.177361,2.370735,2.821632,0.812996,0.653999
14.791868,10.030620,4.882782,5.097504,1.641055,2.119017
7.268398,4.950926,5.394480,6.679056,1.269456,1.217447
15.859842,11.313016,4.641383,9.504870,2.582328,2.879812
12.540767,8.988232,3.607449,7.814373,1.475769,0.940568
19.412304,13.252241,6.058075,6.215416,1.548264,3.011391
18.669298,12.720236,7.139752,11.559727,1.712548,3.302346
11.054431,7.517623,3.561903,9.097613,1.459299,2.254188
16.799273,11.854383,15.167217,20.179716,4.047984,5.111835
10.052921,7.110364,2.817627,9.274993,1.957327,0.782834
7.571234,5.077474,2.016173,3.555187,1.648290,1.819991
18.444044,12.256484,29.933376,69.282448,16.995672,23.330122
10.462012,7.814620,3.418492,2.252671,0.811788,2.095699
6.761924,5.280175,4.720352,7.434043,2.220717,1.788613
8.369422,5.909082,2.647081,4.154707,1.108909,2.278746
21.918825,15.735259,10.542671,17.949877,5.693972,3.308462
11.740287,8.632833,4.642534,5.713112,1.803202,2.491267
15.922644,11.235611,5.247734,7.537508,1.845054,1.338921
17.221367,11.822624,10.592932,8.173150,2.674098,3.872424
8.925827,6.256473,3.647909,5.531208,1.439100,0.399862
25.503159,17.065800,14.545930,21.876266,5.632818,4.729498
18.464924,12.754841,7.206044,5.510869,1.342239,3.484425
16.446587,11.350965,9.520776,23.179411,4.633351,5.910511
12.982780,8.773449,4.296539,6.533803,1.442270,2.312283
15.041660,10.177094,4.598278,8.248263,1.680729,3.052296
17.365520,12.268963,8.300183,17.027477,3.877052,3.785572
19.026655,13.754105,8.640483,17.093870,3.465144,4.824191
6.642119,4.712527,2.669887,2.124984,0.833880,2.129904
29.843803,11.127339,10.311942,6.967247,1.670667,4.610987
28.931946,11.204475,10.466799,7.851795,1.544220,4.747782
4.636393,3.511569,1.925792,2.295379,1.026615,0.259650
15.162730,10.750109,5.396270,9.726624,1.953256,1.695049
