"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
15.055461,9.979785,4.197293,15.075606,3.777074,3.136397
8.103122,5.296518,4.038174,12.400572,3.340425,5.482850
5.732552,4.209402,2.914097,5.014570,1.864505,2.941647
11.092290,8.065697,4.013053,6.800328,1.019865,1.470414
12.363153,8.430779,5.562957,6.257670,1.211024,1.804553
14.142716,9.779398,4.261034,7.977088,1.626966,1.483130
18.612989,13.087102,7.464567,14.944922,4.300463,6.925403
17.525116,12.075119,5.009854,12.795959,4.406111,4.260231
20.523455,14.085336,7.225998,7.932917,0.951450,3.966742
10.752970,7.572106,3.959564,5.419178,1.395878,1.028532
9.414380,6.739806,3.318861,7.745101,2.350742,2.037614
12.548931,9.026924,5.526675,6.692846,0.986932,1.184646
18.528202,12.860197,7.287798,10.546421,2.406550,3.628366
10.088861,7.099358,8.100011,9.971833,2.710271,6.315425
17.667326,11.754464,10.666972,19.610151,7.445134,60.197144
9.369892,6.731088,3.880743,6.136212,1.528618,2.131231
14.559540,10.446218,8.066061,12.768687,2.899538,3.310256
4.997800,3.693216,2.199515,1.794196,0.422603,3.710455
4.111219,3.101953,1.873686,3.848609,1.093369,1.044726
7.106044,4.907281,2.247227,7.392297,1.043004,1.574377
8.291121,5.842254,2.770368,3.529837,1.141122,3.278879
16.392845,11.107742,8.673595,10.152122,2.655888,3.540284
5.027922,3.306798,1.813084,2.439571,0.549108,1.929418
18.693964,13.267738,5.023422,4.635985,1.229331,2.763798
10.700437,7.594458,8.047352,11.454909,2.968228,7.509753
18.981997,13.249481,9.693353,24.430605,5.214595,8.743429
15.740730,10.575180,4.971934,5.860408,1.841193,4.015778
14.089443,9.752649,7.400095,22.969662,5.954943,3.256226
9.994619,7.031565,4.844069,2.845572,1.496115,1.954407
6.566280,4.692513,2.330537,5.482005,1.341314,1.343791
18.272615,12.290087,14.337241,16.994827,4.976489,11.247264
6.341856,4.274008,3.021268,8.587982,1.496297,1.527542
15.846768,10.410952,9.070285,14.626062,3.885384,9.727473
11.386597,8.194603,5.374774,15.395829,3.431715,2.567656
6.608360,4.325340,5.331754,10.117964,1.851844,3.285543
17.172832,12.002676,6.278200,16.412954,3.590678,3.535235
14.994107,10.494821,7.529891,16.634295,3.573374,8.011196
13.755741,9.482636,3.818708,9.449979,2.708271,2.710249
4.479997,3.411102,2.416381,3.714418,0.354843,0.926709
19.488745,13.751626,5.851284,8.805606,2.203128,1.716052
5.425879,4.096566,3.162566,5.666151,1.725516,3.073093
13.140222,9.285826,4.183961,8.929181,2.318035,3.189607
11.645908,7.762774,3.865853,8.389431,2.984663,2.346500
21.914753,15.526017,6.639832,7.805604,1.347129,1.018483
7.982961,5.577100,3.053081,7.510091,2.228275,4.215386
11.005623,7.558566,3.627801,7.795810,2.091717,0.578371
