"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
25.326828,16.351576,7.296537,37.364716,9.292740,25.081341
7.139340,5.080532,3.563066,5.488786,0.607478,0.359834
42.426601,22.700726,34.084770,156.178650,40.858528,85.404778
62.346634,36.350460,24.142620,127.637550,30.823580,46.867546
24.383669,15.807220,11.305746,38.999702,7.613127,17.114788
75.568230,35.706345,56.908001,174.759949,42.725697,176.534546
101.939331,53.210213,40.063778,179.044647,43.990532,84.262466
5.405432,3.935176,1.742943,1.672034,0.175539,0.914787
18.053637,12.337363,6.418353,8.460941,1.526875,1.736049
45.177952,28.975330,31.736382,177.049667,43.744617,73.318947
6.188304,4.088456,4.650252,9.205379,1.604831,1.195785
91.759796,41.418472,213.819122,645.948059,152.920944,667.867920
3.957270,2.961611,1.157301,7.799813,1.873448,11.370213
54.780796,32.893440,56.704353,324.133636,81.979546,220.477509
62.614471,39.030190,21.930674,129.431229,28.186302,46.156017
62.791878,34.602531,85.328247,324.706573,87.821396,206.076935
7.675222,5.543628,2.881676,10.709002,3.421137,3.584574
23.797327,15.948679,14.409071,109.742531,29.889277,68.448669
34.776234,21.003613,50.544079,167.220428,42.441929,239.307968
90.289459,48.362720,93.059792,454.769745,115.437698,256.657562
45.875885,29.728416,17.928194,101.206779,30.270056,81.330193
77.448639,45.686909,58.357174,233.257385,57.001556,165.133911
72.196281,40.618069,58.746433,278.068512,69.128319,183.714005
158.980576,80.916466,171.544815,941.274841,232.060684,618.085571
11.949837,8.333241,3.764153,12.355851,2.742977,8.768135
11.230250,7.478269,2.455440,7.745442,6.743443,351.676208
13.341084,9.277513,8.891614,33.180527,7.356577,27.293201
39.871399,25.803364,16.593746,90.691772,22.806402,15.242704
9.365333,6.747306,3.029148,3.960159,0.515773,0.683623
22.711987,15.896850,7.152120,32.658379,8.420387,43.759605
51.355064,29.898539,32.511894,175.898117,51.240353,169.944138
74.127014,41.895515,68.238693,186.957230,45.570992,130.632156
57.659302,34.326344,22.055601,77.452446,19.762772,50.540184
27.714048,18.045567,8.257221,38.741360,12.127834,16.185335
41.085262,22.980070,49.431824,277.630280,73.421463,76.736908
36.657509,23.666910,11.675879,12.781782,19.903856,1556.571167
12.455678,8.351659,5.737774,42.691940,10.060618,14.991202
11.541810,7.750865,3.487597,9.090568,1.071969,2.228281
49.425972,28.253735,31.818398,138.717545,37.193077,117.119759
12.121933,8.275622,4.417823,4.948029,1.057054,1.507494
57.005257,36.118214,27.957874,67.686317,24.717947,89.502625
97.133659,54.037319,71.931931,244.343994,63.839668,214.516449
8.679688,5.906981,7.313714,9.209948,3.010903,10.376139
53.439964,29.102980,83.563332,241.740936,58.926178,235.505661
54.151245,33.774132,32.088219,274.788574,70.924667,171.819901
13.228356,8.995403,3.994226,3.003774,0.903222,0.845088
24.703794,16.292387,15.691278,57.735443,14.706326,45.525154
11.913451,8.470108,6.113680,14.589405,3.115749,12.695807
20.550020,13.841211,7.144335,51.517174,15.358665,59.693333
15.821533,10.436710,26.702110,57.523003,14.934777,43.063728
63.933640,38.553551,19.783520,107.140274,29.093393,34.092285
66.411591,40.335857,24.343704,74.489311,18.455645,48.134018
8.023013,5.328770,2.603583,2.182629,0.470668,-0.052638
10.286886,7.268339,3.370810,3.821249,1.160228,0.621218
33.933651,22.210173,9.974881,57.286869,16.131697,52.528046
25.143663,17.065149,9.015381,39.990646,10.919845,19.347315
5.082325,3.332222,2.156146,1.387360,1.056915,1.044510
26.467848,16.930241,13.892437,74.760895,17.977921,61.820847
20.048557,13.412575,11.793345,96.355827,24.812948,79.632233
67.258186,40.584267,21.854406,99.829391,24.356117,78.818504
6.766916,4.592803,2.777822,1.929984,0.106359,0.127155
6.462726,4.716661,5.710154,33.051571,7.924071,17.462116
15.740849,11.176218,3.732392,39.904556,9.797335,2.767664
49.395821,30.740349,16.747070,92.757523,23.403885,75.850044
15.228028,10.482528,5.266113,25.098288,5.715666,12.693169
11.081294,7.705049,4.597905,18.357212,3.620522,12.015189
12.427912,8.259722,5.997968,25.961065,6.785579,17.226635
54.262550,24.201229,70.788788,299.996277,76.905724,200.205597
4.829129,3.243086,2.263187,2.375168,0.605707,0.170232
78.269699,36.912193,74.112801,252.167694,61.109577,193.472610
14.445967,10.009291,4.693808,24.703596,5.735773,14.367569
112.801788,56.019306,40.624500,218.988831,59.248920,235.061111
7.751828,5.331325,3.508993,14.911143,4.459846,3.054964
17.841570,12.312403,7.959099,64.081398,17.700153,32.035862
44.735802,28.923487,21.374128,44.823490,12.785311,41.597088
57.062569,35.416924,30.492250,147.565979,42.227177,102.179176
16.362480,10.428200,5.345585,40.197399,9.837289,19.492182
115.670044,52.881470,130.161087,648.302063,152.892868,307.679871
37.281414,23.629488,8.790905,56.689964,14.888187,35.664391
14.440341,10.116035,4.578785,34.280220,10.064962,26.977167
45.469299,26.688808,41.222458,254.802643,59.435501,155.680069
83.246811,47.406216,56.971783,287.743530,74.430870,240.116669
28.851862,19.015615,7.984723,28.386791,7.350943,23.617680
34.287724,22.070446,17.961632,46.755535,12.298809,40.412659
42.294327,27.519852,13.542383,75.494156,17.147783,49.836395
65.444374,39.820240,22.581991,71.832230,19.136873,29.690044
57.959835,33.565338,74.892090,217.337051,56.080082,267.008789
20.950090,13.604440,9.425406,40.731831,11.366784,14.699844
29.285353,19.604504,11.129109,53.427876,14.591208,70.551048
19.259434,12.304140,6.894613,32.259350,7.475827,26.329065
67.403587,42.618641,27.102901,76.668175,17.799978,41.832867
11.231432,7.757172,4.788117,8.415490,2.189639,11.845103
75.782600,42.435215,73.655685,252.795486,61.330040,102.927437
42.702141,27.112749,16.926693,97.606682,23.625999,62.293491
9.565216,6.489868,3.922562,18.662727,3.971439,6.226782
16.204031,10.884556,5.141688,6.928033,1.476852,0.866105
25.987467,17.282547,5.983396,12.610098,1.921654,3.903705
8.389109,5.860418,3.185396,37.195587,9.875852,28.596188
11.672163,7.922676,4.733558,7.372111,1.097561,-0.082533
66.440994,37.016399,36.821602,199.359894,55.350765,150.809769
39.800919,25.417042,16.796293,102.033676,25.878942,38.001350
54.098026,32.490257,38.367172,187.058380,50.166206,128.574799
8.541965,5.659729,3.714364,41.557594,11.134356,16.913595
20.114473,13.739050,8.603601,10.045831,2.411427,1.537347
9.183731,6.134961,3.563011,3.229099,-0.015143,0.886686
40.585770,26.116571,25.532450,76.761162,21.135195,38.542511
17.128864,11.504951,6.037536,49.806854,19.677439,94.083969
12.312098,8.080414,19.173721,37.222198,8.919414,32.636524
26.663715,17.607159,7.600250,42.641712,12.203617,32.493641
10.698094,7.824962,3.376390,12.579093,3.998580,10.541553
5.038976,3.516859,3.242245,6.266243,1.726218,8.137399
34.598694,22.277937,15.927553,100.227753,25.737268,53.417049
77.973602,42.961617,76.838837,419.923370,105.473938,275.851654
41.658806,25.719048,12.289198,59.438885,16.327105,24.658722
51.993149,32.257385,23.519064,99.844238,21.239838,53.765835
42.050179,27.098038,9.246661,57.028896,12.964177,28.211197
70.638390,43.263088,52.621922,255.932755,69.451485,234.650482
32.081722,21.326159,19.428034,97.957199,24.605989,120.226303
18.709352,12.780018,12.758947,69.271278,19.690687,38.012539
18.333025,12.350378,3.639946,22.614029,8.742601,27.174284
82.390472,44.141926,56.115700,186.844788,50.052807,206.703781
24.217890,15.728868,8.249420,33.450577,9.440397,11.983597
8.584096,6.252500,2.886890,15.862127,4.802461,7.380068
18.913727,12.751027,9.228369,101.251968,27.135672,81.819382
30.761570,20.367836,22.160673,92.702400,21.771931,59.163490
47.060215,22.200291,28.409847,105.669189,30.281981,125.348228
48.741497,30.757837,16.436708,112.657799,33.283604,71.196640
64.738983,29.614857,91.642212,458.702362,112.991524,317.338135
41.783108,26.283962,13.655907,64.225174,17.115950,46.546680
66.087090,39.668636,30.110268,164.566895,40.131630,128.654282
18.615047,12.481448,7.722746,44.378860,11.084435,13.394130
36.544910,22.519432,14.228065,158.919983,38.662289,92.848145
15.129913,10.063770,5.883063,31.340931,8.193478,15.787680
26.757002,17.729328,14.273227,104.178986,25.002062,29.397480
6.052179,4.171777,2.585093,22.496092,5.042043,15.220759
23.250454,15.951225,8.654222,40.147892,12.658592,79.221870
19.917150,13.447889,5.316952,9.060596,2.634760,2.207476
67.414062,37.860565,25.354269,53.039291,13.493220,78.426353
79.058960,44.021500,48.891941,258.612396,65.666039,134.905197
37.432266,23.293936,16.955332,77.593391,17.445183,67.608467
32.094109,20.552433,14.327545,58.360703,14.131726,39.111488
61.810200,33.172779,41.341702,207.458298,50.649395,124.857399
54.730431,32.603748,14.636689,106.979790,30.984137,58.224304
35.943855,23.634947,14.868725,70.323586,19.138659,35.166370
91.494156,52.393860,81.292099,355.367126,90.522217,455.699097
53.433231,32.401741,16.094595,82.680946,20.341000,70.588516
24.008718,15.973596,15.476424,38.962238,9.146224,37.423557
7.662751,5.194107,8.144588,6.744389,2.165420,12.511802
8.081986,5.541337,4.600508,18.704706,5.241998,51.411953
25.909639,17.093813,7.175879,34.750130,9.152864,41.618576
37.172554,24.134619,7.202011,110.842972,24.528685,23.700127
133.791290,65.269432,108.816284,424.666168,104.674217,258.492432
14.960122,10.136922,5.018255,27.936886,7.671309,19.014378
77.258774,38.352131,81.837936,350.845184,95.197311,257.639801
95.789848,50.352390,38.327114,130.290024,35.504208,75.172050
8.112013,5.574368,5.213409,6.764964,1.687211,20.382933
48.312691,29.886585,23.083824,94.554230,26.082775,50.332138
11.639704,8.351792,4.025769,22.259050,6.365109,24.094177
32.728012,21.661934,12.481783,50.658886,11.378243,66.864922
27.093653,18.328976,18.676620,53.955433,16.054075,64.234558
14.430861,9.395858,9.260612,26.242132,5.988677,16.369873
61.638493,33.770828,64.051918,260.090485,68.147263,200.974579
25.880438,16.542271,6.190251,37.286217,7.971512,32.254894
7.168346,5.031526,2.773714,1.193594,0.034367,0.410012
38.605690,25.957312,13.861419,89.695534,21.968498,54.289715
22.985117,15.853522,7.692454,54.765667,19.851892,90.254700
39.049438,25.040079,24.671984,172.771271,45.247311,124.333778
15.989432,11.101416,9.830896,89.844635,25.747566,45.721611
25.013058,16.051924,13.803380,70.560028,20.458376,47.776241
52.100574,31.111437,17.756662,77.224564,25.537760,71.312149
40.530254,23.875221,28.579388,124.387718,32.949070,114.295044
153.071198,64.102280,155.592804,565.291199,150.461960,586.107727
15.550878,10.440854,12.709124,99.203751,29.334314,58.476513
19.819691,13.434545,9.265079,38.196232,9.689054,32.435535
35.752129,22.237591,14.043619,122.693687,29.809780,37.217537
4.647618,3.192957,1.743695,39.792988,11.157780,10.956332
12.903936,8.674747,4.956812,18.119152,4.807557,10.061548
51.523674,32.207867,49.467525,174.723892,50.455933,186.573624
39.233814,24.561758,17.971836,92.853424,26.089945,53.318592
28.757275,20.170471,7.394596,37.088043,11.193043,47.679958
12.908761,8.752910,4.824506,19.150351,6.048553,25.517469
59.358852,36.496452,21.714949,62.955341,14.722895,33.755066
79.594109,44.809467,120.287949,428.144592,106.209679,312.643585
24.517315,15.447053,14.079029,43.574707,10.990883,42.374657
24.934496,15.999848,15.186199,51.116535,13.779817,51.836517
66.815483,32.440231,83.999748,369.660187,90.056343,153.467148
51.851322,29.093948,24.660284,129.865143,31.385530,86.229317
9.546190,6.625217,4.619381,5.663147,1.291594,1.561430
63.207008,37.182575,29.717220,139.847427,35.315472,131.447800
38.361359,25.112776,10.890414,38.877968,11.785211,25.515820
28.346136,18.935019,33.797455,98.482063,25.994715,38.320747
62.039764,35.400948,98.667114,617.228516,163.796173,366.469238
57.880909,35.900269,17.503119,71.546852,17.942722,35.729374
77.875740,47.076324,38.257935,134.255295,36.765850,115.842644
50.260838,31.733177,16.293995,112.449257,35.550255,86.512817
115.652588,46.906693,93.423080,365.700409,93.445129,329.712555
93.688148,50.201920,75.901924,393.814728,99.332016,238.132782
123.092896,57.072742,123.603371,343.234863,93.507942,253.367310
20.574387,14.304773,6.240296,68.358910,16.651682,39.851578
10.482252,7.687436,10.270850,10.412824,4.189563,14.108314
53.043289,31.550505,24.389832,102.088524,23.650120,65.496414
55.252796,31.894997,26.016403,92.230682,21.405802,71.359329
76.743469,44.810741,80.248222,214.271606,53.403519,124.635963
66.750015,38.625191,55.132908,306.967133,89.146759,234.961609
12.764711,8.254988,18.319561,48.599838,13.459378,36.288429
35.188576,22.973282,8.964285,51.112904,13.605844,45.953712
6.042172,4.299909,1.814192,1.752005,0.215728,0.376793
5.616324,3.691545,2.185046,2.016391,-0.015087,0.461858
30.214548,21.043922,10.178406,52.807320,12.823221,44.110790
18.057096,12.233077,7.133712,51.379230,14.046400,21.691008
55.294434,30.514105,41.899460,153.955139,37.782848,131.578217
12.224888,8.541629,5.887920,40.230766,11.163636,23.609762
72.335091,39.054222,28.321363,126.206818,27.823614,42.352890
19.185930,13.017527,14.810924,55.711475,16.782755,40.264534
26.098719,17.294634,12.351484,82.218506,19.606976,21.450607
19.577036,13.386493,5.681048,24.245682,6.112216,43.044651
51.751316,32.433529,33.894890,178.720474,48.428436,116.953056
50.332748,32.329983,19.173138,23.141024,5.660466,54.603607
4.979530,3.269458,1.731617,2.490573,0.461524,-0.705187
52.095093,32.172680,37.999649,274.869568,74.696518,203.938477
18.539272,13.013677,5.294680,27.483627,7.424811,22.457064
46.862637,30.397495,20.943615,99.606956,26.743177,42.774441
38.661667,25.246548,15.200466,71.244751,21.674377,63.332394
13.893703,9.426384,5.606326,21.389128,5.920372,17.632399
10.118916,6.875207,3.304727,18.631483,5.234787,18.414722
74.855309,43.371460,45.883003,221.527374,61.016800,195.593307
44.642700,26.753349,33.108006,146.977310,47.144230,129.825882
14.018225,9.305922,5.926832,23.907276,5.619394,16.151310
82.797714,48.794979,62.223232,273.960846,72.023056,219.879333
27.625549,18.929087,17.069658,94.031593,28.097744,85.787544
102.049812,55.578053,98.647057,396.289032,101.891411,603.800110
57.670670,37.917812,18.747541,61.073933,15.392086,36.857052
16.858061,10.917130,5.652220,18.059690,4.291229,16.976748
9.511698,6.601274,7.592208,8.878143,4.116392,25.905710
27.998604,19.426363,9.795753,43.092018,11.318643,26.201618
94.392097,56.365425,94.590614,416.175171,101.796158,420.361664
72.085403,39.178608,106.309807,350.322266,87.110832,356.900269
