"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
18.124216,12.338513,6.227763,2.981623,1.057097,2.183110
31.463795,13.823818,18.307869,17.824375,2.837965,21.435070
27.846224,12.889325,17.874426,17.338022,2.275403,20.055811
29.868748,18.375605,61.950081,75.171074,13.562331,33.491779
10.925687,7.521698,3.416830,3.504943,0.825156,1.665811
5.029096,3.327193,2.843725,3.083998,0.003304,1.920345
13.788646,9.585337,15.188851,11.357822,2.926708,26.570076
33.869156,19.026119,18.896955,15.230103,3.885867,90.706161
11.394346,8.171714,4.656126,4.689847,0.279375,-0.390777
41.857243,19.896351,24.605259,25.398037,3.713820,27.858486
38.873508,19.835526,24.420797,26.602459,4.110554,24.930447
5.174738,3.317273,3.449220,1.970179,0.429311,3.333096
23.138023,15.534853,7.366203,4.593488,0.776078,1.518898
28.601177,18.672253,15.629804,25.387873,5.274403,18.057285
13.840457,9.443398,4.919640,3.891312,0.301649,0.595474
21.041746,13.911612,18.939100,14.751193,2.801973,5.032897
24.325232,16.804615,10.263013,14.598055,2.266574,2.740993
33.948898,21.716501,17.179306,53.572880,14.057827,71.458389
9.568876,4.646191,3.414331,1.442385,0.691800,4.549273
12.000814,7.865893,5.234393,8.064780,0.864332,1.667234
14.019963,9.342675,15.079319,14.249982,2.342507,4.685820
6.841590,5.113787,2.956040,2.205440,-0.008103,1.664998
58.066296,26.503689,25.814590,31.442474,5.216307,6.368882
22.270351,9.749475,7.936499,9.281796,2.317014,2.885942
20.650164,14.101064,6.913285,6.440058,0.498192,3.849626
11.015780,7.325681,5.525934,8.792770,1.052843,2.562180
8.111593,5.722215,5.499416,3.086833,0.833120,2.085845
5.985163,4.471576,5.888127,5.543670,0.733881,2.403109
18.866346,12.423574,10.464103,7.609721,1.362929,15.918132
18.615612,12.875608,8.224469,6.189226,1.239222,12.682925
20.864601,14.395611,11.465252,9.987820,2.051691,22.152973
7.119482,4.877695,3.322239,1.122676,0.528749,3.372901
9.482226,6.616383,3.671962,3.874985,0.692827,1.691102
