"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
47.192028,29.794569,48.474747,59.955536,25.842663,790.274048
17.058571,11.870693,5.915086,4.938313,1.772765,2.097040
43.902866,30.009686,17.291782,37.837765,9.217078,32.237701
67.329483,42.118282,24.364239,24.738491,10.045026,268.979675
40.486778,24.886200,59.189716,56.940105,12.041929,48.027042
18.033119,13.123336,5.985708,9.392986,3.692185,66.289894
12.859277,8.700327,5.205280,38.148682,15.337363,72.602455
16.861696,11.885006,9.492454,9.371501,2.520409,18.129566
37.102135,24.437582,24.791269,46.808151,13.726635,42.009911
57.720863,35.063587,49.137035,83.365662,56.123100,2584.481934
36.528641,21.452957,8.803819,42.244461,14.673194,43.853840
24.827326,16.592419,4.417908,42.676556,14.895302,69.625725
48.495510,31.770203,31.004354,89.216141,28.246090,128.449310
23.268024,15.773082,18.292803,9.867404,5.578235,120.423744
59.000656,36.787148,21.866333,32.458698,7.118215,38.456551
13.578196,9.730703,17.584364,22.207596,20.592247,1097.749634
29.386719,20.192066,7.642906,43.101097,16.289328,33.646099
10.721815,7.037547,13.358169,21.759853,21.589294,1625.714233
41.696461,26.588329,25.601236,28.372648,7.722836,24.459223
18.141800,12.443529,8.926848,10.902932,3.362906,9.345255
28.553869,18.955711,39.160709,96.849472,37.490540,92.150200
38.525936,24.736589,26.973087,88.286491,26.032110,53.956322
53.876984,35.384304,16.810432,21.090731,8.644250,157.087570
47.978138,30.806604,27.113678,76.982773,49.246590,2751.506592
29.493469,19.441641,22.680393,124.584351,58.237049,165.599213
24.084143,16.480955,7.352502,8.885708,3.344096,13.560909
15.260588,11.032273,7.411772,10.385957,2.495261,4.627313
58.387295,38.040913,16.422171,17.918579,7.671980,109.698799
26.665899,18.923819,11.854583,17.318056,4.719382,46.161953
12.824927,9.335569,6.161984,17.241571,4.052351,2.542075
8.718458,6.491558,6.664701,7.785929,3.141913,10.746752
61.666313,38.477547,17.309246,16.350035,10.212063,415.866333
25.274357,16.382008,14.892309,41.743210,13.014120,58.629272
15.753778,10.172031,44.538372,41.979855,23.873632,818.134521
16.456976,11.474943,12.593052,16.059271,5.119964,136.127182
32.775604,20.035318,21.319874,46.811001,21.426590,494.280579
24.251518,16.713476,5.952245,7.215050,1.338845,3.474172
46.546860,28.975842,27.136471,29.901293,19.602163,1062.796021
28.365032,17.236889,26.313669,62.158966,22.401808,68.771111
30.888044,20.482655,35.408718,63.069359,22.403952,203.770432
16.291731,11.154834,10.285558,11.080576,12.786276,762.344604
57.756992,31.851038,75.635109,163.621109,72.354126,1817.399780
57.314301,35.814205,28.038651,54.945644,28.228981,1535.921631
36.832851,22.816359,31.028944,132.118256,86.221039,2960.169678
62.715740,38.931602,23.909767,25.120657,6.976912,78.664917
71.142357,45.158733,41.290531,42.927338,12.069952,32.926201
37.464752,23.830229,11.752182,139.216110,56.735268,414.817200
45.485130,28.031876,28.447140,24.404974,7.823362,101.282578
27.191437,18.357813,6.315052,35.635685,19.515804,45.713474
11.474945,7.903751,4.497332,32.651649,20.468100,68.528450
55.061737,33.670738,23.358017,41.873528,16.478992,55.778759
26.555946,19.156658,12.876718,21.633217,12.511255,573.581604
20.848310,14.789220,9.688237,16.427000,4.141677,16.740353
79.464134,48.848541,52.627384,126.083359,37.741634,73.158493
73.249550,39.895111,40.708412,67.860229,20.560499,182.242996
55.930809,34.780602,55.598232,52.644363,17.686369,267.571136
26.740206,17.934883,27.184776,49.285625,19.819452,158.422485
19.683453,14.061590,6.507525,6.984848,3.193799,12.457035
78.198479,43.686008,50.719624,50.845329,20.373423,1024.815186
38.851654,21.434488,75.092972,195.236298,72.143578,239.978302
9.051021,6.561186,1.805558,22.458323,8.538599,23.025387
21.850939,15.291001,7.361572,15.772449,5.432647,12.271945
18.221550,12.305368,20.175081,29.702942,16.478069,801.324646
4.521581,3.182976,5.852001,14.526071,5.320502,91.395538
26.998850,18.035627,5.544923,32.086430,10.380385,30.955275
18.280331,12.862519,12.676269,10.997320,7.062763,405.420807
50.889503,32.399124,9.658254,62.210045,24.711683,303.125641
52.246529,32.074764,46.725266,53.166504,14.562908,83.301659
14.919935,10.155318,14.237754,16.051195,13.713388,980.265259
99.248421,36.286583,37.445614,86.368225,36.349033,195.849655
106.360596,36.620621,42.519142,103.485519,39.754265,207.200989
55.674175,35.114765,41.603912,59.991608,18.052839,62.659523
15.730105,11.160182,9.213892,12.462612,2.576086,33.641937
23.943237,16.630640,8.473827,21.573479,7.402025,226.177536
22.870598,15.968776,6.118174,10.536911,2.580121,8.390005
31.372660,21.210989,13.363258,54.854229,19.010817,84.875031
44.239986,27.350197,19.128847,43.568150,18.005014,248.367249
10.794287,7.471313,10.272445,35.658249,8.118583,34.027073
24.263094,17.251314,12.422594,10.825584,14.316267,740.944946
71.239105,39.748604,46.722111,57.099808,24.198524,895.916016
51.417263,31.571623,45.390324,53.551277,26.771744,895.579590
14.294757,9.747522,14.528199,32.331394,12.459807,98.180527
18.185560,12.332266,3.152002,13.141559,2.500350,7.292950
21.805576,14.837779,26.854982,27.796398,10.264921,143.397491
23.660473,16.792923,7.844635,7.875391,3.032093,7.192640
11.019073,7.685228,4.323457,11.419651,2.197331,23.448971
49.924362,32.192047,13.010388,30.726841,8.496369,22.541744
32.474270,20.196238,50.417744,48.409855,15.334476,210.553711
68.229507,35.122692,53.844357,128.099121,46.668751,261.904633
68.562477,39.113831,26.068218,40.266224,26.728071,1710.739502
14.933537,10.529406,6.713968,6.350659,7.051465,383.869385
19.320520,13.326630,9.513602,7.557611,2.035936,10.014960
69.244850,37.018345,37.081429,103.517342,35.168293,169.956421
65.968552,39.884354,23.239254,43.495937,9.524606,49.814922
5.840590,3.743286,6.360370,41.428699,16.807459,49.303051
23.638987,16.011511,15.757946,25.225885,7.156729,18.248886
39.477619,24.423660,29.789549,63.757584,23.000465,191.260986
12.542675,8.393377,18.155392,56.694469,17.521702,63.765667
37.737400,23.517159,15.042408,38.488113,12.904125,40.373631
54.366344,34.300335,39.216515,56.522976,14.508559,30.342058
31.393700,20.320606,29.507204,23.834396,9.329019,167.591187
42.395119,26.722433,16.712866,63.888340,20.154724,59.329647
44.265495,28.364807,8.432700,63.387051,22.329681,78.037498
19.285191,13.433874,9.039690,14.907147,20.076593,1436.404907
22.966993,15.961621,12.735171,17.888113,6.747807,178.453415
11.282041,8.172236,3.660101,23.962261,7.566402,24.744953
41.278168,25.085274,14.805778,38.311272,9.908336,40.638084
22.842567,15.740326,10.387607,26.352152,2.563957,1.720697
16.068905,11.320537,7.750379,14.556885,3.556907,20.872948
88.321877,48.047131,40.336693,41.185795,37.337917,2811.088867
16.513113,11.298841,20.192513,26.941135,7.813588,25.981291
14.849596,10.147200,13.361064,23.772825,8.043508,49.188416
77.959305,45.647163,25.623436,26.925240,7.311086,21.190172
19.918715,13.603569,5.561994,4.720478,0.384848,2.811395
28.387169,18.188782,28.387529,71.284004,26.780310,103.015259
50.471695,28.105118,28.098560,76.967445,26.822504,89.356552
65.466087,38.914333,36.779747,79.738609,23.833744,92.660713
19.406555,13.696764,6.245287,6.475084,1.911505,27.450218
32.238827,21.950550,19.614832,69.653755,50.009575,2003.164062
8.810565,5.758580,8.608498,46.327244,28.059187,92.562561
21.763418,15.226521,10.440771,38.045605,10.068477,55.463223
