"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
17.273485,11.484021,10.184731,20.314360,12.180933,640.037903
7.493216,5.339931,42.446449,136.722885,28.356302,92.531822
41.665234,27.171551,18.099619,30.460001,8.284134,20.634880
19.459812,12.760370,7.181629,5.847271,0.218732,3.751959
35.082138,22.414276,15.866805,56.285973,23.680492,642.980713
16.696255,11.292281,8.973988,6.579857,3.134563,84.412598
41.390915,26.949839,9.823530,20.597898,7.062401,131.846176
26.973949,17.057735,27.801029,111.981026,36.710480,701.480591
7.044183,4.952109,3.129815,1.454927,0.093502,3.537596
46.246727,30.180775,11.383195,52.171021,33.821812,1635.288574
11.978991,8.055742,14.387184,13.476904,4.060511,72.078072
7.169308,4.812634,2.780789,2.248990,0.804634,0.880991
44.456326,28.138613,32.284023,35.541485,8.711462,68.905327
29.115904,18.916393,19.872732,34.199005,9.395799,20.570158
32.170479,21.619913,9.927511,18.192877,11.150249,623.015564
16.044598,11.073477,5.895759,5.243030,0.936085,6.037331
36.807377,23.732105,10.716974,44.309277,15.066849,139.701447
20.987772,14.575388,8.325276,11.658322,3.302165,8.397112
44.270100,27.076611,20.203745,85.886314,36.797798,1279.593994
6.882133,5.058276,2.192496,2.871036,0.285263,2.103323
34.566174,22.404198,9.220717,24.058403,5.956323,45.878330
20.095825,13.719744,5.526103,19.334433,6.501057,222.586807
56.872417,36.055691,27.190773,40.550297,36.446690,2119.897949
29.808966,19.866053,5.520138,40.362053,10.827892,29.465904
8.500446,6.212270,1.708817,6.207716,1.070112,1.869355
5.221520,3.556760,1.933564,11.273472,5.760457,19.215765
15.653784,10.910203,6.364445,8.384238,4.718598,120.337364
12.562238,8.469378,2.481631,5.332774,1.945635,141.880005
10.952410,7.540763,4.920057,20.981915,8.268857,29.043686
22.054279,15.103392,6.094069,17.198679,8.041491,386.811279
5.930350,4.355327,2.075046,7.961080,1.179514,3.622779
59.907661,37.562019,14.942930,21.604546,7.649148,104.595520
13.685836,9.607105,6.313515,12.103477,3.906300,33.350426
10.013136,6.937169,7.721047,8.597623,1.586642,25.210941
40.999477,27.222013,10.190989,61.076492,16.579803,36.048405
8.372510,5.768352,4.026455,5.200273,0.816039,3.698678
10.268085,7.008885,2.627962,26.049078,18.424944,38.722290
30.318645,19.729015,23.897978,58.454380,16.238562,57.582947
31.675018,20.013988,29.037436,28.651625,7.574793,33.894737
89.945892,43.004627,63.525715,102.971474,73.504967,3768.241455
30.961468,21.439259,5.888926,27.333817,8.171599,65.582092
29.132418,19.949181,11.665899,38.435066,14.397220,33.278702
45.822289,28.688353,50.479343,100.767128,52.042282,2757.423828
7.200267,5.268752,3.787698,2.721453,0.275824,2.827323
62.665695,38.931602,22.151115,40.633976,13.089302,259.219910
27.404814,18.364300,7.168380,10.460176,2.572512,18.924896
26.405256,17.574125,18.779644,19.130871,27.717497,2707.339111
36.706165,24.125626,16.486872,54.434326,15.344105,39.261471
41.403641,23.850977,39.815243,67.748970,23.086729,253.009293
11.167539,7.415469,5.247976,1.607138,0.365126,1.399388
25.507792,16.916588,8.363000,43.739410,12.246788,30.546383
20.543642,13.907635,5.134356,2.834935,10.527410,981.317322
20.380053,13.583776,13.273458,54.152248,12.523873,16.282816
86.734657,40.303619,332.589172,853.797424,438.703735,1866.676880
46.054771,28.084806,38.149071,39.493019,9.533175,27.224178
15.653372,10.152917,5.655353,45.227283,11.309464,42.742401
23.208601,14.944160,16.561371,20.721817,5.775252,246.494537
26.035336,17.342228,9.174100,10.409217,4.598577,122.547981
16.220270,10.223488,19.321238,106.214294,30.464228,187.624939
18.426975,12.767494,9.214983,10.806531,1.733123,6.613660
36.127838,22.933867,14.330598,28.956760,6.883607,59.756920
17.440008,12.056138,15.954664,7.772724,3.716888,215.367737
5.224677,3.394236,21.762157,14.175326,1.197093,4.011589
19.555918,13.711541,8.804537,62.427914,13.759891,19.812653
72.773865,45.531967,21.290585,38.949463,12.392827,140.542221
11.345806,8.010224,2.267332,10.629148,2.966389,5.223644
25.389040,17.201374,13.475817,34.707859,10.231395,19.142567
16.894753,12.024715,12.124130,15.709348,9.136821,416.423370
6.291099,4.112837,6.681266,5.538598,2.264273,5.335381
8.727848,6.104696,3.194776,21.215860,6.644959,57.409367
34.170044,22.246840,15.903432,65.660187,18.636133,90.221977
33.669567,22.511005,12.192946,13.373013,3.057822,130.943146
26.628750,17.980860,15.933946,13.113171,3.148005,20.012379
16.215174,11.229029,5.313972,14.077757,7.337684,224.515396
81.470909,48.592064,27.093325,31.758703,15.802186,781.071228
56.108181,35.249077,20.026121,34.372360,8.837796,25.441862
33.280579,21.612892,10.185455,31.897415,10.108950,37.757862
34.092861,21.356812,9.764867,24.341387,5.573541,20.833603
8.142110,5.807223,1.141480,5.524605,2.205870,3.915706
14.440341,9.841377,4.678871,28.267912,7.373365,45.975616
6.950514,4.594082,3.872534,23.339624,9.535519,23.084091
19.935314,13.806360,8.308574,15.817220,3.530712,9.726012
29.202162,19.870108,14.797714,14.131694,2.464605,22.631119
13.405508,9.619273,5.343656,4.937487,1.800511,1.529272
6.031052,4.341752,7.572972,43.159252,6.745996,19.020653
40.558720,25.751633,19.350645,62.374111,18.543509,345.840027
