"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
63.059227,39.239758,16.411505,11.985782,11.326628,933.414734
26.620352,17.653774,13.121272,71.509758,24.949806,57.812733
47.266468,26.057659,64.496597,149.662338,46.885132,261.330811
59.576397,37.677975,21.769154,15.837992,5.055027,237.070129
79.102074,34.789154,75.031883,43.800255,92.260803,5397.251465
96.389671,48.905197,88.363571,63.375050,61.048573,4458.792969
13.499111,9.448008,4.897873,9.481212,1.482611,79.351105
38.812687,25.236446,11.637152,12.402675,3.221010,13.189611
39.829475,24.483358,27.936827,42.768970,68.959770,3996.848145
63.543716,39.107166,22.821587,15.278635,7.463468,373.526703
37.811882,25.252396,15.981410,11.836209,1.912238,6.214380
75.410042,45.721451,23.948961,15.628334,37.786385,3685.737305
152.781479,67.307930,39.872684,44.281132,18.208902,1145.429565
18.917862,12.767099,13.492253,7.426022,1.882205,2.615456
56.273315,33.933754,25.744661,17.899769,5.595479,130.871613
55.889523,36.265739,19.918512,14.626085,18.411802,1789.672241
30.591326,17.826954,36.821529,46.350315,24.553566,1124.697144
12.941579,8.334543,37.303726,32.401131,9.164341,355.659546
26.129524,17.936596,7.525003,10.832590,49.194157,3624.364258
87.626457,54.939259,66.680008,76.855988,30.214529,1369.598877
76.262688,41.615013,112.084030,158.291504,250.888046,5418.197754
25.618425,17.305559,7.188245,2.223312,0.928416,2.522877
13.910530,9.764799,4.982420,12.901558,2.792798,45.523926
23.067465,15.685144,13.684291,12.559610,7.414248,392.252380
30.490755,20.463980,13.404572,7.651813,1.942289,118.801895
14.086273,9.660275,17.107306,24.538431,7.801494,19.430233
32.686264,20.019701,90.422325,122.650200,44.284710,1514.423462
32.511509,20.935810,13.716277,8.971613,36.314426,2729.197754
33.764854,22.952139,12.558758,15.441444,21.036963,1502.748291
136.009262,64.450317,101.354431,157.422638,78.205299,3713.370850
29.443394,15.524761,22.517597,39.645428,27.251898,352.897644
11.902159,8.265146,4.466078,3.614100,0.171300,2.404212
28.948940,19.799976,15.532145,9.719288,4.932181,295.689941
66.554543,41.025303,28.135002,18.220169,27.065659,2239.319092
9.501003,6.012296,12.753904,24.205551,8.712334,25.753853
46.637505,31.052164,15.911659,10.326102,24.082443,2290.951660
25.824297,17.629004,19.810570,10.578652,57.515648,3686.200195
135.895004,60.958263,103.076668,172.327148,193.079681,6126.372070
59.456013,37.012280,27.003548,22.578554,22.930834,2051.816406
53.486015,32.567616,20.549530,6.467190,23.762262,2483.956543
24.084133,16.403858,12.612556,8.817920,3.085089,83.561806
30.447834,20.529015,18.182209,37.166122,11.022894,38.980026
82.371529,49.058834,71.629646,182.258514,98.853905,3282.349609
33.801674,23.304640,13.946420,8.279797,7.160306,520.904236
64.638817,38.473839,41.278252,34.274944,31.247749,2768.702881
66.974495,39.116253,95.404846,146.233887,79.027435,3110.461182
97.802269,50.868805,36.319702,50.911728,17.312136,521.226379
33.460522,22.660782,17.291134,13.059519,3.130047,45.109352
20.771639,14.085352,5.339214,4.859260,0.803311,2.129627
68.706223,41.000065,23.016804,35.321796,20.614655,1196.679077
11.220525,7.685021,9.664118,14.339171,4.332850,74.333977
49.300472,32.080853,16.125937,10.634489,18.802370,1697.685913
12.458965,8.273717,5.245136,12.369946,3.905760,160.767563
58.857159,36.351593,41.936062,41.521473,191.838226,5395.967285
69.106705,41.009003,25.613308,27.443390,14.047765,1061.637329
18.201988,12.029748,31.545439,14.236391,3.903106,131.236237
46.053215,28.692329,16.629286,11.849914,13.971575,911.794312
25.885206,16.792912,17.506254,14.666444,8.748569,378.510590
53.309254,34.149265,16.983517,19.536304,67.385208,3929.226562
93.995430,47.694862,48.391476,47.441555,75.324875,4844.342285
40.953407,26.412870,19.384937,54.732460,15.880616,203.054947
62.453655,40.086533,19.536310,11.972759,7.405769,394.682404
36.762470,22.971264,8.979754,38.742847,12.167227,34.866650
47.226101,30.206291,14.244922,10.368930,6.510810,587.457092
40.950111,27.267195,20.207512,19.572115,58.625378,3654.158936
89.959724,46.630219,77.692802,79.030731,29.657162,1162.127563
20.953089,13.737627,22.973257,14.894422,5.534504,369.282440
44.135994,27.756527,13.571802,7.237789,52.970882,3967.815186
46.193211,28.664230,36.581936,26.335026,20.315485,1774.976074
73.186760,45.151939,24.723974,17.069443,45.388939,3827.549805
61.382690,35.628799,26.130070,59.487030,19.876484,492.506653
47.849598,31.498432,17.908567,7.357134,2.793309,91.001709
47.800495,29.470728,27.247231,25.030546,7.240805,157.187302
40.643291,24.870386,51.621586,105.852974,58.885509,2929.316162
15.228324,10.475611,6.250430,4.660437,0.803595,-0.871518
53.598885,33.295952,12.701976,28.667461,13.552558,376.135803
47.328354,29.577980,32.207932,30.978769,18.122972,865.078857
14.626148,10.278930,6.687224,9.063986,2.324322,39.306602
63.103588,38.583103,24.272053,53.054699,18.430513,66.523033
68.186485,33.217842,67.565002,90.181786,79.521019,4409.539551
84.038124,41.428802,30.488241,70.376434,28.394567,1194.286133
22.998657,15.042322,19.057087,17.071867,8.778075,407.288757
76.675064,44.696159,29.056385,45.959019,26.335100,1483.117065
99.704597,50.100842,162.389206,133.412079,382.734711,6767.834473
81.063332,45.830399,147.153534,164.885193,43.917194,862.491272
25.863960,17.557663,20.154907,15.112106,24.530790,1846.760742
87.796165,49.236115,47.722332,53.178257,102.076706,4824.854004
84.951469,47.402657,77.980690,55.383698,15.956437,461.458405
19.098034,12.066663,18.825003,47.426296,15.513430,218.467331
33.056992,21.154238,15.548471,11.223432,1.663695,57.462936
143.218674,62.088856,240.811371,266.756378,194.927048,6037.655273
25.250610,16.027435,22.106556,16.061342,26.027962,2036.029297
13.421917,6.729649,16.438705,18.683792,14.693572,266.049622
9.430721,6.421830,6.188902,6.882360,2.811700,14.352333
119.734802,61.223145,67.477127,72.265892,189.484283,5702.881836
155.441437,68.974762,105.091789,93.384399,311.718201,7170.421387
9.394650,6.815019,4.796662,2.340568,1.131690,1.315769
58.189007,36.591618,48.488575,40.938084,109.043137,4861.552734
33.662472,22.601631,10.895990,14.746300,41.850407,3390.524902
82.268875,53.404339,57.153343,90.466400,31.734060,1230.340088
141.645508,57.704639,87.878746,133.943222,39.858799,480.191711
34.574116,23.487570,20.937923,15.525393,7.089937,295.121368
103.287590,39.747864,127.792313,200.147324,63.690193,1535.356567
42.848278,26.831091,44.462959,39.085049,9.492506,186.013580
37.886948,23.468945,14.887019,43.031132,15.902095,625.197693
123.242455,59.380733,39.762527,39.482727,25.370974,1902.739380
