"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
16.408457,11.026258,6.574489,6.162926,1.471739,0.999952
10.267026,6.896328,6.565644,3.898134,0.807650,3.208709
16.743837,11.058270,11.093604,12.426663,2.561363,3.809722
11.474385,7.847040,8.672194,12.792521,2.602921,2.540205
17.038076,11.672089,5.808168,6.053560,1.111116,2.534414
36.248760,22.827925,11.068643,42.485683,10.705349,49.235966
21.917053,14.407114,9.937914,9.667086,1.639889,3.614654
8.082730,5.384761,2.994017,4.091969,0.400732,0.893340
15.412082,10.277427,5.539026,9.343843,1.219468,8.538318
11.166606,7.567249,3.916069,2.628488,1.351077,13.703477
21.043915,13.915117,12.181719,11.868380,1.855046,3.147461
54.810211,32.675186,24.295689,171.522888,54.271965,134.703018
12.743384,8.637880,4.528052,6.459376,0.915483,-0.132520
35.342678,23.158337,12.662971,17.995810,3.312004,4.953177
13.618838,9.199258,3.775801,2.804665,0.719865,0.330961
6.772352,4.573233,3.325696,2.344112,0.235483,0.264518
21.501379,14.332691,5.730550,10.204998,1.265715,2.104732
21.016369,13.385202,11.116959,10.989891,2.276284,3.592987
11.656384,7.789502,5.895032,5.342162,1.460317,3.691393
7.060858,4.783618,1.960153,16.654297,4.335169,4.162234
9.365968,5.985741,4.756170,18.392826,4.740994,9.976076
10.580514,7.250018,3.842515,0.407467,0.867649,1.572061
16.301868,11.092314,8.882197,9.148335,2.160112,4.449377
20.733316,14.113488,5.559458,8.055743,1.241090,3.540075
16.739662,11.629140,5.258292,21.785376,9.073411,9.407970
9.564534,6.440671,3.692216,54.585659,15.683262,39.640442
12.272307,8.438279,9.678003,9.960591,1.215591,1.045667
26.567118,17.746723,6.828220,27.351679,7.897173,24.454184
20.717937,13.400137,6.850286,7.141461,1.162757,3.142878
11.216404,7.535032,4.002988,2.461025,0.888921,0.686911
21.415073,14.426128,6.321549,6.474089,1.780029,5.610199
5.296488,3.626474,2.296358,1.126250,0.428663,1.821569
27.154543,17.572193,14.384730,15.935339,4.549710,101.441025
14.988836,10.172031,5.529880,15.757341,4.399771,10.530481
9.465259,6.500577,3.360126,2.647756,0.601799,0.342749
8.222381,5.432658,3.472408,1.743734,0.472887,0.420863
10.657705,7.542943,5.741349,4.090939,1.310249,3.231106
22.958755,15.471812,5.614423,45.257332,12.303041,4.151361
13.434357,8.951366,5.048985,5.957140,1.040612,1.134469
29.132965,19.094105,6.097836,9.233851,1.875614,1.718390
9.353631,6.012622,3.300990,5.557978,1.215627,1.848797
6.452232,4.095300,3.830601,12.244726,3.419938,6.859591
5.770046,3.862304,3.596236,10.789876,2.056512,1.311214
15.114204,10.456740,6.322016,9.666701,1.526898,0.872073
7.589840,5.057089,7.860276,50.210056,16.899715,45.125404
5.085650,3.654827,1.585015,2.692793,0.081088,1.409859
9.497884,6.404693,3.495093,3.428103,0.336846,4.064555
19.798794,12.803604,4.097664,22.839346,5.378406,18.104023
24.868013,16.252100,24.981077,30.173851,6.011354,34.053463
23.013422,15.624699,5.898535,22.303478,5.962789,12.530374
10.780862,7.517174,2.840402,4.080364,0.533160,0.331155
13.666308,9.177410,4.548139,4.865250,1.255163,0.275073
12.476837,8.624669,4.204957,2.318460,0.849565,6.610225
14.158068,9.663968,4.364520,4.804235,0.570436,0.739177
15.349840,10.140472,4.884797,4.895460,0.739912,2.502953
30.151533,19.338709,7.285324,25.420994,8.292589,34.013481
50.381931,30.202950,20.135868,55.326527,16.237806,38.033409
7.144115,4.814764,2.525535,4.854448,1.056250,2.834488
21.349674,13.961891,16.097040,15.043160,2.872683,14.061652
9.748096,6.755532,6.319641,9.126516,1.890401,2.245624
22.176575,14.923002,10.541630,6.662619,1.700585,20.802050
14.001342,9.492661,5.710154,15.161211,4.585491,7.832420
10.150334,6.842722,3.811031,15.458570,4.671504,1.380759
26.547634,17.373650,7.260353,32.831074,9.935179,32.351990
4.987093,3.204085,8.418818,27.972183,8.646753,12.803978
20.160517,13.289765,3.697131,77.493698,23.251661,112.054649
19.455374,12.989946,5.969372,47.779800,14.227682,8.680012
27.175005,17.365292,25.342623,77.848412,22.380333,89.678558
10.644836,7.256148,3.671539,3.057897,0.398386,3.383706
29.324102,19.227255,10.340196,11.786336,2.838120,5.754303
13.080508,8.727552,4.575850,5.547864,2.218467,3.808503
18.792511,12.135030,25.836803,24.278805,5.352649,5.978718
13.649749,9.390162,4.441937,17.048693,5.746665,8.295177
12.326120,8.146753,3.794810,17.266209,4.331532,12.404720
21.619524,14.564966,7.036819,6.844455,2.197649,7.900299
13.543065,8.912405,3.822924,33.453712,8.898561,21.366936
26.102985,12.762794,6.214189,56.364849,15.678017,27.002201
30.482618,14.948119,8.124172,56.905060,13.841352,25.223085
6.269073,4.464449,3.068134,1.024313,0.393600,1.442154
12.102620,7.979805,3.202603,13.476643,4.306447,7.371047
8.115801,5.570645,2.735844,2.786263,0.717233,9.736917
17.561848,11.456507,16.762260,53.735489,15.916346,13.590044
7.283343,4.702872,2.426379,3.383181,0.716676,0.762343
19.532198,13.311900,7.009372,5.273490,1.346550,8.792651
28.700516,19.051224,11.447727,11.868103,2.142043,3.053372
27.626188,18.274826,14.174772,16.767099,3.745089,9.129535
30.000114,19.283112,26.000113,98.606552,30.636806,132.493286
10.444642,7.241524,4.396088,3.471271,0.850612,0.587729
12.778323,8.618176,5.963961,8.160440,1.808806,0.412259
24.195816,16.134096,5.461239,5.239723,1.938931,2.211931
16.284697,10.529406,6.906991,27.021978,6.876315,13.211867
9.998230,6.795868,4.016026,4.419202,0.716946,1.961618
16.535305,10.895299,4.539204,9.415121,1.900446,2.051547
20.222130,13.639237,4.608974,31.742990,9.249371,16.561373
16.735659,11.464232,6.017218,6.319987,0.625709,1.622830
38.651875,24.525915,11.897489,16.704283,3.414230,21.097761
15.163889,10.660233,5.197006,7.981124,0.641984,1.759007
10.941299,7.569403,5.558862,19.591187,6.408589,16.078297
10.335301,6.946113,2.982054,3.693954,0.203936,11.563180
20.901896,13.639936,7.224764,6.072519,1.118492,0.645133
16.738260,11.470508,4.621554,22.797792,6.355036,12.243522
28.325899,18.269064,8.820376,29.208569,9.323997,57.806908
21.974926,14.540344,5.859062,8.289749,2.076579,0.706823
19.757025,13.250769,7.945893,43.517426,9.860680,44.781616
36.492893,23.896191,9.546720,13.187649,2.558495,8.282322
21.619488,14.947139,6.147952,27.976421,8.731688,26.750248
12.703636,8.361641,4.003647,4.349971,1.858567,2.315897
18.138527,12.169769,7.477966,5.237596,1.541651,4.083439
9.641958,6.590313,3.532472,32.411499,8.768525,49.558289
10.719542,7.306163,3.662349,12.378921,3.516023,4.604312
50.442242,19.874283,50.132504,93.072914,24.871088,62.280312
46.219387,29.617414,17.593267,16.813278,3.789855,2.852207
15.848838,10.490914,5.298843,5.824981,1.141503,1.230178
14.928716,9.880424,3.953470,9.921371,1.535836,1.024146
4.781187,3.174134,1.843312,0.848533,-0.242892,1.192125
18.687263,12.663224,5.643568,22.988958,7.291449,21.626972
12.234673,8.244166,5.431404,7.294269,2.408206,1.385917
10.009201,6.845567,3.735990,16.433634,4.163438,10.746592
21.061373,14.031239,10.742929,12.611924,2.590291,3.136165
10.490579,6.979283,6.270776,6.893388,0.978794,2.681827
23.707945,15.318073,11.420184,12.731011,2.590629,3.472156
17.951796,11.837877,8.206526,19.256248,4.729209,3.615699
11.604547,8.159849,10.014438,13.721004,3.644323,4.860047
15.417869,10.309621,5.553785,4.815604,1.356397,2.201026
12.024055,8.099771,4.495508,25.769936,6.079887,13.517161
10.242891,7.094089,4.718079,9.483042,3.308822,9.934846
23.069456,14.400414,15.056952,56.752659,15.346776,25.614645
26.520454,18.353870,6.297509,23.778959,7.214997,8.347863
22.080479,14.626246,7.214662,7.919690,2.889449,4.317566
16.530252,11.317804,10.479128,33.990498,10.849346,24.707905
20.602468,13.763186,6.929208,20.283175,6.973763,18.208979
23.551615,15.454613,7.636693,8.569482,1.365983,2.813701
15.415874,10.307911,4.453264,26.308039,7.700197,7.065906
14.921841,10.023640,5.229748,18.419643,4.380786,14.845702
14.563057,10.015893,4.522471,4.048110,1.088649,1.087196
12.241000,8.474419,3.542691,12.849458,3.750945,11.803268
12.217683,8.076796,4.451923,16.063036,5.351377,20.612564
12.963741,8.731536,3.878689,48.799934,15.091021,2.840029
14.020977,9.887589,4.846986,8.490520,0.649497,1.805218
12.478697,8.264029,2.725257,27.132217,7.443738,26.651878
27.332880,18.233097,18.459663,21.818617,3.729939,24.792051
5.376035,3.296069,2.293889,1.449288,0.606428,0.257563
5.445261,3.734118,2.519142,1.850246,0.336396,0.960857
42.842632,26.961363,20.144682,23.629925,4.769178,14.176923
5.713370,3.962466,2.274262,1.695629,0.866666,0.987254
17.366552,11.771858,5.292465,21.389040,4.169973,27.547991
8.874298,6.116417,3.394623,4.032248,0.696112,1.335431
10.372220,6.994644,3.569231,3.920536,0.628386,1.266433
35.591320,20.952715,35.262547,70.484879,20.798210,51.908806
9.874444,7.023012,3.608530,1.728921,0.674156,2.463530
42.219746,26.789648,13.793385,46.426956,12.539820,60.210045
19.661165,13.374291,9.681170,45.143906,13.381553,32.484104
9.659143,6.306966,4.510676,3.444429,0.797551,0.573544
10.347756,7.300496,2.598479,17.877172,5.094954,14.659757
31.749151,21.116549,14.013382,34.293312,9.188755,10.051861
23.618181,15.401028,9.116760,28.476461,8.814758,25.880510
34.075466,21.692616,8.514174,31.718138,8.313949,17.253736
12.240219,8.565415,3.975727,26.745045,7.265882,15.486787
17.078863,11.469063,5.754579,25.583786,7.789448,26.097776
22.761362,15.490840,9.204203,38.513603,10.928246,38.930687
18.019657,12.233993,6.915742,35.732422,9.813389,15.622803
6.183740,4.046708,3.063846,2.344175,0.410535,1.842906
6.949899,4.640416,3.180525,2.159630,1.001242,1.142468
26.077438,17.574251,5.719100,9.679451,1.678635,0.835377
16.129250,10.759558,5.153943,30.970118,9.128903,8.246612
8.590616,5.828498,3.195736,17.580170,4.653129,9.846379
11.186232,7.904460,3.460916,4.176522,2.017336,1.739241
71.615761,41.527443,35.009655,120.424461,34.633766,130.665970
6.125412,4.455245,2.736735,12.760404,3.207851,9.579162
27.214922,17.409044,7.311982,36.103542,8.705451,17.029833
5.189197,3.260598,1.885041,3.630471,0.699955,-0.256876
21.393856,14.297589,17.838825,16.688091,4.229273,4.740769
23.632816,16.223936,6.882693,21.376219,6.071484,7.186046
9.285645,6.247654,3.917631,3.430670,0.491872,1.237323
16.381927,11.083417,5.572060,18.289764,5.574689,10.494594
10.677794,7.633265,2.623022,6.550163,1.377955,0.315053
14.698333,10.078556,3.426927,9.261549,2.784391,2.587274
7.185608,4.711529,1.462025,11.483737,3.772996,7.037340
16.886057,11.164541,10.236624,11.730208,2.648389,2.735881
10.412952,7.047912,3.948780,9.435733,2.710760,13.797297
53.708076,33.472145,12.709846,50.019707,16.468214,44.430138
22.941872,14.890006,9.332888,9.202052,2.826967,2.807069
