"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
32.529438,19.876356,52.971466,79.811874,12.677788,11.230164
10.027534,7.247280,3.548768,4.605885,0.689692,0.756603
7.203503,5.092083,2.586300,11.676019,3.115411,1.840174
12.167837,7.999628,4.361351,46.249817,11.735763,33.212967
29.634605,19.118378,6.187065,10.950622,1.196904,3.059865
42.418339,24.658979,35.260841,60.679874,8.460565,6.488553
42.348881,26.308969,10.631367,103.140190,27.662231,26.759525
6.395568,4.499752,3.669597,10.111423,0.965503,0.657423
19.029474,12.657798,4.055609,28.403063,6.745642,3.630533
17.143166,11.320911,8.201892,80.041382,21.210985,72.743454
12.168438,8.284624,4.299952,8.558395,1.368915,0.588121
14.432688,9.634412,5.340129,7.163924,2.570436,1.002524
35.602299,22.050356,10.243673,65.342072,13.833716,23.337631
11.729548,7.899546,4.502393,6.896996,1.346030,2.007791
15.070084,10.053750,6.145693,11.487119,1.238167,0.348833
13.885601,9.150869,4.355151,17.346277,4.507008,7.370619
72.752518,37.739674,117.630188,559.183472,157.721481,411.513367
37.148075,24.356272,42.804878,100.727646,26.518526,107.621590
33.289242,22.254833,10.638390,71.645515,17.631342,32.301670
36.607655,23.277269,16.912275,27.081108,4.674746,4.205128
15.120909,9.861474,5.181536,9.656754,1.573990,2.376695
11.481287,7.555193,3.195531,8.996984,1.060672,2.590792
13.778273,9.322294,3.134405,7.182362,0.830399,0.992838
9.123349,6.056848,4.647961,7.408759,1.101685,1.499037
15.574377,10.835683,8.396701,12.459512,1.545520,0.939985
23.540819,15.901120,7.867229,12.907017,2.171661,1.496980
10.152632,6.775071,3.708593,2.439849,1.358571,1.567543
19.475317,13.016498,7.271458,10.179792,1.749038,1.112716
117.951416,69.338860,40.572094,236.745728,59.223320,145.743881
14.269024,9.793333,4.067329,3.497629,1.278542,0.129290
21.400774,14.792339,4.226893,221.537308,89.551811,264.693359
11.315942,7.471689,4.019266,11.374334,2.287402,2.218338
5.078445,3.839283,12.883442,32.356579,8.842682,15.302789
9.627090,6.143712,4.468254,8.822816,1.515152,1.315426
19.802706,12.665129,6.616493,8.592146,1.927937,0.378494
12.336628,8.499675,3.976412,6.933904,0.329907,4.256299
7.229762,4.903172,2.663707,3.776383,0.348709,0.936279
7.649182,5.233165,2.980018,2.781580,0.782435,0.587587
11.872302,8.600414,3.694250,3.676611,0.933377,1.377535
25.347574,15.843982,2.680617,12.450898,2.454682,3.394829
66.835129,39.444630,19.286142,80.836891,20.721659,39.663403
13.390331,9.206993,4.273839,3.994787,1.343155,1.444227
7.914744,5.479735,2.552483,2.228954,0.201348,0.553420
93.313484,54.478348,49.323219,349.179626,96.365463,179.285965
94.167740,59.332603,35.491142,227.358582,60.401352,171.748398
19.569515,10.246624,3.686820,6.714103,1.089096,4.069285
9.390649,6.252105,3.130494,3.288698,1.387749,0.375674
7.817078,5.570938,2.710759,2.890074,0.803049,0.285152
5.798070,3.968774,1.918420,4.941473,0.259988,0.724849
13.869859,9.612736,3.374940,6.997480,1.780627,7.969314
35.394852,23.172691,7.301375,71.463211,19.106249,28.673346
15.203342,10.428631,4.083454,9.215414,1.183673,1.594062
5.467247,3.757115,2.717967,2.722378,0.502838,0.798093
15.716547,10.762601,5.887256,10.795094,1.596317,1.371863
10.188266,6.691986,4.448708,6.918625,1.905198,2.488655
17.154659,11.678796,13.204692,104.185043,30.833368,52.429287
29.878614,19.247139,9.212204,23.445583,4.095238,6.656471
28.101395,16.426701,6.543270,11.442246,2.003492,11.277452
9.446597,6.576637,3.557703,9.159538,0.602877,1.079077
9.097537,6.358804,4.010515,7.560886,1.608015,1.863153
4.725879,3.173735,2.949398,9.697368,1.518286,6.389675
5.554804,3.984239,1.463651,3.108005,0.539160,0.125803
10.457741,6.476511,2.488467,6.415092,2.133612,0.708754
4.825414,3.411858,17.469118,80.858025,21.044716,109.232285
51.920246,31.860090,24.361078,154.069733,42.236305,67.079147
5.569419,3.890351,1.724009,1.878778,0.660838,0.941396
33.349445,21.153400,12.625086,113.593445,31.521101,46.780579
4.441203,3.083065,3.480996,35.437000,10.169850,15.286115
7.985410,5.211470,2.713574,7.608232,1.856781,1.953907
14.875984,10.102499,5.553945,10.953478,2.373435,1.375543
8.948389,6.103041,2.499066,13.947933,1.911061,6.861124
7.361268,5.024434,4.886674,10.155966,2.893395,8.019756
7.744679,5.117702,4.402618,9.091861,0.138278,0.774434
18.102509,11.290064,7.044028,22.509996,6.755041,10.306490
59.323322,36.598656,13.285041,65.855827,15.144480,26.412621
57.952621,29.420218,42.252346,195.053177,51.656700,153.573303
27.550657,12.594948,6.296402,5.474730,1.422921,11.442412
55.357544,32.572021,18.729706,103.498634,27.578148,32.214802
22.740358,15.084566,6.238713,57.301201,16.536032,19.725708
5.253882,3.951484,1.597654,2.924726,0.531777,-0.214036
21.191313,13.566251,5.877827,44.604309,10.697230,5.719183
15.234849,10.220545,4.065645,59.583366,15.955667,38.547184
18.950502,12.271231,5.332446,26.606689,5.545822,7.975679
5.287825,3.683604,2.584144,0.744602,0.238455,0.435476
13.987883,9.285599,5.013632,44.249474,11.589439,34.934315
8.402540,5.579515,47.975220,-2.935531,0.342167,0.772359
6.394135,4.268465,16.849400,221.254700,34.454369,94.249741
8.703861,6.097115,3.155737,3.303270,0.736228,-0.084277
19.759315,13.363660,5.638681,10.355182,1.054587,1.531077
8.972031,6.139589,2.898325,12.034842,3.018429,4.849910
15.637712,10.025866,4.512077,31.200565,5.289237,7.485523
22.673399,14.852509,6.575366,36.797001,9.978470,11.930891
25.907637,16.937778,13.389660,20.967897,3.673397,1.590437
