"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
27.131948,17.923231,23.346031,33.572170,19.476482,1573.646484
25.665960,17.150234,20.527632,17.145222,11.549016,833.768188
17.451586,12.156903,5.460196,12.827007,4.130568,226.018356
36.681740,24.204462,18.366232,27.565918,11.649975,380.768494
45.233711,29.707977,10.619442,9.695972,8.027769,709.348389
77.913101,39.460007,17.845892,34.510983,12.160169,345.390228
47.982288,22.982553,17.372869,40.725895,11.737844,102.567467
62.472282,38.557369,20.072968,23.801748,27.545465,1885.379028
10.486423,7.256186,6.797249,34.422516,10.784823,163.053131
73.605927,43.913685,24.022617,35.478119,22.762318,1350.869263
15.467700,10.344561,2.276786,15.485771,4.489451,97.174614
23.915829,15.966808,12.024439,22.666519,9.008105,313.717438
32.714104,22.111391,7.090967,5.601496,3.685719,163.247040
21.720268,14.811777,6.947349,6.321502,2.457699,129.392166
33.546661,20.261881,38.452000,44.561943,21.283949,1062.332031
21.095364,14.323599,7.096790,14.958514,20.524330,1836.698242
15.456903,10.197559,7.578565,8.600048,4.954596,402.941742
58.916763,34.305004,14.916649,14.160470,8.631741,567.963257
7.420604,5.210766,1.752190,3.201038,2.543389,173.115417
16.679831,11.787401,6.374658,4.118535,1.872340,81.013924
9.991506,7.038598,16.140945,12.948865,6.674797,320.599915
20.506895,14.162249,6.884413,5.515424,4.431423,317.364594
37.302040,25.542385,9.389776,9.448592,3.557740,252.630325
68.406387,30.669275,58.326187,112.860008,75.554893,4343.698730
36.099140,23.500479,24.124491,29.685015,22.534967,1641.212402
49.548866,30.549559,11.813475,13.350255,7.948049,461.541962
35.306370,22.812059,6.603936,29.298622,11.581634,327.500946
38.184238,25.315083,15.178246,22.411722,15.993411,1152.519165
4.940105,3.665030,1.552881,7.906404,1.645314,3.135728
13.368251,9.915403,8.978688,7.243703,2.593957,44.889149
94.577888,46.896832,90.093468,186.707397,167.811859,5222.789062
45.016304,29.352791,12.290653,11.349313,5.786835,448.719543
44.476559,26.361256,18.759916,38.794250,13.557444,431.753174
25.505009,16.641758,5.161707,27.638969,14.672877,596.347717
38.833332,25.513029,29.171572,40.544579,18.531479,1062.125854
33.233139,22.720865,8.644706,14.383157,17.959328,1698.811157
11.426223,7.954930,1.863020,5.270524,4.184145,269.541901
27.133768,18.340466,7.155031,11.306756,5.175492,159.852890
11.032294,7.547557,3.258162,3.637292,1.276529,41.973103
35.138123,24.007435,10.787578,14.642065,6.390204,522.318909
31.794325,21.057789,15.811730,14.040260,5.644430,240.285645
9.998134,7.238610,2.150587,14.107040,6.347451,82.306511
36.592937,23.317259,19.617134,22.725122,12.079403,810.044800
46.416077,30.461012,11.805296,22.860170,11.885791,500.297302
45.533131,30.310385,13.908325,16.634800,20.181105,1383.724731
