"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
67.402237,34.097546,59.548542,151.205307,98.172623,4083.440674
12.340235,7.659267,24.852774,31.100061,35.805553,2895.306152
56.906891,34.495770,19.922613,19.875916,22.910976,2193.761230
25.800972,16.544550,17.665630,16.627956,41.168175,3431.730713
80.485405,47.072479,21.450169,21.327387,35.136757,3463.680908
44.970531,28.870405,12.655720,14.851244,19.898956,2070.531982
78.215393,33.236458,56.063229,115.071861,86.244667,3873.823242
81.681633,47.743160,21.595701,18.300596,39.505733,3400.969482
70.545128,38.231529,28.966282,53.149307,52.663635,3454.711182
52.251881,31.493031,14.907649,15.972087,20.295914,1879.548218
123.410378,44.890461,52.655754,66.415215,78.556610,5778.859375
74.377007,36.550919,26.343876,27.070301,47.226631,3377.497803
4.700766,3.297304,5.654018,5.208302,3.056607,23.934570
68.242355,36.158821,34.056339,53.054482,31.711384,1630.216309
60.444752,32.331581,43.549232,101.964798,81.517807,4203.682617
31.114679,20.717031,9.148552,15.637668,21.035482,1801.804077
72.623840,43.232838,23.592314,25.693296,42.926483,3540.649902
48.261189,29.437449,12.443097,55.510258,51.522137,1721.889648
32.152554,20.057568,25.880049,34.156185,37.712868,2855.117920
26.070036,16.807543,18.692375,43.566689,33.803326,2824.833984
96.984055,54.295067,54.681175,84.678307,73.928970,4169.661621
112.675308,56.291767,200.007370,282.542542,186.434113,5837.296387
7.615839,4.927763,2.205036,2.024362,0.251330,-0.390493
21.483961,14.235559,10.356434,24.573496,37.207684,2799.211670
90.746063,50.630608,80.394234,121.953514,148.242889,4940.155273
45.817089,27.436766,12.578418,26.658108,26.764202,1628.926392
94.650177,46.402145,30.896221,49.676830,45.682343,3347.497314
34.166500,21.500385,14.248877,38.178833,22.977978,1628.688721
32.964165,21.212637,12.855442,11.291453,25.601595,2389.638184
55.275661,30.728392,24.120260,37.230160,59.750168,4315.581055
96.472366,43.539898,45.784000,81.427727,66.653587,4216.028809
63.067516,36.799080,19.389605,19.388357,29.092558,2779.452881
31.007851,20.776539,7.114202,10.666530,19.555450,1914.844360
49.361202,30.252598,18.651859,52.052788,47.479614,3643.596191
22.018894,14.557219,29.478979,24.252020,35.081402,3055.612305
22.774160,14.633708,18.503168,28.809828,7.822053,27.015123
39.500324,25.624609,12.457829,21.209208,16.251648,1375.391357
8.221102,5.263682,64.375587,992.659973,155.497406,497.235413
8.869724,5.914866,3.458333,2.732944,0.397202,2.324777
55.030201,33.177967,14.676630,14.845812,23.519196,2067.316650
17.757275,12.100879,4.251806,13.586300,13.572665,1096.870972
76.251450,44.515835,18.321613,31.940207,31.261698,2471.429199
16.929626,11.674804,28.117290,10.929281,23.067408,1912.555664
41.086502,24.891554,47.142776,55.366650,76.119514,3908.695068
40.725433,25.778524,17.926060,25.563894,38.621937,3465.740723
60.804920,37.102093,14.753464,23.432028,26.289303,2007.760986
40.738991,25.111967,21.782221,69.063026,58.458176,3725.852783
43.722904,27.986099,7.307562,28.869520,6.865397,38.035419
18.744900,12.361109,5.836069,3.668952,0.606714,1.046554
70.564964,40.298161,29.468771,34.560432,60.845619,3658.996826
77.520302,38.324669,23.265081,27.764984,48.989048,3595.153076
71.212143,39.710247,23.278505,42.468960,51.827152,3922.563965
7.054325,4.825230,9.666789,18.947021,5.003131,19.996717
27.158514,18.102079,5.293890,3.249329,16.412609,1648.536133
52.499592,33.104950,10.868505,23.314844,16.310421,1133.784912
26.394735,17.278772,18.516396,29.588858,21.335930,1597.777466
52.405098,33.559879,7.253379,34.690952,10.372056,49.614780
62.255718,35.576481,42.903057,76.869843,96.870651,4503.720215
22.107468,13.900856,38.080200,46.538059,55.235497,3722.395508
48.724415,28.484049,57.871044,79.948036,54.217468,3395.816406
40.503025,23.910429,35.813328,64.909058,63.310623,3960.434326
26.358379,17.564562,7.340125,11.547394,24.431101,2423.485107
78.784256,47.141182,14.541673,21.288576,33.410465,3145.058350
21.854319,13.726800,29.064787,38.053413,82.890671,4091.751465
31.699310,20.095564,18.641882,30.906847,40.141651,3051.162598
59.723053,35.231903,13.698575,35.025093,18.519028,870.684570
65.373367,40.791458,15.949368,19.330374,24.708109,2536.864746
28.554762,17.762020,33.728394,49.849373,43.155312,2997.103271
57.177643,35.057659,20.271505,28.211634,43.732018,3772.197998
17.814220,12.025106,14.168483,42.073051,43.312153,2657.859863
29.716219,18.371107,32.846550,53.749962,63.739143,3535.165283
34.534595,20.435810,103.163902,154.426254,168.349731,4954.166504
5.728662,3.927516,1.507275,10.950600,3.959416,11.823206
72.020226,42.875759,24.530470,51.810154,38.396492,2676.488281
23.678434,14.900660,4.802759,12.942548,5.986617,26.273214
36.934578,23.866018,7.987213,47.615871,14.839376,65.311806
49.394409,27.624855,43.035088,78.573204,71.261452,3775.727783
112.224228,59.778442,56.161842,105.378822,133.923019,5310.782227
31.068935,18.624605,12.229571,18.836035,22.398205,2043.545532
60.722931,37.063057,20.156445,29.408176,37.613617,2959.891602
34.824448,23.148769,15.278756,83.623520,26.753872,274.206848
95.207077,48.871059,23.893383,46.747345,53.048222,4266.312500
157.826874,60.244865,356.905731,641.291565,550.981934,8150.923828
106.006439,51.062145,32.309666,29.841011,54.763840,4983.792480
11.071094,7.942825,5.213804,10.177366,16.046837,1345.559570
65.916206,41.346119,13.767280,14.844020,38.424866,3388.262695
54.578362,31.184967,34.192860,59.312099,52.062344,3699.734375
38.715343,24.468699,7.988458,30.901964,8.557228,38.423782
54.103088,35.580456,17.699036,17.697201,26.966120,2306.524170
5.007913,3.469301,2.226319,-0.626027,0.019426,2.001036
11.981002,7.996447,6.199240,12.048409,6.601078,453.357605
40.660271,25.655731,19.071808,32.604115,38.170532,3237.364258
56.169331,34.058140,19.730820,12.614296,18.671988,1654.759766
32.618484,21.146563,7.468572,21.737972,8.748940,34.630459
31.777143,20.253296,13.101872,5.072487,12.014058,1189.943115
15.192450,10.014805,5.820842,21.369003,14.044785,861.522827
41.683086,22.546829,60.837635,109.872177,113.192184,5263.744141
29.475069,18.601507,14.759619,29.753483,22.676126,1552.522461
38.355785,24.722603,18.016390,13.799058,22.626759,2036.608887
93.392708,47.300823,28.421534,27.791166,49.485016,4114.133789
23.286739,15.651416,11.441695,27.169403,29.839483,2456.249023
45.440594,27.180197,11.915892,44.521717,11.654570,51.791031
32.376713,21.315247,8.968875,7.481912,12.792923,1269.406738
7.650202,4.812658,7.259590,11.032393,4.298761,16.074829
56.356373,34.043285,12.978237,45.576172,13.203349,59.758659
63.176594,39.635860,25.771942,57.176495,80.028618,4084.734375
75.300232,41.686836,31.112635,56.437550,63.314899,4240.029297
36.153996,22.972992,17.272089,40.153286,27.803482,1723.134277
48.589684,30.424541,16.129000,17.362867,16.693186,1503.202759
38.421894,25.555676,11.390413,11.596106,25.606419,2445.239014
55.946968,28.297134,76.841148,84.440498,120.503197,5005.992188
27.578382,18.859968,8.857197,7.087070,11.432131,917.719788
63.067951,35.942574,20.040071,24.541050,28.926073,2401.133545
36.797489,21.110893,13.761891,38.338623,12.470223,45.848343
8.033979,5.310365,3.115833,1.742158,0.311155,3.215290
51.336723,31.767227,27.204937,46.126682,47.747612,3227.364990
50.746307,31.834255,18.263851,28.265844,39.397106,3129.710938
8.911831,5.792711,10.456045,21.495123,6.086518,22.874863
62.950909,39.467640,51.120453,63.426979,50.688728,3503.752197
76.329247,37.176426,33.937386,70.666000,47.318577,2658.386963
42.634907,28.059162,12.421042,8.423742,21.510445,2008.343506
135.356155,56.500355,57.984978,76.970085,96.869026,5799.098633
4.838022,3.658506,1.778796,1.875118,0.452297,1.149719
37.022133,24.225636,9.071092,19.413851,18.045725,1403.489868
49.541981,30.469154,14.504101,47.317005,27.008570,1272.104858
31.403913,18.171970,26.937155,53.099060,33.395370,2115.514160
102.423302,50.075462,72.985260,110.498802,143.903580,5176.504395
50.805592,32.178329,13.303524,23.854025,18.485388,1309.776001
62.958435,36.293728,38.570156,75.370453,59.598850,3346.365479
25.523689,17.207697,5.481981,32.485634,10.477599,39.606411
44.129810,27.221437,44.897518,67.941948,95.928703,4385.934082
107.945503,52.716576,99.587067,140.379074,142.179749,5911.290039
125.313805,50.911549,210.723206,313.951447,385.263641,6693.109863
68.835991,38.084553,23.459686,55.068966,46.113045,2923.896729
25.654722,17.233301,14.466722,45.841137,28.980453,1519.194092
97.221100,51.504204,30.701723,46.696373,44.310768,3167.766357
24.320930,15.736707,7.297224,9.989964,12.536118,1245.889526
40.558861,26.126556,13.379704,47.416607,25.664385,1418.566284
29.648680,19.348038,26.236780,33.000851,53.630699,3455.917236
7.545891,5.364859,2.625171,2.932869,0.723684,7.574785
60.818771,32.820496,36.932667,117.053955,76.563904,3551.895020
71.518532,41.443043,34.764626,61.440079,63.074345,4130.171387
65.990097,39.775379,18.254082,34.417492,30.519451,2132.894775
26.242668,17.348326,6.740318,25.742453,22.080469,1319.029297
50.980804,31.458803,33.751286,31.846516,53.222332,3493.253418
14.800064,10.001839,5.435444,4.849839,16.098070,1576.767334
38.678455,22.901087,42.442432,119.477791,62.073807,2790.848145
101.078667,47.949234,57.822952,66.828117,70.477646,5241.690430
59.883602,34.624588,23.688324,43.322273,49.776661,4004.898926
107.168686,59.681091,27.564812,24.519917,40.851509,3496.105957
21.534128,14.872534,11.098213,20.876448,28.267609,2291.411377
33.369362,19.950829,31.278286,71.709572,44.522575,2484.968262
68.913589,41.112263,13.389728,19.922861,30.801884,2849.187256
78.123802,41.251301,26.018585,36.410942,50.033535,4137.674316
16.797028,11.061007,9.924156,28.534796,28.090698,1579.127563
49.372437,32.323025,13.713564,10.925678,22.483637,2125.118408
92.983185,49.311024,21.503897,53.919342,44.469990,3598.196045
46.741268,29.927719,13.383804,12.193265,19.672964,1612.836670
69.995720,37.531075,23.648514,40.821869,35.802784,2645.417969
52.665607,33.160519,16.374643,13.073905,22.831322,1998.627441
10.148614,7.046005,3.334096,1.292139,0.748463,9.896458
15.255815,10.241776,15.774758,25.231682,25.467762,1375.679443
73.342613,37.660435,23.054729,68.355743,56.227226,3598.849121
81.818146,43.514191,35.895008,64.648071,55.610653,3516.578857
59.995483,36.516396,18.651245,17.172556,34.454220,2657.063477
67.419693,41.656136,17.036190,12.808217,24.702486,2440.912354
35.342686,22.430826,7.264181,23.014122,7.089548,101.725090
58.025524,36.431007,15.321324,18.029411,25.157772,2306.340820
4.459697,3.387129,1.986091,2.480149,-0.384519,0.768025
8.495278,5.797104,3.430078,2.681992,0.384021,2.152775
94.648148,47.129616,46.437576,60.082512,75.882362,5067.551270
60.195026,36.254986,26.567745,42.106342,67.783836,4263.632812
8.795078,6.015806,3.708539,3.185601,0.488119,2.213921
48.483585,30.631199,16.449818,31.175919,34.642620,2769.903564
13.186326,8.916669,14.072215,47.750771,14.628891,54.793339
29.293777,19.352015,9.932869,18.178003,28.679966,2176.358154
5.283107,3.456241,7.083638,10.530495,7.241789,57.294956
98.388908,50.991436,31.816658,52.165092,50.913467,3174.378174
115.384903,57.154533,35.415386,66.141212,58.528507,3896.550537
17.354626,11.411925,19.419205,16.981497,26.774277,1968.314697
11.357430,7.623759,3.602027,22.571142,8.139634,27.326164
20.711386,14.279655,3.563649,24.450857,7.355855,33.486980
99.929420,44.977314,39.904648,58.866856,60.441818,4273.361816
57.291885,34.444248,14.586608,44.403988,40.812916,2450.642334
34.489128,22.942596,25.044662,36.428921,68.380264,3706.123779
63.015789,38.223312,17.528393,22.065336,41.035690,3004.354004
54.525047,33.061237,18.683723,29.961515,26.166763,2291.636963
80.163963,50.570530,37.926548,40.703945,53.972538,3866.586914
9.861207,6.512410,3.694878,11.819648,5.043055,16.180984
16.406796,10.861068,7.172937,20.833904,13.693992,155.813400
53.103107,30.775839,14.666744,20.543724,40.299850,3501.533203
41.607937,26.459293,10.891756,43.997051,55.810600,3527.876465
79.624573,41.500244,49.609257,88.697289,106.933411,4817.692383
97.589088,49.441437,26.933926,43.134201,57.912579,4472.547363
12.725040,8.616114,11.818724,28.781000,18.592840,700.068176
9.128991,6.272538,4.196475,15.152990,5.212237,20.046675
42.154613,27.267962,15.771728,21.155516,41.103458,3012.757812
36.300522,22.999866,12.079052,14.413286,22.032297,1711.644287
57.670521,36.430016,31.261780,43.941517,26.052610,1187.415405
63.105999,37.167416,42.927460,35.720268,52.180767,4044.104004
10.192216,6.892302,7.196497,9.180186,2.288923,6.853208
53.404785,33.619240,22.827951,22.442196,29.534210,2730.413574
35.147045,19.435373,59.744904,116.913010,117.751617,4645.116699
33.996895,22.374584,10.987862,9.179326,15.404877,1323.867920
24.857237,16.571028,2.620368,26.645277,8.501550,31.548649
107.629333,50.530659,15.112420,71.233749,20.644030,81.712982
81.821518,46.932964,22.138784,39.974106,59.723961,4203.363770
33.139954,21.849504,13.258839,29.818830,18.293489,1161.069092
