"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
46.112530,28.848524,13.280247,9.866104,9.546529,1094.771118
5.219836,3.905605,3.005445,0.938451,0.425179,1.703845
15.192505,10.051190,9.384995,15.593668,19.207798,1668.756958
67.965744,37.662716,24.035385,26.779530,37.114697,3298.881104
23.250553,15.273163,21.836216,24.308517,25.714382,1828.984619
23.981081,16.571821,8.888200,8.531532,12.696344,1211.044189
42.913651,28.414682,10.631367,32.947784,22.511379,1628.373901
48.896343,29.402096,50.949478,71.249626,91.879272,4707.712891
37.359493,24.162924,11.140264,10.616364,19.006168,1743.578003
17.050228,11.839710,4.809693,8.433473,10.930730,1112.546875
70.128922,41.014729,48.448570,70.046906,76.512001,4425.744629
40.061836,25.076305,12.020864,15.199394,17.633368,1729.801025
60.491520,34.516785,18.540083,19.181013,18.537756,1991.756226
33.215851,21.312023,12.291223,12.937897,12.834465,1083.700806
21.336178,15.043374,10.066916,8.019857,14.145678,1101.126099
7.726743,5.076773,11.883042,30.704174,21.064081,1143.224365
37.926193,24.907032,9.183515,27.133818,19.048840,1145.865356
14.349930,8.975412,17.458117,42.188103,14.490342,43.963360
42.615105,28.343090,11.700015,14.471429,19.529400,1528.657837
36.010712,24.269091,14.653193,20.157305,24.556101,1895.300171
27.985525,18.146996,30.388891,79.516731,36.257339,1893.822021
39.852074,24.599260,18.079739,38.561653,23.090300,1436.661255
28.058392,19.377834,20.349184,19.135481,17.562620,1627.038818
30.452375,20.567957,8.154543,7.626803,12.790292,1127.072632
31.112717,21.654165,26.505106,25.888899,32.990376,2432.034180
23.344223,15.428098,25.310778,22.157816,18.428474,1601.349121
29.980370,20.034960,8.698591,12.048098,18.358881,1469.888916
77.896904,44.144428,76.216362,96.375229,144.432251,4960.088379
55.647926,33.724846,17.916931,26.386555,32.736294,3046.062500
6.340789,4.330686,4.174563,4.627171,0.406364,1.973730
32.424526,20.773783,10.803969,12.815248,16.725004,1514.212524
45.752647,28.711922,14.721312,15.574368,15.931258,1473.020264
39.036171,23.584156,45.783119,54.114548,60.190338,4126.053223
26.577356,17.831944,11.574355,27.735481,14.208192,792.487549
48.577408,31.586025,14.444642,19.108318,17.351894,1795.634033
74.904625,42.770916,26.166891,27.140539,37.604767,3720.418213
77.003952,45.216892,45.050095,95.172714,62.384113,3596.290771
37.846535,24.398205,16.334339,19.846231,15.934730,1035.576172
48.518051,30.084789,21.187840,28.719542,33.053810,3084.478027
20.686428,13.890857,6.176476,5.015944,9.028183,946.032715
36.144489,23.636524,11.379354,16.974922,18.126575,1586.398438
9.458385,6.338342,1.399943,22.181829,6.132981,22.551636
82.807617,45.457760,71.404449,111.676491,125.698372,4773.751465
28.961807,18.849073,14.993748,16.368885,28.178350,2505.836914
17.355368,12.106649,4.385864,25.449511,9.307484,86.199951
50.889259,30.357708,24.025711,27.220995,46.470913,3763.982910
25.933422,11.256989,17.428484,55.086739,27.939117,1048.296753
22.801371,15.183975,8.415657,8.119563,11.569436,1008.954773
16.467943,10.911524,12.291611,12.551579,14.304188,1341.318726
15.120932,10.039982,11.381814,18.943451,28.003139,2194.882568
33.257301,22.592857,11.512133,16.769831,16.840017,1078.292358
26.005472,17.905437,7.929613,8.697111,12.400447,1037.994629
56.192944,34.137363,32.086037,43.282200,56.425850,3836.777100
24.195255,15.798002,13.436594,44.524052,24.566038,1152.674561
45.968983,29.030851,16.841490,25.062773,35.637730,3227.654053
11.821510,8.108239,6.330933,7.566378,11.209379,989.494507
43.225788,26.876534,30.040800,52.777908,33.566971,1943.308472
37.913391,23.827213,10.507388,17.997875,13.474053,1324.143921
6.050825,3.982643,8.336806,11.121937,15.426318,1111.364502
40.131325,23.692789,10.726995,45.790134,34.039429,2174.335449
43.716499,28.228666,13.547783,18.058117,19.476561,2043.342163
27.241280,18.281725,7.200719,10.450024,7.827559,594.046387
11.322769,7.727732,4.693932,25.116863,8.671368,74.275490
32.352619,21.920769,9.358583,12.720950,9.631346,761.974792
34.726913,21.178938,10.803009,12.430268,10.559110,782.125183
26.515974,17.745331,9.384156,9.685480,10.279811,1120.216553
28.563194,18.055866,41.431961,47.265072,49.018265,3730.371826
18.331699,12.757137,9.596961,33.095703,22.841444,1137.302979
40.763554,26.909470,8.486387,12.909212,16.086857,1396.483276
49.205456,28.657187,52.833820,56.567638,51.840904,3588.755371
22.324160,14.495375,24.428608,45.875343,53.945019,3725.957520
55.474003,35.603046,35.788204,32.793259,40.765198,3299.981934
39.500511,25.167749,13.342437,25.720423,21.470881,1724.808228
55.849201,34.422390,51.492905,49.736942,56.494171,4123.724121
170.111298,52.315208,139.464798,301.683319,195.138290,7738.469727
50.317497,27.680716,121.373848,132.653168,142.352417,5063.742676
8.423521,5.926857,3.079354,4.534637,0.443509,8.940265
24.134312,16.382446,6.826630,7.762869,10.681497,1030.239502
11.695161,8.004488,4.823213,8.044625,11.274370,1075.667969
34.843571,23.086006,8.546477,10.309638,14.522361,1425.263428
10.725183,7.096524,2.196095,12.394512,5.635742,23.259241
53.106651,33.917446,18.967726,12.671660,14.615229,1300.198242
6.890148,4.855460,2.887489,2.003425,1.063402,6.284942
29.211937,19.415417,20.671101,48.321163,71.403122,4033.208252
22.030502,15.297562,7.394247,11.013799,11.203393,1024.237305
34.703693,23.920578,24.984053,31.265263,38.750141,2806.030762
40.780800,25.661285,10.236578,20.782589,12.985938,885.128723
40.102245,26.238718,16.467165,18.905951,29.224974,2373.171143
20.996094,13.729871,7.125672,14.040489,4.439636,41.065018
23.845514,16.042543,8.095644,11.802500,13.645410,1241.915527
24.977877,16.907578,8.136618,15.147497,10.490131,633.601685
21.922754,14.028534,29.938280,23.238932,32.633633,3030.333008
33.689316,22.873447,20.474316,27.945316,33.852879,2975.525879
64.949821,40.601517,23.711088,39.034966,30.692780,2573.714111
10.919950,7.634277,3.121875,8.121533,7.370786,689.080872
49.457581,32.262119,15.161004,14.252178,18.223373,1860.802124
43.720547,24.103226,20.678156,45.913692,40.801460,3493.917969
48.770206,29.740423,43.166149,28.291512,35.544315,3463.391602
116.329872,54.996040,84.505615,110.571426,139.133926,5455.572754
28.805111,19.270430,7.035316,10.383364,14.476389,1115.709717
41.934891,25.951099,27.837915,33.964523,36.212814,3229.319824
83.941505,47.794823,21.356140,25.269472,28.079386,2947.830811
46.413765,27.372986,56.484669,66.532608,88.468605,4518.256836
57.121246,35.238682,34.079044,33.902027,37.266350,3025.762207
9.987993,6.974194,2.958921,6.635596,10.182899,803.440002
5.995359,4.159174,2.834393,0.592197,0.828474,1.146122
64.701851,35.232368,38.972954,61.109417,73.766731,4355.149414
34.427513,22.194794,13.343716,30.612953,31.399429,2117.187012
30.999580,19.941753,10.227505,22.971252,11.463696,655.367676
54.310539,33.597057,18.249872,28.081688,24.562664,2072.433350
70.530922,41.053482,20.374813,34.719242,24.735258,1846.880371
62.440456,37.674053,31.094145,57.022800,47.977795,3599.221924
36.645264,24.254341,10.020754,10.310976,14.688848,1369.991089
89.442696,43.815971,57.667442,55.535534,56.697479,4334.201172
68.106987,40.100403,22.157181,40.936523,46.983368,3725.582520
57.313282,33.964493,38.285877,52.146133,59.539875,3990.241211
27.204668,18.650660,11.236387,8.734792,15.966276,1264.788452
74.675430,37.042709,50.225903,43.739223,31.955156,2650.030273
12.221640,8.400745,2.564480,21.680424,7.390841,21.069418
48.891407,31.317051,15.342852,36.836952,26.025297,2015.055908
28.794455,19.361652,6.987807,19.997965,13.896764,999.216309
27.642258,18.078722,14.590578,28.403389,19.023624,1547.151611
45.530102,27.950497,28.230076,31.396893,44.125507,3547.197754
33.011543,21.753712,9.950418,9.458877,40.364887,1098.803223
140.677368,62.543133,75.113281,170.354782,117.450508,5743.904785
20.237185,7.155124,6.548221,15.177217,48.486897,616.166077
42.478977,28.285913,15.149891,13.597750,9.616857,819.245972
49.826180,31.690050,14.690429,38.502312,23.625515,1384.608032
30.373312,20.607693,8.565822,13.667481,15.575341,1393.285034
14.664366,10.280207,4.073629,7.060235,8.122005,665.282837
24.112625,15.685793,23.171724,28.261452,40.992256,3398.414551
36.398357,21.954857,23.128563,30.595535,26.698446,2462.857910
27.486952,18.715502,7.827590,9.643733,14.348763,1508.058228
30.603161,19.438313,17.018440,18.090790,16.619865,1458.452881
13.108236,9.481835,6.710063,7.161497,0.752646,12.815123
61.526173,37.496635,23.116638,28.251966,29.701797,2719.692383
39.112202,23.671276,35.149708,38.778969,39.716599,3143.136230
27.025814,17.734222,8.761453,14.423995,14.497655,1351.991211
21.963511,14.770402,21.489845,30.477253,38.753639,3095.754395
36.492172,23.797476,16.515669,26.999960,35.617928,3148.925293
47.707516,29.707706,20.354149,20.885674,21.709660,2002.926147
13.783253,9.185963,2.486912,17.130608,3.616155,25.250450
30.059250,19.359118,21.006443,26.846706,35.995583,2740.098145
39.575542,26.015318,17.821260,22.067869,36.753780,3066.865723
56.764343,31.336733,28.403837,53.801079,59.867321,4116.288086
28.883583,18.760384,7.365674,7.637947,10.182279,1085.188110
10.861718,7.550744,4.860167,17.550997,12.935191,817.875732
4.967580,3.576675,3.276122,2.998316,0.342426,1.856225
47.208435,29.863848,25.218208,41.624386,62.719917,4112.805664
26.645987,18.039858,12.455411,27.872795,13.756816,772.521057
20.493950,14.063818,7.920485,7.143228,10.395122,894.901672
40.907978,25.947533,20.637005,29.816462,50.434795,3581.956299
4.912210,3.255208,4.614337,9.971461,2.870759,9.420425
44.512806,27.991413,18.086777,16.819120,23.346338,2184.998047
36.446041,24.534517,31.174543,63.786491,53.662655,3431.800293
52.485825,33.650539,21.112774,34.964172,31.144644,2723.700195
24.217003,16.687733,5.604533,8.587566,11.698997,962.218567
9.087512,6.246079,5.040927,6.516963,10.801060,859.447083
41.414040,25.110420,23.441193,25.708895,21.740713,1791.477661
27.472548,19.000362,9.104115,9.502982,14.785129,1328.684448
34.290768,22.121689,19.469378,21.934862,27.682301,2513.828369
6.162293,4.351883,2.184519,17.453575,5.836622,30.206543
50.444382,28.871372,30.432493,37.343410,51.201485,4042.065186
9.069979,5.916535,1.579832,18.211777,6.425568,25.131237
43.009472,27.971472,12.310087,11.367574,22.697695,2340.288086
56.860630,33.324837,17.708195,44.260220,26.815014,1583.300781
32.082745,21.454264,15.135225,26.835260,28.568705,2290.107422
58.761868,34.660988,20.550816,44.226898,28.735844,1581.218506
56.104034,30.090010,47.414379,64.751465,87.058411,4708.760254
18.972130,11.397079,34.696205,68.831635,60.843071,3823.337158
37.045116,23.798927,33.029636,25.492098,26.893873,2459.815918
46.093636,29.678450,16.241024,18.410999,22.294785,1920.010132
62.044369,35.450008,37.970097,30.140886,29.169888,2710.589111
31.876471,21.231785,8.432221,9.060503,9.138580,822.267212
44.634754,29.241375,12.016878,30.682547,21.009369,1570.551880
16.968912,11.112269,21.650072,30.760235,36.164967,3162.569336
10.759237,7.454044,4.367020,11.652887,21.504034,1811.307983
34.930859,21.557232,35.573452,30.961174,33.280472,2478.333984
42.865505,22.395010,51.890244,54.570560,69.566559,4121.939941
6.759816,4.484435,8.542009,16.970774,27.238962,1966.184204
43.585098,28.619852,11.583880,9.499207,11.013530,1115.603271
41.150360,27.005484,11.016476,12.848040,15.348432,1471.907593
57.031876,34.830219,16.102068,28.362095,36.346130,2498.266357
17.589939,12.151155,2.569147,20.665752,6.211781,20.320005
48.754948,30.160004,14.092402,12.511959,9.358163,869.023804
31.685314,19.958542,23.147503,22.126102,33.618607,2760.158691
24.470673,17.192093,22.987419,37.014000,64.067162,3257.119385
69.104469,41.750950,17.137270,23.964575,25.101320,2332.426758
57.666538,32.269245,22.911375,42.842712,54.875126,3933.072266
36.852921,24.258284,21.041988,41.930588,38.601089,3077.822021
5.390714,3.950889,2.735072,2.642642,0.923188,50.463314
44.331703,28.046207,15.052470,17.749517,15.626099,1460.190430
49.187729,31.383667,30.964674,52.087292,93.135849,4182.718262
19.425558,12.866121,13.272196,22.069687,24.140726,2305.136475
6.065751,4.023219,6.063783,14.079093,4.180466,13.964817
11.377351,8.118851,3.402937,3.946941,7.928856,807.122437
24.964855,16.785173,23.678514,31.403601,29.572130,2703.134766
45.090214,29.362782,14.638392,19.035112,20.423771,2003.830933
51.272171,33.591881,13.864698,14.044422,15.843846,1360.438965
