"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
19.787354,13.754082,6.974616,8.705370,2.658695,3.079735
6.729693,4.938595,2.784325,13.738668,4.821549,4.587034
21.559572,15.389532,9.428603,12.740083,3.113115,9.377914
7.169250,5.158154,3.507133,9.023596,1.144853,1.169918
26.033001,18.041401,10.536176,15.427015,4.981143,9.376197
4.554013,3.611181,3.131067,6.412393,1.578945,1.844170
6.842867,4.864715,2.889637,8.584130,2.795208,22.464275
4.077063,3.089718,2.211472,8.318456,1.680808,5.495508
10.133746,7.416490,2.605431,28.744493,6.817920,5.765396
24.588123,16.467432,8.975505,15.797034,3.957860,7.481024
6.364824,4.362252,4.552356,10.152591,2.752954,2.230361
17.975023,12.332136,5.666178,15.612143,3.941957,21.534641
8.435181,5.796411,4.181744,4.621294,1.223484,8.241771
5.063127,3.798080,2.720638,7.718992,1.865365,7.897952
10.469961,7.343832,4.324337,12.542160,2.490484,17.414610
26.812021,18.139006,9.666394,13.156983,3.702113,15.093879
9.848008,6.822535,4.162544,1.753355,0.489985,7.119122
15.759973,10.854873,3.474787,16.930305,4.749073,16.786640
20.176710,13.642929,6.649870,13.327337,4.562473,31.163105
21.752535,14.855964,7.877083,22.058748,6.196987,43.950481
24.587402,16.392067,8.388489,15.641873,3.659060,5.391479
6.865584,4.924549,3.222180,8.074970,2.609400,4.017044
7.604688,5.579600,3.450804,7.371413,1.382538,4.979819
30.636900,20.192648,11.201365,29.488201,7.140523,7.538414
8.479202,6.023211,4.420899,14.853480,2.864667,2.453901
16.468115,11.320190,3.243635,8.815849,2.892858,7.607244
14.944146,9.976871,5.129422,13.496627,4.910090,18.967680
10.563555,7.334418,4.449339,8.240080,2.480587,11.992505
11.693917,7.671254,7.301763,26.679445,7.380567,10.522917
9.693680,6.740750,2.171925,14.825623,5.604890,7.651732
57.600376,34.585976,25.724421,55.432259,13.611300,8.115853
44.824032,27.834072,29.359600,53.970863,13.114770,34.522919
5.059903,3.686510,3.002261,1.925126,0.887102,7.360646
6.105392,4.537689,1.325058,8.030714,1.951506,5.076610
