"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
12.109335,8.230400,5.652052,12.740977,4.403050,12.834538
9.153203,6.464474,1.976488,10.646729,2.462381,13.205148
22.549707,15.191168,8.685108,17.676466,8.624990,313.542633
25.259781,17.044750,13.773090,12.716051,22.906393,2232.689453
37.246197,24.740009,11.801548,8.538959,4.480713,393.237885
22.523012,15.619848,5.676109,4.235524,5.607404,491.607513
8.358455,6.299041,5.935109,5.149038,4.460923,327.747803
40.644173,26.618771,13.635567,11.921549,9.662661,577.061218
25.375404,18.006090,11.791889,21.384602,14.831943,676.587769
30.657619,20.861963,12.628642,10.853504,14.223817,1080.062622
10.697114,7.536080,3.572944,3.557643,4.332882,324.739410
53.298210,29.788191,43.212700,61.011837,26.153885,905.747375
14.554720,10.587671,2.894925,7.999194,3.203755,12.970831
26.317089,17.683577,8.943838,9.874413,5.447011,330.020935
47.165752,19.733969,28.974072,35.972992,49.280655,3481.921143
89.951942,32.940029,91.622475,146.571533,73.504906,3670.700195
13.922935,9.935328,6.957800,9.295545,12.368039,810.255066
45.950176,29.501114,18.602060,10.871532,9.792688,760.643127
4.870712,3.389023,1.209485,7.904825,1.956664,6.037964
15.468568,10.675056,4.745824,4.154090,4.120204,365.237030
31.900824,21.274879,14.558071,7.960279,13.281607,1093.993896
41.802723,27.263416,19.979425,24.042250,24.721241,1740.175537
16.512337,11.683115,10.492564,7.085453,10.290186,695.869385
6.265975,4.445577,8.005764,8.609561,14.042877,1000.015503
36.589050,23.448748,21.142397,17.051798,37.340698,2985.096680
23.052340,15.653687,7.919077,7.418221,9.023121,749.333313
29.871248,20.200260,9.175754,7.212661,10.071665,960.486694
34.634220,23.569771,18.968946,9.945115,12.439137,875.280090
28.619164,19.252674,11.262306,10.504844,7.176821,484.390472
32.509697,20.794094,35.829391,57.344269,56.330585,2865.959473
14.634917,10.355017,6.372091,7.001392,6.533796,444.547668
56.741405,35.524502,17.106222,11.187702,30.608360,2989.617188
34.513760,23.248278,9.750913,9.142036,11.567700,956.689941
29.911545,19.674408,30.249891,46.349327,25.961405,1217.077881
32.276245,21.745789,16.513590,11.744951,10.890799,761.895813
15.451987,10.594267,4.599782,4.525760,6.343618,415.508545
45.367691,27.100712,67.134544,63.668339,106.676971,4358.462891
15.998505,10.208915,9.104023,13.294342,7.571351,611.388855
48.875874,29.399561,24.332100,22.158197,39.723793,3158.338379
44.206467,28.524254,14.815830,14.017670,17.196613,1242.374390
20.479265,14.556877,8.539684,14.841655,12.212976,785.711182
62.668205,34.792782,25.712164,50.036121,40.723434,3094.881592
19.018335,12.487787,11.968246,23.351048,12.706982,672.320862
35.591549,23.111052,9.016473,15.386164,10.872310,766.192871
49.337482,29.508768,29.981253,77.632851,67.326050,3449.895752
11.811863,7.996382,8.036645,3.556839,4.512307,295.355316
22.466921,15.724557,10.402892,10.917640,12.614349,928.469604
13.624352,9.367734,5.989904,3.647448,6.450797,611.570679
29.305529,20.110960,13.133722,4.413624,9.373015,721.023010
19.245157,13.367063,4.193735,19.436480,7.596595,21.221260
23.656063,16.254444,10.468014,2.900641,8.752684,767.593689
47.830688,30.645788,14.732615,6.902165,9.844302,825.857788
13.443409,9.738441,5.036425,26.906593,8.352743,25.631626
23.366867,16.207840,9.601735,5.502797,8.090946,777.549988
74.117661,33.528294,68.518211,104.788872,48.961773,2607.193359
43.087070,23.015848,28.054003,50.696018,21.517504,834.457031
21.736921,15.192728,6.441381,3.916335,3.435287,218.829453
55.532722,35.704487,18.203651,13.544676,36.798901,3119.064453
19.463848,14.149320,6.717350,6.176402,9.286171,754.534363
32.910473,22.106974,24.196440,19.449036,22.324484,1940.584839
8.540890,6.230943,3.106105,1.370727,2.895524,200.984863
48.914585,32.710564,13.704759,8.877823,17.168337,1642.422485
23.252737,16.359430,7.254890,4.244067,12.646225,1236.460815
12.828104,8.944619,4.802569,3.753588,5.004894,350.039795
54.008167,27.520569,15.278423,17.243050,24.391535,2254.437500
56.608288,33.047737,19.041391,15.481862,23.691223,1249.376953
30.333666,20.317801,8.422211,4.503925,14.769909,1440.004639
43.500839,29.205881,31.815619,38.442169,48.493484,3156.936523
60.083332,33.422226,63.010395,77.367195,73.331390,4384.124512
48.465054,26.916838,49.583702,103.103546,75.940475,3429.660645
37.030373,23.181568,10.852306,18.917250,10.594956,455.731567
25.759459,17.075682,17.891720,25.633757,18.070477,902.120361
42.968765,28.743105,12.193860,10.520008,10.251139,767.792969
15.915189,10.964887,19.849070,20.003618,34.210598,2598.945312
140.075851,62.609196,89.512756,77.329590,96.011871,5292.080078
41.720943,28.700029,16.134825,38.408279,11.818138,34.970764
31.916574,21.545153,8.310243,10.255620,13.964991,1263.394653
62.706642,35.492931,26.718660,28.652611,25.591578,1934.445679
20.830366,13.758797,19.569181,16.524523,28.386271,2648.678223
23.882055,16.776035,5.657336,39.343494,20.048800,36.767071
44.367233,29.796179,15.030531,31.683327,38.884003,2643.527344
20.313000,14.067352,20.611826,22.606342,22.768383,1407.662354
20.851059,13.745657,41.250092,30.762430,42.709980,3276.675049
31.649374,21.357208,9.003810,6.292243,6.185843,504.284546
24.852331,17.374352,13.064922,15.962020,10.328223,526.281555
65.469818,36.174599,38.166027,30.377411,28.038300,1578.716431
32.161045,21.576260,12.241422,8.749319,19.003143,1890.989014
13.839755,9.154000,8.641144,21.134283,10.811105,514.103333
19.094652,11.292624,51.654114,86.405617,39.156864,1447.241699
48.803314,31.547379,10.953869,31.845589,15.406198,776.706360
44.068016,24.310314,26.021444,27.702087,48.521217,3305.482178
28.784237,19.378986,24.674387,14.887561,16.064634,1315.226562
46.129864,27.454885,26.311193,38.282455,35.048111,2389.398926
10.783135,7.629297,10.262787,30.706480,13.754480,359.668884
20.284628,14.053138,16.450560,26.307980,19.868183,1291.023926
17.465784,11.509341,12.036432,20.031784,23.607777,1851.887573
49.612324,31.303133,14.723917,15.818680,18.643335,1359.014282
16.910069,11.846556,6.705575,7.277185,7.497662,629.385925
32.622162,22.195162,8.187197,18.829704,14.106462,938.448669
33.309013,22.726019,8.107198,7.894946,17.653221,1574.649902
16.429844,12.085023,7.624238,6.251093,5.223978,426.261078
35.810390,24.141184,15.129525,12.604573,12.200819,934.461731
4.628634,3.060361,5.358113,8.892709,3.309219,9.058576
20.501446,14.223974,8.307505,8.077943,6.617690,600.787415
6.735246,4.886113,1.882419,12.020076,5.673625,10.990232
24.103416,16.706095,6.394269,5.675748,4.350567,399.263824
50.004807,31.772961,17.985241,12.081007,16.966373,1615.062622
34.207161,21.646378,11.821568,13.214569,28.716423,2733.333740
34.756126,22.454494,10.980580,15.426528,28.693558,1290.750977
43.571125,19.343624,29.759634,23.532986,22.131042,1860.146973
40.828861,19.434933,29.650408,24.586645,23.025501,1829.145630
37.992775,25.714273,11.902454,8.069853,12.956463,1219.583130
38.962944,25.645996,20.750324,13.694763,24.372614,1762.234741
27.843033,17.554691,34.494930,43.343681,45.194969,3309.514160
33.655670,16.531120,11.774209,10.778238,18.712637,1834.438843
35.020393,19.133348,12.430124,11.656729,16.285261,1127.377808
13.778769,9.360697,5.649386,11.738510,4.376529,11.608342
66.225899,35.847900,70.508911,105.340515,64.085121,3697.237305
30.897568,21.115419,15.648764,29.894636,24.159155,1663.585205
13.450570,9.587270,10.383554,8.344481,12.513744,1101.934814
17.314594,11.682495,9.665153,34.001911,19.340996,1029.086670
30.630053,20.174608,17.355026,17.511122,21.119587,1692.218384
34.558372,23.339560,14.341145,12.778527,14.234394,1212.927979
18.421307,12.570059,11.459980,20.853310,24.134518,1473.961914
11.484264,8.233663,2.666994,14.594604,4.687111,19.532894
27.600990,18.282108,9.385567,31.624384,9.750069,26.320656
12.490464,7.723302,7.256123,13.547948,3.808697,13.492979
77.565239,37.603863,85.105408,152.153091,112.685944,4870.219238
26.521467,18.036087,8.238273,7.405391,10.845667,967.678345
19.968796,13.757600,9.776566,7.714014,5.531402,304.177612
8.448716,5.676755,5.393476,16.714188,7.766690,320.816284
21.576918,15.449648,8.186003,4.542455,9.163126,658.405151
39.078102,25.760849,13.674983,11.032097,7.797570,537.421997
28.917814,19.861649,7.379766,20.389360,7.619820,58.301983
8.210670,5.771141,5.290082,7.936263,7.508260,281.340973
6.935669,5.239566,9.912354,6.855405,9.435602,685.509949
78.513428,41.401619,41.784500,21.756659,28.865299,2683.100342
26.942074,17.636585,16.423649,13.937473,27.123430,2627.965088
31.770870,21.487875,8.854002,6.508233,11.314116,1030.065674
55.481388,32.609375,72.830177,81.947960,72.928230,3943.644043
6.715507,4.823736,2.686424,0.507346,3.132972,234.706680
21.350737,15.071036,7.776578,1.113702,3.928108,271.663361
17.790071,12.743645,3.899561,5.221523,3.034766,240.816757
35.784889,24.233976,9.956069,21.779564,11.122931,766.356628
20.284351,13.539626,14.647044,24.383381,25.222845,1968.548218
21.511221,15.400656,11.807675,7.462182,13.116938,864.053894
69.423698,43.394054,22.686909,14.197606,14.936309,1196.327148
41.667164,28.114439,10.642898,15.269102,11.911608,710.702820
35.077286,21.193174,33.408524,31.539444,27.839878,1751.470093
9.290379,6.513294,4.880521,20.000927,14.385756,18.257895
43.182098,28.402508,10.487314,24.302952,10.308216,565.618652
23.459677,15.925962,6.508328,5.136870,13.289052,1277.659546
8.746165,6.070131,9.949387,23.321815,13.462757,681.433228
34.402615,24.310528,11.226111,7.059407,7.696218,472.803925
36.716843,25.224392,11.196462,5.390177,7.382617,638.623840
31.212328,21.285891,9.023617,4.790327,6.009723,489.992584
31.912354,22.066101,10.043336,7.999333,13.132145,1127.505859
33.469757,19.502806,20.987095,13.880985,27.523624,2584.803223
47.937542,31.266783,14.232294,36.384350,24.068411,1488.317993
10.030841,6.996926,6.809198,3.673987,1.361806,115.130302
27.108248,17.697941,37.972378,48.194508,33.474937,1732.352051
33.647442,22.771124,10.060924,5.804852,9.728452,904.128357
45.196964,29.424536,12.533112,12.374868,13.094560,1070.741699
29.973183,20.000004,7.483910,11.572599,10.353028,402.392395
39.157890,25.032471,12.438409,20.808498,20.730700,1202.534058
39.197205,26.558117,11.924536,7.228733,12.612906,1327.335571
26.962498,17.640257,9.752282,15.685635,12.161459,759.434143
46.431576,30.207067,28.303257,35.744934,38.762341,2720.102051
18.158705,12.586538,6.296720,7.575254,9.350158,864.816528
37.075485,24.292196,14.269901,16.775692,12.698786,924.099487
39.757011,26.977573,22.726208,42.710541,31.856497,2052.098145
31.850021,22.006323,12.513034,7.294508,11.577421,1012.547485
37.352901,25.234694,11.652945,5.216990,17.717539,1577.295532
70.498840,37.451672,45.978863,82.476791,72.572220,3792.518311
9.651402,6.738827,21.729458,18.573206,18.666689,1226.560425
15.838887,11.117027,10.478153,14.759987,22.669754,2151.614746
27.970440,19.720461,8.932178,8.082232,14.060477,1197.457031
40.886543,25.819233,15.085194,12.778351,14.235332,1236.564819
45.712574,29.179197,10.876140,19.012011,10.118774,531.368164
12.339540,8.596141,12.142573,7.180850,13.600797,1325.038330
20.507011,14.265458,9.246110,10.414860,11.980330,793.041260
31.406860,21.761690,17.532598,15.075571,10.769300,878.974426
37.110806,25.037577,9.375126,7.775393,14.951221,1448.403198
46.478527,30.047287,15.786654,13.121893,23.173601,2184.162354
25.639570,17.628044,5.796326,4.478370,10.431581,922.614807
27.183302,18.077240,17.942772,13.087090,21.700741,2247.338379
19.538450,13.357466,12.047461,23.925928,12.584890,635.413879
29.822491,20.432878,6.598305,6.628052,17.707495,1275.475952
29.141508,20.192347,8.978074,8.852706,5.266381,301.465393
27.432699,18.777559,17.386631,11.179993,18.205070,1322.005249
41.212677,27.560379,11.403914,6.633070,23.200903,2305.715576
16.307341,11.455235,7.037685,19.575064,5.092921,14.247437
12.493302,8.913911,8.063392,8.616727,19.222269,1493.270508
14.876413,10.742898,5.261691,4.475809,8.828734,591.904968
15.429081,10.872687,4.227846,39.991703,15.482630,465.309052
24.919670,16.968027,14.203603,11.763196,23.827658,2153.456787
35.416836,23.796629,29.969151,19.589760,46.049320,3389.351318
32.421352,18.528740,48.535980,88.848007,89.616013,4012.686279
48.820789,30.794327,14.197661,7.990359,17.360279,1591.310669
18.418232,12.870433,12.964636,27.621744,35.984764,2281.891357
39.330494,26.138399,11.463164,10.566935,12.592063,1048.591919
13.812147,9.777413,3.560526,5.018602,2.840701,325.291290
19.166050,13.268213,4.100617,15.609274,4.710633,13.438342
31.166483,21.060364,9.214477,10.831080,18.368801,1760.441895
15.341060,10.949171,12.432458,26.704811,14.708994,565.411072
15.833478,11.417864,7.161169,6.164546,10.672205,735.032410
43.719818,28.509830,10.940533,9.257566,12.528219,1084.764893
19.819166,13.901402,13.742039,13.299365,10.562498,511.067566
21.140097,14.550505,12.337278,10.084231,8.440851,515.204529
25.384871,16.693096,3.947049,25.871651,8.829886,21.674297
39.373489,25.793547,28.557564,61.576649,29.874784,1822.214111
31.523563,21.038910,8.518121,7.355751,14.065166,1389.457764
37.410069,24.546907,8.883360,21.910896,15.716203,949.206543
36.598949,25.125521,12.085870,8.114968,8.855860,755.373474
42.979488,28.470753,14.726912,7.383426,14.390215,1344.251587
24.004158,17.150955,8.431682,7.121861,0.385855,5.469252
38.283905,26.147980,9.588665,15.897082,12.002275,729.939758
23.854973,15.749476,9.573825,36.646496,10.400355,25.351810
4.003904,3.132959,4.898640,8.380284,2.822624,5.617249
8.482146,5.849184,1.805016,14.428205,4.940705,15.387241
46.951370,27.563391,39.139282,56.266315,26.856249,1109.829468
31.427540,21.356390,23.919914,13.150780,34.191193,2562.068604
26.432373,18.170849,7.214870,12.908977,10.015931,649.729980
46.475452,25.877745,17.433128,34.000557,20.212093,903.691101
17.053503,11.920564,6.524654,3.946820,5.047633,423.396667
63.637352,34.216839,28.227837,50.779743,29.657621,1897.947144
32.262585,21.773436,5.995600,25.566870,16.302935,884.314819
20.902767,14.095971,22.577618,45.464764,34.038383,1983.955322
14.682126,10.351409,9.996779,3.685641,6.120593,527.075500
25.725018,17.650852,5.826769,9.698053,7.377804,444.338013
33.745594,22.513756,34.576111,28.736225,29.213821,2339.716797
10.262800,7.212241,2.386623,12.181838,3.746258,12.860747
25.500956,17.596781,9.604443,8.587649,10.287462,879.230957
50.743286,29.459600,26.731798,46.053627,51.491852,3526.852539
16.464895,11.525045,7.619198,5.509888,11.334389,925.165955
15.544603,10.723995,6.938346,2.838139,7.373825,770.047913
30.986559,20.713997,13.005218,17.818056,17.394262,1124.315430
5.602316,4.094642,1.717211,10.772373,5.228788,40.260857
37.052483,23.716394,10.470631,4.451963,6.714570,531.634155
48.531303,28.993120,25.769035,21.790861,25.092285,1656.490967
55.616501,36.578625,16.267408,11.300183,15.448930,1375.246704
39.168278,26.027632,17.271339,11.860237,22.685843,1818.545288
16.821440,11.075252,19.887466,45.300541,43.829887,3103.098877
23.577446,16.051403,32.960339,23.729626,35.655869,3070.042236
12.810791,9.108806,3.209261,3.979333,3.438729,246.270691
12.856608,8.832223,10.651505,7.367986,10.605247,813.182312
34.065224,23.750051,15.056567,10.633052,13.835141,1142.521362
28.284004,19.134352,11.031504,9.605947,14.647289,1292.877075
35.717949,24.396334,15.025388,17.248423,16.660721,1375.724487
25.422417,17.657505,10.298986,13.968344,27.367577,2177.772949
64.677231,40.575180,20.919584,18.657379,12.909444,894.792053
8.676220,5.969820,5.695219,3.306078,7.356645,816.452271
19.692141,13.210288,8.580618,16.284746,16.546404,1155.032715
42.306461,26.765863,35.177006,18.432636,26.329029,2281.739990
29.138771,19.577429,13.649300,36.157261,15.707186,496.923737
17.440823,11.653372,16.688494,21.131119,31.802710,2273.302246
63.939861,34.252075,22.144384,36.429405,36.377880,2832.310791
7.793911,5.780205,8.076584,8.144316,15.086369,1191.247925
9.505687,6.560845,4.428620,5.051610,3.197112,20.070072
31.371742,22.240044,9.023748,5.791787,5.737217,440.644226
25.550480,17.441280,9.718748,12.769724,9.630152,777.624573
