"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
16.262899,11.190605,5.187367,3.325751,0.717743,1.624914
9.975337,7.013790,4.929023,1.453121,8.850007,821.298950
9.931732,6.585211,4.195540,3.896777,0.400071,-0.280378
33.524017,21.439281,12.328993,7.021877,28.207373,2610.288574
46.840149,29.531269,17.284828,16.048977,41.859230,3229.215576
16.331982,11.133764,11.902884,10.701790,29.535091,2398.147705
26.995884,17.315887,12.626568,14.435583,29.804111,2582.901611
60.940170,35.133175,32.494617,28.979052,79.329620,4809.677246
6.580696,4.364732,2.398110,2.471936,0.147907,2.108685
61.519833,25.714258,125.983101,148.693283,415.793610,7308.664062
144.737198,74.415352,57.233299,92.366035,211.514328,6222.842773
55.382141,35.113506,17.011633,30.081709,48.605305,3405.382568
9.075016,6.238916,2.716200,10.040232,3.882910,20.845449
28.075741,18.141340,9.680184,8.966492,19.930876,1951.169922
33.361042,19.672934,40.555443,47.697342,137.284790,4789.729492
65.566719,38.311123,18.370295,27.183311,75.556656,4527.250000
9.633537,6.395288,5.084764,4.541463,0.472112,0.463407
98.670441,50.085220,48.542053,43.917759,189.975967,6435.879883
8.413039,6.028793,4.333595,1.417112,0.569759,2.788746
35.603714,24.057014,15.934002,19.570896,71.163475,3841.453613
52.657932,30.170753,32.166046,20.664043,66.874046,4418.576660
46.034927,28.301014,12.816132,14.072977,50.521961,3554.093506
12.823454,8.906015,9.749069,11.321233,19.798349,1650.385376
7.295430,5.269551,2.365207,3.187048,0.559873,0.957764
27.856552,18.428606,33.506584,23.485891,80.792282,3955.647949
62.922283,30.393677,44.336060,54.065414,157.000168,5730.009766
70.305969,37.198551,29.428856,35.562000,118.936562,5057.061035
9.655633,6.754584,2.240300,8.204334,3.595830,14.984359
59.960358,37.135979,16.373837,15.619949,98.876976,4516.541504
52.784245,29.308498,23.197119,20.530519,42.443661,3415.606201
10.745863,6.998084,4.341776,3.026551,1.229242,1.617417
6.891464,5.098477,2.658103,3.041423,0.364537,1.780521
8.641549,5.822740,2.480385,3.883951,0.683356,0.418972
62.296490,35.055264,25.560150,46.492310,105.869293,4922.816895
54.073532,28.886902,28.259388,32.062393,99.463272,5023.793945
37.964172,22.099394,37.091965,37.868671,145.806213,5072.324219
29.225262,19.074589,18.135338,24.277380,83.035248,4173.675781
24.498661,16.861748,6.923579,3.657496,26.498314,2356.151123
151.857132,80.669090,49.439369,49.281487,183.593735,6051.468262
14.430903,9.816979,6.251335,6.790036,1.765508,3.771701
10.649397,7.476799,4.865100,3.378242,7.684089,639.138916
19.266653,13.064264,7.550143,8.564800,1.757838,30.525652
26.846485,17.614740,8.093492,5.160429,20.267044,1957.599243
28.035063,18.411345,13.899236,17.073328,3.222886,16.431290
12.334285,8.787333,5.109899,6.221540,1.112056,1.456545
25.037502,16.602339,5.291431,12.149931,30.645458,2971.478027
36.235886,21.736519,9.087477,20.547337,23.055456,1383.928467
4.530831,3.355772,1.729103,0.662743,0.506407,1.664881
39.178291,25.726194,11.775414,8.034590,42.665882,3409.313232
46.014568,28.152828,25.297567,29.791800,92.905548,4644.175781
26.083147,16.727467,15.079116,34.845924,85.268379,4155.477539
16.889839,11.663855,8.298520,6.087180,1.958961,10.625690
41.724831,24.905678,42.175453,66.118828,175.567734,5091.970215
45.686028,26.705887,22.841673,30.910324,77.450493,4315.673340
10.963440,7.893530,3.698281,5.346350,0.563076,0.952410
60.148148,38.473000,25.930752,24.080313,101.489738,4544.174316
38.201057,25.110941,12.553771,11.072479,35.948917,3018.879883
41.291927,26.152483,15.344054,22.573856,46.657364,3433.277100
29.919254,19.779812,16.103979,14.733748,35.465794,3129.523438
48.112808,29.721109,14.230742,13.222261,60.707439,4062.134766
63.713261,33.101669,21.486170,20.018879,69.645691,4559.412598
11.979301,8.250724,3.653272,4.141614,0.536201,0.734372
47.816681,27.559381,49.891495,52.185226,136.674133,5470.617188
116.767342,57.070839,164.396729,151.977264,445.608154,7061.977539
26.527431,17.480286,6.478010,12.903609,25.735548,1934.112427
49.462872,31.140388,15.581277,13.569507,33.653347,3258.291016
5.269289,3.655202,1.466239,1.462028,-0.046383,1.255071
23.594465,16.159616,8.881644,11.175902,1.453099,1.391467
10.894675,7.711164,3.773823,5.376818,8.743799,597.298096
36.780022,24.063444,18.042337,21.880245,81.970650,4022.115723
40.411846,24.554859,28.009893,24.482742,83.425346,4319.859863
10.171076,7.020139,4.036968,5.005331,0.719866,6.315551
12.928687,8.967713,3.000254,8.146543,3.745553,62.480282
71.459305,41.100994,29.736130,20.232388,41.220184,3494.263916
17.141729,11.492249,6.534372,6.014794,11.864629,1080.542603
6.926782,4.987872,3.087909,3.131563,4.343864,353.061707
8.546511,5.920152,2.834112,3.424756,0.192451,0.506937
23.787510,16.327890,7.995444,6.347746,19.693657,1945.422974
53.015144,33.686775,53.512608,63.039459,154.498108,4947.523438
9.469682,6.491611,6.200659,2.558340,14.065090,1320.022339
52.009510,27.659948,16.889271,36.040638,27.163225,2207.556396
21.635565,14.342010,27.153156,17.412600,37.791996,3011.335693
79.301239,40.814751,50.672462,67.300949,130.685501,5600.466309
12.096873,8.082062,3.549126,2.803534,0.724011,7.290003
24.130283,15.634850,17.997728,20.776867,89.245972,4265.084473
10.147317,6.740395,1.377299,7.414839,2.652219,23.999470
19.664600,13.702725,5.149618,5.475079,22.034317,1869.660034
14.851338,10.145822,10.742949,13.324006,1.717583,18.484968
17.210892,12.223410,2.676351,11.480579,3.240314,28.902472
13.244215,9.330584,3.790576,4.607916,24.256655,2036.566528
9.488328,6.823742,2.637083,6.694766,0.358438,1.513359
52.790562,31.677570,19.462770,13.815212,42.026211,3322.896729
37.322304,24.067434,21.907412,19.459150,79.064476,4282.688477
11.147734,8.148095,3.471241,3.054167,0.821949,6.801651
27.269196,18.356117,8.901220,7.102205,27.024326,2456.045654
47.727478,29.758854,14.088195,9.197482,34.903187,3322.085693
55.824802,33.286777,34.447994,35.331860,151.078461,5341.447754
28.491440,18.072142,9.071892,14.143795,19.754614,1426.827759
43.002506,27.688326,12.569530,11.627091,45.143826,3562.887695
30.699631,20.589788,25.279083,19.865938,73.225929,3783.653564
56.078171,32.104557,34.054070,33.917702,91.226387,4932.794434
6.814068,5.037179,4.827824,6.442139,9.391264,719.598633
20.578041,13.833066,6.480505,4.989357,16.978098,1531.837402
25.391359,16.787451,15.656672,17.643297,44.300041,3229.115479
75.737343,37.234745,62.034061,61.812824,276.070068,6816.275391
56.659939,36.420448,31.319239,32.702526,130.015594,4859.310547
20.000475,13.401379,8.902444,8.359956,36.354446,2990.754395
27.093912,16.580460,24.646864,46.625397,58.252495,3456.543945
46.780735,29.351467,17.357483,21.696198,31.009830,2581.741455
12.751810,9.181270,3.601463,4.016231,13.959742,1152.829102
39.363316,25.202755,19.795517,19.453667,54.724144,3679.355713
7.681036,5.236978,3.234298,2.429297,0.767426,4.911675
49.693588,31.017090,14.212567,10.606398,37.812725,3253.736572
82.797356,44.501709,28.436155,27.043972,91.935097,5152.825195
17.777752,12.075555,5.937055,7.575489,9.762095,864.402344
29.394135,19.469042,8.094258,7.613972,24.313581,2255.485840
36.541168,21.933939,25.555761,20.828455,61.547043,4190.378418
9.970464,7.039309,3.701555,2.495076,0.130210,2.211448
17.643332,12.326357,6.505198,4.362002,13.171150,1279.115845
16.789152,11.937123,5.236278,3.529633,12.492297,1030.912964
8.017326,5.685791,7.824287,9.656011,21.063904,1741.458984
27.974199,18.725023,7.442945,5.840389,27.503639,2681.792969
22.111973,14.794639,6.030438,4.124669,13.469452,1464.240234
14.585872,10.327017,5.047331,5.139819,23.248041,1951.425415
56.665913,33.654804,18.001589,11.774324,60.177608,4197.787598
36.354939,22.722416,19.887440,18.366573,98.297523,4414.999512
7.918683,5.541295,2.773703,3.285565,0.155561,1.128793
27.164820,18.774515,7.896262,5.330601,1.183071,2.189716
18.511017,13.015945,5.221397,9.482174,11.081583,858.266602
42.291534,26.437653,14.380518,12.239327,55.867474,3857.642578
30.935881,20.370968,9.840151,16.828571,20.413263,1564.669800
23.196165,15.831119,6.055603,7.044603,31.925526,2749.550537
6.106938,4.368026,2.065016,1.452444,0.698618,-0.303959
41.135445,26.270340,17.838747,23.949562,69.169090,4272.984863
21.586439,15.170554,7.227460,6.763827,19.286228,1634.352539
26.874216,17.995914,20.785976,33.056473,78.855919,4001.470947
8.860768,6.581060,3.651762,3.862724,0.601749,4.958350
63.326889,35.840321,37.606121,31.910048,87.764778,4748.457031
13.719658,9.067221,4.914906,5.793334,0.665688,3.155413
40.425606,25.315674,10.276472,22.296747,19.922001,1046.152832
