"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
13.667815,9.725761,4.965748,3.193495,1.729326,8.373565
24.738012,16.413204,18.526411,11.837036,2.487402,47.591812
7.493924,5.456060,1.543262,5.383768,2.101532,126.524925
11.276347,8.194653,4.507992,3.297251,0.991150,25.115477
44.531025,27.303486,50.642036,76.522331,21.491747,231.827896
41.117550,27.552221,18.937494,9.322033,10.711786,928.854370
35.853489,23.449921,10.960852,24.719412,14.405175,811.284363
29.305866,20.362667,9.003017,21.955164,8.568864,192.523941
11.177499,7.965807,5.307751,7.261763,10.771314,923.778564
5.857757,4.168847,3.163373,1.127296,1.262689,132.012939
12.899005,9.153511,8.627283,7.621847,3.160447,168.619644
11.705355,8.486921,6.423972,4.037920,1.132402,15.139865
25.392597,17.637232,11.488017,5.028787,1.974128,16.087793
15.672235,11.091781,5.069083,2.514524,3.288015,229.191513
5.229748,3.712241,2.537087,12.420628,5.192803,19.884588
27.941563,19.634367,12.318670,7.991835,3.687815,307.462738
14.587790,10.148951,5.620939,8.612816,0.622241,7.044057
37.271297,25.869522,12.689842,10.724977,3.086931,199.332657
39.693466,26.857040,11.618422,11.668771,3.579486,128.686111
31.811171,21.478279,11.508773,7.246030,1.753887,12.362649
10.074943,7.389382,3.963261,4.096247,2.379390,116.647713
90.880569,40.965809,57.747566,105.694496,52.838238,2212.473877
20.279856,14.460215,5.874313,7.818225,17.474926,1466.059204
17.439854,11.556172,18.228827,21.567114,5.242465,18.508547
10.888413,7.671161,3.162676,1.484860,0.852225,14.196125
41.425259,27.769165,14.739218,14.535046,6.864124,415.453827
30.164358,20.902164,12.843188,9.192932,2.908372,78.207825
16.339943,9.409613,6.022118,6.527895,4.239239,288.133148
14.199640,9.242909,5.650345,7.738183,9.114199,581.959961
16.631779,11.791409,7.190519,7.851778,6.101745,593.129395
6.270593,4.587195,2.318611,1.961351,0.571534,1.560225
22.197462,15.504972,4.995824,7.198563,8.017536,722.899597
28.251242,12.322985,9.865296,6.275289,5.069264,403.779572
28.138596,15.798675,11.219267,7.987821,3.963948,152.492462
28.901922,13.536559,11.780955,24.205648,17.117573,756.577026
29.142313,13.432402,12.413633,33.865234,19.569260,626.060730
20.224678,14.252812,11.558261,8.385164,5.054008,202.944885
10.093435,7.096122,5.851230,35.999546,14.527323,398.892151
11.300755,8.128809,20.807646,22.737267,15.674576,816.699341
20.579041,14.608239,13.621948,30.138653,14.194035,811.540161
16.854723,11.505119,6.166217,4.068120,0.488625,6.170479
34.129414,23.257137,10.935192,9.490595,13.957598,1489.010010
25.109280,17.889399,7.271357,6.683165,5.329219,493.202759
20.392786,14.230434,6.099683,3.851261,1.528574,31.462051
26.124695,17.576395,9.227720,13.452748,16.453798,1658.414795
14.735802,10.315718,5.198494,4.003651,0.866319,6.764702
29.994812,20.332710,6.292220,13.194594,5.143651,63.884430
22.389021,15.410214,9.950447,5.638443,3.634092,237.599579
45.197742,30.029173,14.234668,11.273085,8.207729,580.452393
26.279768,17.334347,24.275263,35.117802,9.255161,41.338531
35.444756,22.083302,64.943352,60.103325,16.280575,182.519958
20.778893,13.586462,13.545882,32.013012,13.132840,76.764610
16.617563,11.722084,3.170537,18.309927,6.944391,21.356527
12.564734,8.883621,2.710104,6.450038,0.791822,11.878308
6.445275,4.506079,3.219298,1.825470,1.077804,85.785957
29.439638,18.468729,25.573301,55.153419,43.736580,3059.939209
23.345446,16.016703,10.580648,6.686571,1.891104,116.212784
55.511276,32.896870,35.189667,49.135944,17.267847,481.875458
24.704062,17.017971,10.627850,45.649578,17.557558,395.358154
24.717724,16.827433,16.418335,27.816935,15.826048,1291.044922
25.691328,17.278307,24.738964,27.847029,38.061428,3264.439941
61.511116,27.980339,73.463211,149.598648,106.180473,4592.315430
25.633352,17.580133,9.092182,10.234925,15.312800,1199.968750
27.855289,18.282999,20.880659,29.168264,43.277035,3337.751465
33.983829,22.851379,10.038209,5.461505,4.992739,386.594574
14.779519,10.617316,3.056238,6.152424,1.976151,14.241475
19.645918,13.237722,17.687309,20.882273,11.635075,957.122131
19.809072,13.947092,4.985442,3.876779,0.713178,1.423638
13.521930,9.496442,8.227647,13.083434,5.212196,167.672104
10.217933,7.355070,3.765794,4.876360,-0.235644,12.809253
15.311726,11.035573,4.868597,0.901783,1.519307,31.056269
16.837513,11.551999,6.331795,8.090122,5.527565,327.537781
24.688784,17.268496,7.704292,3.292374,0.675059,2.896985
28.311546,19.113079,9.676050,5.934396,5.718277,503.439056
