"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
17.764191,11.678886,5.358943,6.321180,0.732041,0.420309
9.435589,6.418697,5.207834,5.989158,0.928921,2.263611
6.149914,4.357428,3.616471,5.759090,1.136418,5.703331
7.004823,4.822461,6.459668,5.381183,0.794552,7.446735
6.973780,4.796772,6.668570,0.950301,0.966982,4.189601
7.359993,5.335424,2.902299,1.708354,0.313573,0.893354
8.051047,5.536102,8.973432,9.377668,1.197407,11.504867
17.595812,11.726192,11.233504,17.122444,4.115041,4.802056
14.062119,10.086779,5.851075,5.302938,1.509791,4.635855
6.790700,4.824975,3.242011,1.899388,0.758685,0.224794
9.914299,6.971505,6.682756,5.520042,0.954982,5.390217
7.755536,5.480939,3.550076,3.995026,0.642696,3.115255
6.672954,4.621484,2.794839,4.120864,0.118964,2.029294
8.119323,5.705428,1.902078,2.560992,0.167479,0.384358
7.220743,5.161826,2.336916,3.809663,0.567404,14.512119
8.782255,6.145597,3.046425,2.748047,0.592301,1.903983
21.558062,15.062281,8.065895,5.853304,1.101224,8.516750
6.537769,4.629287,1.894860,2.103290,0.477548,0.576295
11.726598,7.997178,4.462277,4.176624,0.555461,0.490344
22.181473,15.557868,8.785007,6.541854,1.053286,10.754126
9.631704,6.656960,3.241213,1.719207,0.213245,0.219181
8.509853,6.206287,2.450089,3.331612,0.879343,1.890217
5.595820,3.870615,2.671564,2.824652,0.281593,0.222163
10.026346,7.070088,3.587686,2.640151,0.338254,2.187391
5.533816,3.764911,2.597905,2.642997,0.083708,4.012381
5.823263,4.423218,5.095224,6.163572,1.277185,0.465399
10.275853,7.108219,6.030195,5.579116,0.738652,1.735029
24.818651,16.947456,15.687559,14.198767,1.965859,6.534247
4.548497,3.353016,2.361807,1.343407,-0.043664,1.575950
7.702684,5.352200,2.643759,3.215655,0.239569,1.928961
9.051552,5.991004,6.229111,6.590325,1.804736,2.575382
9.243484,6.929532,2.972659,3.713428,0.886414,0.014720
9.849729,6.646715,3.602777,4.423700,0.218671,1.662897
8.550348,6.094085,3.355372,2.147091,0.353706,3.661109
7.512129,5.266296,3.895614,6.261672,1.311146,0.188318
5.725780,4.078763,2.483679,0.804708,0.624422,1.435192
7.867639,5.540043,2.865083,4.356706,0.650228,4.320788
7.330348,5.188774,2.555544,3.300047,-0.038754,-0.611545
13.584859,9.822535,5.708968,10.033503,2.280934,19.711475
6.116623,4.232262,2.548155,2.750854,0.064047,0.257970
17.734051,12.359612,6.373538,5.122596,0.710244,0.572816
10.459092,7.540583,3.986369,1.859043,0.138590,2.583806
5.370905,3.820795,5.148105,4.288252,1.693955,1.359060
12.571788,8.676235,3.747663,5.874426,1.117507,1.715084
7.351435,5.369363,3.601461,2.042953,1.129928,1.309990
19.361202,13.184370,6.642591,5.283321,0.912788,3.944423
12.379688,8.766549,4.376289,1.934928,0.625485,1.059062
8.234010,5.461484,3.058816,2.735951,0.116787,-0.290369
11.046996,7.873410,4.104542,7.941653,1.287502,3.178175
7.756723,5.524045,3.335855,5.628198,1.119606,2.969877
