"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
24.477097,16.988945,9.444593,24.690521,7.988270,34.185013
18.782898,13.330929,6.305205,6.382353,1.472245,1.655946
19.411299,13.390631,7.519822,8.082513,1.307993,3.808847
6.507968,4.685132,3.303387,2.028304,0.190462,4.844501
21.597048,15.523700,9.428082,22.111324,6.414516,31.716805
15.953084,11.469458,4.989806,10.755406,3.294704,6.058503
6.621249,4.406951,2.896786,6.014067,1.569155,2.522154
23.379351,16.761593,7.265812,22.920279,6.638636,40.082348
4.889958,3.403429,1.254271,1.428182,0.383824,-0.239760
21.853634,15.170435,8.911164,21.430443,5.952430,8.560522
26.460648,17.789986,10.478873,20.082544,5.247954,24.177774
20.141169,14.132673,12.622149,37.459469,9.832728,56.089310
38.628963,25.129297,16.778273,29.735712,6.499442,29.359901
23.411022,16.447615,8.393365,9.063003,1.507915,10.124864
24.757227,16.850058,9.300036,31.479847,9.067558,37.939373
20.678183,14.324308,12.047009,30.854321,6.790479,16.845383
9.411919,6.547876,3.311813,3.336858,0.293387,5.696471
29.021358,20.528946,10.866849,8.626748,2.386330,4.454624
22.350004,15.626572,8.158307,15.404120,5.452523,21.411877
29.723663,20.593269,11.194218,26.712744,5.392725,21.620598
10.032048,7.603005,4.220625,2.852322,0.567120,1.080635
55.678921,35.381092,19.357462,38.522537,9.543924,26.929573
7.004172,5.121836,3.236335,2.742438,0.431722,0.643953
9.082679,6.246114,4.409820,8.813308,2.622358,5.186394
8.200391,5.626483,3.748893,1.609968,0.895119,2.189388
25.297125,17.820435,15.925951,32.843620,8.301073,40.106575
13.918265,9.992130,5.293849,7.098277,1.650149,17.205454
7.975619,5.869574,2.962348,2.395776,0.668316,6.166073
18.982317,12.874501,10.726131,30.757946,9.435904,41.517384
7.030678,5.138577,1.457026,3.212080,1.047406,2.747521
23.656950,16.031288,9.396116,18.464806,5.025358,28.708532
28.231215,19.563808,11.601496,37.592514,10.777049,46.901402
16.233782,11.529528,7.749194,17.803043,5.458884,10.316755
6.941824,5.025970,5.800329,15.247624,3.638669,9.526859
33.984859,22.203552,17.800409,46.549831,12.374215,82.230179
19.019335,13.035673,6.279796,14.523629,3.469722,19.825981
10.566384,7.538945,4.788163,37.842598,12.117215,41.316837
9.389259,6.745170,3.484913,9.448183,3.446381,34.461422
4.959596,3.703760,2.191663,0.764830,0.232747,0.459233
21.873009,14.547204,10.211878,37.005264,9.861745,25.962181
32.704044,20.690910,26.312084,56.001991,14.161078,108.533363
10.666413,7.540583,4.336670,12.067808,2.940996,7.320015
32.165337,22.253412,11.882458,26.153452,9.010951,40.903725
34.190350,22.348112,11.218364,30.735056,7.119088,13.836205
8.581062,6.040750,8.963207,25.302208,7.253042,30.131163
31.850494,20.325483,24.414991,59.519173,17.323305,131.564713
23.078159,16.106026,7.679125,19.700180,4.407304,15.682330
7.229577,5.141049,6.747697,6.939560,0.867431,3.595109
61.497452,37.567017,22.534649,52.226101,12.389892,40.109882
7.763872,5.279904,3.300111,1.596165,0.333216,1.976166
17.765291,12.561818,6.564662,8.391068,1.021045,1.907744
24.996799,17.431677,8.777502,20.928493,6.377040,25.202488
37.464031,24.753090,13.400748,50.433933,16.309574,56.204300
55.237083,33.511307,18.873981,58.584084,14.782405,64.891678
11.349485,8.229223,3.637515,9.825195,1.807001,5.313297
8.814788,6.139627,3.397120,18.446905,5.006900,19.618204
28.278252,18.488626,12.682453,23.969267,6.277012,33.137886
11.069550,8.253922,4.606264,23.767738,5.504177,7.021351
11.760807,8.701932,3.464557,21.353718,5.608013,15.893082
17.104044,12.005654,12.114639,52.173557,14.017353,55.695057
6.489129,4.705064,3.141850,11.079062,2.666757,6.789575
32.143040,22.487175,17.979858,46.896179,12.857493,18.985756
17.240433,11.751275,12.459358,39.381378,14.068874,55.189476
35.990845,23.318399,33.591572,66.189331,18.287725,46.622177
51.227207,34.753239,33.079418,95.424461,23.740976,78.119003
11.462386,8.084357,5.365364,2.552905,0.314010,6.331111
41.386013,27.367361,11.310405,36.527847,10.223148,59.469334
26.050144,18.250071,7.237375,19.214947,5.470835,21.651718
6.851918,4.888288,2.451260,3.671782,0.776244,5.064631
20.712656,13.733244,19.522179,30.970192,6.455815,19.597223
55.453331,35.693775,47.926991,134.144760,33.346634,109.741684
39.124504,25.178099,13.509386,35.199108,10.539011,44.169479
16.581823,11.226014,6.009981,3.045734,0.653612,12.051273
6.671539,4.830853,2.877357,2.399219,0.828364,1.854836
40.061405,23.241516,30.626486,97.861504,25.397675,68.051826
23.369471,15.882647,4.092343,21.504480,6.009580,23.854076
53.220581,30.975084,26.272093,61.435276,15.791557,80.618576
5.957917,4.578622,3.137703,0.574932,0.259115,0.606882
34.792351,22.761482,43.818569,101.858505,27.056557,136.664581
77.806931,46.927402,29.206125,83.938927,20.377653,88.343491
49.528812,32.359657,34.590179,53.116013,14.748995,66.053680
48.179783,30.180634,22.234648,46.458965,11.615952,57.971470
40.432156,26.898733,21.440226,43.777176,11.554659,37.576126
21.161798,15.009552,6.873409,25.283548,6.411036,25.419853
18.868624,13.223961,11.763805,44.071869,13.834805,48.900230
19.294456,13.439002,8.590635,29.605320,9.597467,49.546402
18.849615,13.550138,6.944016,7.433904,1.559595,10.563941
24.713377,17.637888,11.793851,12.190891,1.717583,3.629358
28.785112,19.883322,12.062981,25.117287,6.539576,20.763342
17.980425,12.733294,8.573254,44.853184,10.659266,27.073483
26.460043,17.932140,8.763770,22.311745,5.305542,12.751578
29.795820,20.035114,12.503223,28.320522,7.435797,22.198580
15.521443,10.929615,6.065239,11.838322,2.992018,18.213024
42.699821,29.098412,16.446667,35.489159,8.457075,39.222340
58.453114,37.521152,24.857779,49.052505,12.018586,46.884380
24.014263,16.453190,14.281217,46.393703,11.711850,37.608566
44.050407,28.709139,14.795407,33.312267,8.148610,25.562271
37.770832,24.175657,44.666737,85.222679,20.633940,144.619766
11.739949,8.187593,6.392799,14.218601,3.336502,5.329696
24.201195,16.988714,6.902591,32.616173,9.521240,45.504948
15.618432,10.849061,7.617089,7.244803,1.863950,6.182556
12.647648,9.004465,4.670546,13.862795,3.564833,12.616699
6.537416,4.464170,2.963200,11.630774,2.544277,4.447474
7.197167,5.129736,3.882277,7.320149,1.398923,1.880371
36.096169,23.257694,14.078604,35.568867,10.206087,86.011780
5.208623,4.071817,3.055688,7.648871,1.662545,6.626741
