"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
14.286203,9.893608,4.558255,15.793599,3.520149,12.523557
6.693949,4.786007,2.748580,0.530901,0.664409,10.034569
19.161085,13.390631,6.468920,15.045634,3.359755,2.043046
4.767188,3.510205,2.434784,7.425795,1.806135,3.042954
18.269192,12.761859,6.918785,18.390274,4.405649,8.307423
8.857707,6.388281,3.231153,6.523202,2.268823,1.540338
5.849157,3.857635,2.567932,8.401831,2.062435,2.171853
11.247504,8.216671,3.433950,13.480030,2.928308,2.335653
26.697968,18.067125,8.217393,30.771231,7.296902,27.841492
5.321582,3.985742,2.612900,8.426420,2.492316,3.985166
21.735163,14.707710,5.560365,19.489178,5.877065,8.056791
17.681915,12.026960,5.473155,22.818329,6.322573,10.528763
6.283333,4.758813,2.566071,7.259273,1.852595,7.080059
4.430441,3.172469,2.137995,0.834510,0.099563,5.077673
14.519867,9.953085,3.030368,11.012276,2.376099,1.483075
15.673887,11.333586,5.112484,16.663567,4.173947,4.588431
22.659006,15.459009,7.479678,26.739092,6.652418,23.329466
11.663598,8.199843,10.330673,19.064281,4.005578,8.068441
19.526152,13.124130,10.596115,24.193808,6.742917,16.114471
11.622409,7.958992,4.138160,11.778493,2.461638,1.935840
12.148151,8.518532,3.798834,14.297863,3.390973,7.564773
7.559036,5.229725,2.693155,3.749828,1.411943,12.638731
23.589840,16.138681,11.243208,42.569489,10.536826,60.484615
21.932997,15.019917,7.104991,20.927280,5.453360,4.778902
32.221016,21.373552,11.584191,32.061111,7.590153,20.369282
9.912488,7.169800,3.458105,8.926659,3.321797,6.878047
16.052240,11.167057,6.509178,13.460882,3.691187,6.907327
6.531522,4.801459,3.212563,6.935388,1.779985,4.843510
7.579671,4.970448,4.034672,9.882881,2.201120,1.472290
18.168812,12.676418,6.725835,19.611876,6.373407,9.624855
10.334796,6.982825,3.619728,6.683262,1.565244,4.573526
13.579349,9.355680,4.781355,24.638535,5.111470,3.921645
7.830138,5.563341,3.295370,14.028374,3.242696,3.489465
11.334882,7.848846,4.091719,18.207308,4.618081,17.319263
12.784513,8.852111,4.374596,4.699616,0.510458,3.744943
10.290413,7.084745,3.198579,16.060663,3.305295,1.688982
9.100841,6.714970,3.730112,9.482535,1.794067,8.417162
9.871817,7.096122,3.141761,8.579579,2.817269,2.655546
42.985100,27.782129,12.929453,38.650928,10.227041,36.972725
4.565291,3.286217,2.340834,12.337656,3.327563,4.575963
10.241904,7.202141,3.928582,10.094722,3.348223,6.191926
20.875177,14.559626,5.816512,18.255264,4.427987,5.407659
16.201632,11.022943,4.068606,14.604252,4.221125,3.879081
7.438808,5.288785,2.518036,10.481954,2.829691,1.690062
21.134697,14.188944,8.820228,29.834671,7.288787,23.421831
18.274555,12.696089,4.290572,15.974643,3.883195,11.751126
10.277884,7.515328,3.089470,14.620819,3.742447,5.537907
10.807649,7.597714,3.773715,7.043221,1.639523,1.907947
11.954920,8.453244,2.989298,9.589496,3.568032,19.960442
26.908880,17.822628,6.409923,25.112783,7.682383,22.575994
20.810762,14.087697,10.274990,35.450016,8.795577,36.297985
24.446327,16.607702,10.100067,31.723476,7.806839,11.862465
33.314041,22.143837,12.035291,30.473942,7.577077,10.550820
4.868842,3.649857,2.810190,10.832372,2.664859,2.191419
15.528072,10.868994,3.126361,16.348652,3.154587,3.944265
51.698032,31.392921,34.087753,81.308014,18.725822,96.323341
6.956375,4.740458,14.941535,44.186623,9.215250,16.634432
5.875804,3.996721,2.861909,4.222386,1.793848,2.535357
7.410644,5.177152,2.170589,11.144953,2.619733,8.997875
6.623618,4.834024,13.015412,29.185968,7.007763,23.964245
17.541475,11.998765,4.843311,17.019876,4.293153,5.277562
9.580813,6.679069,3.438802,10.307622,2.444982,2.217788
17.569286,12.605767,6.089604,22.459705,5.557997,6.058007
14.951355,10.806191,4.488014,16.378714,3.635861,3.217052
12.765615,8.660706,4.133140,9.422049,3.412811,9.338524
8.509851,5.826057,2.627299,6.706471,1.933257,3.929049
8.107441,5.699880,3.403617,12.056838,3.649647,3.442663
18.150507,12.634836,4.842462,18.128300,5.381472,6.606659
12.299452,8.672467,4.624554,12.851092,2.845878,5.625827
7.422676,4.974699,3.258215,11.964588,3.560472,6.989970
9.224356,6.442677,2.902623,6.281402,2.834723,1.631005
11.972623,8.546018,4.258586,14.399111,4.154958,4.796390
