"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
9.857401,6.918144,3.714674,10.657046,2.440651,3.422887
20.348528,13.880245,7.452618,14.046076,3.145110,28.243059
5.041820,3.838629,3.602173,18.101830,5.972713,28.740967
9.667824,7.126538,4.851144,6.314126,2.760526,12.333074
11.745734,8.077411,6.218184,15.838083,4.169732,20.099689
6.294793,4.419897,2.230294,10.673193,3.362619,4.700193
13.948969,9.564422,6.414091,2.757700,0.843532,8.177010
14.829151,10.474972,5.399924,11.489036,3.378694,10.299632
5.919413,4.196886,2.691219,8.745178,2.092434,8.482014
22.253977,14.499048,6.716423,20.090006,5.823748,12.424554
5.542689,3.751900,9.842612,18.738535,3.389215,25.196508
9.346188,6.869489,3.932547,11.129722,3.234206,5.413657
12.274191,8.909204,4.117403,5.993901,1.663147,13.221045
4.705678,3.218246,2.917235,11.743876,2.369369,5.463719
18.441090,12.562338,5.268004,9.979245,3.037381,22.040009
17.100111,11.654020,6.299217,13.092643,2.933597,5.135329
51.036942,31.618067,37.984440,62.884411,15.938962,100.399200
32.477898,21.124039,21.997833,35.907314,9.717625,38.505287
9.596197,6.532333,3.554355,8.337338,1.792238,5.469619
10.893210,7.562263,3.294578,6.452491,2.061294,12.609289
8.659441,5.741433,4.606671,1.687036,0.892399,9.087509
20.899061,13.683095,7.711749,16.239122,3.631706,9.114277
5.896078,4.267344,3.307824,2.256307,0.278018,0.747614
18.676630,12.410665,5.403530,17.048950,3.894879,11.863556
8.472054,6.023211,3.491530,6.303283,1.309761,7.079300
8.990268,6.071167,4.001428,6.942812,1.723997,7.732352
8.474306,5.979068,4.414523,6.883807,1.482147,7.514991
19.178095,13.254827,7.294639,13.734082,4.149877,15.667089
10.439269,7.289784,4.156205,9.732752,2.426314,7.763405
26.418753,17.620266,6.704388,20.809332,5.787189,37.184231
10.524245,7.425330,2.597422,7.569738,1.836906,7.626147
6.498270,4.427091,3.308662,5.765190,1.815784,9.519308
18.335587,12.872301,11.323691,21.985205,4.994200,34.462486
12.718212,9.084807,5.106876,10.708013,2.580618,5.237462
20.866451,14.635192,4.610513,16.052219,4.567513,10.600829
12.049066,8.091825,4.106501,8.775838,1.661026,8.090907
30.726551,21.088749,16.305193,76.679512,23.680716,74.666893
19.308489,13.260673,7.216688,15.142357,4.382899,11.413065
5.288450,3.795313,2.499069,1.079386,0.761773,2.636101
9.083456,6.460045,5.007410,11.797907,2.612664,7.135303
13.430356,9.582512,4.071562,4.772295,1.182078,1.144735
8.932782,6.029963,4.636928,8.546928,2.662186,7.931254
14.307149,10.137934,5.559172,11.430098,3.148775,17.258425
13.558349,9.469692,6.063938,8.909175,2.150536,6.837338
22.550200,15.958963,5.653223,18.482067,5.001109,15.801003
28.107998,18.143476,9.602276,23.874283,5.699040,15.504348
5.473759,4.066842,2.803510,5.159124,1.218852,7.771968
26.449648,17.637999,6.275864,12.194072,3.298090,20.563248
11.769045,8.087033,5.412807,8.813830,2.763770,10.309298
22.072586,14.877683,8.282960,15.261469,2.960472,5.339768
27.970482,19.382496,7.179476,11.472285,2.536632,12.831408
32.960781,20.727575,13.803246,27.519867,8.032032,32.726807
25.639593,17.703529,8.496538,12.687243,3.359170,18.346800
19.120363,13.156082,7.306908,17.069870,4.276957,29.593515
8.253970,6.001441,2.025416,6.929852,1.892789,6.081814
21.321955,15.310159,7.922433,14.682959,3.966721,9.759740
16.700455,11.423807,4.897198,10.625667,2.491620,5.800130
11.398403,8.345475,11.526491,35.820942,10.583538,33.955189
12.014596,8.198392,4.451118,13.750762,4.192513,24.575535
15.960205,11.608926,2.484944,13.804904,3.969440,10.331111
13.009012,8.855454,9.025474,24.136702,6.266275,28.740562
19.903961,13.545524,9.965835,13.281604,3.016902,9.910107
10.005651,6.807428,4.867126,10.499437,2.029968,14.636802
23.794662,16.787638,6.861480,14.155375,3.414243,7.127553
12.647656,8.706482,5.748813,9.958223,2.933828,14.053286
12.788525,9.228766,5.158043,14.981433,3.784847,12.246905
7.968036,5.654104,3.289233,8.428723,2.648788,8.736494
12.681525,9.033762,4.617269,5.742666,1.120671,6.699595
13.986615,9.374372,4.570937,10.881544,3.153285,19.380493
21.770708,14.953947,21.162872,38.648209,10.952533,82.504799
26.628584,17.627369,31.941843,48.306767,12.375056,57.893593
11.078999,8.088254,7.854531,26.677509,6.785789,7.734627
22.422552,14.613465,18.234762,22.601809,6.369234,28.486813
12.351416,8.752362,3.527915,11.975297,3.362683,3.027272
22.231813,15.581604,6.741693,14.082436,4.068649,10.534595
5.968817,3.980792,3.195144,7.356619,1.995419,7.943988
12.810886,8.773545,4.192421,9.730169,2.669578,17.485800
19.701859,13.627085,7.459270,18.897806,4.359064,19.633932
28.851540,19.740242,12.913466,22.554701,5.974171,31.291969
19.292400,13.388584,7.380243,11.062070,2.526613,6.880695
22.641441,15.849647,8.739415,15.712472,4.218526,24.267805
14.043332,10.130585,5.048465,11.775617,3.823547,18.509018
11.964857,8.191458,5.054729,6.881213,1.824877,9.730793
9.805620,6.601959,3.867257,9.016011,2.250321,13.216519
11.969843,8.249596,6.173292,9.131155,2.685948,5.563024
8.342196,5.901161,4.555027,10.149330,2.073150,3.556919
19.807581,13.428067,7.126315,13.253186,4.283362,14.478015
23.019064,16.081491,8.694762,16.776972,3.719301,11.028567
17.092934,12.269186,5.746844,11.645006,3.061589,16.045004
21.837307,15.067888,9.127300,19.245483,5.025857,19.173841
24.143768,16.253674,8.867432,17.361065,4.890901,14.939171
9.417611,6.653156,4.063835,3.116742,1.108937,7.107051
9.169561,6.763966,5.128721,11.384360,3.492447,24.507715
11.169180,7.873437,4.965381,10.610655,3.610057,6.980376
20.534843,14.999183,6.034474,7.820679,2.603360,19.868330
9.044267,6.382389,4.401306,7.639001,1.603171,6.338866
12.265974,8.353914,5.980697,8.787642,2.057666,12.872806
10.322270,7.101072,4.146235,10.487084,3.737291,20.509636
33.047527,22.607149,23.150043,35.393925,9.573999,50.411259
5.610234,3.911933,4.396869,8.105842,2.425863,7.518763
4.608980,3.555360,1.247334,9.543205,3.308047,9.385305
12.401007,8.714548,5.614213,7.589552,2.170779,8.177175
22.461802,15.313169,6.745018,13.078444,3.838245,15.571310
15.822430,11.279028,5.033265,8.828587,2.564209,15.845932
19.785736,13.843022,7.186973,5.786152,1.348483,18.518124
25.983603,18.018351,7.938451,22.039797,5.365724,47.447502
12.250963,8.732189,4.437896,17.121048,4.941763,17.676928
23.322817,15.375014,9.247929,24.116787,4.524225,11.343222
18.084671,12.597317,4.525038,15.708912,3.393263,12.835935
11.500736,8.296260,4.223425,3.533674,0.919975,3.149162
12.701142,8.646969,6.437620,14.056176,3.494447,14.652081
39.133038,25.149698,12.181265,24.498245,5.864659,14.233965
31.234880,21.281982,12.772045,19.106552,4.691431,15.445650
20.622547,14.319827,7.242961,15.012214,4.131142,28.604467
18.892996,12.777459,21.461098,43.120293,12.049774,47.972847
27.328075,18.156786,11.447137,24.660749,6.644841,32.284145
31.880024,21.720316,17.763357,39.355076,9.398698,7.944482
12.865806,9.175539,4.420029,7.124050,2.364271,10.604368
23.005077,16.049501,12.824910,25.626688,5.160702,20.517338
7.509756,5.497915,2.998642,8.440992,2.015445,3.634657
16.456717,11.346802,5.354309,16.451130,3.352269,20.706707
6.230533,4.335985,4.636964,15.209146,3.161312,7.200387
32.445843,21.767904,20.539324,33.700062,10.860068,32.182129
27.257465,18.398916,8.543191,14.705173,4.317502,8.457339
10.504852,7.501241,7.199456,12.378415,3.607613,15.919078
36.766003,24.385624,15.948344,29.043598,7.062046,24.172382
14.027498,9.706944,4.539505,8.865355,2.042895,12.309821
16.577160,11.358745,7.624601,9.040930,3.059683,10.425358
28.380205,19.256790,6.944305,15.816184,3.496500,13.823729
4.569862,3.076447,3.313874,5.723019,1.527965,8.416556
12.394961,8.575925,4.571342,10.533881,2.655159,18.606817
26.588362,18.013124,8.443367,22.161152,5.374159,14.974134
54.948872,36.319931,17.156544,57.475540,13.902811,99.924950
17.457975,11.896561,8.881056,19.384928,5.771804,23.443481
45.092335,26.645163,45.853481,85.370598,21.720461,139.426285
16.751240,12.014469,5.408488,10.168965,2.686952,16.714283
10.319163,7.466070,4.702664,9.270939,2.453339,5.916315
22.924339,15.286734,8.881459,22.534140,4.514734,46.806019
23.231394,16.376181,7.316968,15.162091,3.825543,20.641853
10.782301,7.691772,4.292763,9.639451,2.585689,9.766623
22.100143,15.504889,7.797955,17.432590,4.266088,14.496199
38.779984,24.684072,24.004797,61.240322,15.791865,57.565285
22.894453,16.192131,7.452612,18.043245,4.768397,17.617985
5.569661,3.894011,2.127920,0.965265,0.660377,6.332704
10.987082,8.031203,5.253265,10.074668,2.649894,15.296217
28.992643,19.963034,11.028435,21.048847,6.189562,40.386028
27.712885,18.903698,14.765822,26.132853,6.164492,38.172005
8.084761,5.394102,3.601138,5.800259,1.856546,4.239156
20.189503,14.067319,7.471969,20.991102,4.144534,9.213554
12.207170,8.374867,4.823329,7.761847,2.050165,7.148355
20.473316,11.236370,10.744678,28.259920,7.548704,29.933701
28.653423,18.931944,13.707366,30.751719,6.980064,39.192707
20.667114,14.874452,14.188740,29.827400,7.146619,26.903402
8.548278,5.801616,3.598134,6.222975,2.109279,5.227473
7.055662,5.052273,3.904487,8.596501,2.700025,5.012018
6.762765,5.081055,10.739376,19.838961,4.651414,31.348827
13.543010,9.660705,4.610100,8.556955,2.315716,10.539808
24.186785,16.832518,12.794347,19.671671,4.489562,26.010061
11.495541,8.119198,4.581151,8.353142,2.835896,9.937978
18.355844,13.085183,6.144341,14.279521,3.556547,44.605469
19.355164,13.654363,11.521098,15.262663,4.800317,14.087504
58.322197,36.488773,17.417238,27.905972,8.141376,36.251095
47.752731,31.606541,25.744455,72.122597,19.013926,115.010391
20.211231,13.759158,8.842218,14.185557,3.347013,7.821486
33.896229,22.163818,12.517048,8.068989,3.187067,14.521295
23.633844,16.456799,6.827303,17.537582,5.542549,59.018085
5.744281,4.212524,1.545236,22.355646,4.876633,14.344487
16.555927,11.316687,3.338966,21.246773,6.298755,7.262190
21.668861,15.027945,7.261835,18.813475,5.132250,38.074608
11.289062,7.995810,7.206694,23.216936,6.557798,9.453498
7.475728,5.416904,5.304107,9.960994,2.188165,7.260307
16.783516,11.493018,6.722348,13.364005,3.956592,16.538820
35.290417,23.663038,9.887143,33.791523,7.744691,2.379065
20.580984,14.059950,4.722015,16.513018,4.242120,23.003595
22.437380,15.176938,8.782628,11.374168,2.624344,6.648875
18.484015,12.978600,6.052925,12.111284,2.902783,7.116474
20.521189,13.616944,8.510388,20.532207,5.760494,16.042814
20.897955,14.314107,7.471513,21.274931,5.299088,11.906310
24.244144,16.422850,11.841254,19.151413,5.693546,25.848385
14.491388,10.274608,5.322433,19.008862,5.372303,8.064799
7.981973,5.659501,4.299005,8.724123,2.139738,8.607063
28.132622,18.984591,10.998418,7.762149,1.868801,12.534114
8.250315,5.780986,4.499512,8.139992,2.133074,6.801218
13.285744,9.051191,5.928188,13.229127,3.724760,16.494167
12.070777,8.503289,4.909851,10.769485,2.367513,4.633839
40.980865,26.957855,20.566452,31.949715,10.108647,23.314617
30.798117,18.698042,47.678051,97.964493,25.814104,165.903671
14.151896,9.568621,4.653779,11.532262,3.116397,7.819811
29.541851,19.581995,8.577731,26.575064,5.609533,4.242341
25.488173,17.343233,8.393194,13.646396,3.292267,13.907230
16.083963,11.172440,6.127956,4.567010,1.596642,11.320633
16.464619,11.577306,4.471195,17.516153,4.006274,2.826917
22.880793,15.505708,14.468890,22.821781,5.996628,6.840794
14.847816,9.918923,5.125860,15.056320,3.838736,6.663250
17.026880,11.986579,4.170653,20.310520,4.644753,7.119238
29.073236,19.897715,11.000853,9.661392,2.487907,27.213287
22.555792,14.641356,6.599085,17.924042,4.084721,25.709970
19.152822,12.913506,6.707211,3.238796,1.333079,16.523161
24.771572,17.336075,7.963738,16.029404,3.820084,24.254473
17.167156,12.046458,9.318649,21.298456,6.809716,9.515319
8.003597,5.569551,2.433983,7.428526,1.957933,1.110514
28.825035,19.329416,7.871370,14.340892,3.877305,14.778259
27.087137,18.120508,17.304810,33.317333,10.186763,39.582214
16.200062,11.798279,5.325424,19.745876,5.100266,3.848034
17.803888,12.154615,7.313778,9.107559,2.716555,18.134100
14.335765,9.815691,4.659020,9.413764,2.568819,3.146891
31.119713,20.895695,19.998310,34.068153,8.585549,44.310886
9.685465,6.745029,2.868418,11.537137,3.367035,3.435286
35.538174,22.515593,18.742777,26.619858,7.597270,92.588112
13.696265,9.033185,5.083739,11.166167,3.032051,10.328842
21.601089,14.715666,8.018501,17.581738,4.992709,8.985924
8.882696,6.024262,3.370845,8.978573,1.608043,2.495484
25.471247,17.070101,5.551929,19.394449,5.182158,22.539522
24.828131,16.565340,6.781316,25.015192,6.157114,11.613511
12.464004,8.832692,4.947088,10.378855,1.865176,8.558447
18.653135,12.710647,5.221783,33.194244,9.364992,20.886059
9.012341,6.326813,4.141131,9.791841,2.830115,13.710545
10.768738,7.769131,4.319313,10.180916,2.243353,1.424126
9.440715,6.749292,3.240074,10.435620,2.518791,6.939813
16.163742,11.205018,4.192780,15.425490,4.822746,16.795595
31.216431,21.490393,20.215893,29.025072,8.115160,39.703487
44.510201,29.229925,19.837837,35.509262,7.872165,54.022625
34.432098,22.229687,15.007275,14.135029,2.352209,19.982170
29.067648,19.408018,12.493174,27.284077,5.960572,29.100945
