"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
9.675101,6.262016,5.266006,19.675503,4.882032,15.679838
20.069717,13.544552,6.151501,6.400225,16.996286,1453.541748
9.159640,6.371588,5.611041,4.279248,1.047055,7.151002
17.131374,11.887280,6.817118,8.076354,16.315022,1166.516846
16.371134,11.434344,5.717753,7.559546,8.466278,634.806030
7.660251,5.793188,7.849404,8.503473,9.103262,657.442749
4.719616,3.338836,3.811857,2.864934,10.887870,859.590088
31.407669,21.400265,11.498016,10.066385,18.827673,1610.444946
21.979630,15.259508,9.661489,29.076921,14.152788,598.073914
21.753548,14.834742,10.576880,13.627314,18.548958,1172.895874
34.950081,22.871162,9.928401,13.072955,32.156769,2304.385498
21.603140,14.819319,5.151450,29.684938,17.525047,663.228394
53.581085,34.421898,12.224363,8.756988,36.939861,3215.935059
13.977923,9.504867,4.211203,2.932740,2.008345,61.590477
14.101650,9.357992,5.496771,1.757901,2.576271,147.015167
26.604698,17.681242,6.542283,6.147394,4.792335,380.067932
23.734930,16.054102,17.459673,10.003296,25.422104,1942.891846
13.264973,8.871230,9.994671,7.161204,2.429224,42.576641
13.821254,9.462021,4.834025,2.132011,4.026299,331.928467
14.567794,9.942634,6.561669,4.143366,0.620772,8.577256
8.663015,5.787209,7.616397,7.727937,15.204687,1151.654175
15.519442,10.951772,6.003139,4.157321,14.998608,1097.741699
20.158323,14.185556,9.141404,9.920029,19.512388,1347.968628
16.296015,11.281514,4.459863,4.130716,2.125503,109.011246
22.044420,15.529437,9.146385,11.218216,20.476217,1523.252441
57.035088,33.979496,20.279688,14.831728,22.584764,2112.525146
9.771849,6.757267,4.371629,12.252703,3.351610,36.793701
10.799472,7.334418,5.636072,6.356319,6.441129,478.325012
57.140079,34.862419,15.044124,13.568188,18.815386,1497.002686
21.596756,14.644802,10.035819,9.778433,20.721439,1742.351807
6.939024,4.785559,5.085272,3.044424,9.407692,912.463745
30.197187,20.296230,12.073330,19.026575,19.827677,1419.615601
5.703312,3.869615,3.409754,8.380669,14.756152,1183.824341
21.876074,15.249358,6.829784,6.375721,13.822412,1053.794922
46.366917,29.588806,23.176453,22.261122,32.831066,2620.538086
9.046488,6.047147,2.176272,15.935555,4.284708,10.635949
23.237978,15.641361,14.996927,13.139246,22.426067,1752.021362
23.419163,16.098808,7.452605,8.518813,17.265387,1312.279907
21.380838,14.323877,10.513092,13.279145,17.847870,1570.950439
29.686859,19.460533,8.653397,30.017120,21.271540,1326.893311
28.911505,19.546501,15.731573,14.841655,23.358259,2004.325439
9.029293,6.441950,5.988088,23.105856,5.918552,60.379856
36.318901,23.840326,24.979416,22.478868,37.095779,2684.101562
33.218086,21.402067,9.545499,6.356984,4.248766,173.444656
18.718338,13.212381,5.739010,7.057973,8.893737,773.808960
18.603409,12.696089,8.315456,5.115320,14.009747,1073.784302
26.784914,17.464058,24.093216,23.642851,22.826689,1381.204712
52.400501,31.309874,19.315630,17.298454,20.816702,1796.369995
20.283499,13.519162,5.362764,8.856724,10.477535,702.117493
24.206560,16.632442,9.047902,7.025826,1.505651,15.687939
12.360651,8.594533,8.616425,9.492014,18.125017,1447.842041
20.589445,14.395178,9.120654,9.776061,20.074514,1534.230225
59.336384,36.914345,17.582911,13.852529,40.673347,3430.190430
21.347275,14.605667,10.645489,6.643061,15.722498,1272.889526
17.765709,12.577978,6.422048,8.795740,12.155171,993.447388
18.848400,12.990823,5.935013,5.560842,7.687773,549.108521
121.415352,52.698833,55.619320,62.023365,59.111660,4586.529297
31.562141,21.361223,10.375503,10.016647,12.181338,820.287415
37.196930,24.021755,18.956429,48.080235,69.234062,3727.254395
16.936043,11.685220,11.406889,17.790468,25.266294,1797.708496
28.904802,18.941515,23.602274,28.472567,50.282639,3544.480225
12.247389,8.265983,2.209175,18.864969,4.654022,18.388815
49.904190,31.892878,19.115074,11.071357,8.131635,597.816040
33.438656,22.860636,14.160604,16.057009,16.797161,1267.255859
125.480247,57.992374,50.994801,63.550667,96.964561,5434.035156
20.877613,14.187873,6.745120,3.299975,2.748243,114.827835
19.567280,13.237722,5.255207,4.117879,3.177814,224.343033
20.902868,14.771067,10.061228,16.190922,15.075509,1110.604492
24.595724,16.546003,14.625998,10.777884,25.701216,2078.630615
18.539364,12.512541,10.500147,7.224805,17.879910,1507.010010
136.901825,54.401051,138.054367,147.981628,195.693146,6359.114258
21.584446,14.542722,5.666939,9.294728,21.777231,1982.919678
17.418257,11.988954,6.253046,6.420060,15.412712,1159.958252
170.633728,69.253456,133.039108,242.998642,241.838852,6398.747070
56.768608,34.716125,19.624184,23.479790,19.410393,1510.643921
38.961430,25.434649,12.839138,18.576967,15.206761,1232.988647
13.472168,9.032945,5.093194,2.888581,8.302986,820.260742
18.250614,13.260874,6.151004,9.757816,14.306890,1042.712280
18.524817,12.919563,6.150517,6.809040,17.627033,1445.459717
18.177156,12.228916,11.305041,11.909225,21.757408,1733.924194
18.484301,12.874183,5.922711,6.386607,5.601856,439.778107
25.828451,17.714203,6.514009,7.082301,19.265375,1496.374268
33.436863,19.498220,30.347872,33.875820,26.345928,1984.533447
22.141211,15.467316,11.191401,15.535893,14.114079,832.823730
97.950798,47.556236,38.944286,33.691525,53.643982,4269.398926
24.824203,16.231361,14.753068,21.723553,15.935050,1147.535522
12.790843,8.529996,16.416433,13.306803,3.732890,91.647842
25.153040,16.493479,14.567661,15.247087,32.136555,2901.334961
25.421511,17.335104,9.567982,7.076798,5.935485,374.077393
17.311995,12.016130,7.751119,7.320960,9.451085,715.603882
19.182365,13.171399,15.176419,10.973439,20.025322,1411.027100
20.884600,14.831867,5.994063,5.794040,16.951111,1346.081665
16.254215,11.646778,11.677200,13.075098,25.304031,2034.079590
47.064281,29.998680,23.130978,18.302973,51.815731,3358.822266
24.595472,15.823157,5.155148,15.384315,4.755208,66.336792
24.042858,16.056461,7.489672,7.206487,22.799940,1657.027466
13.945988,9.605135,5.530310,8.977091,12.387963,859.213684
14.200599,9.588255,11.459657,14.933760,15.361557,1128.571655
27.053095,18.441500,10.410534,16.470535,13.663225,1020.054443
14.189027,10.137520,6.663100,7.973585,20.648651,2022.623779
21.502056,13.717713,18.097517,37.084709,16.690966,848.348450
50.101231,30.122629,21.849581,40.771610,37.065022,2400.402588
39.122532,25.002501,12.271191,11.173237,32.398479,2801.380859
85.589470,42.101780,62.210926,88.607796,65.475365,4125.420410
32.675373,15.124761,18.103487,25.220695,43.005676,1820.744019
21.372501,15.088662,7.287892,7.466571,16.511007,1311.461304
64.824669,40.897717,23.718735,25.342394,42.684883,3452.833496
26.765059,15.024062,15.667727,29.800238,7.912848,31.431898
50.133617,28.527493,38.139610,89.961945,71.794846,3798.578857
23.582539,15.864620,6.704126,17.527832,13.559398,801.348755
27.831991,19.312862,8.482233,9.487967,10.950850,967.284241
13.200061,9.051675,4.960780,10.264595,6.486622,387.247070
55.180443,33.260132,16.732588,16.700916,27.196466,2355.601318
28.103970,19.278934,9.795153,10.594135,20.284294,1631.752197
16.816212,11.297357,5.654670,3.850863,8.185741,585.848938
29.826649,20.094652,13.266556,16.382214,17.854465,1228.679199
57.762959,35.651592,15.057464,16.399654,21.709267,1984.587891
44.882580,28.477907,22.267494,30.218880,36.093227,2620.863281
49.198997,31.491396,21.353661,14.924642,18.311279,1362.791138
70.542442,31.926136,90.766853,158.762909,74.016548,2707.974121
23.384090,15.039429,18.830164,19.714645,22.021870,1140.621826
16.410702,10.866746,7.989843,6.255030,20.368942,1795.196167
17.686745,11.834434,15.577921,30.861908,14.977890,711.257996
20.658941,13.790762,12.603819,13.622102,22.232885,1938.278442
16.992565,11.392232,12.171582,11.463344,15.510690,1209.072021
21.763838,15.123539,6.615332,6.395582,16.899063,1207.638550
14.434992,9.798497,6.015772,4.672470,3.529886,295.070435
11.930313,8.337504,14.355379,17.655468,23.302061,1724.257446
31.046782,20.904739,8.563552,6.293723,1.287460,40.943439
63.649155,38.934601,27.248709,20.685865,46.073353,3234.961670
44.715569,27.649410,26.890503,22.179594,37.935448,2772.746338
38.448547,25.520449,10.588066,7.784524,1.249189,21.551208
76.159943,43.613632,21.660410,20.043406,10.135291,563.537231
64.562698,41.223953,36.561962,39.702370,33.953140,2816.727295
10.069408,7.083396,4.196287,8.211499,1.642510,18.751261
65.350105,37.466129,48.073689,50.703766,81.272278,4802.358398
18.250975,12.638800,5.231689,5.360438,15.185699,1285.343262
25.551596,17.163563,12.384466,9.144072,23.802721,1975.125854
10.220224,6.946249,10.176565,44.136967,11.185433,31.579815
42.866989,27.223022,23.816669,28.834503,31.792910,2348.095703
16.348778,11.430792,3.508558,12.921576,3.812127,14.303177
22.998579,15.238883,21.709969,25.895693,23.130308,1619.685059
22.326111,15.078239,8.067426,13.861083,13.050508,909.705322
43.423588,27.972380,18.649246,23.048512,37.281105,2914.750977
37.045170,24.541214,13.245841,10.689482,12.862233,904.370239
22.522804,15.385397,6.638953,8.180655,19.786951,1599.227905
24.746054,16.492809,9.396928,10.623109,14.653924,993.367065
22.582922,15.709044,6.010349,11.523029,8.497962,621.068726
27.356371,18.141417,11.218042,11.136213,6.149827,300.141907
17.068485,11.579213,13.109015,13.952877,22.238928,1578.307983
51.725151,32.186687,19.487898,17.625790,37.020439,3105.495605
25.475695,17.787535,10.912109,5.583683,14.204124,1077.083862
30.264641,20.474428,13.509585,21.981379,9.287743,407.322845
15.961785,10.775982,18.582428,32.838684,29.114605,1671.265015
32.141483,22.294704,18.295412,29.979145,12.383338,697.449402
17.715025,12.466310,5.198905,9.269173,20.590099,1557.791504
41.306129,26.491150,21.710497,30.382835,20.227522,1149.960815
40.872536,26.872801,16.997955,16.004236,6.044468,197.360733
20.095783,13.795467,11.050991,6.944790,20.225826,1617.385864
21.118931,14.473733,7.602737,8.857009,20.349537,1451.688477
29.038475,17.118107,20.621769,26.472288,51.833553,3493.975098
15.002864,10.228399,17.009747,16.253109,46.624416,3017.846680
13.734239,9.374485,7.950606,5.751325,13.602138,1121.231445
27.381674,18.489384,15.698105,18.832405,48.028229,3156.782227
12.885334,8.675048,5.475288,15.414581,4.602568,21.720331
28.230648,18.776134,22.676624,44.185463,42.996136,2817.622070
13.679666,9.186889,5.212670,5.619850,9.623566,664.631348
19.973146,13.636023,12.368147,14.169268,25.250740,1757.597046
20.017441,13.563101,8.548654,6.424265,17.571501,1584.105469
35.817265,23.742880,13.497809,12.393358,6.150306,364.483307
32.815342,21.209751,22.447395,16.166323,36.446152,2750.980225
20.726185,14.499000,9.839310,10.983390,22.669086,1807.004517
53.366650,32.864090,23.484531,18.932337,35.325512,3001.364502
12.656323,8.429457,13.643960,14.289680,22.086012,1711.267334
37.553928,22.760555,44.334579,41.514328,56.284698,3742.570557
52.284466,33.425377,36.014362,47.059143,74.596481,3915.139404
140.903122,71.020508,71.106987,80.308525,110.789955,5408.947754
123.450287,59.022358,63.126438,61.784710,126.571060,5394.102051
54.698864,35.160641,20.084045,13.014003,36.234051,3108.777344
19.710155,13.601024,8.475140,7.538300,28.170448,1421.710571
26.254803,17.774979,8.566956,11.387124,17.309906,1208.394287
23.121174,15.597137,9.690151,13.345513,17.292757,1243.272949
47.147995,29.767801,17.246170,15.532052,23.161842,1801.341919
21.893135,15.032637,7.021985,11.663497,7.349300,401.639099
20.635273,14.484735,7.133188,9.647094,23.317642,2245.257568
22.665138,15.361174,7.040555,8.618969,13.776081,1121.836304
20.746630,13.967817,8.494410,6.475232,9.185543,592.291199
48.402729,30.412127,19.931181,16.579453,21.893230,1626.491699
15.458332,10.548792,2.386702,17.567331,6.227921,38.693348
24.294291,16.549776,9.880185,9.364148,14.812873,1305.401855
40.476334,27.011063,56.607010,44.730064,16.920513,746.716248
6.677645,4.283604,7.488071,11.142824,17.550045,1460.607056
22.659174,15.688812,3.788292,21.388407,9.038525,30.218006
20.488375,13.886209,9.000615,11.649825,13.672178,778.497314
77.432312,47.646370,44.483837,52.455978,50.577045,3568.155029
57.104446,31.585947,30.567652,34.693600,67.322144,4224.409668
11.088804,7.591795,3.768083,1.206118,0.660352,15.351076
7.600045,5.314629,16.751549,13.486880,33.410622,2347.881836
21.204224,14.772597,10.237119,9.241434,22.178701,1841.293091
37.813454,24.711252,12.785911,9.985173,29.314753,2463.164795
26.011915,17.837618,11.091415,13.762535,5.471664,216.352448
24.221083,16.613352,12.246554,14.930684,27.104389,2105.051514
21.024788,14.244776,9.633939,9.378925,18.636875,1536.081299
42.061554,26.126282,13.639705,19.206129,9.582686,481.658264
16.778008,11.529005,6.884838,8.063806,17.082460,1352.007812
81.118103,40.073872,74.454659,74.701958,119.472755,5309.648926
50.890259,30.035709,23.923109,23.677088,25.403559,2085.170166
