"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
28.809387,19.247246,6.960318,5.138021,14.018448,1223.177246
5.346364,3.641598,3.241860,13.570667,4.238906,9.308946
14.560706,9.835333,7.162373,6.127263,10.487303,1105.433228
18.782793,13.107983,7.439081,3.954958,1.112683,1.691794
16.910883,11.663226,10.071492,44.130230,11.461707,35.498623
11.892456,8.661840,4.753889,8.053086,2.633422,19.541508
11.175159,8.069060,3.861900,11.375813,2.973932,12.184021
20.491156,14.137081,5.335583,20.822048,7.139066,14.621200
29.657650,19.989733,10.669497,26.746347,6.024381,30.186363
23.462156,16.238550,9.354403,17.040958,5.051656,22.987194
21.506395,14.219429,6.296711,5.873918,14.234241,1284.145264
7.394511,5.099470,4.207783,18.707657,4.949965,9.216923
9.657659,6.864526,4.145999,8.717669,1.731062,8.699306
20.880278,14.189315,7.013609,9.806499,3.295164,26.624744
17.297251,11.707846,4.088419,4.470945,9.796757,870.093079
14.608685,10.051847,5.920321,26.296835,6.611754,14.464767
6.677428,4.457422,3.958797,5.460109,0.615092,2.876193
7.392074,5.346450,3.181679,16.258299,4.259367,15.310373
13.263632,9.278915,3.904656,26.120464,6.210317,16.135920
14.324728,9.729011,6.039792,14.487962,3.834245,23.497210
5.406648,3.727272,2.590654,11.488308,3.473186,11.739787
10.565188,7.777943,3.536736,19.105869,4.582522,20.566967
12.230088,8.783945,4.101363,19.721302,5.335932,13.347717
10.698352,7.192159,4.795866,16.398390,3.798368,14.151235
8.979631,6.389422,3.741745,17.963293,4.348084,11.290058
5.129810,3.538208,2.971973,12.011450,2.960773,7.968268
32.773739,21.970280,13.951282,42.517971,11.530060,30.799269
22.438036,15.787787,9.060441,8.790552,1.690623,2.620172
12.097836,8.663075,4.692379,12.424349,3.570153,14.233246
15.988369,11.303127,4.624030,17.199087,4.503945,8.709783
20.761606,14.139196,5.893108,14.346985,5.843918,26.149193
7.817259,5.357877,3.137086,11.495110,3.199114,11.138556
13.245502,9.179674,4.360570,18.035385,5.533949,18.034096
17.400803,11.556731,6.315056,18.843569,4.074758,16.625811
4.881299,3.526794,8.256500,29.570969,7.991881,28.605574
17.939838,12.303251,8.102790,32.996632,7.630437,29.637978
8.914968,5.890996,3.179639,10.426203,2.026409,15.759179
21.410294,14.359305,5.715399,30.512695,7.417647,24.996157
11.422288,7.732080,5.966332,13.032505,3.692860,11.204172
8.175533,5.391930,3.041436,20.623341,5.908350,13.272716
49.668610,29.479973,38.551163,105.648193,27.433187,72.859879
7.713879,5.587458,3.114192,13.787141,3.755982,5.096677
