"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
49.612961,18.881035,33.897732,25.673508,8.960534,500.303040
38.499828,25.843136,11.649078,11.633290,2.022718,74.193222
30.127644,20.348639,8.627916,7.060207,2.108681,143.811188
16.952648,11.673656,6.659840,7.604520,0.083227,1.330770
13.411450,9.725360,4.502425,7.137756,0.116252,0.615104
20.578485,14.093969,6.855693,9.940422,1.303709,2.330302
4.548040,3.399871,2.289121,0.502192,-0.228817,0.095070
8.709611,6.294063,3.398205,0.268688,0.747864,1.420581
8.396540,5.921129,2.812752,2.139507,-0.002221,0.818291
8.059647,5.908349,2.956052,1.037934,0.433406,-0.361423
24.787785,16.416695,8.076810,26.155615,8.886792,441.886383
10.654453,7.601911,4.079101,6.643728,0.203033,0.916939
40.612804,27.769068,11.373632,14.726398,15.371345,1128.217529
14.678526,9.169173,6.470286,6.264172,1.093274,1.185046
26.519455,18.177572,12.231125,7.062456,4.971185,199.113464
17.189472,12.035490,4.612055,3.620224,0.813919,0.281161
12.657562,8.745142,4.427056,4.577209,0.515006,1.785971
9.354473,6.704482,3.231722,6.460602,-0.051477,1.058852
14.007127,9.584091,4.011891,0.548509,0.376737,53.289246
15.783124,11.071784,9.206797,5.226439,3.991523,256.983368
30.592558,21.030739,9.646712,9.000458,4.102298,275.680695
29.720921,20.519032,10.399771,8.954297,3.174170,121.668053
16.219227,11.622080,4.608941,2.156221,1.318197,122.752357
10.212220,7.344747,3.852198,4.223653,0.567022,1.075722
7.085148,5.016131,2.933908,0.798557,0.094432,0.638056
16.317987,11.167603,7.068347,11.275104,1.602464,0.672719
9.339334,6.803043,9.468862,8.324329,3.544633,179.634201
18.413151,12.339300,14.722445,22.766838,3.238380,7.746002
11.554512,8.144277,4.220546,4.181558,0.749875,-0.157681
9.318357,6.694973,3.816194,4.845626,0.904426,2.254241
14.005805,9.561560,4.456160,5.918320,0.757408,1.320734
16.699886,8.241788,6.439921,11.934772,3.620905,405.351990
16.755659,10.217272,6.769782,7.172488,10.674076,952.682983
4.582656,3.286468,2.104298,0.963933,-0.304002,0.658531
16.612801,10.973083,16.199034,13.893224,3.777549,102.747795
7.473709,5.009550,2.426487,3.785839,0.345611,1.106339
5.583535,3.754766,2.521931,3.513124,-0.593697,-0.276016
18.707973,13.382743,5.836932,4.997933,2.617097,146.128723
39.274773,26.378321,36.285217,19.352217,41.182190,3322.504395
22.602205,15.249108,11.570187,12.226846,27.398228,507.740082
13.973680,9.246819,8.160787,24.260456,15.079723,825.513184
10.644967,7.693171,4.443905,5.004601,0.646169,2.909085
5.978570,4.217523,3.060598,1.675295,0.675223,-0.138655
17.876343,12.277309,6.164024,3.912027,0.570608,1.504188
7.508713,5.430398,3.758739,3.669349,0.432901,-0.162703
40.865376,27.649702,11.711228,12.800489,5.291547,376.957550
8.126037,5.653756,4.004541,1.759777,1.197405,62.172245
19.500826,13.640195,7.083701,8.351487,0.645813,4.688906
10.382140,7.507200,4.461991,3.555745,0.544007,2.116549
5.118744,3.784543,2.306400,1.013521,0.669219,0.728667
11.531367,8.106252,3.783703,6.503734,0.953130,1.829105
14.687949,10.168493,3.465799,5.336535,0.729334,0.642117
14.830314,10.165688,4.750465,5.187947,1.103662,2.197220
24.703728,17.092850,10.902853,22.052721,8.169585,276.040833
16.654039,11.158911,4.749183,7.619730,1.006314,1.320583
9.429601,6.444802,11.132333,20.613050,8.270416,171.323456
