"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
13.517686,9.206963,8.962036,8.480176,1.361153,1.950194
28.530554,19.663326,8.188965,5.374344,1.472245,2.520975
7.118602,4.922003,1.607604,2.981705,0.339305,-0.044461
4.688549,3.266064,1.877162,2.071198,0.319144,-0.209838
18.462215,12.792377,11.394055,5.221825,1.006302,2.312990
15.077332,10.538671,6.598329,4.964721,0.513745,1.004163
4.573061,3.109954,2.231930,0.595129,0.446763,0.241625
7.737349,5.561641,3.033607,1.305292,0.279605,0.662788
13.372241,9.125475,5.911841,4.119779,0.866381,1.390211
15.015619,10.699610,7.860262,28.500797,7.439421,37.728420
36.347710,24.534370,13.946136,36.081997,8.550789,60.873566
14.950999,10.165388,5.709072,3.008464,0.828570,0.966982
13.796927,9.855249,4.303277,6.787439,1.059057,0.392174
12.676807,8.986068,4.154011,5.159652,1.343488,1.542495
7.395893,5.146567,4.302889,4.899885,0.717533,3.080876
15.427246,10.952116,9.437626,6.840847,1.199965,3.412421
9.662133,6.669947,3.579901,3.050898,0.515006,0.449109
11.820876,8.382949,6.738304,9.030666,5.839294,552.078369
9.417473,6.532333,5.273688,6.192640,0.762782,1.476905
11.965560,8.355720,4.248969,3.914598,0.799496,1.664178
18.253391,12.699440,5.210761,4.854041,0.495630,0.279948
18.725765,12.370839,9.949385,9.776431,19.291580,1568.839111
31.954166,21.174082,19.632553,42.662426,15.551846,67.683655
17.096703,12.197042,9.828758,10.564812,3.119213,16.785639
10.992073,7.533832,4.152812,4.537481,0.834353,2.436028
5.329982,4.057007,2.235626,2.553329,0.415731,-0.378183
6.858634,4.605777,3.142002,3.380800,0.156009,0.626935
8.747711,6.052680,4.792491,10.642142,3.138294,15.770748
14.735815,10.127919,6.551118,9.003554,2.651507,7.952853
5.257728,3.521145,2.629461,2.322031,0.171654,0.663589
11.660935,8.005163,4.341776,5.589466,0.392809,0.402088
6.226608,4.549161,2.700997,2.162096,0.207260,0.468681
16.991575,12.139879,5.018278,4.970598,0.808463,0.944423
18.358768,12.594329,7.044253,7.090621,0.882731,2.531567
8.402179,5.800354,2.751774,2.701472,0.453266,2.733361
8.027757,5.848783,5.228893,26.358791,6.550939,47.896511
13.958583,9.446294,8.494916,7.098346,1.225722,1.654213
7.770012,5.936454,3.499211,2.967619,0.465250,1.168555
8.770010,6.236719,2.877966,2.791570,0.275641,1.095493
6.316795,4.415368,2.548155,1.649909,0.239197,0.954997
32.761238,20.782463,16.532261,33.618492,8.466903,43.727722
28.935669,20.098568,10.731445,10.909670,2.047372,4.363905
13.760250,9.359735,4.908614,5.221196,0.846799,2.320600
11.806845,8.187954,4.326732,2.664528,0.785078,1.121717
4.863585,3.660379,2.278897,0.427280,0.329241,-0.087638
5.052488,3.495039,2.832177,1.358523,0.405209,0.312734
13.073141,8.552926,4.454928,4.294096,0.897147,1.938388
5.817650,4.149228,2.729962,1.945987,0.013127,0.181464
15.450777,10.497922,5.755960,7.945228,1.466227,-0.185427
5.719259,3.967648,2.299251,0.995649,0.755007,0.156747
7.327758,5.390186,3.569233,2.707618,0.577808,0.456498
6.645330,4.278600,2.472089,0.761179,0.171713,1.221186
7.581233,5.343910,3.199133,2.342647,0.431657,1.450150
24.239042,17.184402,12.572144,12.698260,1.764085,4.411182
19.299168,13.081518,7.254906,6.722532,1.213635,3.361622
13.032695,9.130349,4.565981,3.047970,0.517331,2.217550
10.484404,7.563334,3.939232,2.536579,0.264708,0.088083
16.713680,11.534562,5.571378,5.048095,1.014608,6.138451
15.535476,10.807645,5.480574,4.185407,0.618015,1.605815
12.639497,8.877603,3.896870,4.607723,0.809585,0.397583
8.176291,6.017320,3.399214,20.487139,5.933847,8.766272
21.644743,14.567863,5.833715,4.288168,0.847182,1.885360
5.598295,3.770929,2.347106,2.017155,0.214123,0.664091
18.754620,12.759316,5.174317,5.294197,0.654731,1.740784
12.601189,8.599670,3.954415,3.309658,0.567511,0.888412
52.097271,28.409065,31.716558,124.543350,31.190517,94.728432
26.955765,18.135794,14.770519,12.206967,1.958910,3.378322
11.562707,8.133493,3.612835,3.680182,0.480836,0.840994
9.307598,6.643049,3.773823,2.084706,0.150707,0.135399
10.128570,6.943083,3.987412,1.534205,0.758067,0.598769
31.858076,21.121632,13.704755,13.208777,2.534465,5.956147
28.333097,19.242430,16.490517,12.937140,2.392731,7.702456
12.850049,8.601502,5.495253,4.865153,0.810890,1.116886
17.466520,12.063519,6.215937,19.231525,5.389422,17.257345
15.333034,10.393616,5.941006,4.424143,1.073221,1.877162
5.611367,4.102862,2.909184,2.606112,0.512003,0.087243
16.342489,11.062364,5.071748,5.108344,1.014586,1.679372
7.373418,5.402597,4.013454,6.143999,2.754115,7.316214
6.510931,4.237312,2.433039,2.065682,0.698213,1.098190
15.542753,10.901402,5.092565,13.482004,3.713346,13.740156
12.153865,8.250770,2.398257,2.719172,0.808455,4.207726
12.377616,8.787811,4.798250,3.564996,0.592201,1.408622
16.075529,11.273733,5.072602,4.071658,0.652442,4.340451
6.853086,4.770905,2.812780,1.545311,0.552435,-0.123505
8.663433,6.159142,3.306545,1.563944,0.412567,1.273627
33.206398,21.831337,11.478828,21.080143,5.240154,35.412842
5.223631,3.540372,2.404404,1.957774,0.372862,0.258664
17.678766,12.694039,7.432965,13.870905,3.990963,15.439497
14.440656,9.980368,5.303607,4.585373,0.770337,1.557566
24.182178,16.715837,7.093411,4.890301,1.151102,1.415739
6.278430,4.626477,3.280492,3.420526,0.236905,1.756425
8.606200,6.119098,2.819910,2.208819,0.522719,1.159087
7.310823,4.810841,3.244961,2.076370,0.303996,1.162672
6.382928,4.470727,2.574042,12.297817,3.667249,7.305655
11.791622,8.132728,4.354460,3.027278,0.408619,4.998420
6.434884,4.581851,3.007252,2.791982,0.316352,0.626819
27.078691,18.485750,9.083361,6.264047,1.178339,12.686932
21.460403,14.760984,6.812810,7.849105,0.870544,0.767686
4.909085,3.533663,2.989878,1.861564,0.230263,0.257484
46.398823,29.622992,25.729469,33.073704,50.667278,3344.337158
18.542372,12.893739,7.424066,5.486151,0.927432,1.103195
4.808774,3.373972,2.697423,2.503043,0.576553,-0.319407
8.313941,5.822202,3.477927,48.898483,12.681551,21.419188
6.703886,4.733008,3.038696,2.155001,0.716194,1.258408
4.561952,3.421269,2.911874,1.789864,0.168898,0.860107
