"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
18.668537,12.518120,5.687797,16.344070,3.119805,11.208142
7.433870,4.923336,4.078293,7.065082,0.964666,-0.524497
6.253574,4.769415,5.367975,20.178612,3.917377,8.641568
6.704565,4.791943,2.499125,4.065767,1.091236,1.491623
14.451629,9.801654,4.266508,16.102594,3.583514,11.899793
12.904038,9.562109,3.788774,17.983042,4.563651,16.953571
16.361753,11.197112,4.012029,6.904117,1.279621,1.421209
9.263659,6.645015,3.062203,8.329179,1.448466,1.420581
13.683222,9.567980,7.602579,26.285236,8.119037,21.235821
9.214210,6.411889,3.506524,15.511074,2.914107,6.315738
39.839989,25.037910,16.934416,41.000504,8.050360,32.442013
18.564817,12.286360,19.256416,68.571892,16.624273,60.475216
8.881992,6.422021,2.630412,2.240679,0.973269,1.207160
14.971634,10.481429,2.831447,23.811380,6.147613,9.506476
21.293539,14.301840,8.463604,24.280811,6.951456,9.050286
8.968129,6.054045,2.731869,4.924916,1.779034,2.425860
25.668734,17.381617,11.997842,12.959405,1.916209,3.630412
24.303020,16.805801,6.463068,23.943468,5.696314,29.240189
7.673118,5.525253,2.803710,6.049661,1.020146,0.293747
9.091664,6.494148,3.730667,1.705559,0.631495,7.397672
15.300858,10.746315,5.071355,18.558664,5.296180,22.999454
5.035441,3.642811,2.886178,5.093840,0.772108,1.100253
7.397367,5.427012,2.571478,16.983236,3.491491,14.123383
21.936571,14.821553,6.225665,21.402687,5.049441,10.598184
18.180387,12.004657,6.665683,33.512356,8.708971,7.937180
12.879320,8.817749,9.677731,28.060944,6.220715,22.248386
9.589550,6.406314,3.871199,11.219673,2.307857,5.881446
11.478626,7.731146,6.129353,9.326727,0.943553,0.235982
17.709797,11.745351,5.721835,8.678275,1.357539,1.025477
5.679518,3.734768,3.137039,12.294878,3.013379,1.392787
13.526822,9.408972,4.649183,19.036726,3.273854,9.395524
7.835132,5.495206,2.693848,2.448056,1.047266,0.493702
13.903210,9.912096,4.482103,17.838789,3.017503,9.698368
5.905221,4.049407,1.818338,7.819819,2.062315,9.941501
14.489549,9.904967,4.167275,10.329450,2.933967,12.316588
10.583522,7.206815,3.377304,6.477436,0.367058,-0.212651
13.425982,9.614141,4.452160,11.623659,1.329382,1.400423
10.829782,7.187675,3.892406,3.764732,0.551038,1.272215
7.333063,5.321192,2.692092,2.212501,1.004838,1.620944
8.289917,5.697106,2.548155,3.658776,0.660988,1.580534
44.321159,27.801506,18.491083,70.568069,16.917017,59.916622
22.948385,15.200495,8.876282,41.661072,9.618157,19.677052
42.295464,27.593988,25.815847,103.973839,23.594900,42.237015
5.036747,3.549283,4.662735,8.255042,1.642958,2.101129
54.506207,30.973612,27.336124,78.601540,19.141821,62.394577
19.053795,13.153852,7.314597,29.303944,6.592664,17.116446
14.274172,9.407418,3.983094,16.583218,4.414453,6.070507
9.499382,6.438046,3.216094,4.551796,0.560025,1.389645
10.532269,7.171506,3.725645,17.056622,3.353562,10.012613
12.167653,8.270627,4.129394,18.482090,4.701252,5.329045
24.006363,16.468067,8.988172,41.465893,9.081537,12.602640
45.857567,26.464880,21.895908,80.726257,20.868052,72.746880
10.119126,7.083412,4.407313,17.094597,4.549478,10.861801
11.313660,7.876542,3.803901,16.630207,4.194744,12.643250
16.275143,11.586157,8.166403,34.982510,9.956856,19.050091
15.684972,11.175027,3.204097,19.129635,4.796005,7.747298
6.681139,4.786234,2.895479,13.714032,3.778439,5.406935
7.412838,5.370012,2.897654,7.421562,2.011892,9.316179
13.630269,9.602201,3.693325,6.644660,0.957592,0.908788
7.331368,5.078165,4.958496,8.679075,0.891798,1.577167
15.711331,11.083238,4.514457,8.115803,1.415682,1.334891
12.204494,8.723746,3.646123,7.594579,0.203772,1.949701
6.538387,4.366022,2.579448,12.433241,3.981643,6.519117
16.867285,11.508096,4.488014,7.610471,1.455418,1.354739
38.623531,25.048645,16.307877,76.161491,17.410543,71.749245
10.811827,7.870735,3.849777,6.277532,1.339891,1.426901
9.766007,6.767995,7.986123,28.735443,6.216136,14.423519
13.675235,9.399973,3.205342,26.371092,6.246500,25.090385
9.890241,6.994001,4.567362,16.561420,3.782397,7.445246
13.728088,9.552336,7.190162,30.366102,7.921360,3.075895
28.237108,19.061695,11.753079,24.925982,6.244793,3.157315
5.727976,3.739500,2.457040,9.344770,2.296220,2.905481
4.228361,2.986268,1.706285,4.311106,1.232681,0.562838
18.102781,11.666791,16.653469,88.973541,20.491674,43.905224
