"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
36.798389,23.534966,11.978912,60.435497,16.767237,15.508263
12.666934,8.890621,3.391989,15.225660,4.639250,4.494098
15.311350,10.415167,4.960482,31.538368,9.186186,3.530036
16.212729,10.895458,9.812547,22.939114,5.201908,6.588856
35.326694,22.283344,25.370340,112.749863,28.247547,47.387402
31.870321,21.433447,7.742168,13.107427,2.998021,2.655581
25.155018,16.415619,25.158756,88.842323,20.274500,9.192166
23.136284,15.174679,24.895231,68.273499,18.041283,37.562325
19.799189,13.489489,7.187937,7.133080,0.684082,1.350892
48.615894,29.376368,13.114774,75.666290,21.151192,66.442352
38.106361,24.717476,9.531631,33.526230,7.557079,10.090681
13.249537,8.822615,4.225656,4.963714,0.710611,2.700613
8.084880,5.857446,5.343456,39.540558,9.537765,7.816406
13.756305,8.955550,3.814434,30.749479,6.891109,3.708641
24.324713,15.827719,4.856936,39.726212,8.688663,3.903010
20.992739,13.988615,7.671824,25.435383,6.129197,19.247444
30.194048,19.761988,8.023002,40.204224,9.519165,5.746514
23.809740,16.073380,10.194842,51.159695,12.648712,13.994958
20.419777,13.398788,14.656744,42.816940,11.132400,44.857006
8.333870,5.578621,7.877083,60.030636,17.134949,4.870502
31.114435,20.542458,6.558346,55.358116,12.069853,5.605949
22.064346,15.086904,17.727491,62.761211,14.344474,13.911252
7.268685,5.152354,3.179142,14.341682,3.788175,0.847700
9.054084,6.337667,4.345479,2.854620,-0.101409,2.005092
14.920446,10.295672,4.828392,13.320022,3.021945,0.752440
47.952290,29.569702,14.917944,9.033894,2.628345,20.439690
16.902971,11.228092,12.278418,28.924158,9.331744,20.333139
15.953897,10.447210,5.414454,22.791859,4.893373,5.501217
28.347502,18.093006,8.731562,20.506287,5.243018,3.452561
27.891445,18.840969,8.763298,49.373138,12.160519,4.209490
39.441929,24.454140,17.960611,75.342209,19.198240,23.500490
19.752506,13.338223,6.983245,17.618223,2.741578,5.669575
29.155590,19.143663,10.397896,32.193970,8.121885,18.320055
60.462772,37.023647,12.824216,54.223942,13.100364,11.814537
29.956398,19.502747,11.791678,23.265556,6.336889,4.767249
28.330902,17.964262,25.020885,96.751373,20.298456,35.939816
26.494345,17.640263,9.617309,69.148048,15.809672,5.546840
40.047726,25.223564,35.683987,84.752121,20.257242,30.275688
26.778330,18.260645,11.413866,44.981365,10.345000,7.311544
16.089472,10.610436,4.599917,26.038704,6.662570,3.439273
12.472390,8.697502,2.913425,13.572708,2.336640,2.217085
28.467411,18.832088,8.365129,29.929571,8.045379,5.404084
58.058994,34.765621,26.920368,90.026146,19.033842,9.133593
17.004164,11.758511,5.917383,24.583345,6.168272,2.204790
18.804125,12.693583,6.586166,13.052404,3.056582,2.657576
18.181618,12.268843,3.936697,43.980831,13.670169,38.656368
12.819351,8.568185,5.012550,10.177718,2.820227,2.832013
36.883606,23.054869,31.447474,158.762772,37.398796,17.503479
21.681126,14.938230,6.277836,16.570490,3.618075,5.480151
43.462376,27.878170,32.410820,69.368637,17.798212,46.871857
9.429563,6.458302,2.089391,14.592822,3.283702,10.186280
18.484066,11.419714,24.369459,64.741104,15.956693,22.117699
6.701907,4.672523,3.649519,10.074285,2.254650,1.468022
13.694276,9.768631,5.269444,13.091455,4.080360,1.669543
20.207090,13.386694,8.352277,12.813476,1.778406,2.864766
10.165948,6.780496,4.633896,10.793905,4.510045,10.227999
13.486981,9.180765,5.676438,5.235324,0.904543,2.829723
27.830368,18.156878,22.300026,75.101097,17.896959,13.895110
12.200470,8.015286,4.236649,16.231462,4.045958,4.165155
16.889574,11.425820,4.357980,17.786894,4.902384,5.430475
23.532333,15.386216,29.142744,133.670029,32.420876,54.537708
22.963732,15.834343,5.176008,32.991383,7.331321,3.436692
26.741447,17.793756,6.425607,40.089127,9.808074,1.722142
10.054294,6.777872,4.187756,9.622912,3.214071,0.782819
25.490826,16.900452,8.672751,17.764927,5.800575,10.285766
28.198183,18.765511,9.847783,24.704065,5.236093,7.585760
17.844372,12.291677,5.205164,27.159090,7.152655,3.224619
32.655815,20.874582,20.820465,69.004120,16.583948,16.429379
15.273434,10.381452,5.142857,10.849374,2.795835,3.824280
36.962322,23.773527,13.005870,42.405010,9.165284,7.097205
24.941422,16.315113,6.394907,28.343201,8.203617,10.749548
5.084566,3.342771,2.496359,7.089263,1.645661,9.296681
80.529587,48.182800,77.396263,232.238937,53.813538,93.328194
18.167124,11.788861,6.455429,4.776259,0.871258,11.019848
46.995930,30.260559,13.622601,56.047035,12.529485,10.806257
38.325169,25.251543,13.564761,74.760918,16.911797,7.765264
22.265432,14.983872,6.204864,25.390041,6.848166,3.259300
25.188713,16.846689,5.729213,34.378952,8.451863,17.617914
8.905844,5.732674,19.819395,90.352196,24.740282,38.619690
26.162584,17.355869,26.303633,29.342051,5.843747,5.129191
37.454159,24.333532,8.503498,50.392242,10.409555,5.415906
45.985043,28.807343,34.580963,76.570534,20.387768,28.975145
27.278004,18.567434,9.022421,30.158340,5.563802,8.072227
17.122618,11.347443,7.395286,16.640413,4.455786,4.044360
46.692509,29.123619,20.821583,66.194427,12.773179,9.030286
8.009768,5.580727,8.504848,36.010822,9.322230,2.484570
26.002186,17.135952,11.526522,38.396202,8.701441,6.885782
6.887358,4.683176,3.022035,15.021894,3.469086,0.919889
16.474545,11.613058,5.085562,3.427236,0.695272,2.522681
29.812012,19.599749,31.828932,58.236099,13.383032,23.752773
17.112732,11.477674,4.116924,24.345634,6.878321,18.674520
8.849266,6.149616,3.541958,2.180223,0.415484,1.033980
16.765369,10.654957,13.643173,62.606907,15.702931,8.712010
16.284286,11.276147,4.815252,14.696305,2.730730,5.843686
4.667649,3.539832,2.367040,6.637521,2.220889,0.816258
11.371264,7.374210,4.715862,8.311007,1.907003,3.500715
31.328768,20.240511,8.590080,34.331001,8.459590,4.429842
12.338286,8.169188,7.098770,21.943350,5.184962,16.545517
48.961193,30.968966,11.883227,80.922295,20.987371,6.101787
48.218243,29.882391,19.366863,38.621326,7.337223,5.220361
9.370211,6.271424,5.844138,21.657179,4.795038,4.738459
25.741032,17.381540,9.381733,38.004951,9.727266,4.388206
21.032001,14.214536,8.267754,31.311954,7.312656,8.332952
23.278831,15.398901,15.892588,55.568718,13.823876,6.109001
48.045715,29.773197,24.766352,55.185707,10.277576,13.445912
33.064682,21.695719,7.845514,25.356932,4.422057,5.929715
89.177719,45.460094,97.961044,336.309387,87.291031,93.577805
31.765778,20.135757,7.782385,35.612370,6.004066,3.604435
9.652431,6.844754,2.130125,21.360193,4.730125,2.158911
20.397661,13.285884,7.290344,26.928761,5.781291,3.481590
16.940496,11.485104,6.251746,26.506149,6.089533,25.232594
18.272272,12.729043,6.219003,20.026548,3.362511,1.029771
11.514380,7.808471,4.379125,17.069088,2.925629,3.295933
4.655267,3.165652,2.574667,10.229536,1.893507,3.904689
4.612878,3.362786,9.415042,27.878635,6.380620,3.048564
28.246721,12.648363,11.500754,28.707081,7.570636,3.330716
22.768629,9.498026,9.817250,23.670181,5.155770,0.874127
60.889179,35.405396,26.807108,63.676170,12.976954,9.474827
33.246010,21.557924,22.590437,97.402596,21.220919,32.309608
16.320892,10.579091,15.201977,89.274673,23.001320,6.798088
6.169311,4.266724,6.562489,27.953861,7.337834,7.284469
21.021803,14.284715,11.085358,11.820523,2.339178,3.908274
