"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
32.684143,21.749687,10.220260,13.949158,2.051031,3.555143
41.602493,24.500362,46.243065,72.492683,14.429798,51.638145
19.282618,13.115973,6.540410,12.779403,1.862041,-0.283952
55.485733,31.143871,65.295898,81.589470,12.904949,41.429482
17.243311,10.396747,7.891048,12.799760,2.193035,2.380906
71.586563,35.059544,41.027889,59.368572,9.206923,13.311158
70.161514,26.227020,75.494827,95.276413,16.174551,47.299885
5.735630,4.218868,2.304409,4.772554,0.637055,6.378409
18.476622,13.123278,6.229971,9.810379,1.023659,0.149860
7.766538,5.572656,2.948903,3.239825,0.551364,1.193483
13.263603,9.122993,4.066224,4.251095,0.318722,0.761242
28.934433,15.261824,13.086835,17.156324,1.908068,2.314568
28.588198,15.287378,12.131427,16.467178,1.941958,2.290233
17.688251,11.488509,7.092248,6.868261,1.532937,-0.455649
5.973243,3.254477,2.630024,2.161820,0.134890,0.539408
31.937849,20.794035,32.307259,35.057930,5.507235,13.510376
12.364453,8.806177,4.605781,10.929090,1.355013,3.197898
127.613144,48.360977,233.264923,296.398804,46.442009,89.445450
106.872574,38.880966,156.056717,215.322174,31.514183,71.987442
110.900497,40.368660,127.401131,145.321716,22.596783,41.480503
38.978329,19.443825,14.157727,34.815479,5.507075,5.395053
45.062664,21.587147,45.401249,59.490543,8.217787,13.092692
7.854903,5.579600,2.893183,2.177668,0.135038,1.666260
19.927704,13.570333,6.718945,5.753538,1.271198,0.986360
6.541824,4.527850,6.415469,11.257536,1.077419,10.535839
55.701801,31.828005,30.309729,38.119579,5.059003,4.665433
9.610996,6.711490,3.578090,7.237683,1.196188,0.741319
9.355374,6.449408,8.874567,12.357901,2.805866,1.608589
13.234526,9.120839,4.956892,3.745469,0.224423,1.297139
7.952899,5.718411,3.201380,2.100412,0.722126,2.886926
4.576281,3.397009,2.254270,1.936330,-0.061152,1.603119
4.861150,3.725186,1.721585,0.760893,-0.121594,-0.106813
25.949266,16.625963,15.498704,16.659204,3.321335,21.165356
10.244660,7.345306,2.590430,4.245321,-0.329023,0.540572
11.358288,7.799255,4.281659,1.525463,0.599820,1.493010
19.734236,13.523954,7.959809,9.862484,1.149873,1.696131
15.349062,10.285527,5.510211,9.825686,1.268616,0.942888
12.981629,9.049247,6.079998,7.035397,1.012148,1.529579
