"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
15.898302,10.580254,5.602009,18.220682,4.263645,1.671383
74.666588,44.458858,56.230209,227.629456,48.426846,88.473343
15.193393,10.613531,6.082874,12.268250,2.902219,3.093948
11.633798,8.103100,4.908336,14.571216,3.757811,3.085848
16.371134,11.190204,15.511877,54.803680,14.771691,19.291853
35.534180,23.462866,19.638098,58.814526,12.277416,20.742537
24.651012,16.339325,11.153875,37.029984,9.415176,9.342295
38.585262,25.245480,34.196075,95.268105,22.852556,33.576759
23.309343,15.839342,8.968037,49.712494,15.146499,41.603310
36.469753,22.937159,39.308689,100.140877,21.630175,41.824795
46.728050,27.036812,53.665951,133.465607,29.861944,22.683636
39.450603,24.447615,33.997643,75.706596,15.487583,38.706528
47.618820,28.928736,25.278429,73.716324,18.681328,29.860331
11.268455,7.704329,4.640143,12.165667,3.380952,0.177037
25.997578,17.323080,5.675497,33.746078,7.780740,11.795501
31.194353,21.251799,9.652096,21.510584,5.346382,5.321203
21.615253,14.757105,7.208015,31.696918,7.556767,34.971607
13.550933,9.512099,6.305789,23.693254,5.224481,15.800079
54.012901,31.312607,39.220692,151.202850,36.736526,75.494019
39.703659,25.354012,37.209412,139.538177,35.840294,53.758904
27.854492,18.680885,7.502014,25.593275,6.246996,8.444099
11.362301,8.067861,4.122954,8.217951,1.765818,1.600683
33.591286,22.669443,11.586361,48.017021,11.319641,4.758200
73.302101,44.362568,26.214254,85.357597,20.448378,17.797220
12.825790,8.708758,4.563879,9.098540,2.932583,7.694114
28.335449,19.437866,12.537328,31.914253,7.014253,3.896916
40.144356,23.862370,27.748842,121.864670,26.063965,38.391502
32.775482,22.196480,10.783348,28.550373,6.005041,5.808624
10.775271,7.381337,6.000646,16.699448,3.402152,5.954710
56.480278,33.062160,35.357559,131.761734,32.081196,88.542610
15.106750,10.782263,4.148753,23.998129,5.861790,1.320734
34.508030,22.615566,15.640677,43.955120,11.706417,21.243660
21.473995,14.794909,9.529293,43.596619,10.009220,4.826327
10.366193,7.070648,3.977334,11.108356,2.005124,1.487814
24.062052,15.520202,25.185320,87.177567,18.904821,45.613033
19.040783,12.455839,9.239480,55.187115,12.463158,15.940502
32.785461,20.936161,39.610920,80.043114,22.504705,19.583893
31.161522,20.584892,10.412289,31.470659,7.428371,21.364466
12.716255,8.861231,4.400702,24.392258,4.464952,3.947942
16.396879,11.159753,4.828684,39.021278,9.661573,3.628721
12.479539,8.972160,3.664069,13.015087,3.455458,5.387664
19.795681,13.277887,9.033560,24.714380,6.236683,11.788136
34.231400,20.117182,8.286513,34.181774,10.712412,25.233130
22.944979,14.138882,13.591829,83.730553,17.921219,10.876520
18.353739,12.663065,8.648652,25.216419,6.480951,8.988010
20.690914,14.069380,6.420973,36.263493,9.473709,3.794295
15.675375,10.322946,27.667715,101.048599,22.694433,25.347773
26.006413,17.149717,8.778012,38.852673,10.547171,6.383217
13.792212,9.673947,3.968711,17.850161,4.304379,13.297578
15.606319,10.712033,4.415354,31.386024,7.103314,12.560253
27.848948,18.650074,7.100837,70.497963,18.654041,15.301386
19.138199,13.174475,9.249336,19.838272,3.681869,1.525018
42.271729,28.247353,19.634672,57.486420,11.312427,22.074999
7.792781,5.664017,4.890548,9.645639,2.772094,8.621941
33.093155,22.099463,12.112648,59.789520,11.858488,25.580696
30.629946,20.589701,22.585022,59.421368,11.709083,17.802359
19.159710,12.888651,5.533458,25.309702,5.851647,6.014600
22.715261,15.303483,17.424412,54.140244,12.277849,29.111744
25.772837,17.002712,17.033350,124.424355,30.747454,22.684626
30.776497,20.443766,14.924194,49.278217,12.494617,11.900315
13.005437,9.328477,5.286548,13.792105,3.367358,1.013187
28.700800,18.809807,29.003607,84.610703,20.614153,51.585171
26.266039,17.747980,8.441624,27.088680,5.933319,4.460207
28.909767,16.711344,33.041100,114.352112,29.987057,61.506382
20.818958,14.016541,10.931833,46.099968,12.971017,13.098896
32.148003,21.557869,16.961035,45.832920,10.848054,6.030854
22.709263,15.297659,8.986981,18.876980,1.722993,3.850156
9.124900,6.607615,3.598537,17.356209,3.840864,0.118946
7.949289,5.758039,3.001732,-0.131483,0.025600,10.011735
32.833778,21.194792,21.252235,109.262405,19.055920,17.016436
29.649035,19.595753,7.871175,28.357498,6.205473,6.224234
28.808506,19.105101,10.849960,45.826092,10.807097,7.109090
42.042969,27.629213,10.635380,40.713787,9.257427,3.436734
19.893606,13.574140,6.001467,14.888513,4.127625,7.924333
8.008888,5.434510,3.088557,2.390254,0.143851,0.776217
52.069107,32.346882,22.118532,64.863136,14.577650,11.861637
36.938744,24.245958,9.861574,36.939243,7.409362,10.372550
28.573763,19.486460,16.624281,77.090622,21.359373,8.924738
47.714161,31.108040,17.960657,44.659393,9.695223,13.011991
22.105530,14.502476,18.589867,50.671074,11.981158,23.123213
24.489454,16.994055,8.224688,45.034073,8.246984,18.677292
37.402676,24.489105,9.788249,28.951077,5.621519,7.957102
19.968157,13.425222,20.375025,56.706135,11.844193,7.800564
30.351833,18.381744,7.774183,47.334621,11.930059,25.820198
15.226210,6.525352,3.806974,26.249424,6.471341,11.811245
46.564297,30.757729,12.300962,57.636528,14.358698,13.608405
26.474020,17.807339,7.508786,51.536053,12.318832,3.725927
26.068111,16.798655,10.020901,57.508369,14.457091,6.081463
16.338713,11.307882,6.672639,8.395787,0.966934,3.981075
