"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
16.641798,11.312675,5.945160,16.333347,4.099218,23.064749
35.211292,21.631710,12.456914,62.008682,12.603230,41.958408
20.004665,13.451666,7.877272,19.424395,4.289124,6.586232
38.371037,24.735180,18.469980,41.744545,10.434972,21.805490
39.498131,25.625019,16.226776,38.153671,9.367051,21.604553
9.247328,6.342505,4.374992,9.579398,2.197333,11.867061
18.938967,13.012908,6.957415,27.343092,6.083745,13.756800
6.421934,4.676631,3.784251,12.532788,3.078437,8.065572
9.283015,5.982164,3.913697,17.113077,3.793895,23.662905
14.515189,10.394434,12.085319,24.819065,8.089979,12.181488
19.583315,13.853218,6.832886,11.203493,2.517038,24.317181
18.118004,11.996443,7.474874,19.615580,4.921369,30.259989
8.599607,5.948999,5.568649,16.313475,3.318139,10.618812
12.676807,8.741927,2.502594,9.331090,1.951153,22.449732
11.599503,8.411947,4.159909,11.501982,3.233979,8.539134
5.457973,3.978849,2.789061,8.524435,2.000653,3.001354
17.297260,11.644312,5.835408,25.988449,6.284245,8.216492
33.174923,20.773087,37.582642,112.530235,25.606266,90.346222
5.335397,3.968857,2.653582,9.241686,1.191722,2.456318
24.790857,16.931160,4.888804,27.602793,7.215719,32.186813
8.873912,6.168679,5.435954,6.723503,1.185508,1.870599
18.282530,12.492909,7.061191,19.230976,4.053496,18.189926
7.862052,5.304942,2.528584,4.218706,2.197523,7.664266
55.143654,29.805685,45.416454,113.456718,30.263947,222.640945
9.079717,6.267352,4.070598,16.980307,2.918285,6.589594
36.921391,22.642212,38.802734,135.907104,32.700592,57.632336
32.344799,21.085270,22.608715,87.016891,22.854067,109.870728
32.367989,20.609566,13.793076,28.310883,6.269554,21.897436
9.281132,6.587880,5.607451,11.827408,2.558570,5.450705
6.458759,4.863919,3.816194,11.397679,2.756015,3.351611
17.251450,11.209509,7.623165,17.045731,4.553524,6.628862
6.462524,4.854337,2.736742,12.949929,3.914013,5.104804
48.911835,28.527819,19.123245,52.289795,11.853661,23.360096
7.706767,5.758392,3.905845,10.107497,2.777215,2.520844
6.693570,4.945862,3.080628,16.138008,3.806145,15.490742
17.042639,11.189360,3.470241,21.701220,6.436555,14.435639
12.221376,8.622319,3.966028,15.058751,3.288207,10.336667
11.412425,8.118461,4.464325,9.265882,1.852155,7.563331
22.313782,15.132593,8.053839,23.448589,5.301384,13.902918
14.763333,9.343957,13.829269,43.160545,9.868894,26.022949
10.638673,7.827751,9.376116,35.756039,8.967334,24.614885
21.307692,14.147638,7.718144,17.200787,5.028503,15.952425
6.468276,4.782098,2.889022,15.043915,1.718976,2.660177
23.777838,16.351408,6.192620,24.965816,6.518572,29.009945
22.432240,14.875589,10.700413,34.302792,6.838400,13.595538
22.317310,14.450850,6.513909,29.271774,6.278108,24.808765
75.673309,41.649242,42.537621,136.311005,33.846867,204.912643
85.032089,46.919613,31.876415,57.951210,13.228044,57.201847
32.376026,21.316404,14.277561,38.643009,9.580337,15.931983
13.408004,8.682614,6.524307,15.676109,3.929161,11.248412
7.474313,4.947681,2.496884,8.791412,1.953989,4.238317
5.776727,3.988683,2.951071,10.676835,2.352156,4.302403
9.529334,6.824013,5.579748,16.029398,3.005295,7.894969
18.366142,12.652542,9.851951,29.584187,7.111534,12.428781
24.607298,16.392675,14.235900,38.392578,7.876498,29.223110
17.911882,12.716165,17.680811,37.738468,8.956720,16.261751
58.479183,35.837872,43.501770,94.419029,24.753590,80.053169
37.384998,25.221697,14.922264,44.253181,9.611274,33.175949
20.618410,13.920438,6.274112,53.584961,13.253863,80.738037
7.163367,5.184976,3.664528,8.586139,1.377930,3.668248
42.144741,26.509874,14.951990,33.215923,7.570967,32.465191
71.451790,33.183586,116.643135,318.611603,83.496712,424.072845
9.959182,6.425958,3.851969,12.547625,3.095168,11.169538
12.095332,8.776772,5.460277,10.756029,3.457137,10.945115
22.749187,15.695007,8.065086,31.430229,6.994457,23.825962
4.560031,3.338875,1.683631,9.744794,1.218358,6.488389
86.835747,50.575977,28.603825,54.107227,13.157810,29.200493
27.905310,17.929636,10.340038,24.633886,6.339437,26.777548
26.458036,17.629377,9.085526,28.321518,8.100389,12.156433
61.622780,33.279755,40.332901,159.562744,39.462727,162.655762
4.427381,3.055226,2.681005,3.872190,1.269093,0.948276
4.173069,3.174924,2.256868,5.269844,1.352552,3.077056
20.295727,13.621644,5.852703,33.307430,8.310185,14.174524
6.424899,4.510418,4.543072,10.792138,2.379696,4.206856
13.956851,9.798523,3.703371,14.743717,3.264388,8.011001
33.195763,22.123491,16.306400,56.570297,15.288975,51.867413
21.725683,15.212754,9.711445,30.233486,6.347736,37.645966
10.565444,7.462533,6.544199,23.816313,5.288433,10.047130
5.838925,4.389900,3.033555,10.437155,2.782145,1.702280
39.280991,25.015781,24.273317,57.898708,12.267118,53.735207
14.412947,10.081824,5.693944,15.544470,3.807459,16.711319
6.401057,4.515350,3.382749,11.357401,3.498268,4.218177
14.960287,10.388723,6.556018,28.835775,6.368063,12.604690
20.568432,13.605743,8.825084,34.984734,8.076752,16.941147
4.706464,3.702477,2.327132,7.408247,3.118462,1.137796
6.612139,4.375282,2.900035,11.135891,2.820220,2.927807
33.068966,21.667812,8.102153,44.583656,12.336705,20.654747
63.253613,37.321724,21.123291,49.776733,11.222172,50.734085
8.935930,6.196188,4.020362,8.077658,2.550436,19.108349
17.719486,11.894060,8.802021,29.111097,7.467239,16.703865
24.808624,16.741955,10.529573,36.091431,8.233055,12.840941
11.905460,8.118000,5.886828,13.968916,3.736193,4.329667
14.609947,9.602100,12.056097,47.601166,11.145447,51.891941
10.025341,6.713769,4.901040,11.829558,2.805795,8.896306
15.108757,10.482581,8.036193,26.604664,5.995559,12.340438
8.522389,6.077213,3.536278,-1.332988,0.169797,7.861601
5.202767,3.501619,2.534881,14.235177,4.320323,19.600010
15.144266,10.259642,7.084472,20.206142,5.713988,7.709360
23.249830,16.335787,13.706222,26.275381,7.318492,36.331310
7.358163,5.147895,3.610479,9.256829,3.244423,6.181901
