"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
48.154568,28.341484,14.831362,36.414871,72.364967,3464.998535
68.468414,37.531368,54.914795,89.907631,224.213486,5450.051270
25.559435,15.557379,10.465208,14.123414,30.154188,1915.775269
14.328969,8.591381,9.179860,8.312270,44.571423,2959.220215
25.636232,16.622334,4.842002,7.781165,17.138008,995.755188
46.915382,29.017065,13.901028,13.536366,36.848511,2488.865234
68.352821,38.037323,19.357346,21.756153,56.813011,3599.742676
19.068506,12.367062,4.102381,3.864632,13.580310,827.561951
41.117489,23.804430,20.867540,40.833443,73.435829,3755.752686
33.846073,20.373682,40.141548,77.821716,169.789520,4846.124512
14.343102,9.306099,3.823159,6.091962,8.404235,502.870911
32.637611,20.541365,12.822322,27.858372,57.169800,3010.454346
40.476974,22.031763,25.214087,30.665083,82.189423,4237.916016
30.263334,17.958235,11.960714,22.646093,70.720909,3833.804199
21.936949,14.393393,5.839923,8.181273,38.524994,2717.053955
22.715647,14.354826,5.477083,7.137530,9.589311,659.304077
24.331871,15.245386,7.622657,6.178583,36.635303,2466.673584
40.488346,25.777969,10.116203,28.357973,35.625580,1556.101074
39.664867,23.347519,26.188074,16.905409,54.980759,3339.196045
59.949615,34.082039,11.973458,15.935634,35.046757,2446.170166
80.985825,41.477516,20.484589,21.000046,36.522987,2294.056396
64.586563,38.188709,18.163580,18.287308,47.762451,3233.747070
20.530071,12.415537,18.628120,35.095215,78.548790,3525.623779
10.612564,6.612325,4.223946,19.933569,12.555886,51.790691
10.252152,7.549090,2.633650,12.462142,16.801634,350.881592
33.818726,21.360474,6.496427,28.750822,36.003426,1909.182617
30.700531,19.376286,7.806721,9.693362,44.368969,3050.556152
57.368027,30.893990,33.520729,37.811897,115.638451,4670.631348
45.905434,27.950184,11.280178,5.979530,21.013700,1338.395142
31.101345,18.383205,11.833792,31.800911,14.441048,50.978214
76.016190,42.886757,13.338786,33.038033,70.749641,3852.151855
30.883492,20.540371,9.317391,24.542025,51.737217,2739.001953
79.048424,44.442734,43.919533,70.687737,125.215279,4493.340332
47.780457,28.722870,21.674673,56.951286,110.805672,4019.412598
18.954096,11.934386,16.917507,15.655451,72.193428,3749.467773
63.017822,36.091705,24.227346,22.584122,50.495811,3152.390381
63.737034,31.968266,38.685120,71.332069,143.844589,4861.676758
16.466764,10.834525,7.792182,6.717267,13.011736,731.824463
42.902885,26.149439,11.774890,10.805593,35.184181,2448.382324
15.914321,9.893273,6.973383,7.669362,1.615379,1.605556
13.584059,8.926384,1.912566,16.271454,7.533959,33.493935
74.910858,33.404232,42.083363,52.481075,202.873367,6738.195312
49.991360,18.240351,25.279675,21.392223,84.851067,4594.216309
12.782682,8.447353,4.205199,4.955781,12.698878,793.423340
23.704762,14.295755,33.387745,39.278492,89.934746,3943.684082
5.838878,3.861250,3.286138,6.230563,10.849891,683.223999
17.730711,10.979074,18.213169,15.207036,64.226517,3651.107178
48.036037,29.005796,21.099304,30.270304,81.819069,4029.862305
40.454388,25.588865,9.126711,23.987572,34.344452,1694.201416
40.567036,25.101070,13.784111,17.870852,57.367897,3579.104492
11.885242,7.511158,2.042923,19.085964,10.296866,30.896919
8.679218,5.789220,10.461091,9.154099,24.657021,1508.429565
33.042377,19.488808,45.317436,43.063320,73.537277,3641.478760
32.907200,20.831253,13.365682,22.889153,45.816189,2384.243652
35.816917,22.892920,9.127943,27.701258,44.157646,2082.128418
28.942783,18.667093,4.691088,6.586722,22.060829,1286.344971
68.945312,39.286358,31.284138,35.493446,88.787140,4225.991211
55.128807,31.569355,18.611145,20.679373,39.136623,2390.714355
19.252954,11.936795,9.119411,10.773205,31.519547,2001.229736
46.775948,29.446451,9.398022,10.491345,40.382847,2493.799072
15.593374,10.091416,2.920231,19.293257,21.840361,1083.220825
57.825806,33.122551,13.719057,13.932163,56.373425,3724.795898
79.097115,43.443779,21.316965,32.732811,61.430965,3598.631592
44.458832,27.697672,11.880075,15.063298,60.720585,3287.783447
104.018967,44.778263,22.320183,42.847176,84.561050,4243.523438
41.098541,25.403084,10.205234,13.884062,58.746319,3539.378662
19.149063,12.429007,6.148831,5.451167,15.416892,961.715393
66.445541,39.169868,12.427546,20.787727,75.766899,3989.679932
27.180084,16.896955,10.493879,16.053843,41.339638,2538.053467
36.279594,23.239470,11.908499,10.756409,28.235229,1795.993774
48.193527,27.286182,32.642445,58.240299,60.595028,2876.588623
85.800293,40.070675,30.023563,59.377010,101.363411,4700.438477
23.848778,14.659242,17.948803,40.903236,72.626122,3063.227783
43.410221,25.002972,16.867939,30.062254,56.572655,3186.489014
38.552971,23.790833,7.964171,9.414141,44.110172,3008.873047
19.180159,12.373126,11.330701,20.221235,64.020096,3419.966309
65.052170,33.477528,37.199329,79.243423,131.158463,4530.338867
19.469517,12.238535,11.541347,12.867629,42.677677,3019.052002
43.535576,25.752205,22.893463,24.631483,99.164894,4332.155762
37.987022,22.604893,10.747419,15.430105,40.176792,2662.167480
52.023808,31.474646,11.305905,24.226925,37.414883,1985.065552
29.671036,19.072235,20.554636,34.831127,54.263279,2854.208008
36.836212,22.626272,9.637235,13.397521,44.822506,2853.036133
12.261300,7.654816,5.922593,18.130978,7.912325,38.230850
16.681030,10.050133,9.712044,20.544525,52.510868,3083.287598
30.182375,18.840614,6.882025,8.029653,45.049332,2607.660645
30.659756,19.256924,13.735560,12.781352,49.958294,3131.135986
24.220097,15.379586,7.983437,10.467984,26.996428,1660.219482
54.424984,31.403706,14.686662,9.711203,63.041656,3801.066162
24.032049,15.739275,3.225805,23.731478,13.811972,267.336914
13.384530,8.380139,3.509260,6.716213,37.518913,2714.914307
22.536016,14.129963,8.846512,13.897426,30.048069,1858.282104
23.967981,15.217335,12.749549,19.026638,32.588860,1761.992310
52.604755,32.653713,12.664848,12.565906,54.775414,3079.936523
36.419910,23.238930,4.711910,37.599815,18.338299,175.394714
55.426945,30.155582,20.894037,64.116058,110.389427,4106.344727
68.936058,38.413731,28.078239,49.050781,83.463272,4317.210938
44.776848,26.891722,17.550600,35.290520,47.910927,2603.502197
13.698773,7.973971,8.952140,24.187876,14.614041,56.741692
45.733967,25.045355,23.141533,48.812218,60.618679,3325.503174
52.500095,30.685486,12.742918,18.121998,42.384453,2825.113525
49.382759,29.222361,26.589363,42.719715,91.283005,4076.108887
79.282013,41.924496,26.254623,39.801388,154.310287,5197.827637
56.500210,34.289280,11.824810,15.352045,58.855396,3488.552246
11.407115,7.220708,3.483794,20.445166,10.820901,91.058975
43.159065,25.632486,25.532127,38.893555,59.798168,3261.549805
29.304890,18.818251,7.140217,7.430586,25.566614,1826.472778
66.695763,34.356949,35.913681,51.622543,103.544952,4917.272949
29.440849,18.380398,17.772125,15.122695,28.114489,1592.381348
16.379927,10.539302,4.387852,7.515664,23.246286,1668.203735
28.214460,18.443111,6.809368,7.053736,28.086990,1871.582031
35.894543,22.220011,11.423471,16.480646,29.728004,1691.795654
24.575592,15.712523,8.747161,17.394367,28.597670,1455.678589
62.851662,36.292480,20.940435,14.472465,31.783455,1782.138550
14.617897,9.206903,5.904884,4.440655,13.543913,893.212769
15.710959,10.313768,2.871918,7.252947,21.782837,1372.027222
35.143539,21.582987,13.999412,14.848323,32.522121,2137.637207
56.299526,33.971069,11.315234,12.660947,37.862606,2423.347168
36.134205,21.954653,23.276741,19.886045,84.653954,3993.556885
58.957497,31.819324,26.061300,27.300041,75.396309,3914.535400
59.504387,36.203369,13.439822,14.217069,74.245277,3926.059814
36.149078,22.921190,8.597507,10.201275,25.780731,1607.124023
