"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
11.212135,7.757377,7.460747,10.253128,30.132282,2271.677490
26.707560,17.893307,6.230140,9.810296,21.686029,2130.762451
17.792051,12.246222,5.711127,7.539189,1.225780,88.252777
38.581932,25.788036,22.244650,16.540764,35.931862,3240.937256
6.551990,4.796772,2.722325,3.134319,1.335156,3.857173
16.063894,11.118505,12.489100,51.626209,29.595856,1496.437988
23.639431,15.347503,21.233957,37.548286,44.534611,2987.041748
98.132812,47.935299,36.826904,56.559872,137.290085,5636.629883
26.401283,17.380480,4.893110,21.863583,86.082397,1212.151123
143.979904,66.165306,197.430161,379.877472,672.664124,7419.330078
68.314438,30.836250,27.186073,20.779572,82.689445,5667.158203
57.333817,30.413801,28.836069,25.967463,78.359421,4439.141602
43.061337,28.547266,17.099977,16.899693,34.898827,2987.027832
20.873129,14.158797,15.771129,20.083178,41.445778,2669.676025
138.669312,75.810020,193.222229,464.962708,386.359344,5978.839844
60.730427,37.410854,40.971840,26.439816,64.407806,4340.808105
19.760090,13.734766,9.538589,6.893483,32.303013,2389.135498
42.879684,27.868423,12.918611,26.170382,6.929516,26.666552
23.218607,15.855453,9.480872,13.152186,35.431831,2874.189697
17.752672,12.429816,4.917400,7.303222,32.255074,2908.888916
30.510344,20.801857,9.346455,4.904084,20.205408,2071.286621
15.969830,11.623158,5.438369,3.892808,17.332754,1294.138916
29.276867,20.243296,20.408220,27.234896,68.743942,3724.580566
25.271578,16.973043,13.031507,35.579144,24.962967,1428.165161
46.365303,29.262346,23.680292,21.115999,35.746471,3188.374756
17.972980,12.189941,4.022875,9.280534,21.090626,1860.934082
14.711804,10.327824,13.472299,15.787881,47.468060,3019.364990
23.835665,16.565987,5.771904,3.364465,19.645325,1674.534180
96.491714,46.871086,33.595768,71.618027,108.856979,5464.012207
25.482233,17.315090,14.296620,14.403832,32.731754,2825.856934
42.415909,27.841591,11.876817,11.616069,33.628487,3051.954102
16.263796,11.049405,3.573174,22.929928,9.919169,53.085281
47.167484,28.375231,54.303448,106.757980,172.148422,5016.879395
68.172966,41.280849,19.826656,20.895330,32.888783,2814.345703
38.503021,25.163757,23.769819,30.471743,78.355865,4242.773438
27.855494,18.864531,6.208306,35.048393,30.214111,223.189865
59.923046,32.746464,36.429615,24.431084,69.051811,4040.450195
11.380255,8.042167,11.477489,14.734864,30.212217,72.980209
31.939901,21.098780,24.267759,23.255568,71.207970,4179.404297
9.290777,6.307457,4.621364,29.384434,16.681885,868.614197
15.260498,10.589592,14.652074,6.895547,24.409163,1768.537109
41.793137,27.438046,20.557739,25.021786,65.623383,4033.876953
23.028921,14.501947,15.278231,19.512037,48.294678,3586.454834
5.179727,3.061002,1.545773,10.782212,26.128265,155.979660
36.440697,24.107157,11.300929,10.074848,3.356840,253.991211
24.794437,16.480268,11.496759,6.838228,33.101139,2582.779785
24.196978,16.548531,12.962233,9.587927,30.129389,2700.201416
45.387337,29.997618,15.841220,13.634594,41.244953,3209.683350
7.536840,5.126829,7.214355,9.839711,29.769098,2122.243896
21.061003,14.465695,15.875193,62.981010,67.576660,3065.531250
28.824785,19.763966,16.187210,13.802858,30.020943,2315.647949
38.708572,25.579870,9.878448,5.758326,27.845472,2463.710205
50.282181,31.650063,21.900904,40.861431,34.246403,1148.992554
43.670010,28.842117,27.574308,28.279495,67.620628,3997.089111
33.954605,20.527807,23.229334,28.094452,71.481110,3773.884521
15.949484,11.388650,6.914425,10.053985,20.945585,1490.295166
49.203358,31.214457,15.828012,8.763353,33.725578,3205.389893
33.656799,22.551409,8.831321,6.231254,42.103455,3397.453613
27.770981,19.001614,4.258096,6.641086,20.824648,2016.303345
25.010832,16.491739,43.412937,36.420750,130.696106,4585.512695
22.295557,15.569322,8.575087,12.408774,44.631359,3013.749756
5.520185,4.054557,7.227769,33.423897,28.728262,1854.840576
24.103468,16.084772,19.894314,42.716385,84.786736,3748.660645
97.908287,55.514442,27.064539,26.483816,79.908493,4837.549805
15.696703,11.315735,5.627280,4.435625,26.882961,2106.775146
12.148689,8.389533,17.361376,14.541769,23.987906,1952.451904
16.593298,11.467703,6.749346,34.690556,12.671679,134.733963
42.635815,25.635324,20.677486,51.985939,42.727821,2949.100830
46.142796,30.523054,15.047789,11.943170,44.438732,3483.436523
30.799889,13.061857,9.627970,36.542831,25.600824,1465.545776
30.832193,13.110768,9.694168,37.343784,25.175331,1414.533325
45.090340,29.954100,14.531693,14.148895,32.672298,2821.160889
56.330235,35.884216,13.666553,15.148982,37.285065,3246.220947
29.176577,20.303265,9.039790,7.532197,18.150377,1696.759888
42.163212,27.697083,12.832637,20.312784,54.837238,3626.374756
10.558471,7.429278,3.345273,3.360331,15.968129,1234.582764
16.017210,11.382798,4.228166,9.501401,29.038645,2068.632568
37.206173,25.483164,11.226790,11.612980,33.323215,2688.932861
54.444942,34.541267,15.251187,48.398315,57.468380,3715.833984
16.468548,11.282871,10.440013,6.061347,42.146343,1299.554810
17.887358,12.309608,9.597295,14.157564,24.114178,1719.687744
26.482584,18.431366,7.657848,4.365684,20.309130,1626.031982
25.969738,17.926565,7.049299,6.180612,23.936718,2124.660645
36.739456,23.523956,39.115376,56.817768,152.368484,4576.148438
24.323305,16.672447,8.789824,3.883793,14.717707,1418.604736
40.484077,25.768105,11.128528,9.534516,2.738006,141.990051
34.148464,22.217129,24.909441,19.898176,72.213112,4098.534668
38.918427,24.504343,21.087543,30.302870,61.190071,3878.320312
46.639729,30.701803,9.074701,15.240951,42.867195,3374.260498
52.599434,33.378433,20.054539,21.132818,63.082844,4029.613525
51.445778,33.343517,14.625947,16.853487,44.803738,3531.812256
53.677036,35.156574,12.671225,9.157641,40.542793,3322.971924
63.165916,38.868458,19.834204,21.600275,39.480488,3327.725830
12.098550,8.788964,14.294819,14.488985,51.308151,3170.374756
51.318413,33.035069,13.254959,11.055599,34.209064,3086.636963
22.720295,15.690250,7.546864,4.572082,19.597191,1652.266235
10.121276,6.705966,5.330138,5.956640,1.307021,5.001762
15.115671,10.747923,6.019271,4.506950,12.165956,1057.131714
41.601299,26.894869,13.105705,12.928208,55.013012,3823.318359
34.381363,23.488958,9.458358,6.547361,16.266315,1303.860352
24.265142,16.204895,13.200454,19.544649,7.525954,240.151291
19.539278,13.215891,8.967092,5.973880,20.129055,1877.414062
20.771065,14.168759,6.280333,2.455038,11.144517,1042.746094
7.218614,4.885596,1.894856,28.563387,8.798133,82.499588
41.600895,27.896366,11.118920,11.923565,31.302773,2734.378418
32.589275,22.168741,7.488064,10.769407,26.355173,2354.270996
25.562393,16.910902,9.234872,13.292763,20.905468,1376.271973
52.122540,33.456680,14.788401,25.121222,25.170523,1977.120117
8.662295,6.127591,3.888777,19.991161,12.329507,50.600498
19.314587,11.531123,13.753036,29.155672,7.096706,19.902830
18.395315,12.507442,15.402459,11.800668,36.951744,2725.722656
85.762360,42.682049,46.510738,43.746910,157.137390,6360.868652
25.336960,17.101074,35.441505,69.639221,62.605442,3466.833740
48.832481,31.867434,14.992472,50.074459,32.877251,2020.671875
27.779196,16.927849,36.495434,31.306576,94.713600,4576.789551
45.007538,27.983446,24.376095,34.608578,76.629929,4142.366211
64.758247,37.650494,47.778412,39.201374,74.522469,4535.971191
58.018860,26.967287,15.290076,11.613619,36.204037,3300.096436
78.745789,44.156189,22.168646,21.169289,58.817482,4230.789062
42.911579,28.996449,21.957777,12.054810,51.003933,3573.420898
20.259979,13.788208,4.796688,25.408819,11.791657,390.710083
54.464802,34.853561,14.995858,12.678403,26.903124,2797.102783
25.364765,17.175009,5.647967,11.284387,23.606728,2225.954834
26.935760,18.032705,15.570652,17.142981,38.453953,3409.716797
20.449104,14.123555,6.734772,7.073861,18.613354,1350.589966
41.634472,27.925663,14.604334,19.835691,50.470745,3652.769775
51.724148,25.911777,17.772295,27.009504,47.589142,4085.131592
27.586613,18.469339,9.647766,11.296437,38.708145,1361.203003
59.170929,37.597855,20.262882,25.570988,31.992395,2539.552979
39.742916,26.697052,28.635614,47.440979,94.514946,4148.953613
32.955471,22.522457,10.261942,8.718037,29.442442,2810.343018
63.291306,38.307312,112.539879,218.415359,282.583588,5472.920898
70.512238,38.883408,47.110832,61.135830,49.225994,3009.219238
39.898670,19.312332,24.816164,56.195103,103.248352,5672.947266
10.448306,7.113914,5.747619,12.665323,46.724072,2265.626709
36.446720,25.259098,9.983845,6.615914,29.427767,2724.578369
18.576254,12.287848,5.417563,24.426809,28.025293,2326.026123
19.864571,13.943960,15.286958,11.438899,34.361786,2941.709229
80.137398,48.022907,58.224960,80.032074,218.009430,5471.003418
43.982235,28.718384,11.913592,9.360641,23.818205,2073.792236
49.741734,32.396370,12.330418,10.433725,43.607006,3545.323975
55.476463,35.227898,15.726261,16.816469,42.271740,3337.163330
18.108202,12.484245,5.751151,5.875656,14.748394,1485.531860
15.842768,11.065641,2.421029,20.639299,11.705575,380.843506
19.244171,13.249709,4.845772,3.090100,26.041405,2538.862793
48.709572,31.498678,10.864008,12.756012,33.538044,2907.697754
54.814728,35.505260,16.209919,20.706766,88.631721,4508.052246
38.467987,24.711729,5.760134,38.013630,33.934086,1693.921875
42.430023,27.830748,13.870318,18.925043,52.371655,3892.022217
33.764961,21.512684,9.698944,12.791165,20.079931,1565.157471
54.187977,34.033001,18.365507,17.936771,57.059067,3892.353271
12.368012,8.830626,20.170057,10.369934,32.376869,2571.177246
87.939156,45.727722,25.498449,28.247475,87.876648,4969.878906
17.777630,12.088238,4.348778,7.488347,16.439440,1443.544556
60.984104,37.965481,19.432104,14.662423,37.637161,3400.409180
18.219030,12.023805,12.355049,23.349117,25.998314,2141.131592
17.010273,11.583312,5.453681,44.187546,15.970295,104.027214
16.987747,12.041258,5.788332,6.074282,10.845017,882.670532
45.310284,28.627010,25.384726,62.664055,59.749046,3525.509766
28.864868,19.371803,7.073711,9.386034,51.376175,2267.142334
59.103573,34.131657,23.595751,50.046097,36.827812,1782.552246
13.254934,9.328131,9.367471,9.929823,24.212317,1913.116089
62.951488,39.754734,20.161089,23.741770,65.139244,3976.407715
38.412571,25.416874,12.674080,15.626081,66.744301,3673.944092
20.577652,13.954589,13.253394,8.598015,15.540531,1540.188354
20.137985,14.167979,7.527905,8.108059,16.423321,1192.777100
62.135551,37.171509,31.621058,31.020227,80.648834,4490.043945
20.502172,14.307409,11.317245,9.215014,19.838951,1564.709961
38.762108,25.159781,14.389382,32.668224,24.634708,1243.842041
35.238194,24.322714,9.851822,33.911831,31.800900,1854.190796
32.314911,21.057163,15.033890,45.562988,53.446461,3034.162598
38.777401,26.187231,10.532762,10.339980,29.249737,2581.308594
70.331215,41.439529,45.782246,55.510170,116.087708,4844.167969
44.219135,28.845716,15.488401,18.386055,45.634800,3544.809326
12.825557,8.875058,5.844391,3.596061,15.542578,1055.681763
73.767189,43.435143,23.153320,32.067703,63.540554,4416.841309
20.564083,14.593507,7.652509,6.681029,26.299557,2466.300049
57.894001,35.737446,38.112103,25.567904,61.232822,3912.587402
25.395132,17.735106,8.545568,10.132957,38.235771,3117.806396
50.014744,32.643993,15.309579,5.629518,16.753504,1529.145752
15.609950,10.359208,9.467729,10.114603,31.443470,2825.361084
22.220402,15.017303,9.775939,8.813051,19.980780,1862.222168
22.812817,15.149883,7.695112,27.513769,10.751187,75.399399
26.547131,18.267502,8.537572,10.090719,18.576797,1416.213745
43.948143,28.492302,8.848947,32.838432,43.274063,2534.723877
46.135288,29.948578,13.803503,12.264956,28.813992,2792.953369
