"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
3.953516,3.032345,2.513574,27.402351,7.049323,6.346637
58.022297,35.142147,32.330235,156.767166,37.747673,40.139812
5.167676,3.581773,2.530870,0.917958,0.338231,0.732497
30.218002,20.886477,16.090475,75.658722,21.409878,35.338665
12.384712,8.828724,5.787414,34.436543,8.823886,3.286558
8.459087,5.705057,3.039518,2.023163,0.558033,1.376731
19.400681,13.309414,6.509731,48.711540,12.358966,3.851063
13.656661,9.582106,6.011479,34.173740,9.042243,1.973296
17.154919,11.615399,6.323959,38.702183,9.439424,13.680295
16.918766,11.715523,4.604141,31.993065,6.666745,3.842548
11.264641,7.997742,4.487056,25.078159,5.853287,1.370135
29.115629,18.620604,10.633602,62.283772,15.417512,13.407705
15.600079,10.807382,6.144999,31.804390,8.838866,2.908115
9.591986,6.686327,3.434881,15.737774,4.110001,1.218800
20.143290,12.482367,9.316115,70.443207,17.382290,9.972461
22.153706,14.875289,23.181181,78.915771,19.724043,13.625238
11.033464,8.003025,4.566636,26.895741,7.137584,8.796797
19.158350,12.459065,8.082605,38.021286,11.461536,15.910234
6.768046,4.615797,3.609624,14.688711,3.622156,2.338422
18.713001,13.044565,6.038131,34.700672,10.911942,3.910541
14.975190,10.612377,5.063787,34.331631,8.695694,4.802715
16.548721,11.652341,7.691689,36.468498,7.942956,4.639530
16.219803,11.479445,5.800920,7.414457,2.840835,16.643402
18.693232,12.678726,6.896528,36.648827,9.969694,5.047737
10.430975,7.390256,5.805082,46.153748,11.071350,2.315449
8.042747,5.314370,3.509631,16.302839,3.568219,1.647974
11.129838,7.618684,4.335242,19.429230,4.951865,3.551532
28.459620,19.831835,14.811223,59.702602,14.534735,8.973745
44.866814,28.114496,19.305044,104.394264,27.601923,69.953362
10.603298,7.127218,9.276163,56.067818,14.323857,15.087571
8.101278,5.686539,3.130143,20.389660,5.869974,0.025965
9.735680,6.859242,4.352818,13.377692,2.244202,1.949917
23.703678,16.520130,12.012074,90.549164,25.253435,76.141357
10.266740,7.577920,2.708989,13.839203,3.599796,2.656356
50.464672,32.108559,23.227423,87.540047,23.793747,16.880125
12.609842,8.759109,4.854011,23.809998,6.320494,3.327040
12.726421,8.934505,5.543996,20.736919,5.858681,1.455903
17.291735,12.327275,4.987204,26.432453,6.872343,4.554255
9.593633,6.622412,4.872057,29.665174,6.982226,2.443761
12.015759,8.657704,4.487089,5.933406,1.229963,1.820435
16.028088,11.460255,5.827427,26.456738,6.199284,1.720117
30.046288,20.150324,8.301211,85.614975,21.949755,117.585907
31.231405,20.616894,11.593306,57.148705,14.065313,20.987879
12.332651,8.689710,5.877727,38.558483,8.845863,7.191891
17.892443,11.922913,5.692783,44.043098,10.151326,4.980352
20.273550,14.043262,8.821720,26.379622,6.875099,5.711010
10.811546,7.690668,3.909545,34.051777,8.228341,4.119522
11.153210,7.999640,2.130480,27.724527,6.897034,2.475855
9.247790,6.428101,4.014625,19.246006,5.332065,3.316735
6.432693,4.356245,2.956139,19.659525,2.916278,1.544807
17.614006,11.942294,7.001382,51.191330,13.249952,4.925938
11.075397,7.722776,5.146947,27.805178,7.366001,2.359206
19.715460,12.910519,6.058942,41.608730,10.651412,6.476442
24.581833,16.481060,8.257363,55.014866,12.617317,3.718476
20.209692,13.724003,6.352288,45.343212,10.892952,5.747938
14.213675,10.118910,7.687698,44.648251,10.396366,3.684682
14.413931,9.930212,6.152264,41.463669,10.660397,4.353448
8.075660,6.022901,3.326699,16.847366,4.024521,2.963655
10.464808,6.914252,2.783010,18.626286,7.056270,23.209425
9.012369,6.209605,3.576190,24.143196,6.177588,2.958017
4.187080,3.017496,3.044260,14.646378,3.411665,1.661108
30.775665,20.425215,7.728241,35.159527,9.233630,22.423624
12.509861,8.563558,4.996481,20.283472,5.261957,1.817348
29.345251,19.608255,9.345482,58.107388,13.601007,6.668737
8.684687,6.324475,3.744786,23.390491,7.000558,12.751480
25.100973,16.681417,8.957061,75.837540,19.057661,8.120277
18.627880,12.631571,5.199785,29.201225,7.042967,3.728129
19.676456,12.818715,6.104157,27.367315,8.889308,19.687523
13.718382,9.726379,5.634093,29.420614,7.577135,3.051027
9.362525,6.684229,4.007384,24.998262,5.272269,3.406220
14.180498,9.629766,2.511060,35.534790,8.280016,20.912954
11.986125,8.441322,4.051302,17.295935,3.791410,0.616000
14.662033,10.419478,5.754701,33.354847,8.887171,3.500443
16.158386,11.391146,5.507478,26.713755,7.122590,3.969374
9.293251,6.467384,3.534550,16.573923,4.782965,1.840703
10.455151,7.546600,3.837560,22.620083,5.642725,2.578624
27.306040,18.131845,10.296551,45.874886,13.402087,10.081411
10.054644,7.120828,4.198508,30.399954,7.026039,3.282142
20.548885,11.641059,8.170286,60.804684,14.718347,8.550738
20.645109,11.703662,8.192105,64.231407,15.374673,8.383209
11.277237,7.999537,3.861568,27.523779,7.792623,2.645643
8.248946,5.946360,3.597605,25.452351,6.239260,1.164312
13.889157,9.345142,5.232924,42.221222,9.252654,4.600743
6.179305,4.643527,2.811359,19.216715,4.854683,1.665752
6.183428,4.476997,2.741005,14.702353,4.121910,1.739966
10.312949,7.321259,5.362885,32.437416,7.687553,2.065740
13.381696,9.250641,6.760136,36.280693,8.866874,6.944388
6.705122,4.797093,3.049755,15.478788,4.525751,0.909991
8.710860,6.217909,3.726162,22.277166,5.656597,1.032752
8.681189,5.803684,4.328322,21.710346,6.929048,2.830571
4.440846,3.162519,2.788961,14.866413,3.500678,0.161022
7.374033,5.044878,3.750163,22.879580,6.301816,1.525791
12.997315,8.887504,8.592410,59.051044,14.529901,11.418908
69.603897,44.339935,86.414421,332.794769,91.860359,132.015884
10.614544,7.608524,4.055091,18.853363,5.251702,2.597714
16.037319,11.374614,14.079706,59.923492,15.081198,13.995657
18.274424,12.184402,6.116227,27.882471,7.807494,4.774730
8.209464,5.762890,3.917282,19.966925,4.566112,1.826770
12.003754,8.263882,4.145340,15.726214,3.294313,1.461279
24.620571,16.549805,30.024961,115.864601,29.032717,15.692474
24.147642,16.501167,8.003294,46.713703,12.539568,18.534531
41.202145,26.371565,13.323700,44.249569,10.941421,14.748211
34.766933,22.621899,12.158235,62.441059,16.385923,6.170469
10.024145,7.129581,4.247491,54.948544,13.853106,12.431214
4.214196,3.085041,2.499961,15.208987,3.888248,2.542829
27.694963,18.394678,17.874731,27.290279,7.158413,14.234895
10.624070,7.290461,4.942096,26.895182,6.358105,1.598302
17.078445,11.877588,6.968578,32.968906,7.803653,1.441408
6.782879,5.065762,3.015806,17.121450,4.439293,0.469811
9.427226,6.849769,3.032115,33.279743,8.139865,2.651445
10.660239,7.395887,3.811509,16.466143,4.531854,2.926322
35.136219,22.900612,16.923948,133.083572,32.411373,17.239273
21.871639,14.589665,12.292454,66.894157,18.345087,11.095019
18.220007,12.562283,5.362985,38.819607,10.361849,5.131360
19.307892,13.108849,7.764040,42.585804,10.860548,1.803312
20.754999,14.382655,8.272679,63.739433,14.669238,7.819385
11.728397,8.130301,3.591105,39.576370,9.372044,1.976396
12.386118,9.008471,4.092525,26.663094,5.189297,2.959237
12.320624,8.854179,3.303406,18.626095,4.596672,1.089673
16.263781,11.030988,7.150898,29.655357,6.797602,6.065426
23.638834,16.032114,8.707742,58.713696,15.813165,7.216839
27.073891,18.073265,9.874395,33.186218,8.045682,10.060120
20.731529,14.138785,7.371150,38.286251,9.610923,14.235694
14.778452,9.776881,5.007689,38.056015,9.107467,5.470531
23.835579,15.683391,9.965520,74.931793,16.711723,9.347014
27.636131,18.861103,12.811022,12.821335,11.853688,742.753235
37.743622,23.324953,14.736214,85.026115,21.541727,15.870549
10.306720,7.350762,4.771618,3.966917,0.702630,2.137414
11.849304,7.804197,4.287326,35.192562,8.358706,2.464073
9.646718,6.690215,3.386531,24.947655,5.290997,6.030320
6.302333,4.560417,2.857898,16.315744,4.080683,0.464676
10.925895,7.723397,4.361310,22.171858,6.002975,2.339776
12.088039,8.237088,12.552678,60.128510,16.195400,7.269154
8.622491,5.962385,3.991296,21.922506,5.049694,1.728650
5.603813,3.684320,2.785694,13.211041,2.690608,1.246471
8.373371,5.794358,3.532022,34.565708,9.309111,3.533822
12.749330,8.843321,4.483527,36.398239,8.854774,4.799432
12.797821,9.145306,4.303957,28.882263,6.613114,4.507257
10.461781,6.953342,4.019698,20.429392,4.975759,1.594633
8.647518,6.130614,3.581685,19.541521,4.473842,3.445281
15.338633,10.403600,5.173488,20.263391,5.609047,2.860723
