"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
7.156265,5.046505,3.857585,17.411631,4.482834,10.460884
19.996794,13.505183,6.172060,40.270714,11.650267,33.065880
7.869996,5.473863,2.244910,13.696786,3.855537,5.125555
15.183665,11.120852,4.294633,35.824528,8.974202,14.999776
14.490091,9.912098,5.737371,28.027468,7.901665,12.129865
9.860291,6.590066,7.900835,47.901840,14.055336,18.148273
16.587551,11.402065,9.655289,75.355843,19.979795,28.675947
6.232430,4.622999,3.548651,3.779791,0.806601,5.962435
8.000632,6.106977,4.232878,4.833818,1.125142,1.255342
11.817958,7.794014,4.722099,34.945599,11.167036,11.213162
6.599921,4.503479,2.921427,14.951608,4.902471,7.039288
10.210111,6.978148,3.956441,20.258406,5.687729,10.294318
20.507862,14.362679,7.331732,27.768784,7.030170,18.289177
4.587689,3.420946,2.641342,14.783382,4.571111,4.668190
9.469841,6.500921,3.153682,28.821760,6.008240,13.843640
23.654995,16.126511,7.496286,42.205685,9.658258,7.938213
18.711485,12.733250,4.831149,35.935642,10.765698,9.854849
16.520372,11.451985,6.874424,50.378323,12.994995,17.011179
13.309378,9.284986,5.332532,38.523460,9.445012,7.667997
4.497225,3.416270,1.813075,7.445129,2.125828,2.502189
4.255272,3.089794,1.746653,2.829584,-0.240550,0.155869
28.480394,19.373289,10.622776,13.627460,3.174577,7.534873
14.439703,10.106153,9.461205,65.796722,14.836847,51.516197
9.628305,6.758317,4.355060,14.186684,4.515011,7.857292
15.914254,11.418576,5.172396,34.693909,8.422647,44.333668
11.224051,8.030435,5.314753,22.139994,6.106112,13.383050
8.881479,6.077547,2.122628,48.486317,14.817478,9.853372
14.547676,10.127245,4.445181,30.123636,9.008562,12.544668
11.391646,8.232293,4.206367,27.217289,6.162087,15.252827
11.986629,8.759909,3.757138,4.391309,1.005280,0.864646
9.985038,7.166641,4.016618,6.048775,1.716407,2.249303
7.880516,5.531728,6.747731,67.938820,22.332878,27.614807
16.165062,11.652575,4.419843,35.408962,9.089558,12.458111
17.412159,12.414955,5.096753,48.454636,13.722773,15.771188
9.297185,6.275431,2.202230,18.595139,4.423546,3.136182
17.038645,12.070266,3.860300,37.607559,9.866396,14.297173
15.382273,10.841853,5.036417,25.930664,7.063286,16.858412
11.658326,8.085332,3.107018,24.505798,6.135996,9.887404
15.352149,10.665992,5.286700,31.481020,9.084030,7.641080
20.440849,13.525258,6.016974,31.762726,8.243127,18.309591
24.824924,16.571949,14.434816,94.858322,23.692875,41.379166
26.243023,17.739435,8.551426,44.225864,12.044823,38.750362
76.963524,44.145950,31.910748,124.981949,32.348869,65.579735
6.659924,4.707167,2.560593,29.018150,7.834280,7.109677
12.448483,8.733826,5.249545,26.049078,6.691212,16.622492
23.973154,16.713551,8.607250,7.152399,2.471318,15.512282
31.800997,21.637201,14.325631,70.107727,19.234221,31.921965
42.673130,23.929815,59.980148,289.477814,67.541954,167.496094
61.063702,39.295532,23.152485,110.903267,30.017544,37.059994
8.141303,5.882123,3.678188,18.186832,4.982337,6.877957
48.669243,31.290438,15.994817,72.831337,18.819019,57.535393
6.643022,4.884642,3.009398,12.763691,4.299082,5.247401
4.795507,3.389034,2.663170,15.386217,4.253062,5.296858
18.515911,12.284895,7.199312,41.406757,11.391264,12.990723
23.387421,15.448246,5.909050,54.518948,12.740967,22.033348
13.177071,9.233900,5.206997,40.012123,11.011180,9.268047
