"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
13.904917,9.898801,6.995994,9.679993,2.280943,4.280578
12.708393,9.125911,4.313322,4.411355,0.504984,2.829209
13.714299,9.639513,5.783663,25.864376,6.150364,4.249803
41.481243,27.646120,12.087038,92.119286,27.118351,21.805620
11.977220,8.493031,3.928675,5.018427,1.717784,5.810153
6.764776,5.064188,3.275435,25.193056,5.955525,4.329266
19.750982,13.492519,10.148569,87.948799,22.431900,19.607447
10.153653,7.049147,2.408386,32.064789,7.419422,5.998180
18.241568,12.622479,6.509833,21.977108,5.221516,5.258779
18.991974,13.821236,5.383382,34.162781,9.462002,56.966728
8.497979,5.953063,2.099292,10.344081,2.847135,6.989245
8.390691,6.108397,4.564105,21.598843,5.483983,4.635889
22.277239,15.140878,6.366618,40.576210,9.893343,9.792597
7.239966,4.977342,2.591299,21.303267,5.625587,4.028355
17.433821,11.841497,8.951517,4.779691,1.901142,7.363077
22.157280,15.531417,6.331000,21.137596,4.950645,11.895181
17.828583,12.107639,6.768526,55.563210,13.203506,10.877154
10.433002,7.408406,4.279339,18.232868,4.330413,2.891915
5.048713,3.562940,2.651659,2.771338,0.437279,1.001559
15.063439,10.404795,6.102472,51.733150,15.072658,20.052971
12.254997,8.888134,4.234503,19.172186,4.324083,11.572814
36.490841,23.874632,14.897876,84.674171,22.373201,100.972237
25.602858,17.598219,9.139501,46.701759,12.674277,3.239036
13.595998,9.565933,4.587402,44.419785,12.872187,48.524349
27.302603,19.078487,10.044436,71.375397,20.668875,18.700945
26.372770,18.162271,7.920561,62.317345,15.278273,16.231924
9.510592,6.626863,4.142219,29.973997,7.997337,3.365659
21.185516,14.292894,6.003662,47.788803,13.937795,55.570892
13.014467,8.995233,10.533228,65.157005,17.139370,14.577248
33.161953,22.248678,15.059699,50.623859,16.436384,94.019623
20.644190,13.972061,11.151315,67.758896,18.227011,8.429609
19.569120,13.557851,8.091743,53.462109,14.887199,37.444675
12.004349,8.722888,2.997193,16.135273,4.024495,3.714890
11.632197,8.432411,3.023545,25.631470,6.773950,5.530252
14.154927,9.830729,4.954593,38.215557,9.645886,6.220973
26.822044,18.066971,5.668996,36.431549,7.918294,5.478888
12.097309,8.598811,4.950630,18.163280,4.092879,4.286905
28.358377,19.285284,7.868248,47.857990,10.368201,5.755286
12.524721,8.911231,4.085669,25.668888,6.553286,4.259605
9.935401,7.070790,3.986660,19.923988,5.276294,8.086529
12.582273,9.110401,4.211754,15.854779,3.268196,8.064849
33.234741,22.439142,10.924892,29.620466,6.422138,8.174109
15.103272,10.637647,5.116316,22.737020,6.008396,4.777533
46.125950,29.777357,10.045590,57.049358,13.614242,10.119405
24.712584,17.049866,9.531794,23.811443,5.790439,8.587021
16.584669,11.937550,4.296407,29.689606,8.483624,12.195148
14.428938,9.979486,5.289301,4.862429,1.426073,25.630846
33.064880,20.817022,21.590044,75.669258,19.986843,67.760475
4.672433,3.589966,2.298867,3.929285,1.049817,2.823454
8.169900,5.821088,2.798862,22.143801,6.312050,10.881394
17.678347,12.430575,10.554432,58.472580,15.662739,27.009184
9.717089,6.715696,7.577606,22.732965,6.747612,3.846198
31.060913,21.882687,11.956863,100.076790,29.471142,11.419972
18.880508,13.536116,7.499570,26.429613,6.883823,28.500467
22.243582,15.173588,6.345140,36.903824,8.641019,4.035754
14.975043,10.256239,7.873572,57.991848,16.133434,9.993670
10.785816,7.656652,3.335560,24.152380,4.987669,1.475978
15.542786,10.737867,5.878891,3.525214,1.161349,2.348841
24.151558,16.573067,7.408410,53.502655,15.352678,24.539137
13.648492,9.459727,4.784370,19.428436,6.195461,4.745266
20.440319,14.476846,8.363111,52.711201,13.781282,37.656296
21.170990,14.794724,6.877511,25.576302,6.956676,8.039845
10.182864,7.358113,7.891824,54.505711,14.573523,6.492791
16.487785,11.841532,7.636872,12.550418,3.159900,17.728231
46.349163,30.021376,16.276974,58.974613,15.268371,72.509926
15.868046,11.447653,5.396861,22.295141,4.970567,6.193624
24.629461,17.132914,7.087121,34.094711,8.154635,16.306786
11.573071,7.920644,2.594000,25.597940,6.154818,22.228991
4.163750,3.332946,2.338406,1.535960,0.803463,1.360290
11.796758,8.652614,4.700836,26.706873,7.427691,26.451004
11.474604,7.936040,4.841632,61.571430,16.483488,6.132407
6.056035,4.367226,4.108495,18.143091,4.559927,2.864359
9.268116,6.711592,3.631449,36.160831,9.283939,3.400357
11.236305,8.415682,4.327894,41.701622,8.752562,4.126652
25.224787,17.804663,7.716712,44.308449,9.994583,5.593925
18.000914,12.902435,7.540740,19.252905,4.334459,4.258638
17.965878,12.196176,5.328000,31.065744,9.219926,6.632021
10.580093,7.624368,3.433566,33.259552,7.669449,6.559956
13.317678,9.825263,4.023869,15.283458,4.741924,15.260070
16.244904,11.169604,6.647922,19.904072,5.426847,3.403934
8.628534,6.092189,3.375437,27.277138,6.702401,16.303799
33.352642,21.830757,8.902159,46.852867,12.022797,8.699353
43.089226,28.555958,13.976146,56.873085,16.408798,12.303785
28.773703,19.490330,8.437617,85.044662,20.625366,11.881665
15.552185,10.900948,4.828512,32.124454,7.035125,3.695216
12.954502,9.228607,4.240493,16.352179,3.701988,3.788648
25.274048,17.200470,8.197084,44.530632,10.550463,4.735349
17.367849,12.380711,5.687734,19.232010,5.923379,10.911435
14.018990,9.803724,4.569744,45.990383,11.922691,5.600959
11.229806,7.802585,3.885085,48.637035,11.418616,32.234386
40.475353,26.126997,11.239073,71.969009,19.414341,13.586834
15.420226,10.827959,5.230005,19.301508,5.065040,34.925896
15.074099,9.604667,6.662181,44.341988,13.075080,41.108685
9.198465,6.727023,4.540553,5.245687,1.211108,0.967655
13.985296,9.760014,4.316029,26.685085,4.508206,15.408713
9.113518,6.507061,3.102424,24.046259,6.448787,16.265463
13.266552,9.361526,4.811535,3.482952,0.712116,5.142903
7.498139,5.259350,2.791316,6.648347,2.010347,1.408554
