"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
4.461095,3.123898,2.091783,5.958941,1.523149,1.960729
16.976343,11.841975,5.964740,16.611115,4.837275,6.171364
7.773485,5.336534,3.660411,3.977728,0.767171,2.337446
8.924720,6.009158,3.944333,8.329491,2.204104,3.632875
8.238296,5.960071,4.143146,13.357730,3.169030,6.156879
5.746044,3.950296,2.760708,8.428663,1.816257,2.209589
8.341186,5.710537,4.390054,9.946113,1.699815,1.731386
6.000087,4.241529,2.848049,2.646675,1.056816,0.872351
8.383102,5.694989,4.211431,8.755041,2.011618,4.987117
12.758051,8.633247,3.935710,12.919545,2.977863,2.977520
6.010129,3.847351,3.722114,4.749992,1.796233,2.488953
31.910885,20.299070,10.454877,12.187190,24.035625,1701.996704
6.749623,4.276620,2.334584,5.421025,1.843574,4.337914
13.012780,8.929369,4.314207,24.405930,6.018782,3.992611
16.922668,11.246405,4.819398,12.278986,3.431027,4.803737
7.766354,5.552169,3.299826,12.036927,1.912323,2.258336
6.604661,4.691868,3.194029,11.843532,2.315587,4.493103
14.872528,9.880330,4.236445,13.689682,3.837133,3.328003
8.465933,5.546583,2.615914,9.591479,3.203940,3.911201
13.951771,9.321421,5.637787,7.316447,2.254510,11.241835
11.522225,8.201488,5.099531,8.498736,2.122192,3.705345
7.691116,5.213132,3.709698,1.838766,0.969111,2.877302
6.447126,4.460402,2.555276,4.840819,1.310950,1.523277
5.378228,3.996476,2.528492,10.086736,3.235341,11.406767
19.735392,13.600583,6.670110,13.843863,3.075199,6.790720
6.101795,4.230996,3.166480,3.152263,1.173306,0.160983
9.246078,6.352205,4.306646,7.847857,2.760698,6.346789
8.303029,5.839525,3.358534,9.631043,1.448500,3.683489
10.469425,7.225213,4.592413,7.571851,1.268600,10.187764
9.184222,6.349020,3.192368,5.821108,1.827414,0.178342
9.845633,6.815689,2.172177,7.289126,1.734280,2.810499
19.454739,12.978017,9.371412,20.605326,6.712325,29.841721
9.831053,6.434071,4.362651,4.368028,1.318600,5.688013
8.247149,5.609536,3.059289,6.204076,1.948378,3.020955
4.568125,3.483073,3.074408,2.810158,0.309299,2.249707
5.303570,3.479567,1.336705,5.036736,1.369815,1.486174
22.970932,15.373713,10.326674,28.854603,7.238437,27.903608
6.418112,4.453740,2.785313,5.589557,1.610682,1.487336
19.205456,13.229468,5.922960,6.788391,2.192399,9.918035
7.150868,4.766713,2.678394,4.575098,1.937713,3.704195
6.909544,4.700611,3.747069,4.012469,0.665962,8.929877
5.414427,3.533503,2.195970,7.655180,2.218529,3.498667
12.601124,8.440381,4.801760,10.808923,1.962065,3.033178
11.267450,7.469007,4.397885,8.811516,2.311681,3.106241
6.546987,4.476624,3.476594,7.247221,1.815597,0.694530
7.612680,5.406787,3.581507,5.479534,1.913697,8.970952
8.566761,6.073236,5.060534,7.907901,1.633393,2.811256
9.995072,7.084113,7.242012,12.021760,2.439636,4.620554
6.831430,4.566529,3.885943,13.448173,3.148047,4.728662
8.137729,5.225996,3.420824,10.280044,2.891257,1.548382
4.384791,3.473667,1.854105,5.573594,0.664147,0.289815
13.491758,8.973997,4.718008,7.166028,1.779061,8.854069
10.271637,7.295284,3.742668,5.320432,0.632096,6.247674
4.121409,2.992292,2.044887,3.978194,1.175351,1.523735
11.723836,7.864628,3.514137,7.124687,1.095255,2.094802
4.576830,3.252455,2.290207,4.842646,1.853317,2.805356
8.844864,5.932409,8.461390,18.268757,4.154811,7.527602
7.964850,5.580396,3.337422,7.589417,2.151484,4.461370
8.595346,6.105536,4.402258,4.221061,1.615885,13.161511
5.770299,4.058116,2.671842,5.684492,1.216186,4.934714
13.974054,9.578774,6.876121,7.200700,2.278549,2.222304
4.817664,3.274337,1.365636,13.587437,3.746777,9.383856
5.854147,4.260579,2.694505,5.510074,1.455117,9.316644
5.031520,3.525491,2.461000,4.847377,0.915115,1.164012
10.636361,5.531018,4.402494,4.674423,1.585194,3.929621
9.573355,5.603537,4.110042,7.593233,1.953691,6.786990
10.513770,7.229959,3.912966,5.695330,1.370239,2.830930
4.606376,3.266714,2.100720,5.620074,1.075457,6.165198
6.748111,4.660461,3.053305,5.914719,1.564831,3.186858
10.320490,7.447169,4.457770,5.628060,1.998030,4.071077
20.528807,14.451543,9.209668,12.154004,3.004058,15.965849
4.472532,3.253334,1.928051,8.395436,1.918373,2.639165
10.329742,7.093062,4.174773,8.018810,2.517416,1.073359
27.289373,18.532259,15.208664,24.576206,7.337060,16.126240
16.799696,11.655372,7.123345,15.573064,3.624828,6.469677
6.616140,4.830536,3.115512,7.088890,2.146866,6.499847
6.881361,5.222909,2.790107,4.010373,1.534756,1.759982
7.795561,5.839090,3.505056,4.338294,1.800124,2.138302
5.664679,4.164252,2.157981,4.642179,0.838573,6.684850
5.496390,3.647022,1.186090,6.646260,1.409111,1.706048
