"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
5.186718,3.963131,7.010292,126.769814,19.896067,51.753479
9.341217,7.050716,3.019354,4.657995,0.272642,0.355656
4.084604,3.169786,2.059036,-0.193711,-0.054964,1.229352
40.516129,26.730593,10.721580,10.248997,12.369974,1190.001343
15.630357,11.025990,8.711353,6.366013,1.417527,3.461708
8.387597,5.705057,3.314755,2.484273,0.404330,2.852999
11.565383,8.304531,3.060341,4.523600,0.455890,0.759123
14.807649,10.192457,4.452998,2.886167,1.131881,0.068089
4.915841,3.284101,2.191840,0.176248,0.546074,0.354568
8.482952,6.100288,2.466592,2.850186,0.343459,1.104483
6.092343,4.167785,1.963461,3.570408,0.059027,0.043997
7.804474,5.650633,3.920696,3.808568,1.387609,11.641904
21.426510,14.591561,5.998444,6.175244,0.821268,0.384520
24.511936,16.848680,11.784906,8.420777,2.272709,19.584568
6.638838,4.517279,2.417336,1.037192,0.156787,0.918258
10.164841,7.154342,5.033458,5.656449,0.482524,2.429912
26.932829,18.745213,8.705904,10.106326,23.433718,1694.268799
12.945873,8.766438,5.330241,28.012693,7.418779,23.059229
8.104908,5.775465,5.239595,7.157246,0.626727,0.626237
7.574867,5.415171,3.814793,4.839320,0.267089,1.622862
10.728687,7.194408,5.163872,4.370192,0.356391,0.463275
31.232758,20.716063,10.901587,17.062550,5.615958,258.804169
11.279846,8.030958,4.871551,1.241300,0.535284,3.839551
7.201221,5.064591,2.621429,12.867695,3.653558,39.423679
5.451700,3.621335,2.126924,1.951511,0.283517,1.121567
14.248075,9.861489,5.211092,4.499849,0.401214,2.591642
5.846731,4.383821,3.141360,0.502266,0.326465,1.263854
7.606002,5.458055,4.259307,5.405987,0.186703,2.185775
13.818729,9.498773,6.236682,6.792611,0.904002,9.551504
32.901016,22.355490,15.989069,13.041593,2.535165,6.841205
6.514201,4.404800,2.136432,3.432243,0.697675,1.423594
20.552109,13.969838,7.677100,3.712252,1.693730,5.284923
10.041949,6.846058,4.033797,2.652269,-0.146944,0.315543
15.535549,10.293983,6.526552,25.023806,9.383333,199.289459
17.064568,12.302653,5.455023,7.353344,1.639012,1.559829
17.203072,11.398879,5.468824,6.001851,0.658490,2.083115
5.019805,3.380305,3.499383,1.448931,0.747149,0.401426
12.609142,8.634648,4.472476,3.037366,0.717058,1.898403
8.056600,5.706885,3.556643,6.631113,1.613331,19.701435
15.332892,10.397206,9.877431,32.606308,8.668491,74.136093
6.241113,4.288624,3.525450,4.948987,0.136936,3.117745
69.179886,26.192804,27.138813,21.910276,41.201996,3873.843018
61.900593,23.180370,27.492670,27.451782,41.596092,3427.816406
27.263327,17.677137,8.197576,12.407460,11.977122,940.607544
9.041986,5.910950,3.912683,5.577931,0.149882,6.538833
