"FSC-A","FSC-H","SSC-A","GFP-A","PI_LSS-mKate-A","mCherry-A"
104.732895,41.545528,85.892303,132.267380,128.596527,5637.523926
4.915988,3.907405,1.911260,17.372484,5.738049,11.350811
14.128942,9.731066,4.997273,38.646778,10.697124,20.821173
61.812984,35.183964,21.623798,25.787336,28.412319,2598.535889
5.024822,3.625476,2.366620,2.048020,0.566796,4.662739
52.250256,33.338726,12.329638,15.309570,31.270117,3068.370605
32.333214,21.549160,7.639272,7.983714,21.881428,2261.635986
37.098213,24.627272,12.331190,12.633821,24.730713,2068.726318
37.715427,22.449139,43.841885,36.614674,65.498268,4148.737305
13.808952,9.457222,11.817476,43.946186,12.232238,23.509434
64.138603,38.637390,17.791336,29.317513,37.015755,3036.454346
80.445412,38.457027,130.858246,118.546356,193.502548,6438.241699
16.808258,11.814462,6.230786,22.843124,6.261653,32.394146
93.149437,39.767380,104.879120,145.073822,169.745056,6295.097168
34.462727,22.736271,11.961244,10.384502,14.347542,1163.848877
58.745834,34.238693,11.599810,49.311787,15.559753,102.823250
55.582428,32.890110,23.575813,50.977131,61.984673,3947.485352
24.259157,16.441610,12.443491,7.502227,2.003416,32.045517
11.918898,8.262648,4.925040,8.612066,17.884401,1428.655884
12.203841,8.604258,2.399292,9.697062,4.438528,15.048676
13.191516,8.949169,4.184460,5.514031,6.082736,411.498322
19.286787,13.422360,15.848693,14.267294,24.893223,2022.743652
42.016949,26.417799,11.891864,9.337537,14.454377,1140.783569
15.390395,11.061295,4.977023,3.473915,11.235066,887.859253
50.840668,27.821774,16.592916,13.786672,50.487331,3975.937500
32.746098,22.175333,32.441612,31.626709,57.414452,3877.900879
122.060791,49.031036,60.147446,59.116875,129.251434,6511.707031
41.899731,28.102098,14.289347,14.703255,38.004887,3160.450928
26.064959,17.646967,7.258988,13.741434,15.720293,994.904663
35.624779,22.416525,33.693554,62.394680,75.626488,3843.631836
22.106159,15.085953,24.548531,19.596121,37.818829,2733.362061
14.368229,9.911000,4.731714,9.581576,10.519164,871.013855
72.109520,39.164173,23.843660,17.629414,36.788338,3610.186035
29.200853,17.999674,14.890876,40.969639,35.412823,2126.215332
33.221298,20.847574,21.279324,17.869514,55.113495,3869.162598
